Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G
TCGA-BR-8687-01	17	30	0	4	40	135	7
TCGA-BR-8690-01	34	13	22	20	74	15	15
TCGA-BR-A44T-01	9	4	0	2	1	0	7
TCGA-BR-A44U-01	58	6	1	4	26	16	0
TCGA-BR-A452-01	14	0	3	0	65	37	12
TCGA-BR-A453-01	14	38	15	0	12	0	7
TCGA-BR-A4CQ-01	69	31	2	5	93	16	8
TCGA-BR-A4CR-01	18	24	5	2	33	3	0
TCGA-BR-A4CS-01	53	22	10	0	76	7	26
TCGA-BR-A4IU-01	11	4	1	2	1	0	9
TCGA-BR-A4IV-01	1	10	4	2	17	5	1
TCGA-BR-A4IY-01	55	13	9	16	86	3	5
TCGA-BR-A4IZ-01	13	0	1	0	1	2	3
TCGA-BR-A4J1-01	21	0	11	6	37	4	8
TCGA-BR-A4J2-01	43	0	5	0	13	3	6
TCGA-BR-A4J4-01	50	19	0	3	29	0	0
TCGA-BR-A4J5-01	52	5	4	10	26	18	0
TCGA-BR-A4J6-01	2	4	1	3	27	2	0
TCGA-BR-A4J7-01	25	1	18	5	13	3	3
TCGA-BR-A4J8-01	40	0	13	10	35	6	11
TCGA-BR-A4J9-01	22	5	0	2	15	4	0
TCGA-BR-A4PD-01	9	10	8	19	56	82	9
TCGA-BR-A4PE-01	73	10	32	2	99	35	4
TCGA-BR-A4PF-01	26	16	16	4	49	5	3
TCGA-BR-A4QI-01	28	7	17	1	67	19	11
TCGA-BR-A4QL-01	884	390	403	144	66	36	29
TCGA-BR-A4QM-01	26	6	17	9	37	18	10
TCGA-CD-5798-01	27	1	18	1	45	11	17
TCGA-CD-5799-01	18	6	11	1	15	1	5
TCGA-CD-5800-01	43	8	24	1	104	2	21
TCGA-CD-5801-01	42	63	0	32	136	198	74
TCGA-CD-5802-01	14	9	0	3	35	0	3
TCGA-CD-5803-01	8	0	8	1	26	1	1
TCGA-CD-5804-01	35	5	7	7	31	0	4
TCGA-CD-5813-01	47	6	19	28	96	12	15
TCGA-CD-8524-01	74	19	18	6	53	15	5
TCGA-CD-8525-01	14	0	7	0	55	5	18
TCGA-CD-8526-01	16	3	13	0	18	2	5
TCGA-CD-8527-01	96	60	43	15	60	23	11
TCGA-CD-8528-01	74	21	2	5	26	4	3
TCGA-CD-8529-01	23	47	20	16	361	7	31
TCGA-CD-8530-01	23	1	9	1	37	39	5
TCGA-CD-8531-01	48	61	37	42	112	16	9
TCGA-CD-8532-01	15	0	2	8	19	1	5
TCGA-CD-8533-01	80	0	10	8	49	2	6
TCGA-CD-8534-01	22	1	11	3	35	0	0
TCGA-CD-8535-01	30	35	16	0	114	109	30
TCGA-CD-8536-01	367	310	184	88	0	7	7
TCGA-CD-A486-01	28	0	24	2	49	0	9
TCGA-CD-A487-01	30	22	5	0	73	70	15
TCGA-CD-A489-01	17	1	7	7	46	9	9
TCGA-CD-A48A-01	52	7	14	22	79	87	30
TCGA-CD-A48C-01	52	5	18	0	82	85	30
TCGA-CD-A4MG-01	445	1132	586	360	0	26	49
TCGA-CD-A4MH-01	27	14	12	6	38	2	0
TCGA-CD-A4MI-01	266	467	194	105	0	21	58
TCGA-CD-A4MJ-01	219	238	130	114	5	14	0
TCGA-CG-4300-01	53	14	8	13	43	23	9
