Samples	SBS96A	SBS96B	SBS96C	SBS96D
TCGA-BR-8291-01	3.49E-01	7.04E-01	6.44E-01	4.36E-01
TCGA-BR-8295-01	5.43E-01	1.13E+00	1.01E+00	6.39E-01
TCGA-BR-8296-01	1.38E+00	2.64E+00	1.81E+00	1.26E+00
TCGA-BR-8297-01	1.17E+00	2.87E+00	4.11E+00	4.68E+00
TCGA-BR-8360-01	4.75E+00	2.98E+00	2.54E+00	1.80E+00
TCGA-BR-8361-01	1.04E+01	7.97E+00	3.00E+00	2.26E+00
TCGA-BR-8363-01	1.26E+01	1.13E+01	2.87E+00	2.62E+00
TCGA-BR-8364-01	3.80E-01	4.50E-01	4.84E-01	2.67E-01
TCGA-BR-8365-01	6.47E-01	8.70E-01	6.52E-01	4.50E-01
TCGA-BR-8366-01	1.18E+00	1.22E+00	3.02E+00	3.12E+00
TCGA-BR-8367-01	6.70E-01	1.06E+00	9.38E-01	5.21E-01
TCGA-BR-8368-01	4.38E+00	3.28E+00	1.67E+00	6.99E-01
TCGA-BR-8369-01	1.39E+00	3.19E+00	2.89E+00	2.70E+00
TCGA-BR-8370-01	1.71E+00	3.09E+00	2.15E+00	1.27E+00
TCGA-BR-8371-01	4.47E-01	3.56E-01	4.00E-01	3.00E-01
TCGA-BR-8372-01	2.20E+01	2.31E+01	1.85E+00	4.22E+00
TCGA-BR-8373-01	1.00E+00	1.38E+00	1.29E+00	9.50E-01
TCGA-BR-8380-01	1.07E+00	1.58E+00	1.20E+00	9.98E-01
TCGA-BR-8381-01	1.67E+00	3.71E+00	2.86E+00	1.74E+00
TCGA-BR-8382-01	6.32E+00	5.57E+00	1.82E+00	1.66E+00
TCGA-BR-8384-01	6.47E-01	1.03E+00	9.60E-01	7.01E-01
TCGA-BR-8483-01	1.23E+00	2.64E+00	2.10E+00	1.22E+00
TCGA-BR-8484-01	8.40E-01	1.67E+00	1.45E+00	9.47E-01
TCGA-BR-8485-01	1.14E+00	1.33E+00	7.70E+00	8.10E+00
TCGA-BR-8486-01	7.55E-01	1.25E+00	1.39E+00	7.04E-01
TCGA-BR-8487-01	3.69E+01	3.90E+01	1.31E+00	4.95E+00
TCGA-BR-8588-01	1.12E+00	1.79E+00	1.48E+00	9.91E-01
TCGA-BR-8589-01	0.00E+00	4.98E+00	4.20E+01	4.00E+01
TCGA-BR-8590-01	9.08E-01	1.84E+00	2.18E+00	2.12E+00
TCGA-BR-8591-01	1.49E+01	1.35E+01	2.45E+00	1.74E+00
TCGA-BR-8592-01	4.98E-01	4.58E-01	4.73E-01	3.56E-01
TCGA-BR-8676-01	9.86E-01	2.22E+00	1.58E+00	9.24E-01
TCGA-BR-8677-01	1.26E+00	2.21E+00	1.66E+00	1.19E+00
TCGA-BR-8678-01	1.70E+00	3.38E+00	2.39E+00	1.48E+00
TCGA-BR-8679-01	1.57E+00	3.07E+00	2.34E+00	1.55E+00
TCGA-BR-8680-01	4.29E+01	2.58E+01	4.30E+00	5.59E+01
TCGA-BR-8682-01	1.10E+00	1.49E+00	8.89E-01	6.37E-01
TCGA-BR-8683-01	1.43E+00	3.54E+00	3.35E+00	1.98E+00
TCGA-BR-8686-01	1.74E+00	3.64E+00	2.35E+00	1.42E+00
TCGA-BR-8687-01	9.86E-01	1.79E+00	4.28E+00	4.51E+00
TCGA-BR-8690-01	1.21E+00	2.92E+00	3.13E+00	2.00E+00
TCGA-BR-A44T-01	4.10E-01	2.82E-01	2.40E-01	4.30E-01
TCGA-BR-A44U-01	9.45E-01	1.60E+00	1.18E+00	8.61E-01
TCGA-BR-A452-01	8.87E-01	2.99E+00	2.50E+00	2.02E+00
TCGA-BR-A453-01	7.37E-01	8.00E-01	7.27E-01	6.61E-01
TCGA-BR-A4CQ-01	2.29E+00	5.39E+00	4.19E+00	2.64E+00
TCGA-BR-A4CR-01	8.00E-01	1.66E+00	1.48E+00	6.48E-01
TCGA-BR-A4CS-01	1.94E+00	4.64E+00	3.50E+00	2.19E+00
TCGA-BR-A4IU-01	4.03E-01	2.48E-01	2.77E-01	3.50E-01
TCGA-BR-A4IV-01	4.84E-01	8.42E-01	7.70E-01	5.60E-01
TCGA-BR-A4IY-01	1.64E+00	4.51E+00	4.24E+00	2.50E+00
TCGA-BR-A4IZ-01	3.00E-01	2.04E-01	2.46E-01	1.74E-01
TCGA-BR-A4J1-01	8.74E-01	2.10E+00	1.82E+00	1.15E+00
TCGA-BR-A4J2-01	7.14E-01	7.39E-01	6.48E-01	5.45E-01
TCGA-BR-A4J4-01	1.12E+00	1.82E+00	1.37E+00	8.99E-01
TCGA-BR-A4J5-01	1.02E+00	1.64E+00	1.33E+00	9.31E-01
TCGA-BR-A4J6-01	4.15E-01	1.17E+00	1.21E+00	6.12E-01
TCGA-BR-A4J7-01	5.49E-01	5.29E-01	6.01E-01	5.47E-01
TCGA-BR-A4J8-01	9.95E-01	1.62E+00	1.47E+00	9.31E-01
TCGA-BR-A4J9-01	6.76E-01	9.96E-01	7.85E-01	3.13E-01
TCGA-BR-A4PD-01	8.13E-01	1.69E+00	3.02E+00	3.03E+00
