Samples	SBS96A	SBS96B	SBS96C	SBS96D
TCGA-CD-5802-01	30	11	19	4
TCGA-CD-5803-01	26	2	15	2
TCGA-CD-5804-01	64	3	16	6
TCGA-CD-5813-01	96	38	66	23
TCGA-CD-8524-01	126	0	56	8
TCGA-CD-8525-01	31	3	35	30
TCGA-CD-8526-01	42	0	8	7
TCGA-CD-8527-01	200	24	69	15
TCGA-CD-8528-01	105	0	26	4
TCGA-CD-8529-01	108	119	228	50
TCGA-CD-8530-01	31	0	77	7
TCGA-CD-8531-01	144	91	78	12
TCGA-CD-8532-01	26	6	10	8
TCGA-CD-8533-01	117	0	29	9
TCGA-CD-8534-01	55	0	17	0
TCGA-CD-8535-01	49	3	241	41
TCGA-CD-8536-01	784	157	16	6
TCGA-CD-A486-01	80	0	17	15
TCGA-CD-A487-01	39	0	156	20
TCGA-CD-A489-01	33	10	38	15
TCGA-CD-A48A-01	62	13	175	41
TCGA-CD-A48C-01	65	0	169	38
TCGA-CD-A4MG-01	1663	910	0	25
TCGA-CD-A4MH-01	64	12	23	0
TCGA-CD-A4MI-01	727	304	19	61
TCGA-CD-A4MJ-01	503	192	25	0
TCGA-CG-4300-01	81	6	63	13
TCGA-CG-4301-01	33	6	24	1
TCGA-CG-4304-01	31	17	27	8
TCGA-CG-4305-01	869	351	82	9
TCGA-CG-4306-01	989	137	66	0
TCGA-CG-4436-01	65	0	151	4
TCGA-CG-4437-01	226	151	229	43
TCGA-CG-4438-01	79	31	56	5
TCGA-CG-4440-01	48	4	56	45
TCGA-CG-4441-01	53	0	60	22
TCGA-CG-4442-01	823	701	0	56
TCGA-CG-4443-01	38	29	50	0
TCGA-CG-4444-01	26	0	194	10
TCGA-CG-4449-01	40	19	25	27
TCGA-CG-4455-01	13	8	33	0
TCGA-CG-4460-01	2019	0	40	142
TCGA-CG-4462-01	54	0	30	13
TCGA-CG-4465-01	389	216	66	16
TCGA-CG-4466-01	36	0	190	22
TCGA-CG-4469-01	75	0	277	33
TCGA-CG-4474-01	84	0	10	13
TCGA-CG-4475-01	27	17	21	8
TCGA-CG-4476-01	62	26	47	11
TCGA-CG-4477-01	34	2	30	5
TCGA-CG-5716-01	12	4	2	6
TCGA-CG-5717-01	20	58	74	12
TCGA-CG-5718-01	51	10	32	14
TCGA-CG-5719-01	59	5	23	3
TCGA-CG-5720-01	55	11	37	0
TCGA-CG-5721-01	1000	3877	0	87
TCGA-CG-5722-01	61	3	29	11
TCGA-CG-5723-01	1253	545	0	75
TCGA-CG-5724-01	59	0	73	11
TCGA-CG-5725-01	24	0	13	13
TCGA-CG-5726-01	995	311	0	122
TCGA-CG-5727-01	108	0	43	52
TCGA-CG-5728-01	1118	323	76	18
TCGA-CG-5730-01	118	6	44	34
TCGA-CG-5732-01	35	9	33	2
TCGA-CG-5733-01	777	302	41	73
TCGA-CG-5734-01	62	0	33	17
TCGA-D7-5577-01	57	3	57	27
TCGA-D7-5578-01	112	0	170	11
TCGA-D7-5579-01	33	14	88	39
TCGA-D7-6518-01	55	0	34	15
TCGA-D7-6519-01	25	8	20	14
TCGA-D7-6520-01	38	4	25	9
TCGA-D7-6521-01	50	0	10	28
TCGA-D7-6522-01	36	0	27	3
TCGA-D7-6524-01	83	0	9	32
TCGA-D7-6525-01	49	0	113	39
TCGA-D7-6526-01	66	3	173	26
TCGA-D7-6527-01	36	0	217	14
TCGA-D7-6528-01	37	0	341	44
TCGA-D7-6815-01	133	0	38	0
TCGA-D7-6817-01	58	12	35	0
TCGA-D7-6818-01	18	0	170	4
TCGA-D7-6820-01	52	21	48	0
TCGA-D7-6822-01	28	13	239	27
TCGA-D7-8570-01	96	0	55	3
TCGA-D7-8572-01	87	15	78	42
TCGA-D7-8573-01	61	7	29	8
TCGA-D7-8574-01	33	0	16	0
TCGA-D7-8575-01	31	3	9	14
TCGA-D7-8576-01	56	6	9	0
TCGA-D7-8578-01	62	0	3	2
TCGA-D7-8579-01	44	0	89	10
TCGA-D7-A4YT-01	96	73	156	39
TCGA-D7-A4YU-01	102	0	158	25
TCGA-D7-A4YV-01	880	53	43	24
TCGA-D7-A4YX-01	82	0	15	3
TCGA-D7-A4YY-01	322	71	133	24
TCGA-D7-A4Z0-01	0	0	358	8
TCGA-D7-A6ET-01	20	2	10	2
TCGA-D7-A6EV-01	112	1	78	13
TCGA-D7-A6EX-01	66	3	48	36
TCGA-D7-A6EY-01	868	486	207	0
TCGA-D7-A6EZ-01	78	69	150	17
TCGA-D7-A6F0-01	79	0	44	34
TCGA-D7-A6F2-01	58	7	24	1
TCGA-D7-A747-01	15	0	107	4
TCGA-D7-A748-01	32	0	12	7
TCGA-D7-A74A-01	91	0	82	22
TCGA-D7-A74B-01	16	7	13	6
TCGA-EQ-5647-01	37	6	46	21
TCGA-EQ-8122-01	117	13	71	27
TCGA-EQ-A4SO-01	47	63	86	9
TCGA-F1-6177-01	1208	128	59	0
TCGA-F1-6874-01	721	184	53	33
TCGA-F1-6875-01	63	7	39	6
TCGA-F1-A448-01	495	143	30	0
TCGA-F1-A72C-01	40	0	21	0
TCGA-FP-7735-01	29	2	27	13
TCGA-FP-7829-01	153	2	99	52
TCGA-FP-7916-01	96	0	19	10
TCGA-FP-7998-01	46	0	22	13
TCGA-FP-8099-01	109	0	12	52
TCGA-FP-8209-01	1	0	0	0
TCGA-FP-8210-01	0	5	0	0
TCGA-FP-8211-01	18	39	44	15
TCGA-FP-8631-01	26	18	49	27
TCGA-FP-A4BE-01	1403	157	81	0
TCGA-FP-A4BF-01	80	0	27	15
TCGA-FP-A8CX-01	50	5	44	15
TCGA-FP-A9TM-01	153	3	52	0
TCGA-HF-7131-01	14	8	93	0
TCGA-HF-7132-01	1141	172	35	32
TCGA-HF-7133-01	61	5	23	0
TCGA-HF-7134-01	103	0	224	28
TCGA-HF-7136-01	63	2	22	9
TCGA-HF-A5NB-01	1090	415	51	0
TCGA-HJ-7597-01	720	131	25	0
TCGA-HU-8238-01	63	0	118	21
TCGA-HU-8243-01	112	4	36	9
TCGA-HU-8244-01	121	0	44	0
TCGA-HU-8245-01	38	19	17	3
TCGA-HU-8249-01	127	0	28	20
TCGA-HU-8602-01	1346	355	39	21
TCGA-HU-8604-01	120	0	95	43
TCGA-HU-8608-01	61	15	16	13
TCGA-HU-8610-01	36	0	14	19
TCGA-HU-A4G2-01	35	6	4	18
TCGA-HU-A4G3-01	76	0	36	14
TCGA-HU-A4G6-01	62	0	23	11
TCGA-HU-A4G8-01	1224	353	33	11
TCGA-HU-A4G9-01	608	177	54	12
TCGA-HU-A4GC-01	106	0	45	19
TCGA-HU-A4GD-01	52	14	41	0
TCGA-HU-A4GF-01	80	6	63	20
TCGA-HU-A4GH-01	0	0	959	0
TCGA-HU-A4GJ-01	5	0	1	0
TCGA-HU-A4GN-01	998	239	46	16
TCGA-HU-A4GP-01	153	7	66	37
TCGA-HU-A4GQ-01	1688	241	101	0
TCGA-HU-A4GT-01	926	518	42	0
TCGA-HU-A4GU-01	1533	121	0	72
TCGA-HU-A4GX-01	1072	231	0	26
TCGA-HU-A4GY-01	59	0	20	0
TCGA-HU-A4H0-01	122	27	56	11
TCGA-HU-A4H2-01	120	8	96	4
TCGA-HU-A4H3-01	696	214	67	6
TCGA-HU-A4H4-01	261	380	124	2
TCGA-HU-A4H5-01	99	82	128	19
TCGA-HU-A4H6-01	100	0	43	5
TCGA-HU-A4H8-01	1227	3	58	0
TCGA-HU-A4HB-01	4	0	9	0
TCGA-HU-A4HD-01	81	35	81	29
TCGA-IN-7806-01	52	8	28	1
TCGA-IN-7808-01	72	0	38	21
TCGA-IN-8462-01	82	10	48	3
TCGA-IN-8663-01	65	0	157	6
TCGA-IN-A6RI-01	33	9	88	0
TCGA-IN-A6RJ-01	38	10	113	6
TCGA-IN-A6RL-01	42	175	182	165
TCGA-IN-A6RN-01	41	23	71	20
TCGA-IN-A6RO-01	119	0	163	80
TCGA-IN-A6RP-01	123	0	54	25
TCGA-IN-A6RR-01	79	5	104	9
TCGA-IN-A6RS-01	98	0	26	8
TCGA-IN-A7NR-01	30	0	74	9
TCGA-IN-A7NT-01	50	5	76	5
TCGA-IN-A7NU-01	45	7	58	7
TCGA-IN-AB1V-01	41	6	17	11
TCGA-IN-AB1X-01	46	5	68	22
TCGA-IP-7968-01	93	0	40	0
TCGA-KB-A6F5-01	57	1	20	5
TCGA-KB-A6F7-01	50	24	50	0
TCGA-KB-A93G-01	71	0	39	17
TCGA-KB-A93H-01	123	9	122	30
TCGA-KB-A93J-01	33	4	7	11
TCGA-MX-A5UG-01	39	0	2	15
TCGA-MX-A5UJ-01	1316	134	75	9
TCGA-MX-A663-01	51	4	24	27
TCGA-MX-A666-01	44	9	59	29
TCGA-R5-A7O7-01	78	5	53	15
TCGA-R5-A7ZE-01	67	0	101	33
TCGA-R5-A7ZF-01	64	8	9	4
TCGA-R5-A7ZI-01	647	218	3	64
TCGA-R5-A7ZR-01	50	3	21	16
TCGA-R5-A804-01	48	0	40	5
TCGA-R5-A805-01	15	0	140	3
TCGA-RD-A7BS-01	42	2	16	11
TCGA-RD-A7BT-01	4	0	268	11
TCGA-RD-A7BW-01	44	12	24	10
TCGA-RD-A7C1-01	185	0	148	4
TCGA-RD-A8MV-01	39	0	23	23
TCGA-RD-A8MW-01	40	2	47	4
TCGA-RD-A8N0-01	2	0	0	0
TCGA-RD-A8N1-01	8	53	54	15
TCGA-RD-A8N2-01	2	0	0	0
TCGA-RD-A8N4-01	7	0	2	0
TCGA-RD-A8N5-01	24	0	11	8
TCGA-RD-A8N6-01	114	20	42	17
TCGA-RD-A8N9-01	87	0	48	22
TCGA-RD-A8NB-01	513	161	27	32
TCGA-SW-A7EA-01	408	183	87	9
TCGA-SW-A7EB-01	79	0	64	35
TCGA-VQ-A8DL-01	37	8	22	1
TCGA-VQ-A8DT-01	77	0	125	29
TCGA-VQ-A8DU-01	48	0	122	4
TCGA-VQ-A8DV-01	44	0	26	7
TCGA-VQ-A8DZ-01	35	18	44	10
TCGA-VQ-A8E0-01	38	14	49	22
TCGA-VQ-A8E2-01	69	4	74	0
TCGA-VQ-A8E3-01	481	270	48	0
TCGA-VQ-A8E7-01	98	0	31	11
TCGA-VQ-A8P2-01	6466	1119	0	1350
TCGA-VQ-A8P3-01	1	0	350	10
TCGA-VQ-A8P5-01	99	0	146	17
TCGA-VQ-A8P8-01	101	0	29	0
TCGA-VQ-A8PB-01	696	145	9	39
TCGA-VQ-A8PC-01	31	12	106	11
TCGA-VQ-A8PD-01	70	0	28	6
TCGA-VQ-A8PE-01	84	0	67	2
TCGA-VQ-A8PF-01	53	0	63	19
TCGA-VQ-A8PH-01	58	69	114	0
TCGA-VQ-A8PJ-01	18	9	137	22
TCGA-VQ-A8PK-01	2	0	91	23
TCGA-VQ-A8PM-01	20	0	41	5
TCGA-VQ-A8PO-01	444	395	63	0
TCGA-VQ-A8PP-01	934	600	34	0
TCGA-VQ-A8PQ-01	9	3	5	0
TCGA-VQ-A8PS-01	29	5	17	8
TCGA-VQ-A8PT-01	1068	335	0	30
TCGA-VQ-A8PU-01	58	37	59	2
TCGA-VQ-A8PX-01	296	361	26	7
TCGA-VQ-A8PY-01	42	9	40	23
TCGA-VQ-A8PZ-01	84	0	23	0
TCGA-VQ-A91A-01	92	11	45	9
TCGA-VQ-A91D-01	2103	512	0	6
TCGA-VQ-A91E-01	444	355	51	10
TCGA-VQ-A91K-01	1127	163	152	27
TCGA-VQ-A91N-01	83	0	53	19
TCGA-VQ-A91Q-01	52	12	73	0
TCGA-VQ-A91S-01	5	5	259	43
TCGA-VQ-A91U-01	126	0	42	21
TCGA-VQ-A91V-01	2	0	269	27
TCGA-VQ-A91W-01	25	0	21	3
TCGA-VQ-A91X-01	58	3	181	13
TCGA-VQ-A91Y-01	40	0	11	5
TCGA-VQ-A91Z-01	83	4	82	2
TCGA-VQ-A922-01	35	25	110	37
TCGA-VQ-A923-01	80	0	21	26
TCGA-VQ-A924-01	838	407	78	0
TCGA-VQ-A925-01	23	9	102	21
TCGA-VQ-A927-01	22	8	34	3
TCGA-VQ-A928-01	32	16	14	14
TCGA-VQ-A92D-01	68	34	39	22
TCGA-VQ-A94O-01	47	11	15	6
TCGA-VQ-A94P-01	8	0	89	3
TCGA-VQ-A94R-01	110	29	187	46
TCGA-VQ-A94T-01	62	2	9	27
TCGA-VQ-A94U-01	102	0	91	0
TCGA-VQ-AA64-01	50	58	176	25
TCGA-VQ-AA68-01	52	0	156	0
TCGA-VQ-AA69-01	67	0	14	0
TCGA-VQ-AA6A-01	50	2	61	9
TCGA-VQ-AA6B-01	75	0	24	1
TCGA-VQ-AA6D-01	639	167	43	61
TCGA-VQ-AA6F-01	31	4	5	22
TCGA-VQ-AA6G-01	88	0	64	14
TCGA-VQ-AA6I-01	74	0	36	16
TCGA-VQ-AA6J-01	49	0	126	1
TCGA-VQ-AA6K-01	55	10	21	6
TCGA-ZA-A8F6-01	29	1	16	12
TCGA-ZQ-A9CR-01	43	18	67	16
