Samples	SBS96A	SBS96B	SBS96C	SBS96D
TCGA-D3-A51J-06	5.97E+00	5.37E+00	8.17E-01	4.07E+00
TCGA-D3-A51K-06	4.22E-02	3.02E-01	7.08E-01	7.45E-01
TCGA-D3-A51N-06	1.65E+00	1.74E+00	7.87E-01	9.59E-01
TCGA-D3-A51R-06	6.50E+00	5.43E+00	1.27E+00	5.84E+00
TCGA-D3-A51T-06	1.32E+01	1.01E+01	1.02E+00	1.12E+01
TCGA-D3-A5GL-06	5.31E+00	5.81E+00	1.63E+00	4.17E+00
TCGA-D3-A5GN-06	5.29E+00	3.97E+00	1.04E+00	4.18E+00
TCGA-D3-A5GO-06	1.44E+01	1.01E+01	1.73E+00	1.40E+01
TCGA-D3-A5GR-06	3.25E+00	3.34E+00	1.28E+00	2.81E+00
TCGA-D3-A5GS-06	5.52E+00	4.79E+00	4.42E-01	4.08E+00
TCGA-D3-A5GT-01	1.48E-01	4.19E-02	6.80E-01	6.74E-01
TCGA-D3-A5GU-06	9.83E+00	8.22E+00	1.32E+00	7.31E+00
TCGA-D3-A8GB-06	1.34E+01	1.08E+01	1.04E+00	1.03E+01
TCGA-D3-A8GC-06	9.44E+00	7.52E+00	1.39E+00	7.37E+00
TCGA-D3-A8GD-06	1.49E+00	1.79E+00	9.28E-01	6.94E-01
TCGA-D3-A8GE-06	0.00E+00	5.00E-02	3.58E-01	3.54E-01
TCGA-D3-A8GI-06	4.20E+01	2.23E+01	2.27E+00	4.27E+01
TCGA-D3-A8GJ-06	3.28E+00	2.89E+00	9.86E-01	2.62E+00
TCGA-D3-A8GK-06	6.54E+00	6.51E+00	1.37E+00	6.14E+00
TCGA-D3-A8GL-06	1.61E+01	1.30E+01	2.11E+00	1.78E+01
TCGA-D3-A8GM-06	2.78E+01	2.04E+01	7.45E+00	2.82E+01
TCGA-D3-A8GN-06	3.53E+00	3.03E+00	6.39E-01	2.23E+00
TCGA-D3-A8GO-06	6.18E+00	5.54E+00	1.26E+00	6.00E+00
TCGA-D3-A8GP-06	5.53E+00	5.36E+00	1.71E+00	6.02E+00
TCGA-D3-A8GQ-06	9.48E+00	8.97E+00	1.64E+00	1.05E+01
TCGA-D3-A8GR-06	4.80E+00	5.08E+00	1.00E+00	3.18E+00
TCGA-D3-A8GS-06	3.06E+00	2.81E+00	8.34E-01	2.50E+00
TCGA-D3-A8GV-06	4.12E+00	3.67E+00	7.85E-01	3.29E+00
TCGA-D9-A148-06	3.69E+00	3.70E+00	1.17E+00	2.37E+00
TCGA-D9-A149-06	3.66E+00	3.64E+00	6.45E-01	2.27E+00
TCGA-D9-A1JW-06	1.06E+01	1.08E+01	2.13E+00	9.70E+00
TCGA-D9-A1JX-06	2.46E+00	2.70E+00	1.12E+00	2.41E+00
TCGA-D9-A1X3-06	7.62E-02	4.37E-01	4.09E-01	2.38E-01
TCGA-D9-A3Z1-06	6.87E+00	6.28E+00	1.02E+00	4.84E+00
TCGA-D9-A3Z3-06	2.26E+00	2.17E+00	6.26E-01	1.19E+00
TCGA-D9-A3Z4-01	2.59E+00	2.63E+00	6.86E-01	1.33E+00
TCGA-D9-A4Z2-01	1.81E-01	4.18E-01	6.56E-01	5.80E-01
TCGA-D9-A4Z3-01	1.20E+01	1.09E+01	1.66E+00	8.00E+00
TCGA-D9-A4Z5-01	8.96E-01	8.79E-01	5.44E-01	2.82E-01
TCGA-D9-A4Z6-06	3.24E+00	3.44E+00	6.91E-01	1.55E+00
TCGA-D9-A6E9-06	2.66E+00	2.49E+00	8.64E-01	1.59E+00
TCGA-D9-A6EA-06	6.34E+00	5.88E+00	8.91E-01	5.37E+00
