Samples	SBS96A	SBS96B	SBS96C	SBS96D
TCGA-DA-A95Y-06	366	130	29	36
TCGA-DA-A95Z-06	2140	338	161	17
TCGA-DA-A960-01	915	181	79	12
TCGA-EB-A1NK-01	121	44	27	4
TCGA-EB-A24C-01	3	2	29	1
TCGA-EB-A24D-01	455	289	36	35
TCGA-EB-A299-01	118	80	9	0
TCGA-EB-A3HV-01	39	0	24	0
TCGA-EB-A3XB-01	470	167	42	17
TCGA-EB-A3XC-01	291	207	34	36
TCGA-EB-A3XD-01	403	94	21	2
TCGA-EB-A3XE-01	3	8	9	2
TCGA-EB-A3XF-01	412	105	15	4
TCGA-EB-A3Y6-01	514	223	79	25
TCGA-EB-A3Y7-01	1133	207	65	113
TCGA-EB-A41A-01	2134	410	24	52
TCGA-EB-A41B-01	536	2	16	1
TCGA-EB-A42Y-01	21	2	39	19
TCGA-EB-A42Z-01	77	40	40	0
TCGA-EB-A430-01	297	188	33	11
TCGA-EB-A431-01	1440	903	0	54
TCGA-EB-A44N-01	108	76	24	0
TCGA-EB-A44O-01	348	291	44	9
TCGA-EB-A44P-01	271	186	17	4
TCGA-EB-A44Q-06	12	8	31	6
TCGA-EB-A44R-06	4	0	59	8
TCGA-EB-A4IQ-01	5	2	13	2
TCGA-EB-A4IS-01	377	366	18	12
TCGA-EB-A4OY-01	0	7	45	20
TCGA-EB-A4OZ-01	0	3	6	7
TCGA-EB-A4P0-01	114	107	32	5
TCGA-EB-A4XL-01	356	275	10	25
TCGA-EB-A51B-01	296	241	23	7
TCGA-EB-A550-01	121	50	32	0
TCGA-EB-A551-01	358	50	38	28
TCGA-EB-A553-01	168	170	73	24
TCGA-EB-A57M-01	5	0	53	1
TCGA-EB-A5FP-01	361	166	22	8
TCGA-EB-A5KH-06	0	10	44	0
TCGA-EB-A5SE-01	235	140	17	6
TCGA-EB-A5SF-01	22	0	16	4
TCGA-EB-A5SG-06	251	100	0	18
TCGA-EB-A5SH-06	17	12	82	11
TCGA-EB-A5UL-06	326	220	55	31
TCGA-EB-A5UM-01	442	264	46	0
TCGA-EB-A5UN-06	540	400	52	6
TCGA-EB-A5VU-01	1	24	40	0
TCGA-EB-A6L9-06	3	0	25	0
TCGA-EB-A6QY-01	642	168	33	29
TCGA-EB-A6QZ-01	182	169	27	9
TCGA-EB-A6R0-01	282	203	41	2
TCGA-EB-A82B-01	0	14	47	4
TCGA-EB-A82C-01	20	0	27	1
TCGA-EB-A85I-01	190	61	55	0
TCGA-EB-A85J-01	467	71	18	8
TCGA-EB-A97M-01	291	101	37	0
TCGA-EE-A17X-06	790	228	50	22
TCGA-EE-A17Y-06	116	93	17	6
TCGA-EE-A17Z-06	0	2	23	1
TCGA-EE-A180-06	488	158	79	0
TCGA-EE-A181-06	2816	1038	0	150
TCGA-EE-A182-06	1639	272	53	76
TCGA-EE-A183-06	794	155	47	20
TCGA-EE-A184-06	14	0	396	0
TCGA-EE-A185-06	169	72	27	0
TCGA-EE-A20B-06	140	91	6	7
TCGA-EE-A20C-06	1508	1142	92	129
TCGA-EE-A20F-06	499	124	12	16
TCGA-EE-A20H-06	501	217	37	58
TCGA-EE-A20I-06	4	1	23	2
TCGA-EE-A29A-06	186	159	9	0
TCGA-EE-A29B-06	547	160	0	42
TCGA-EE-A29C-06	325	218	30	0
TCGA-EE-A29D-06	3418	1805	0	21
TCGA-EE-A29E-06	4122	654	0	113
TCGA-EE-A29G-06	345	78	16	35
TCGA-EE-A29H-06	270	116	20	12
TCGA-EE-A29L-06	2063	551	52	94
TCGA-EE-A29M-06	2473	747	0	27
TCGA-EE-A29N-06	388	387	44	28
TCGA-EE-A29P-06	213	191	5	1
TCGA-EE-A29Q-06	270	94	33	12
TCGA-EE-A29R-06	673	231	17	13
TCGA-EE-A29S-06	1043	370	42	43
TCGA-EE-A29T-06	383	8	122	0
TCGA-EE-A29V-06	582	779	38	13
TCGA-EE-A29W-06	40	29	22	2
TCGA-EE-A29X-06	108	82	6	9
TCGA-EE-A2A0-06	403	106	7	17
TCGA-EE-A2A1-06	371	129	25	4
TCGA-EE-A2A2-06	972	995	42	65
TCGA-EE-A2A5-06	259	141	25	13
TCGA-EE-A2A6-06	335	41	34	7
TCGA-EE-A2GB-06	593	295	7	16
TCGA-EE-A2GC-06	2155	1002	43	34
TCGA-EE-A2GD-06	590	108	17	29
TCGA-EE-A2GE-06	143	174	6	3
TCGA-EE-A2GH-06	290	111	23	2
TCGA-EE-A2GI-06	1448	589	63	42
TCGA-EE-A2GJ-06	1092	415	31	72
TCGA-EE-A2GK-06	0	0	4	0
TCGA-EE-A2GL-06	250	222	7	18
TCGA-EE-A2GM-06	601	343	30	0
TCGA-EE-A2GN-06	314	234	21	0
TCGA-EE-A2GO-06	1563	1112	37	69
TCGA-EE-A2GP-06	636	188	35	5
TCGA-EE-A2GR-06	1139	972	63	41
TCGA-EE-A2GS-06	335	108	25	0
TCGA-EE-A2GT-06	291	111	49	11
TCGA-EE-A2GU-06	599	212	0	17
