Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F
TCGA-AC-A2B8-01	57	48	10	10	0	3
TCGA-AC-A2BK-01	0	5	33	53	0	19
TCGA-AC-A2BM-01	0	3	8	8	3	4
TCGA-AC-A2FB-01	6	0	3	2	2	4
TCGA-AC-A2FF-01	2	3	0	0	6	0
TCGA-AC-A2FG-01	10	3	11	2	8	5
TCGA-AC-A2FK-01	1	0	0	0	2	0
TCGA-AC-A2FO-01	10	5	3	4	5	0
TCGA-AC-A2QH-01	2	2	13	4	0	6
TCGA-AC-A3HN-01	2	2	7	5	0	6
TCGA-AC-A3OD-01	11	0	11	1	11	5
TCGA-AC-A3QP-01	0	1	4	0	25	5
TCGA-AC-A3QQ-01	1	1	16	6	9	3
TCGA-AC-A3W5-01	26	47	25	99	0	14
TCGA-AC-A3YI-01	1	0	5	1	8	3
TCGA-AC-A3YJ-01	5	1	15	0	14	3
TCGA-AC-A4ZE-01	10	1	17	18	12	16
TCGA-AC-A5EH-01	15	16	16	81	51	26
TCGA-AC-A5EI-01	15	1	13	4	5	5
TCGA-AC-A5XS-01	332	312	7	5	59	0
TCGA-AC-A5XU-01	17	7	54	6	20	9
TCGA-AC-A62V-01	3	7	49	34	0	13
TCGA-AC-A62X-01	0	4	56	13	7	7
TCGA-AC-A62Y-01	16	20	20	17	0	16
TCGA-AC-A6IV-01	2	0	9	0	15	1
TCGA-AC-A6IW-01	33	73	37	46	27	15
TCGA-AC-A6IX-01	30	10	12	4	0	15
TCGA-AC-A6NO-01	3	1	14	0	16	9
TCGA-AC-A7VB-01	0	0	18	0	9	8
TCGA-AC-A7VC-01	1	0	13	2	8	2
TCGA-AC-A8OP-01	16	18	60	80	30	40
TCGA-AC-A8OQ-01	23	5	44	6	49	10
TCGA-AC-A8OR-01	0	0	11	15	0	6
TCGA-AC-A8OS-01	18	6	14	19	8	14
TCGA-AN-A0XL-01	2	0	10	0	24	4
TCGA-AN-A0XN-01	2	16	12	55	58	32
TCGA-AN-A0XO-01	13	2	8	10	0	10
