Samples	SBS1	SBS5	SBS7a	SBS7b	SBS10b	SBS15	SBS17a	SBS17b	SBS38	SBS39
TCGA-D3-A8GI-06	181	0	4154	2180	717	0	0	0	0	0
TCGA-D3-A8GJ-06	18	12	127	115	0	0	0	0	0	0
TCGA-D3-A8GK-06	26	56	383	333	0	0	0	0	0	0
TCGA-D3-A8GL-06	101	59	1249	1154	0	0	0	0	0	0
TCGA-D3-A8GM-06	537	628	2255	1824	0	0	0	0	0	0
TCGA-D3-A8GN-06	15	0	124	163	39	0	0	0	0	0
TCGA-D3-A8GO-06	37	47	359	357	0	0	0	0	0	0
TCGA-D3-A8GP-06	26	68	328	279	83	0	0	0	0	0
TCGA-D3-A8GQ-06	28	0	1141	566	246	0	0	0	0	0
TCGA-D3-A8GR-06	20	59	179	261	0	0	0	0	0	0
TCGA-D3-A8GS-06	23	9	97	164	0	0	0	0	0	0
TCGA-D3-A8GV-06	19	22	254	193	71	0	0	0	0	0
TCGA-D9-A148-06	21	71	127	167	0	0	0	0	0	0
TCGA-D9-A149-06	23	20	106	169	0	0	0	0	0	0
TCGA-D9-A1JW-06	47	31	493	685	0	0	0	0	0	0
TCGA-D9-A1JX-06	12	7	96	90	46	0	0	0	0	0
TCGA-D9-A1X3-06	12	14	0	16	0	0	0	0	6	0
TCGA-D9-A3Z1-06	32	37	241	370	0	0	0	0	0	0
TCGA-D9-A3Z3-06	9	25	99	51	0	0	0	0	0	0
TCGA-D9-A3Z4-01	16	22	35	134	0	0	0	0	0	0
TCGA-D9-A4Z2-01	4	21	0	0	0	6	0	0	0	0
TCGA-D9-A4Z3-01	50	0	299	729	0	0	0	0	0	0
TCGA-D9-A4Z5-01	13	23	0	18	0	0	0	0	34	0
TCGA-D9-A4Z6-06	16	0	189	164	0	0	0	0	0	0
TCGA-D9-A6E9-06	15	25	93	113	0	0	0	0	0	0
TCGA-D9-A6EA-06	32	70	410	377	0	0	0	0	0	0
TCGA-D9-A6EC-06	63	576	1902	1693	469	0	388	677	0	0
TCGA-D9-A6EG-06	11	42	25	26	0	0	0	0	0	0
TCGA-DA-A1HV-06	41	11	974	673	171	0	0	0	0	0
TCGA-DA-A1HW-06	15	24	175	184	54	0	0	0	0	0
TCGA-DA-A1HY-06	32	7	358	601	0	0	0	0	0	0
TCGA-DA-A1I0-06	34	62	248	342	0	0	0	0	0	0
TCGA-DA-A1I1-06	18	22	204	232	55	0	0	0	0	0
TCGA-DA-A1I2-06	10	26	51	92	0	0	0	0	0	0
TCGA-DA-A1I4-06	21	19	144	178	0	0	0	0	0	0
TCGA-DA-A1I5-06	20	0	289	280	0	0	0	0	0	0
TCGA-DA-A1I7-06	27	15	219	219	129	0	0	0	0	0
TCGA-DA-A1I8-06	9	67	67	109	0	0	0	0	0	0
TCGA-DA-A1IA-06	26	74	143	241	0	0	0	0	0	0
TCGA-DA-A1IB-06	0	5	0	0	0	0	0	0	3	0
TCGA-DA-A1IC-06	86	160	445	671	0	0	0	0	0	0
TCGA-DA-A3F3-06	19	5	182	125	61	0	0	0	0	0
TCGA-DA-A3F5-06	30	59	125	207	36	0	0	0	0	0
TCGA-DA-A3F8-06	71	0	805	768	0	0	0	0	0	0
TCGA-DA-A95V-06	24	52	137	159	0	0	0	0	0	0
TCGA-DA-A95W-06	13	11	69	123	0	0	0	0	0	0
TCGA-DA-A95X-06	16	36	287	250	95	0	0	0	0	0
TCGA-DA-A95Y-06	31	53	248	229	0	0	0	0	0	0
TCGA-DA-A95Z-06	83	21	1222	981	349	0	0	0	0	0
TCGA-DA-A960-01	40	0	505	476	166	0	0	0	0	0
TCGA-EB-A1NK-01	14	21	78	83	0	0	0	0	0	0
TCGA-EB-A24C-01	12	15	0	0	0	0	0	0	8	0
TCGA-EB-A24D-01	37	81	298	399	0	0	0	0	0	0
TCGA-EB-A299-01	13	2	79	113	0	0	0	0	0	0
TCGA-EB-A3HV-01	0	5	23	16	0	10	0	0	9	0
TCGA-EB-A3XB-01	24	44	279	278	71	0	0	0	0	0
TCGA-EB-A3XC-01	27	56	193	292	0	0	0	0	0	0
TCGA-EB-A3XD-01	15	0	195	230	80	0	0	0	0	0
TCGA-EB-A3XE-01	0	0	7	6	0	9	0	0	0	0
TCGA-EB-A3XF-01	9	0	260	211	56	0	0	0	0	0
TCGA-EB-A3Y6-01	32	60	290	374	85	0	0	0	0	0
TCGA-EB-A3Y7-01	42	127	701	507	141	0	0	0	0	0
TCGA-EB-A41A-01	48	13	1319	969	271	0	0	0	0	0
TCGA-EB-A41B-01	17	0	295	170	73	0	0	0	0	0
TCGA-EB-A42Y-01	14	45	22	0	0	0	0	0	0	0
TCGA-EB-A42Z-01	12	3	30	82	30	0	0	0	0	0
TCGA-EB-A430-01	21	17	155	284	52	0	0	0	0	0
TCGA-EB-A431-01	98	0	976	1323	0	0	0	0	0	0
TCGA-EB-A44N-01	7	4	55	113	29	0	0	0	0	0
TCGA-EB-A44O-01	41	57	194	400	0	0	0	0	0	0
TCGA-EB-A44P-01	15	51	154	258	0	0	0	0	0	0
TCGA-EB-A44Q-06	7	23	16	0	0	11	0	0	0	0
TCGA-EB-A44R-06	25	36	0	0	0	0	0	0	10	0
TCGA-EB-A4IQ-01	1	10	0	5	0	6	0	0	0	0
TCGA-EB-A4IS-01	23	58	258	434	0	0	0	0	0	0
TCGA-EB-A4OY-01	14	58	0	0	0	0	0	0	0	0
TCGA-EB-A4OZ-01	0	16	0	0	0	0	0	0	0	0
TCGA-EB-A4P0-01	16	40	85	117	0	0	0	0	0	0
TCGA-EB-A4XL-01	27	34	255	350	0	0	0	0	0	0
TCGA-EB-A51B-01	28	35	231	273	0	0	0	0	0	0
TCGA-EB-A550-01	14	0	62	101	26	0	0	0	0	0
TCGA-EB-A551-01	17	36	185	167	69	0	0	0	0	0
TCGA-EB-A553-01	31	84	102	218	0	0	0	0	0	0
TCGA-EB-A57M-01	9	33	0	0	0	17	0	0	0	0
TCGA-EB-A5FP-01	27	42	218	270	0	0	0	0	0	0
TCGA-EB-A5KH-06	14	40	0	0	0	0	0	0	0	0
TCGA-EB-A5SE-01	9	27	123	200	39	0	0	0	0	0
TCGA-EB-A5SF-01	2	23	17	0	0	0	0	0	0	0
TCGA-EB-A5SG-06	8	24	179	158	0	0	0	0	0	0
TCGA-EB-A5SH-06	10	29	22	0	0	0	0	0	29	32
TCGA-EB-A5UL-06	22	56	183	315	56	0	0	0	0	0
TCGA-EB-A5UM-01	27	4	251	387	83	0	0	0	0	0
TCGA-EB-A5UN-06	47	112	331	508	0	0	0	0	0	0
TCGA-EB-A5VU-01	13	34	0	18	0	0	0	0	0	0
