Samples	SBS1	SBS5	SBS7a	SBS7b	SBS10b	SBS15	SBS17a	SBS17b	SBS38	SBS39
TCGA-GN-A262-06	23	28	102	342	0	0	0	0	0	0
TCGA-GN-A263-01	23	8	253	319	0	0	0	0	0	0
TCGA-GN-A264-06	4	34	12	0	11	0	0	0	0	0
TCGA-GN-A265-06	9	29	85	187	0	0	0	0	0	0
TCGA-GN-A266-06	129	0	2719	1852	647	0	0	0	0	0
TCGA-GN-A267-06	38	50	187	325	0	0	0	0	0	0
TCGA-GN-A268-06	24	43	233	151	0	0	0	0	0	0
TCGA-GN-A269-01	11	43	418	447	79	0	0	0	0	0
TCGA-GN-A26A-06	23	22	125	282	0	0	0	0	0	0
TCGA-GN-A26C-01	58	0	1220	973	256	0	0	0	0	0
TCGA-GN-A26D-06	10	38	10	0	0	0	0	0	0	0
TCGA-GN-A4U3-06	14	8	137	249	53	0	0	0	0	0
TCGA-GN-A4U4-06	35	29	437	474	0	0	0	0	0	0
TCGA-GN-A4U5-01	24	0	116	313	0	0	0	0	0	0
TCGA-GN-A4U7-06	18	62	104	163	0	0	0	0	0	0
TCGA-GN-A4U8-06	21	34	266	225	0	0	0	0	0	0
TCGA-GN-A4U9-06	8	41	0	0	0	15	6	7	0	0
TCGA-GN-A8LK-06	117	129	1144	1402	0	0	0	0	0	0
TCGA-GN-A8LL-06	1	50	8	0	0	11	0	0	0	0
TCGA-GN-A8LN-01	11	0	145	141	63	0	0	0	0	0
TCGA-GN-A9SD-06	12	37	92	63	0	0	0	0	0	0
TCGA-HR-A2OG-06	20	26	85	123	0	0	0	0	0	0
TCGA-HR-A2OH-06	8	2	35	86	26	0	0	0	0	0
TCGA-HR-A5NC-01	13	29	15	36	0	0	0	0	0	0
TCGA-IH-A3EA-01	80	0	1093	842	0	0	0	0	0	0
TCGA-LH-A9QB-06	5	0	100	194	60	0	0	0	0	0
TCGA-OD-A75X-06	77	39	671	668	0	0	0	0	0	0
TCGA-QB-A6FS-06	77	0	748	779	0	0	0	0	0	0
TCGA-QB-AA9O-06	61	130	789	882	234	0	0	0	0	0
TCGA-RP-A690-06	8	12	0	0	0	0	0	0	0	0
TCGA-RP-A693-06	47	60	330	654	0	0	0	0	0	0
TCGA-RP-A694-06	26	35	396	391	127	0	0	0	0	0
TCGA-RP-A695-06	41	50	496	598	0	0	0	0	0	0
TCGA-RP-A6K9-06	19	49	0	0	0	0	0	0	0	0
TCGA-W3-A824-06	169	106	800	956	0	0	0	0	0	0
TCGA-W3-A825-06	40	0	707	610	197	0	0	0	0	0
TCGA-W3-A828-06	45	214	461	1131	0	0	0	0	0	0
TCGA-W3-AA1O-06	54	0	478	516	0	0	0	0	0	0
TCGA-W3-AA1Q-06	41	0	609	469	150	0	0	0	0	0
TCGA-W3-AA1R-06	55	97	994	995	250	0	0	0	0	0
TCGA-W3-AA1V-06	171	148	3260	3176	734	0	0	0	0	0
TCGA-W3-AA1W-06	32	0	468	352	107	0	0	0	0	0
TCGA-W3-AA21-06	23	11	340	247	82	0	0	0	0	0
TCGA-WE-A8JZ-06	16	19	129	117	0	0	0	0	0	0
TCGA-WE-A8K1-06	16	15	188	158	83	0	0	0	0	0
TCGA-WE-A8K4-01	33	26	438	558	104	0	0	0	0	0
TCGA-WE-A8K5-06	51	0	679	665	195	0	0	0	0	0
TCGA-WE-A8K6-06	19	40	116	191	0	0	0	0	0	0
TCGA-WE-A8ZM-06	9	42	30	22	0	0	0	0	0	0
TCGA-WE-A8ZN-06	14	18	86	107	0	0	0	0	0	0
TCGA-WE-A8ZO-06	15	0	203	203	66	0	0	0	0	0
TCGA-WE-A8ZQ-06	21	59	68	102	0	0	0	0	0	0
TCGA-WE-A8ZR-06	4	1	11	0	12	8	0	0	0	0
TCGA-WE-A8ZT-06	20	30	243	335	0	0	0	0	0	0
TCGA-WE-A8ZX-06	27	46	480	247	0	0	0	0	0	0
TCGA-WE-A8ZY-06	17	45	140	144	0	0	0	0	0	0
TCGA-WE-AA9Y-06	8	5	34	57	0	0	0	0	0	0
TCGA-WE-AAA0-06	68	65	748	1101	0	0	0	0	0	0
TCGA-WE-AAA3-06	15	5	259	169	82	0	0	0	0	0
TCGA-WE-AAA4-06	11	7	112	130	52	0	0	0	0	0
TCGA-XV-A9VZ-01	2	5	3	0	0	0	0	0	0	8
TCGA-XV-A9W2-01	1	20	12	0	0	23	0	0	0	0
TCGA-XV-A9W5-01	9	16	51	34	25	0	0	0	0	0
TCGA-XV-AAZV-01	17	0	77	65	0	0	0	0	0	0
TCGA-XV-AAZW-01	13	28	77	71	25	0	0	0	0	0
TCGA-XV-AAZY-01	6	13	136	84	0	0	0	0	0	0
TCGA-YD-A89C-06	57	25	1086	1030	207	0	0	0	0	0
TCGA-YD-A9TA-06	213	124	2413	1886	0	0	0	0	0	0
TCGA-YD-A9TB-06	16	21	251	123	57	0	0	0	0	0
TCGA-YG-AA3N-01	97	51	1378	1270	0	0	0	0	0	0
TCGA-YG-AA3O-06	68	52	727	680	0	0	0	0	0	0
TCGA-YG-AA3P-06	10	73	0	0	0	0	0	0	15	0
TCGA-Z2-A8RT-06	125	0	2249	1701	0	0	0	0	0	0
TCGA-Z2-AA3S-06	15	10	130	138	0	0	0	0	0	0
TCGA-Z2-AA3V-06	34	16	266	277	0	0	0	0	0	0
