NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	64.898	100.117	11.338	66.006	0.958	0.644	40000.0
2	65.023	100.296	11.414	65.787	0.954	0.647	30000.0
3	66.439	101.213	11.959	66.777	0.953	0.638	60000.0
4	65.169	100.525	11.464	65.999	0.958	0.647	30000.0
5	64.983	100.274	11.398	65.865	0.963	0.644	40000.0
6	65.329	100.603	11.549	66.186	0.961	0.643	40000.0
7	65.576	100.824	11.535	66.117	0.966	0.641	30000.0
8	65.342	100.537	11.463	66.179	0.962	0.641	30000.0
9	65.381	100.366	11.344	65.688	0.96	0.645	60000.0
10	65.713	100.547	11.477	66.047	0.962	0.642	40000.0
11	65.922	100.828	11.614	66.353	0.962	0.641	30000.0
12	65.787	101.035	11.523	66.246	0.967	0.641	40000.0
13	65.133	99.722	11.433	65.535	0.957	0.651	50000.0
14	65.462	100.53	11.452	65.948	0.96	0.645	30000.0
15	64.586	99.348	11.336	65.528	0.948	0.651	40000.0
16	65.269	100.617	11.556	66.2	0.966	0.642	60000.0
17	65.316	100.076	11.542	65.874	0.965	0.646	50000.0
18	65.333	100.45	11.505	65.933	0.962	0.644	40000.0
19	64.97	100.185	11.477	65.786	0.956	0.647	40000.0
20	65.04	99.682	11.409	65.602	0.957	0.65	50000.0
21	65.492	100.507	11.52	66.243	0.967	0.645	50000.0
22	65.33	100.323	11.511	65.905	0.959	0.644	20000.0
23	64.951	99.772	11.386	65.422	0.951	0.65	50000.0
24	65.208	100.621	11.448	66.109	0.963	0.643	40000.0
25	65.174	100.447	11.426	65.879	0.956	0.642	40000.0
26	65.058	99.767	11.423	65.536	0.958	0.649	30000.0
27	65.002	100.31	11.379	65.769	0.954	0.647	30000.0
28	64.903	99.694	11.324	65.591	0.953	0.648	40000.0
29	64.939	99.701	11.402	65.537	0.954	0.649	50000.0
30	64.73	100.103	11.266	65.47	0.956	0.649	80000.0
31	65.172	100.407	11.513	65.889	0.962	0.642	40000.0
32	65.349	100.332	11.543	66.013	0.957	0.646	40000.0
33	65.142	100.094	11.431	65.519	0.963	0.649	30000.0
34	65.39	100.418	11.523	65.911	0.959	0.645	40000.0
35	64.694	98.802	11.294	64.838	0.962	0.659	50000.0
36	65.319	100.112	11.459	65.887	0.957	0.644	30000.0
37	64.921	100.122	11.4	65.964	0.955	0.644	30000.0
38	65.431	100.414	11.503	65.851	0.969	0.643	40000.0
39	65.233	100.329	11.489	65.864	0.955	0.645	30000.0
40	65.378	100.413	11.39	66.104	0.957	0.644	20000.0
41	65.409	100.83	11.439	66.481	0.972	0.637	40000.0
42	64.749	99.862	11.216	65.261	0.962	0.652	40000.0
43	65.454	100.581	11.498	66.111	0.963	0.645	30000.0
44	64.851	100.209	11.324	65.844	0.957	0.644	30000.0
45	65.488	100.881	11.444	66.122	0.964	0.643	30000.0
46	65.481	100.68	11.536	66.222	0.957	0.644	90000.0
47	66.872	101.15	12.079	66.961	0.948	0.637	30000.0
48	65.309	100.633	11.471	65.848	0.966	0.644	40000.0
49	65.365	100.022	11.535	65.843	0.954	0.648	20000.0
50	66.791	101.449	12.15	67.398	0.957	0.635	50000.0
51	65.576	101.403	11.492	66.366	0.972	0.639	60000.0
52	65.205	100.108	11.472	65.773	0.953	0.648	40000.0
53	65.037	99.878	11.277	65.575	0.964	0.651	40000.0
54	66.813	101.485	12.005	66.912	0.959	0.635	30000.0
55	65.025	99.817	11.472	65.747	0.948	0.648	20000.0
56	65.202	100.603	11.475	66.089	0.963	0.643	40000.0
57	65.304	100.199	11.454	65.789	0.957	0.648	30000.0
58	67.016	101.865	12.121	67.152	0.963	0.633	50000.0
59	67.042	101.533	12.134	67.102	0.962	0.634	30000.0
60	64.803	99.645	11.296	65.327	0.954	0.651	30000.0
61	65.189	100.017	11.444	65.633	0.962	0.647	60000.0
62	65.783	100.419	11.57	66.086	0.959	0.644	70000.0
63	65.27	100.251	11.433	65.961	0.958	0.644	50000.0
64	65.257	100.597	11.404	66.059	0.964	0.643	40000.0
65	66.493	101.272	11.938	66.905	0.958	0.638	40000.0
66	64.725	100.062	11.321	65.679	0.953	0.646	80000.0
67	64.738	99.562	11.313	65.366	0.951	0.649	20000.0
68	65.29	100.408	11.475	66.021	0.962	0.643	50000.0
69	65.436	100.67	11.509	66.181	0.962	0.642	30000.0
70	64.671	99.543	11.232	65.288	0.948	0.651	70000.0
71	66.72	101.648	12.009	67.052	0.958	0.635	60000.0
72	66.096	100.391	11.858	66.474	0.951	0.641	40000.0
73	65.364	100.463	11.409	65.898	0.96	0.644	50000.0
74	66.953	102.023	12.073	67.509	0.962	0.63	80000.0
75	64.863	99.597	11.349	65.328	0.952	0.653	30000.0
76	65.146	100.188	11.5	65.692	0.962	0.645	50000.0
77	66.481	101.191	11.976	66.829	0.955	0.638	40000.0
78	65.438	100.326	11.515	65.727	0.96	0.648	40000.0
79	65.004	100.216	11.353	65.655	0.96	0.648	70000.0
80	65.291	99.976	11.408	65.514	0.958	0.651	60000.0
81	65.245	100.561	11.44	66.078	0.958	0.643	40000.0
82	66.671	101.544	12.054	67.211	0.958	0.634	30000.0
83	65.383	100.644	11.51	65.997	0.954	0.643	50000.0
84	65.133	100.178	11.493	65.825	0.961	0.648	50000.0
85	64.968	99.81	11.361	65.722	0.953	0.647	40000.0
86	65.231	100.628	11.374	65.889	0.966	0.644	80000.0
87	65.123	99.705	11.363	65.677	0.952	0.647	70000.0
88	64.851	99.272	11.291	65.27	0.957	0.652	30000.0
89	65.264	100.546	11.545	66.03	0.966	0.643	40000.0
90	65.406	100.134	11.402	65.776	0.959	0.645	60000.0
91	65.25	100.274	11.383	65.806	0.955	0.646	30000.0
92	65.133	99.894	11.355	65.49	0.964	0.65	30000.0
93	64.818	100.116	11.417	65.714	0.954	0.647	30000.0
94	65.209	100.29	11.422	65.68	0.96	0.646	50000.0
95	66.959	101.46	11.995	66.848	0.956	0.637	30000.0
96	65.586	100.874	11.482	66.222	0.963	0.644	40000.0
97	64.036	99.07	11.137	65.321	0.974	0.651	50000.0
98	66.612	101.435	11.982	66.899	0.958	0.636	50000.0
99	64.823	99.878	11.428	65.751	0.955	0.648	90000.0
100	64.921	99.948	11.331	65.669	0.955	0.646	80000.0
