Samples	SBS96A	SBS96B	SBS96C
TCGA-AR-A1AP-01	12	35	4
TCGA-AR-A1AQ-01	3	20	18
TCGA-AR-A1AR-01	8	21	34
TCGA-AR-A1AS-01	19	17	5
TCGA-AR-A1AT-01	2	14	16
TCGA-AR-A1AU-01	2	17	7
TCGA-AR-A1AV-01	6	32	11
TCGA-AR-A1AW-01	2	21	18
TCGA-AR-A1AX-01	4	16	12
TCGA-AR-A1AY-01	15	32	25
TCGA-AR-A24H-01	25	19	108
TCGA-AR-A24K-01	0	15	19
TCGA-AR-A24L-01	6	6	41
TCGA-AR-A24M-01	1	13	11
TCGA-AR-A24N-01	7	29	11
TCGA-AR-A24O-01	0	13	9
TCGA-AR-A24P-01	1	13	5
TCGA-AR-A24Q-01	44	19	169
TCGA-AR-A24R-01	1	20	5
TCGA-AR-A24S-01	12	32	13
TCGA-AR-A24T-01	3	17	4
TCGA-AR-A24U-01	22	18	4
TCGA-AR-A24V-01	6	21	1
TCGA-AR-A24W-01	1	4	9
TCGA-AR-A24X-01	1	20	13
TCGA-AR-A24Z-01	6	23	27
TCGA-AR-A250-01	65	61	29
TCGA-AR-A251-01	32	13	160
TCGA-AR-A252-01	0	17	2
TCGA-AR-A254-01	7	25	10
TCGA-AR-A255-01	35	22	32
TCGA-AR-A256-01	34	25	165
TCGA-AR-A2LE-01	356	27	11
TCGA-AR-A2LH-01	50	17	4
TCGA-AR-A2LK-01	5	35	8
TCGA-AR-A2LL-01	0	25	12
TCGA-AR-A2LM-01	1	5	11
TCGA-AR-A2LN-01	27	20	7
TCGA-AR-A2LO-01	4	7	6
TCGA-AR-A2LQ-01	0	8	5
TCGA-AR-A2LR-01	3	27	40
TCGA-AR-A5QM-01	0	21	15
TCGA-AR-A5QN-01	7	38	4
TCGA-AR-A5QP-01	4	21	9
TCGA-AR-A5QQ-01	12	26	58
TCGA-B6-A0I1-01	8	39	33
TCGA-B6-A0IH-01	3	33	5
TCGA-B6-A0RH-01	19	17	9
TCGA-B6-A0RL-01	20	39	10
TCGA-B6-A0RM-01	7	24	5
TCGA-B6-A0RN-01	2	27	4
TCGA-B6-A0RO-01	6	15	22
TCGA-B6-A0RP-01	0	12	18
TCGA-B6-A0RQ-01	21	20	15
TCGA-B6-A0RT-01	19	10	43
TCGA-B6-A0RU-01	9	28	21
TCGA-B6-A0RV-01	55	12	0
TCGA-B6-A0WS-01	4	8	6
TCGA-B6-A0WT-01	2	19	1
TCGA-B6-A0WV-01	5	13	19
TCGA-B6-A0WW-01	13	20	14
TCGA-B6-A0WX-01	1	25	19
TCGA-B6-A0WY-01	10	20	5
TCGA-B6-A0WZ-01	83	9	3
TCGA-B6-A0X0-01	3	9	13
TCGA-B6-A0X1-01	21	17	54
TCGA-B6-A0X4-01	2	13	7
TCGA-B6-A0X5-01	10	17	21
TCGA-B6-A0X7-01	6	15	2
TCGA-B6-A1KN-01	5	23	44
TCGA-B6-A2IU-01	21	33	0
TCGA-B6-A401-01	1	19	8
TCGA-B6-A409-01	7	28	21
TCGA-B6-A40B-01	19	20	27
TCGA-B6-A40C-01	5	35	14
TCGA-BH-A0AU-01	3	12	8
TCGA-BH-A0AV-01	15	11	61
TCGA-BH-A0AY-01	9	21	16
TCGA-BH-A0AZ-01	22	4	44
TCGA-BH-A0B0-01	81	18	0
TCGA-BH-A0B3-01	3	9	6
TCGA-BH-A0B6-01	1242	40	8
TCGA-BH-A0B7-01	11	22	9
TCGA-BH-A0B8-01	6	7	21
TCGA-BH-A0BA-01	9	13	7
TCGA-BH-A0BC-01	14	25	6
TCGA-BH-A0BF-01	7	15	11
TCGA-BH-A0BG-01	8	11	26
TCGA-BH-A0BJ-01	1	6	10
TCGA-BH-A0BL-01	1	22	46
TCGA-BH-A0BM-01	3	3	13
TCGA-BH-A0BO-01	5	19	7
TCGA-BH-A0BP-01	53	62	81
TCGA-BH-A0BQ-01	3	17	10
TCGA-BH-A0BS-01	1	9	13
TCGA-BH-A0BT-01	8	28	12
TCGA-BH-A0BV-01	5	9	10
TCGA-BH-A0BW-01	17	32	54
TCGA-BH-A0BZ-01	38	36	222
TCGA-BH-A0C0-01	6	15	27
TCGA-BH-A0C1-01	9	35	6
TCGA-BH-A0C3-01	0	10	8
TCGA-BH-A0C7-01	4	35	19
TCGA-BH-A0DD-01	8	29	0
TCGA-BH-A0DE-01	3	9	21
TCGA-BH-A0DG-01	18	12	17
TCGA-BH-A0DH-01	17	34	1
TCGA-BH-A0DI-01	23	21	18
TCGA-BH-A0DK-01	7	16	30
TCGA-BH-A0DL-01	20	38	7
TCGA-BH-A0DO-01	8	14	8
TCGA-BH-A0DP-01	5	5	9
TCGA-BH-A0DQ-01	2	21	12
TCGA-BH-A0DT-01	3	9	3
TCGA-BH-A0DV-01	4	0	11
TCGA-BH-A0DX-01	48	21	8
TCGA-BH-A0DZ-01	207	3	7
TCGA-BH-A0E0-01	2	19	3
TCGA-BH-A0E1-01	6	13	0
TCGA-BH-A0E9-01	1	21	6
TCGA-BH-A0EA-01	5	18	9
TCGA-BH-A0EI-01	1	17	6
TCGA-BH-A0H3-01	1	7	9
TCGA-BH-A0H5-01	146	6	17
TCGA-BH-A0H7-01	5	11	1
TCGA-BH-A0H9-01	4	5	14
TCGA-BH-A0HA-01	40	334	8
TCGA-BH-A0HI-01	8	18	9
TCGA-BH-A0HK-01	37	23	3
TCGA-BH-A0HN-01	7	23	4
TCGA-BH-A0HP-01	346	11	0
TCGA-BH-A0RX-01	5	44	0
TCGA-BH-A0W3-01	4	7	12
TCGA-BH-A0W4-01	12	17	10
TCGA-BH-A0W5-01	0	21	8
TCGA-BH-A0W7-01	261	0	0
TCGA-BH-A0WA-01	21	16	76
TCGA-BH-A18F-01	23	30	14
TCGA-BH-A18G-01	0	1471	197
TCGA-BH-A18H-01	15	16	23
TCGA-BH-A18I-01	7	24	0
TCGA-BH-A18J-01	95	13	3
TCGA-BH-A18K-01	31	13	24
TCGA-BH-A18L-01	4	42	19
TCGA-BH-A18M-01	5	12	1
TCGA-BH-A18N-01	0	34	9
TCGA-BH-A18P-01	399	39	0
TCGA-BH-A18Q-01	8	9	90
TCGA-BH-A18R-01	8	6	28
TCGA-BH-A18S-01	3	11	23
TCGA-BH-A18T-01	17	16	69
TCGA-BH-A18U-01	91	53	34
TCGA-BH-A18V-01	98	0	152
TCGA-BH-A1EO-01	7	40	3
TCGA-BH-A1ET-01	1	17	15
TCGA-BH-A1EU-01	3	17	14
TCGA-BH-A1EV-01	73	40	16
TCGA-BH-A1EW-01	5	7	9
TCGA-BH-A1EX-01	1	23	11
TCGA-BH-A1EY-01	18	25	12
TCGA-BH-A1F0-01	21	20	54
TCGA-BH-A1F2-01	18	38	15
TCGA-BH-A1F5-01	6	22	16
TCGA-BH-A1F6-01	7	28	18
TCGA-BH-A1F8-01	143	29	20
TCGA-BH-A1FC-01	39	45	46
TCGA-BH-A1FE-01	6	8	12
TCGA-BH-A1FG-01	2	15	4
TCGA-BH-A1FH-01	5	19	9
TCGA-BH-A1FJ-01	3	26	16
TCGA-BH-A1FL-01	3	17	6
TCGA-BH-A1FM-01	22	34	6
TCGA-BH-A1FN-01	80	4	62
TCGA-BH-A1FR-01	2	9	6
TCGA-BH-A1FU-01	23	35	60
TCGA-BH-A201-01	4	11	12
TCGA-BH-A202-01	3	14	11
TCGA-BH-A203-01	27	66	6
TCGA-BH-A204-01	7	21	24
TCGA-BH-A208-01	40	22	20
TCGA-BH-A209-01	105	7	7
TCGA-BH-A28Q-01	3	20	3
TCGA-BH-A2L8-01	628	0	0
TCGA-BH-A42U-01	19	8	5
TCGA-BH-A42V-01	44	11	0
TCGA-BH-A5IZ-01	13	25	58
TCGA-BH-A5J0-01	65	36	1
TCGA-BH-A6R8-01	7	25	5
TCGA-BH-A6R9-01	0	9	16
TCGA-BH-A8FY-01	8	12	36
TCGA-BH-A8FZ-01	14	28	49
TCGA-BH-A8G0-01	1	16	0
TCGA-BH-AB28-01	7	32	4
TCGA-C8-A12K-01	61	12	100
TCGA-C8-A12L-01	6	22	61
TCGA-C8-A12M-01	4	51	27
TCGA-C8-A12N-01	3	18	6
TCGA-C8-A12O-01	5	37	7
TCGA-C8-A12P-01	122	46	34
TCGA-C8-A12Q-01	95	27	17
TCGA-C8-A12T-01	177	18	19
TCGA-C8-A12U-01	9	33	19
TCGA-C8-A12V-01	5	14	33
TCGA-C8-A12W-01	5	65	7
TCGA-C8-A12X-01	3	45	17
TCGA-C8-A12Y-01	3	43	0
TCGA-C8-A12Z-01	23	27	11
TCGA-C8-A130-01	8	46	0
TCGA-C8-A131-01	11	31	32
TCGA-C8-A132-01	34	18	32
TCGA-C8-A133-01	6	4	23
TCGA-C8-A134-01	5	15	97
TCGA-C8-A135-01	9	58	10
TCGA-C8-A137-01	31	23	8
TCGA-C8-A138-01	1	24	27
TCGA-C8-A1HE-01	32	15	7
TCGA-C8-A1HF-01	16	14	9
TCGA-C8-A1HG-01	9	45	15
TCGA-C8-A1HI-01	17	34	21
TCGA-C8-A1HJ-01	11	21	92
TCGA-C8-A1HK-01	30	22	21
TCGA-C8-A1HL-01	0	18	19
TCGA-C8-A1HM-01	348	22	78
TCGA-C8-A1HN-01	5	36	29
TCGA-C8-A1HO-01	14	16	19
TCGA-C8-A26V-01	56	25	15
TCGA-C8-A26W-01	36	21	12
