Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H	SBS96I
TCGA-A7-A26G-01	8	9	5	0	12	4	8	3	19
TCGA-A7-A26H-01	46	32	29	22	0	1	0	2	18
TCGA-A7-A26I-01	2	5	4	2	9	8	4	4	8
TCGA-A7-A26J-01	1	0	4	9	7	11	0	0	10
TCGA-A7-A2KD-01	2	7	20	3	11	0	8	2	2
TCGA-A7-A3RF-01	0	2	3	0	2	18	8	5	2
TCGA-A7-A425-01	0	0	11	1	2	10	3	2	4
TCGA-A7-A4SC-01	0	2	12	6	0	0	0	1	17
TCGA-A7-A4SD-01	0	1	25	0	9	15	0	8	4
TCGA-A7-A4SE-01	30	12	0	6	44	0	45	6	3
TCGA-A7-A56D-01	45	59	30	36	10	0	30	0	15
TCGA-A7-A5ZV-01	29	7	35	14	108	10	1	33	31
TCGA-A7-A5ZW-01	6	5	4	0	0	13	0	8	0
TCGA-A7-A5ZX-01	0	4	5	11	10	4	0	5	3
TCGA-A7-A6VV-01	8	1	16	4	14	11	5	5	0
TCGA-A7-A6VW-01	3	5	4	0	30	31	6	13	0
TCGA-A7-A6VX-01	10	27	0	11	43	27	37	11	11
TCGA-A7-A6VY-01	14	4	7	19	60	0	20	12	0
TCGA-A8-A075-01	11	14	8	18	30	0	13	1	5
TCGA-AC-A23C-01	21	32	9	12	10	0	20	16	25
TCGA-AC-A23E-01	0	0	10	1	5	2	0	0	6
TCGA-AC-A23H-01	3014	2464	0	423	0	215	0	0	262
TCGA-AC-A2B8-01	42	43	9	26	6	0	0	2	0
TCGA-AC-A2BK-01	5	0	27	2	44	0	13	13	6
TCGA-AC-A2BM-01	3	0	5	0	4	0	13	0	1
TCGA-AC-A2FB-01	0	4	3	2	3	0	1	4	0
TCGA-AC-A2FF-01	3	0	0	8	0	0	0	0	0
TCGA-AC-A2FG-01	0	7	4	0	0	25	0	3	0
TCGA-AC-A2FK-01	0	0	0	3	0	0	0	0	0
TCGA-AC-A2FO-01	5	5	2	12	3	0	0	0	0
TCGA-AC-A2QH-01	2	2	9	0	1	0	8	2	3
TCGA-AC-A3HN-01	2	2	6	0	3	0	6	3	0
TCGA-AC-A3OD-01	0	7	8	3	0	5	10	1	5
TCGA-AC-A3QP-01	0	0	0	0	2	22	0	6	5
TCGA-AC-A3QQ-01	1	0	12	5	2	0	15	0	1
TCGA-AC-A3W5-01	43	22	14	12	74	0	43	3	0
TCGA-AC-A3YI-01	0	0	4	5	3	0	0	4	2
TCGA-AC-A3YJ-01	1	4	12	6	0	0	4	4	7
TCGA-AC-A4ZE-01	0	9	11	0	8	8	26	7	5
TCGA-AC-A5EH-01	13	11	12	12	71	20	10	22	34
TCGA-AC-A5EI-01	0	10	9	3	4	12	0	5	0
TCGA-AC-A5XS-01	256	222	0	209	0	28	0	0	0
TCGA-AC-A5XU-01	6	9	45	25	3	0	6	7	12
TCGA-AC-A62V-01	6	3	38	4	13	0	23	3	16
TCGA-AC-A62X-01	3	0	46	5	0	0	0	7	26
TCGA-AC-A62Y-01	17	13	18	8	14	0	6	13	0
TCGA-AC-A6IV-01	0	0	3	4	0	18	1	1	0
TCGA-AC-A6IW-01	63	26	27	30	39	0	40	6	0
TCGA-AC-A6IX-01	7	23	10	3	1	2	18	7	0
TCGA-AC-A6NO-01	0	2	6	2	0	15	15	3	0
TCGA-AC-A7VB-01	0	0	14	0	0	1	16	2	2
TCGA-AC-A7VC-01	0	0	6	2	0	11	5	2	0
TCGA-AC-A8OP-01	16	10	48	23	44	3	18	32	50
