Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E
TCGA-BR-A4J8-01	28	63	2	8	14
TCGA-BR-A4J9-01	6	36	2	4	0
TCGA-BR-A4PD-01	9	29	27	117	11
TCGA-BR-A4PE-01	73	128	0	49	5
TCGA-BR-A4PF-01	37	59	9	10	4
TCGA-BR-A4QI-01	35	66	1	33	15
TCGA-BR-A4QL-01	937	848	130	0	37
TCGA-BR-A4QM-01	34	43	8	26	12
TCGA-CD-5798-01	34	48	0	17	21
TCGA-CD-5799-01	24	25	0	2	6
TCGA-CD-5800-01	48	116	0	10	29
TCGA-CD-5801-01	0	123	68	271	83
TCGA-CD-5802-01	0	52	8	0	4
TCGA-CD-5803-01	16	23	0	4	2
TCGA-CD-5804-01	20	60	4	0	5
TCGA-CD-5813-01	34	116	32	21	20
TCGA-CD-8524-01	50	111	4	18	7
TCGA-CD-8525-01	5	54	1	12	27
TCGA-CD-8526-01	26	22	0	3	6
TCGA-CD-8527-01	112	132	24	28	12
TCGA-CD-8528-01	25	99	6	1	4
TCGA-CD-8529-01	0	319	76	61	49
TCGA-CD-8530-01	19	40	0	50	6
TCGA-CD-8531-01	86	123	75	30	11
TCGA-CD-8532-01	6	31	6	1	6
TCGA-CD-8533-01	32	116	0	0	7
TCGA-CD-8534-01	25	44	0	2	1
TCGA-CD-8535-01	31	88	9	168	38
TCGA-CD-8536-01	472	351	134	0	6
TCGA-CD-A486-01	48	48	0	3	13
TCGA-CD-A487-01	14	79	2	102	18
TCGA-CD-A489-01	10	48	9	16	13
TCGA-CD-A48A-01	26	97	20	113	35
TCGA-CD-A48C-01	34	92	0	111	35
TCGA-CD-A4MG-01	1521	251	778	17	31
TCGA-CD-A4MH-01	30	55	10	4	0
TCGA-CD-A4MI-01	526	270	251	12	52
TCGA-CD-A4MJ-01	333	220	163	4	0
TCGA-CG-4300-01	27	89	11	26	10
TCGA-CG-4301-01	4	51	5	3	1
TCGA-CG-4304-01	8	47	13	7	8
TCGA-CG-4305-01	586	387	297	32	9
TCGA-CG-4306-01	448	614	130	0	0
TCGA-CG-4436-01	27	96	0	95	2
TCGA-CG-4437-01	70	364	110	61	44
TCGA-CG-4438-01	14	118	24	10	5
TCGA-CG-4440-01	31	47	1	32	42
TCGA-CG-4441-01	14	69	3	31	18
TCGA-CG-4442-01	606	320	603	0	51
TCGA-CG-4443-01	12	72	21	12	0
TCGA-CG-4444-01	20	55	0	149	6
TCGA-CG-4449-01	29	32	14	12	24
TCGA-CG-4455-01	0	40	5	9	0
TCGA-CG-4460-01	919	1125	59	0	98
TCGA-CG-4462-01	17	56	0	13	11
TCGA-CG-4465-01	367	66	184	56	14
TCGA-CG-4466-01	22	68	0	139	19
TCGA-CG-4469-01	68	77	1	211	28
TCGA-CG-4474-01	30	66	1	0	10
TCGA-CG-4475-01	0	49	14	4	6
TCGA-CG-4476-01	12	96	19	8	11
TCGA-CG-4477-01	3	55	2	7	4
TCGA-CG-5716-01	1	14	4	0	5
TCGA-CG-5717-01	1	71	47	32	13
TCGA-CG-5718-01	14	67	7	7	12
TCGA-CG-5719-01	7	75	5	0	3
TCGA-CG-5720-01	13	71	10	9	0
TCGA-CG-5721-01	729	579	3558	0	98
TCGA-CG-5722-01	8	82	4	2	8
TCGA-CG-5723-01	991	350	457	11	64
TCGA-CG-5724-01	26	66	1	41	9
TCGA-CG-5725-01	6	30	0	4	10
TCGA-CG-5726-01	902	145	267	1	113
TCGA-CG-5727-01	26	129	0	7	41
TCGA-CG-5728-01	699	524	279	17	16
TCGA-CG-5730-01	37	132	3	2	28
TCGA-CG-5732-01	0	60	9	8	2
TCGA-CG-5733-01	503	361	254	14	61
TCGA-CG-5734-01	37	42	2	17	14
TCGA-D7-5577-01	11	84	4	22	23
TCGA-D7-5578-01	48	134	6	96	9
TCGA-D7-5579-01	16	52	13	57	36
TCGA-D7-6518-01	29	47	0	15	13
TCGA-D7-6519-01	0	47	6	3	11
TCGA-D7-6520-01	15	41	4	8	8
TCGA-D7-6521-01	13	54	0	0	21
TCGA-D7-6522-01	14	36	1	12	3
TCGA-D7-6524-01	15	85	2	0	22
TCGA-D7-6525-01	32	58	2	72	37
TCGA-D7-6526-01	20	118	7	100	23
TCGA-D7-6527-01	35	52	0	169	11
TCGA-D7-6528-01	45	64	8	265	40
TCGA-D7-6815-01	57	107	0	7	0
TCGA-D7-6817-01	30	48	12	15	0
TCGA-D7-6818-01	31	10	9	141	1
TCGA-D7-6820-01	3	92	16	9	1
TCGA-D7-6822-01	19	63	25	177	23
TCGA-D7-8570-01	28	111	0	12	3
TCGA-D7-8572-01	9	147	11	20	35
TCGA-D7-8573-01	21	61	8	9	6
TCGA-D7-8574-01	8	38	0	3	0
TCGA-D7-8575-01	3	41	3	0	10
TCGA-D7-8576-01	26	40	5	0	0
TCGA-D7-8578-01	30	35	0	0	2
TCGA-D7-8579-01	37	31	2	65	8
TCGA-D7-A4YT-01	16	208	51	51	38
TCGA-D7-A4YU-01	43	129	4	88	21
TCGA-D7-A4YV-01	534	384	59	4	19
TCGA-D7-A4YX-01	19	79	0	0	2
TCGA-D7-A4YY-01	249	129	67	86	19
TCGA-D7-A4Z0-01	33	0	0	332	1
TCGA-D7-A6ET-01	0	29	2	1	2
TCGA-D7-A6EV-01	49	106	6	33	10
TCGA-D7-A6EX-01	23	79	3	18	30
TCGA-D7-A6EY-01	685	305	432	139	0
TCGA-D7-A6EZ-01	33	146	52	65	18
TCGA-D7-A6F0-01	51	57	0	20	29
TCGA-D7-A6F2-01	10	70	7	1	2
TCGA-D7-A747-01	7	39	0	78	2
TCGA-D7-A748-01	20	18	0	7	6
TCGA-D7-A74A-01	0	170	0	9	16
TCGA-D7-A74B-01	0	26	7	4	5
TCGA-EQ-5647-01	6	65	5	16	18
TCGA-EQ-8122-01	47	126	10	22	23
TCGA-EQ-A4SO-01	9	109	48	29	10
TCGA-F1-6177-01	664	601	130	0	0
TCGA-F1-6874-01	423	379	158	3	28
TCGA-F1-6875-01	7	86	9	8	5
TCGA-F1-A448-01	319	217	124	8	0
TCGA-F1-A72C-01	21	31	0	9	0
TCGA-FP-7735-01	0	61	1	1	8
TCGA-FP-7829-01	64	154	4	39	45
TCGA-FP-7916-01	47	68	0	2	8
TCGA-FP-7998-01	17	46	1	6	11
TCGA-FP-8099-01	38	95	0	0	40
TCGA-FP-8209-01	1	0	0	0	0
TCGA-FP-8210-01	0	0	5	0	0
TCGA-FP-8211-01	12	38	31	19	16
TCGA-FP-8631-01	0	65	12	19	24
TCGA-FP-A4BE-01	748	726	167	0	0
TCGA-FP-A4BF-01	52	46	0	11	13
TCGA-FP-A8CX-01	8	71	7	16	12
TCGA-FP-A9TM-01	47	154	5	2	0
TCGA-HF-7131-01	0	62	4	49	0
TCGA-HF-7132-01	782	411	151	10	26
TCGA-HF-7133-01	30	52	3	4	0
TCGA-HF-7134-01	39	157	1	135	23
TCGA-HF-7136-01	44	36	1	8	7
TCGA-HF-A5NB-01	760	413	356	27	0
TCGA-HJ-7597-01	331	428	117	0	0
TCGA-HU-8238-01	27	86	1	70	18
