NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	164.983	61.462	24.344	49.249	0.417	0.762	50000.0
2	166.406	61.82	24.603	49.637	0.413	0.757	40000.0
3	166.418	61.875	24.699	49.689	0.415	0.757	80000.0
4	166.444	61.828	24.635	49.455	0.416	0.759	70000.0
5	165.83	61.438	24.68	49.422	0.411	0.761	60000.0
6	165.501	61.687	24.563	49.591	0.415	0.758	30000.0
7	165.678	61.621	24.641	49.488	0.417	0.758	60000.0
8	166.438	61.817	24.787	49.735	0.415	0.756	50000.0
9	166.212	61.819	24.628	49.728	0.414	0.755	50000.0
10	166.024	61.537	24.549	49.292	0.409	0.761	80000.0
11	165.488	61.332	24.545	49.351	0.412	0.76	60000.0
12	165.89	61.543	24.663	49.374	0.412	0.761	40000.0
13	167.016	62.026	24.779	49.752	0.417	0.755	80000.0
14	165.775	61.47	24.513	49.218	0.412	0.763	40000.0
15	165.844	61.536	24.566	49.249	0.411	0.763	40000.0
16	166.422	61.821	24.679	49.698	0.415	0.757	30000.0
17	164.581	60.943	24.184	48.836	0.411	0.765	40000.0
18	166.417	61.77	24.766	49.652	0.412	0.758	70000.0
19	165.581	61.322	24.501	49.117	0.413	0.763	70000.0
20	167.109	62.017	24.807	49.772	0.419	0.756	50000.0
21	166.154	61.57	24.602	49.357	0.411	0.761	90000.0
22	165.665	61.386	24.589	49.378	0.414	0.76	50000.0
23	165.342	61.596	24.54	49.525	0.417	0.759	50000.0
24	166.485	61.753	24.708	49.494	0.416	0.76	40000.0
25	165.742	61.381	24.604	49.325	0.411	0.761	80000.0
26	165.618	61.48	24.557	49.412	0.412	0.76	40000.0
27	166.102	61.533	24.547	49.35	0.414	0.76	40000.0
28	166.961	61.98	24.806	49.738	0.419	0.757	70000.0
29	166.844	61.993	24.793	49.651	0.416	0.757	60000.0
30	166.842	61.897	24.729	49.621	0.416	0.758	40000.0
31	167.154	62.103	24.868	49.838	0.417	0.755	50000.0
