Samples	SBS96A	SBS96B	SBS96C
TCGA-CD-8536-01	904	19	40
TCGA-CD-A486-01	84	24	4
TCGA-CD-A487-01	45	170	0
TCGA-CD-A489-01	38	44	14
TCGA-CD-A48A-01	81	210	0
TCGA-CD-A48C-01	78	194	0
TCGA-CD-A4MG-01	2018	0	580
TCGA-CD-A4MH-01	79	20	0
TCGA-CD-A4MI-01	849	24	238
TCGA-CD-A4MJ-01	628	8	84
TCGA-CG-4300-01	93	70	0
TCGA-CG-4301-01	40	24	0
TCGA-CG-4304-01	36	28	19
TCGA-CG-4305-01	1052	67	192
TCGA-CG-4306-01	1130	62	0
TCGA-CG-4436-01	70	150	0
TCGA-CG-4437-01	268	233	148
TCGA-CG-4438-01	95	58	18
TCGA-CG-4440-01	50	72	31
TCGA-CG-4441-01	61	74	0
TCGA-CG-4442-01	979	0	601
TCGA-CG-4443-01	54	50	13
TCGA-CG-4444-01	27	203	0
TCGA-CG-4449-01	41	31	39
TCGA-CG-4455-01	17	35	2
TCGA-CG-4460-01	2083	118	0
TCGA-CG-4462-01	58	39	0
TCGA-CG-4465-01	484	63	140
TCGA-CG-4466-01	42	206	0
TCGA-CG-4469-01	87	298	0
TCGA-CG-4474-01	86	17	4
TCGA-CG-4475-01	31	22	20
TCGA-CG-4476-01	72	47	27
TCGA-CG-4477-01	39	32	0
TCGA-CG-5716-01	12	3	9
TCGA-CG-5717-01	25	79	60
TCGA-CG-5718-01	55	35	17
TCGA-CG-5719-01	65	24	1
TCGA-CG-5720-01	66	37	0
TCGA-CG-5721-01	1107	0	3857
TCGA-CG-5722-01	66	32	6
TCGA-CG-5723-01	1450	0	423
TCGA-CG-5724-01	65	78	0
TCGA-CG-5725-01	25	20	5
TCGA-CG-5726-01	1117	0	311
TCGA-CG-5727-01	107	60	36
TCGA-CG-5728-01	1314	73	148
TCGA-CG-5730-01	121	51	30
TCGA-CG-5732-01	42	36	1
TCGA-CG-5733-01	902	55	236
TCGA-CG-5734-01	69	42	1
TCGA-D7-5577-01	62	67	15
TCGA-D7-5578-01	122	171	0
TCGA-D7-5579-01	40	109	25
TCGA-D7-6518-01	62	42	0
TCGA-D7-6519-01	26	22	19
TCGA-D7-6520-01	42	29	5
TCGA-D7-6521-01	48	21	19
TCGA-D7-6522-01	39	27	0
TCGA-D7-6524-01	79	19	26
TCGA-D7-6525-01	61	138	2
TCGA-D7-6526-01	78	190	0
TCGA-D7-6527-01	39	228	0
TCGA-D7-6528-01	46	376	0
TCGA-D7-6815-01	140	31	0
TCGA-D7-6817-01	72	33	0
TCGA-D7-6818-01	18	174	0
TCGA-D7-6820-01	62	48	11
TCGA-D7-6822-01	38	269	0
TCGA-D7-8570-01	102	52	0
TCGA-D7-8572-01	92	89	41
TCGA-D7-8573-01	69	34	2
TCGA-D7-8574-01	40	9	0
TCGA-D7-8575-01	30	13	14
TCGA-D7-8576-01	62	9	0
TCGA-D7-8578-01	62	5	0
TCGA-D7-8579-01	50	93	0
TCGA-D7-A4YT-01	112	166	86
TCGA-D7-A4YU-01	115	170	0
TCGA-D7-A4YV-01	946	54	0
TCGA-D7-A4YX-01	85	15	0
TCGA-D7-A4YY-01	389	161	0
TCGA-D7-A4Z0-01	0	366	0
TCGA-D7-A6ET-01	22	11	1
TCGA-D7-A6EV-01	122	82	0
TCGA-D7-A6EX-01	69	59	25
TCGA-D7-A6EY-01	1133	190	238
TCGA-D7-A6EZ-01	98	162	54
TCGA-D7-A6F0-01	85	58	14
TCGA-D7-A6F2-01	66	24	0
TCGA-D7-A747-01	15	111	0
TCGA-D7-A748-01	34	17	0
TCGA-D7-A74A-01	99	93	3
TCGA-D7-A74B-01	18	15	9
TCGA-EQ-5647-01	39	52	19
TCGA-EQ-8122-01	129	81	18
TCGA-EQ-A4SO-01	58	88	59
TCGA-F1-6177-01	1347	48	0
TCGA-F1-6874-01	831	62	98
TCGA-F1-6875-01	73	42	0
TCGA-F1-A448-01	603	26	39
TCGA-F1-A72C-01	43	18	0
TCGA-FP-7735-01	30	29	12
TCGA-FP-7829-01	168	120	18
TCGA-FP-7916-01	102	23	0
TCGA-FP-7998-01	47	26	8
TCGA-FP-8099-01	104	32	37
TCGA-FP-8209-01	1	0	0
TCGA-FP-8210-01	0	0	5
TCGA-FP-8211-01	22	45	49
TCGA-FP-8631-01	28	57	35
TCGA-FP-A4BE-01	1568	73	0
TCGA-FP-A4BF-01	87	35	0
TCGA-FP-A8CX-01	55	52	7
TCGA-FP-A9TM-01	165	43	0
TCGA-HF-7131-01	17	98	0
TCGA-HF-7132-01	1297	64	19
TCGA-HF-7133-01	70	19	0
TCGA-HF-7134-01	117	238	0
TCGA-HF-7136-01	68	26	2
TCGA-HF-A5NB-01	1330	22	204
TCGA-HJ-7597-01	852	24	0
TCGA-HU-8238-01	72	130	0
TCGA-HU-8243-01	122	39	0
TCGA-HU-8244-01	128	37	0
TCGA-HU-8245-01	47	18	12
TCGA-HU-8249-01	136	39	0
TCGA-HU-8602-01	1567	43	151
TCGA-HU-8604-01	137	121	0
TCGA-HU-8608-01	64	19	22
TCGA-HU-8610-01	39	25	5
TCGA-HU-A4G2-01	32	9	22
TCGA-HU-A4G3-01	83	43	0
TCGA-HU-A4G6-01	66	30	0
TCGA-HU-A4G8-01	1421	13	187
TCGA-HU-A4G9-01	719	60	72
TCGA-HU-A4GC-01	115	55	0
TCGA-HU-A4GD-01	70	37	0
TCGA-HU-A4GF-01	93	76	0
TCGA-HU-A4GH-01	0	959	0
TCGA-HU-A4GJ-01	5	1	0
TCGA-HU-A4GN-01	1163	51	85
TCGA-HU-A4GP-01	165	79	19
TCGA-HU-A4GQ-01	1938	92	0
TCGA-HU-A4GT-01	1162	0	324
TCGA-HU-A4GU-01	1715	11	0
TCGA-HU-A4GX-01	1222	3	104
TCGA-HU-A4GY-01	66	13	0
TCGA-HU-A4H0-01	142	59	15
TCGA-HU-A4H2-01	133	95	0
TCGA-HU-A4H3-01	833	67	83
TCGA-HU-A4H4-01	349	85	333
TCGA-HU-A4H5-01	122	134	72
TCGA-HU-A4H6-01	106	42	0
TCGA-HU-A4H8-01	1284	4	0
TCGA-HU-A4HB-01	4	9	0
TCGA-HU-A4HD-01	92	88	46
TCGA-IN-7806-01	61	28	0
TCGA-IN-7808-01	80	51	0
TCGA-IN-8462-01	93	50	0
TCGA-IN-8663-01	71	157	0
TCGA-IN-A6RI-01	41	89	0
TCGA-IN-A6RJ-01	46	121	0
TCGA-IN-A6RL-01	49	225	290
TCGA-IN-A6RN-01	48	79	28
TCGA-IN-A6RO-01	129	193	40
TCGA-IN-A6RP-01	133	69	0
TCGA-IN-A6RR-01	89	108	0
TCGA-IN-A6RS-01	104	28	0
TCGA-IN-A7NR-01	33	80	0
TCGA-IN-A7NT-01	58	78	0
TCGA-IN-A7NU-01	53	64	0
TCGA-IN-AB1V-01	43	20	12
TCGA-IN-AB1X-01	55	83	3
TCGA-IP-7968-01	98	35	0
TCGA-KB-A6F5-01	61	22	0
TCGA-KB-A6F7-01	68	55	1
TCGA-KB-A93G-01	77	49	1
TCGA-KB-A93H-01	143	141	0
TCGA-KB-A93J-01	34	11	10
TCGA-MX-A5UG-01	38	8	10
TCGA-MX-A5UJ-01	1455	79	0
TCGA-MX-A663-01	49	30	27
TCGA-MX-A666-01	47	69	25
TCGA-R5-A7O7-01	87	61	3
TCGA-R5-A7ZE-01	78	123	0
