Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F
TCGA-D9-A6EG-06	41	17	0	17	26	3
TCGA-DA-A1HV-06	1448	55	321	0	9	37
TCGA-DA-A1HW-06	382	31	0	0	25	14
TCGA-DA-A1HY-06	458	268	125	147	0	0
TCGA-DA-A1I0-06	480	124	0	60	18	4
TCGA-DA-A1I1-06	430	47	0	43	11	0
TCGA-DA-A1I2-06	64	60	23	17	12	3
TCGA-DA-A1I4-06	271	30	0	51	10	0
TCGA-DA-A1I5-06	122	145	275	47	0	0
TCGA-DA-A1I7-06	530	0	0	3	64	12
TCGA-DA-A1I8-06	80	99	36	12	19	6
TCGA-DA-A1IA-06	167	196	71	0	34	16
TCGA-DA-A1IB-06	0	0	0	0	7	1
TCGA-DA-A1IC-06	681	303	108	220	50	0
TCGA-DA-A3F3-06	267	3	80	6	33	3
TCGA-DA-A3F5-06	253	96	2	49	54	3
TCGA-DA-A3F8-06	817	292	448	87	0	0
TCGA-DA-A95V-06	49	131	143	0	44	5
TCGA-DA-A95W-06	125	45	0	41	5	0
TCGA-DA-A95X-06	540	5	52	39	37	11
TCGA-DA-A95Y-06	277	64	105	108	1	6
TCGA-DA-A95Z-06	2023	0	282	279	72	0
TCGA-DA-A960-01	1021	20	29	37	63	17
TCGA-EB-A1NK-01	114	26	24	8	21	3
TCGA-EB-A24C-01	3	2	0	0	26	4
TCGA-EB-A24D-01	277	239	218	55	16	10
TCGA-EB-A299-01	123	47	15	18	4	0
TCGA-EB-A3HV-01	40	0	0	0	22	1
TCGA-EB-A3XB-01	437	61	60	134	4	0
TCGA-EB-A3XC-01	268	139	70	43	24	24
TCGA-EB-A3XD-01	441	27	0	47	5	0
TCGA-EB-A3XE-01	0	1	5	10	6	0
TCGA-EB-A3XF-01	302	49	125	60	0	0
TCGA-EB-A3Y6-01	608	123	0	12	68	30
TCGA-EB-A3Y7-01	919	126	289	93	30	61
TCGA-EB-A41A-01	1498	222	699	201	0	0
TCGA-EB-A41B-01	425	0	120	0	10	0
TCGA-EB-A42Y-01	19	0	3	12	30	17
TCGA-EB-A42Z-01	95	17	0	12	33	0
TCGA-EB-A430-01	341	110	0	57	15	6
TCGA-EB-A431-01	1041	743	583	0	0	30
TCGA-EB-A44N-01	123	41	0	30	14	0
TCGA-EB-A44O-01	412	184	0	66	24	6
TCGA-EB-A44P-01	308	112	0	57	1	0
TCGA-EB-A44Q-06	0	4	12	14	24	3
TCGA-EB-A44R-06	0	0	0	19	45	7
TCGA-EB-A4IQ-01	4	2	0	4	11	1
TCGA-EB-A4IS-01	222	302	211	27	11	0
TCGA-EB-A4OY-01	0	7	0	8	39	18
TCGA-EB-A4OZ-01	0	3	0	3	5	5
TCGA-EB-A4P0-01	101	83	31	17	22	4
TCGA-EB-A4XL-01	197	235	206	11	5	12
TCGA-EB-A51B-01	66	219	246	27	9	0
TCGA-EB-A550-01	142	29	0	5	27	0
TCGA-EB-A551-01	377	0	0	69	14	14
TCGA-EB-A553-01	205	111	0	46	54	19
TCGA-EB-A57M-01	2	0	4	0	48	5
TCGA-EB-A5FP-01	418	107	0	0	17	15
TCGA-EB-A5KH-06	0	10	0	3	38	3
TCGA-EB-A5SE-01	281	86	0	8	13	10
TCGA-EB-A5SF-01	17	0	7	0	14	4
TCGA-EB-A5SG-06	111	91	152	13	0	2
TCGA-EB-A5SH-06	0	3	21	22	70	6
TCGA-EB-A5UL-06	381	122	5	64	37	23
TCGA-EB-A5UM-01	466	139	37	89	21	0
TCGA-EB-A5UN-06	521	258	86	117	16	0
TCGA-EB-A5VU-01	0	20	3	8	34	0
TCGA-EB-A6L9-06	2	0	0	5	21	0
TCGA-EB-A6QY-01	737	62	0	23	25	25
TCGA-EB-A6QZ-01	200	100	13	63	10	1
TCGA-EB-A6R0-01	344	131	0	14	30	9
TCGA-EB-A82B-01	0	17	0	1	40	7
TCGA-EB-A82C-01	6	0	12	9	21	0
TCGA-EB-A85I-01	194	27	22	15	46	2
TCGA-EB-A85J-01	419	8	84	49	4	0
TCGA-EB-A97M-01	267	50	58	29	25	0
TCGA-EE-A17X-06	754	119	133	32	37	15
TCGA-EE-A17Y-06	85	68	47	22	9	1
TCGA-EE-A17Z-06	0	2	0	4	18	2
TCGA-EE-A180-06	559	59	0	48	57	2
TCGA-EE-A181-06	2596	559	482	321	0	46
TCGA-EE-A182-06	1439	109	318	141	12	21
TCGA-EE-A183-06	840	0	32	129	15	0
TCGA-EE-A184-06	0	0	19	0	391	0
TCGA-EE-A185-06	202	42	0	0	24	0
TCGA-EE-A20B-06	155	53	0	35	0	1
TCGA-EE-A20C-06	1153	873	511	277	16	41
TCGA-EE-A20F-06	456	80	93	0	10	12
TCGA-EE-A20H-06	312	138	187	173	0	3
TCGA-EE-A20I-06	1	4	0	4	19	2
TCGA-EE-A29A-06	89	144	112	0	9	0
TCGA-EE-A29B-06	293	160	280	0	0	16
TCGA-EE-A29C-06	379	142	0	35	14	3
TCGA-EE-A29D-06	3312	982	504	446	0	0
TCGA-EE-A29E-06	3714	326	786	0	0	63
TCGA-EE-A29G-06	368	6	0	86	0	14
TCGA-EE-A29H-06	158	89	125	38	8	0
TCGA-EE-A29L-06	2268	215	134	0	54	89
TCGA-EE-A29M-06	1502	630	1115	0	0	0
TCGA-EE-A29N-06	406	283	54	59	23	22
TCGA-EE-A29P-06	106	132	122	50	0	0
TCGA-EE-A29Q-06	307	45	0	25	22	10
TCGA-EE-A29R-06	635	123	108	68	0	0
TCGA-EE-A29S-06	1141	119	0	236	0	2
TCGA-EE-A29T-06	306	0	88	21	98	0
TCGA-EE-A29V-06	583	558	121	148	2	0
TCGA-EE-A29W-06	48	22	0	0	19	4
TCGA-EE-A29X-06	82	65	40	8	4	6
TCGA-EE-A2A0-06	87	105	299	42	0	0
TCGA-EE-A2A1-06	324	71	78	47	9	0
TCGA-EE-A2A2-06	285	908	781	79	12	9
TCGA-EE-A2A5-06	305	95	0	4	19	15
TCGA-EE-A2A6-06	367	13	0	0	26	11
TCGA-EE-A2GB-06	644	140	30	94	0	3
TCGA-EE-A2GC-06	2346	509	118	255	0	6
TCGA-EE-A2GD-06	466	39	149	90	0	0
TCGA-EE-A2GE-06	104	143	62	17	0	0
TCGA-EE-A2GH-06	283	63	49	11	18	2
TCGA-EE-A2GI-06	1466	310	149	202	10	5
TCGA-EE-A2GJ-06	1023	187	149	232	0	19
