NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	145.481	66.776	24.155	44.303	0.52	0.833	30000.0
2	144.762	66.806	24.08	44.379	0.524	0.832	80000.0
3	144.248	66.194	23.925	44.013	0.519	0.836	80000.0
4	144.725	66.53	23.869	44.233	0.522	0.832	70000.0
5	147.317	66.673	24.414	44.357	0.523	0.832	60000.0
6	145.048	66.816	24.128	44.59	0.522	0.829	40000.0
7	145.792	66.718	24.119	44.449	0.52	0.83	50000.0
8	146.03	66.91	24.378	44.419	0.522	0.833	60000.0
9	146.622	66.894	24.261	44.275	0.523	0.832	30000.0
10	145.597	66.449	24.074	43.985	0.516	0.837	60000.0
11	144.63	66.738	24.017	44.2	0.522	0.834	50000.0
12	145.06	66.621	23.961	44.101	0.517	0.834	30000.0
13	145.555	66.325	24.402	44.18	0.512	0.836	30000.0
14	145.948	66.699	24.217	44.219	0.518	0.834	40000.0
15	145.839	66.857	24.135	44.338	0.523	0.833	50000.0
16	145.943	66.906	24.082	44.433	0.524	0.83	30000.0
17	143.943	66.201	23.689	43.819	0.515	0.837	30000.0
18	145.861	66.704	24.141	44.298	0.521	0.832	40000.0
19	146.242	67.181	24.46	44.798	0.522	0.83	40000.0
20	145.506	66.631	23.993	44.234	0.52	0.834	40000.0
21	144.646	66.439	23.942	44.144	0.516	0.833	40000.0
22	145.814	66.749	24.264	44.31	0.519	0.832	40000.0
23	146.278	66.933	24.313	44.542	0.523	0.834	50000.0
24	145.595	66.393	24.057	44.117	0.516	0.835	70000.0
25	145.077	66.819	23.874	44.306	0.527	0.833	60000.0
26	145.709	66.39	24.051	44.172	0.516	0.834	70000.0
27	144.405	66.346	24.037	44.253	0.516	0.833	40000.0
28	144.2	66.223	23.627	44.065	0.517	0.835	40000.0
29	143.942	66.942	23.735	44.193	0.524	0.834	50000.0
30	145.061	66.73	24.168	44.24	0.519	0.835	40000.0
31	145.004	66.903	23.959	44.514	0.521	0.833	50000.0
32	146.343	66.652	24.312	44.288	0.518	0.835	70000.0
33	143.812	66.484	23.822	44.134	0.521	0.835	40000.0
34	145.326	66.514	24.22	44.376	0.519	0.833	50000.0
35	147.816	66.717	24.702	44.345	0.516	0.833	40000.0
36	146.066	66.892	24.371	44.408	0.526	0.83	40000.0
37	146.557	67.313	24.386	44.588	0.53	0.828	50000.0
