NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	183.93	44.41	39.718	28.426	0.342	0.902	50000.0
2	181.412	43.904	38.964	27.888	0.341	0.906	30000.0
3	185.289	44.628	39.647	28.313	0.339	0.903	40000.0
4	182.817	44.003	39.143	28.231	0.334	0.904	60000.0
5	182.162	44.04	39.146	28.089	0.333	0.906	50000.0
6	182.833	43.814	39.343	28.185	0.333	0.903	50000.0
7	182.169	44.186	39.27	28.333	0.333	0.902	60000.0
8	182.453	44.771	38.971	28.517	0.356	0.898	40000.0
9	179.79	44.22	37.956	28.156	0.344	0.899	40000.0
10	181.694	43.783	38.62	28.04	0.329	0.907	60000.0
11	175.698	43.671	35.629	27.364	0.341	0.903	40000.0
12	183.434	44.127	39.903	28.519	0.329	0.903	40000.0
13	180.921	44.12	38.788	28.415	0.334	0.902	40000.0
14	182.915	44.265	39.324	28.383	0.337	0.902	70000.0
15	184.056	44.228	39.895	28.519	0.334	0.903	50000.0
16	182.348	44.047	38.738	27.9	0.329	0.907	60000.0
17	181.008	43.954	38.611	27.989	0.346	0.902	50000.0
18	184.695	44.622	39.575	28.611	0.353	0.896	50000.0
19	182.206	44.207	39.352	28.416	0.341	0.901	50000.0
20	182.166	44.246	39.237	28.455	0.334	0.903	30000.0
21	178.993	44.277	37.478	28.021	0.341	0.903	40000.0
22	182.576	44.244	38.947	28.305	0.345	0.9	40000.0
23	179.768	43.614	38.153	27.664	0.33	0.908	40000.0
24	184.082	44.197	39.5	28.366	0.331	0.906	30000.0
25	182.277	44.242	38.863	28.145	0.342	0.904	50000.0
26	182.25	44.295	39.215	28.398	0.336	0.902	40000.0
27	181.957	43.791	39.052	27.946	0.333	0.904	30000.0
28	184.557	44.404	39.638	28.55	0.331	0.904	40000.0
29	182.259	43.862	38.665	27.794	0.332	0.91	30000.0
30	182.2	44.148	38.911	28.22	0.334	0.904	30000.0
31	184.246	44.179	39.489	28.322	0.33	0.905	40000.0
32	180.49	44.442	37.963	28.123	0.347	0.899	80000.0
33	181.383	44.157	38.772	28.298	0.337	0.903	60000.0
34	181.199	43.944	38.699	27.975	0.336	0.905	60000.0
35	182.569	44.274	39.485	28.392	0.342	0.903	50000.0
36	181.37	44.055	38.932	28.092	0.334	0.904	30000.0
37	181.829	44.1	38.87	28.237	0.334	0.904	50000.0
38	180.659	43.347	38.234	27.581	0.326	0.908	40000.0
39	183.857	44.173	39.622	28.473	0.336	0.903	50000.0
40	182.411	44.18	39.241	28.284	0.336	0.902	30000.0
41	180.521	43.65	38.521	27.752	0.339	0.906	50000.0
42	182.154	44.073	38.946	28.05	0.329	0.905	50000.0
43	178.078	44.15	36.622	27.781	0.345	0.902	50000.0
44	181.987	44.042	39.154	28.31	0.33	0.905	40000.0
45	183.644	44.077	39.564	28.299	0.34	0.902	60000.0
46	181.657	44.29	38.86	28.431	0.348	0.9	20000.0
47	178.559	44.247	36.976	28.112	0.346	0.898	70000.0
48	184.054	44.515	39.65	28.617	0.345	0.899	40000.0
49	181.68	44.1	39.002	28.262	0.335	0.904	40000.0
50	176.944	44.133	36.054	27.753	0.343	0.9	40000.0
51	181.122	44.08	38.489	28.105	0.334	0.903	40000.0
52	180.402	44.124	37.991	27.899	0.347	0.901	50000.0
53	183.292	44.063	38.999	28.06	0.344	0.902	40000.0
54	182.399	44.31	39.059	28.205	0.332	0.902	30000.0
55	182.48	44.076	39.511	28.463	0.331	0.903	40000.0
56	180.281	43.993	38.499	28.193	0.334	0.902	30000.0
57	183.443	44.018	38.985	28.075	0.343	0.905	50000.0
58	180.419	43.733	38.574	27.954	0.344	0.903	40000.0
59	181.997	43.974	39.113	28.065	0.332	0.905	30000.0
60	180.234	43.738	38.733	27.801	0.331	0.907	30000.0
61	178.66	44.34	36.294	27.695	0.346	0.9	30000.0
62	177.753	44.38	36.772	28.031	0.35	0.897	60000.0
63	180.712	44.126	38.073	28.059	0.346	0.901	40000.0
64	181.803	44.444	38.754	28.299	0.339	0.902	30000.0
65	183.24	44.106	39.422	28.284	0.331	0.905	40000.0
66	181.416	44.047	38.532	28.083	0.331	0.904	30000.0
67	179.984	44.037	38.134	27.806	0.336	0.907	40000.0
68	183.752	44.14	39.586	28.285	0.339	0.904	100000.0
69	182.612	43.934	39.539	28.209	0.332	0.905	20000.0
70	182.643	44.242	39.069	28.207	0.34	0.904	30000.0
71	177.466	44.15	36.403	27.677	0.342	0.902	50000.0
72	183.87	44.289	39.748	28.724	0.335	0.901	30000.0
73	182.078	44.227	39.04	28.143	0.344	0.903	60000.0
74	179.133	44.332	37.371	28.111	0.347	0.897	50000.0
75	181.414	44.271	38.445	28.227	0.345	0.901	50000.0
76	181.22	43.97	38.529	28.205	0.345	0.902	40000.0
77	182.899	43.919	39.391	28.012	0.33	0.906	40000.0
78	180.82	43.933	38.84	28.293	0.331	0.906	60000.0
