NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	27.641	92.602	6.838	63.402	0.79	0.697	30000.0
2	28.11	95.232	6.883	64.509	0.872	0.686	20000.0
3	26.022	91.143	6.017	60.678	0.847	0.706	20000.0
4	26.823	89.115	6.659	60.775	0.774	0.725	20000.0
5	28.2	98.313	7.002	66.638	0.901	0.646	30000.0
6	26.619	92.75	6.276	60.617	0.825	0.698	40000.0
7	26.044	91.276	6.418	61.197	0.755	0.704	40000.0
8	27.055	91.467	6.566	61.582	0.813	0.703	20000.0
9	25.92	89.969	6.263	61.383	0.8	0.705	20000.0
10	25.329	88.11	5.857	58.875	0.798	0.731	30000.0
11	26.499	86.452	6.624	61.54	0.724	0.729	30000.0
12	26.152	90.309	6.171	60.594	0.828	0.708	20000.0
13	25.376	94.321	6.269	62.722	0.881	0.677	30000.0
14	26.393	89.898	5.925	60.329	0.782	0.711	30000.0
15	28.083	94.612	6.526	63.576	0.836	0.684	30000.0
16	26.896	96.417	6.243	64.037	0.875	0.662	20000.0
17	27.557	93.324	6.538	61.244	0.814	0.714	30000.0
18	26.225	88.209	6.359	59.708	0.778	0.728	30000.0
19	29.181	97.863	7.253	66.13	0.885	0.668	20000.0
20	25.045	84.469	6.269	57.099	0.69	0.767	20000.0
21	25.619	96.119	6.381	63.454	0.957	0.656	40000.0
22	25.163	88.607	5.89	58.096	0.736	0.744	30000.0
23	24.704	90.94	5.878	61.254	0.865	0.682	30000.0
24	26.017	94.526	6.295	63.031	0.889	0.682	20000.0
25	28.379	93.905	6.952	63.731	0.839	0.71	20000.0
26	26.211	94.63	6.418	61.04	0.856	0.705	20000.0
27	25.868	90.754	6.033	60.95	0.8	0.706	40000.0
28	27.454	95.146	6.725	63.897	0.855	0.671	30000.0
29	27.372	95.243	6.625	61.667	0.89	0.714	20000.0
30	26.488	93.189	6.57	64.037	0.789	0.71	20000.0
31	26.001	89.073	6.418	62.693	0.806	0.685	20000.0
32	26.917	92.658	6.439	61.497	0.812	0.71	20000.0
33	28.504	94.811	6.747	64.998	0.837	0.68	30000.0
34	26.707	90.137	6.376	61.406	0.776	0.705	20000.0
35	27.358	93.669	6.431	61.568	0.805	0.707	20000.0
36	27.603	94.007	6.772	63.781	0.882	0.671	20000.0
37	25.571	91.242	6.253	60.799	0.834	0.707	30000.0
38	25.096	86.261	5.974	57.557	0.721	0.764	50000.0
39	27.431	92.87	6.668	63.152	0.813	0.697	20000.0
40	27.519	92.064	6.752	62.325	0.817	0.715	40000.0
41	27.355	92.589	6.687	62.693	0.798	0.701	20000.0
42	27.435	95.904	6.784	63.677	0.839	0.694	20000.0
43	27.82	97.249	6.847	66.714	0.899	0.644	30000.0
44	27.002	94.75	6.509	63.336	0.86	0.685	20000.0
45	26.092	92.43	6.361	62.613	0.838	0.682	40000.0
46	25.74	88.454	6.279	61.093	0.755	0.716	20000.0
47	28.267	92.724	6.798	61.855	0.805	0.726	20000.0
48	26.673	91.741	6.245	60.588	0.852	0.721	20000.0
49	27.866	97.841	6.869	65.819	0.883	0.654	40000.0
50	28.033	95.434	6.741	63.583	0.867	0.681	20000.0
51	25.427	90.388	5.962	57.824	0.804	0.729	30000.0
52	26.204	88.587	6.297	60.248	0.781	0.727	30000.0
53	26.798	93.66	6.244	61.587	0.846	0.705	30000.0
54	26.581	91.161	6.449	62.98	0.83	0.689	20000.0
55	28.571	97.877	6.583	64.741	0.884	0.664	30000.0
56	27.395	89.37	6.707	60.911	0.755	0.733	20000.0
57	27.37	90.485	6.536	62.205	0.753	0.711	30000.0
58	27.284	95.882	6.359	63.867	0.887	0.67	30000.0
59	26.141	92.153	6.307	59.896	0.808	0.73	20000.0
60	26.322	91.822	6.069	60.864	0.809	0.704	20000.0
61	26.838	95.231	6.319	62.36	0.853	0.694	20000.0
62	26.241	91.229	6.126	61.425	0.85	0.688	30000.0
