Samples	SBS1	SBS2	SBS5	SBS10a	SBS10b	SBS13	SBS15	SBS17a	SBS17b	SBS21	SBS40a	SBS54	SBS87
TCGA-KB-A93J-01	13	0	25	0	0	0	17	0	0	0	0	0	0
TCGA-MX-A5UG-01	15	0	15	0	10	0	16	0	0	0	0	0	0
TCGA-MX-A5UJ-01	359	0	168	0	0	0	575	0	0	0	0	0	432
TCGA-MX-A663-01	16	0	0	0	11	0	24	0	0	0	55	0	0
TCGA-MX-A666-01	30	0	11	0	0	0	0	0	0	0	100	0	0
TCGA-R5-A7O7-01	23	0	60	0	0	0	29	0	0	0	0	0	39
TCGA-R5-A7ZE-01	52	0	34	0	0	0	0	13	23	0	79	0	0
TCGA-R5-A7ZF-01	12	0	21	0	0	0	24	0	0	0	0	0	28
TCGA-R5-A7ZI-01	297	0	157	0	0	0	346	0	0	0	0	132	0
TCGA-R5-A7ZR-01	11	0	22	0	9	0	16	0	0	0	0	0	32
TCGA-R5-A804-01	39	0	0	0	0	0	0	0	0	0	54	0	0
TCGA-R5-A805-01	37	0	34	0	0	0	0	20	67	0	0	0	0
TCGA-RD-A7BS-01	8	0	22	0	0	0	14	0	0	0	0	0	27
TCGA-RD-A7BT-01	26	0	36	0	0	0	0	28	111	0	82	0	0
TCGA-RD-A7BW-01	34	0	20	0	0	0	0	0	0	0	36	0	0
TCGA-RD-A7C1-01	112	0	111	0	0	0	0	17	29	0	0	0	68
TCGA-RD-A8MV-01	17	0	22	0	16	0	30	0	0	0	0	0	0
TCGA-RD-A8MW-01	21	0	15	0	0	0	0	0	0	0	57	0	0
TCGA-RD-A8N0-01	0	0	0	0	0	0	2	0	0	0	0	0	0
TCGA-RD-A8N1-01	0	0	35	0	0	13	0	13	0	0	48	0	21
TCGA-RD-A8N2-01	0	0	0	0	0	0	2	0	0	0	0	0	0
TCGA-RD-A8N4-01	0	2	1	0	0	1	5	0	0	0	0	0	0
TCGA-RD-A8N5-01	17	0	20	0	6	0	0	0	0	0	0	0	0
TCGA-RD-A8N6-01	82	0	111	0	0	0	0	0	0	0	0	0	0
TCGA-RD-A8N9-01	61	0	47	0	0	0	0	0	0	0	49	0	0
TCGA-RD-A8NB-01	102	0	171	0	0	0	255	0	0	0	0	0	205
TCGA-SW-A7EA-01	70	0	192	0	0	0	237	0	0	0	0	0	188
TCGA-SW-A7EB-01	37	0	39	0	0	25	0	0	0	0	77	0	0
TCGA-VQ-A8DL-01	11	0	12	0	0	0	21	0	0	0	24	0	0
TCGA-VQ-A8DT-01	64	0	44	0	0	0	0	15	34	0	74	0	0
TCGA-VQ-A8DU-01	49	0	25	0	0	0	0	17	42	0	41	0	0
TCGA-VQ-A8DV-01	15	0	34	0	0	0	0	0	0	0	0	0	28
TCGA-VQ-A8DZ-01	21	0	42	0	0	0	0	0	0	0	44	0	0
TCGA-VQ-A8E0-01	27	0	18	0	0	0	0	0	0	0	78	0	0
TCGA-VQ-A8E2-01	18	0	53	0	0	0	30	0	16	0	0	0	30
TCGA-VQ-A8E3-01	247	0	178	0	0	0	225	0	0	0	0	149	0
TCGA-VQ-A8E7-01	60	0	42	0	0	0	38	0	0	0	0	0	0
TCGA-VQ-A8P2-01	871	0	1972	0	0	0	3745	0	0	0	0	0	2347
TCGA-VQ-A8P3-01	48	0	49	0	0	0	0	86	178	0	0	0	0
TCGA-VQ-A8P5-01	60	20	44	0	0	13	70	0	55	0	0	0	0
TCGA-VQ-A8P8-01	72	0	6	0	0	0	0	0	0	0	52	0	0
TCGA-VQ-A8PB-01	182	0	161	0	0	0	275	0	0	0	0	0	271
TCGA-VQ-A8PC-01	6	0	53	0	0	0	25	14	32	0	0	0	30
TCGA-VQ-A8PD-01	47	0	14	0	0	0	27	11	5	0	0	0	0
TCGA-VQ-A8PE-01	52	0	15	0	0	0	0	0	0	0	86	0	0
TCGA-VQ-A8PF-01	42	0	16	0	12	0	0	8	16	0	41	0	0
TCGA-VQ-A8PH-01	0	0	170	0	0	0	0	0	0	0	0	0	71
TCGA-VQ-A8PJ-01	20	0	26	0	0	0	12	24	43	0	61	0	0
TCGA-VQ-A8PK-01	9	0	0	0	11	0	0	10	32	0	54	0	0
TCGA-VQ-A8PM-01	12	0	21	0	0	0	12	9	12	0	0	0	0
TCGA-VQ-A8PO-01	116	0	163	0	0	0	275	0	0	0	0	209	139
TCGA-VQ-A8PP-01	194	0	101	0	0	0	638	0	0	0	0	283	352
TCGA-VQ-A8PQ-01	8	0	9	0	0	0	0	0	0	0	0	0	0
TCGA-VQ-A8PS-01	17	0	0	0	0	0	0	0	0	0	42	0	0
TCGA-VQ-A8PT-01	200	0	297	0	0	0	665	0	0	0	0	0	271
TCGA-VQ-A8PU-01	28	0	43	0	0	0	0	0	0	0	85	0	0
TCGA-VQ-A8PX-01	125	0	43	0	0	0	237	0	0	119	0	166	0
TCGA-VQ-A8PY-01	0	0	45	0	0	0	34	0	0	0	0	0	35
TCGA-VQ-A8PZ-01	62	0	45	0	0	0	0	0	0	0	0	0	0
TCGA-VQ-A91A-01	61	0	28	0	0	0	0	0	0	0	68	0	0
TCGA-VQ-A91D-01	917	0	627	0	0	0	1077	0	0	0	0	0	0
TCGA-VQ-A91E-01	222	0	224	0	0	0	222	0	0	0	0	192	0
TCGA-VQ-A91K-01	337	0	325	0	0	0	445	0	0	0	0	0	362
TCGA-VQ-A91N-01	38	0	81	0	0	0	36	0	0	0	0	0	0
TCGA-VQ-A91Q-01	30	0	0	0	0	0	0	0	0	0	107	0	0
TCGA-VQ-A91S-01	26	32	121	0	0	37	0	14	82	0	0	0	0
TCGA-VQ-A91U-01	87	0	102	0	0	0	0	0	0	0	0	0	0
TCGA-VQ-A91V-01	26	0	67	0	0	0	28	28	149	0	0	0	0
TCGA-VQ-A91W-01	6	0	14	0	0	0	9	0	0	0	0	0	20
TCGA-VQ-A91X-01	33	0	87	0	0	0	45	30	60	0	0	0	0
TCGA-VQ-A91Y-01	10	0	13	0	0	0	13	0	0	0	0	0	20
TCGA-VQ-A91Z-01	49	0	31	0	0	0	0	0	0	0	91	0	0
TCGA-VQ-A922-01	32	0	60	0	0	0	0	0	29	0	86	0	0
TCGA-VQ-A923-01	52	0	0	0	15	0	0	0	0	0	60	0	0
TCGA-VQ-A924-01	199	0	386	0	0	0	411	0	0	0	0	0	327
TCGA-VQ-A925-01	10	14	30	0	0	6	0	9	18	0	47	0	21
TCGA-VQ-A927-01	16	0	41	0	0	0	0	0	10	0	0	0	0
TCGA-VQ-A928-01	1	0	0	0	0	0	16	0	0	0	41	0	18
TCGA-VQ-A92D-01	41	0	22	0	0	0	0	0	0	0	100	0	0
TCGA-VQ-A94O-01	18	0	0	0	0	0	0	0	0	0	33	0	28
TCGA-VQ-A94P-01	10	0	16	0	0	0	0	18	38	0	0	0	18
TCGA-VQ-A94R-01	39	28	80	0	0	0	39	0	35	0	84	0	67
TCGA-VQ-A94T-01	29	0	0	0	0	0	20	0	0	0	51	0	0
TCGA-VQ-A94U-01	67	0	0	0	0	0	0	11	15	0	100	0	0
TCGA-VQ-AA64-01	26	0	43	0	0	54	0	0	0	0	186	0	0
TCGA-VQ-AA68-01	47	0	22	0	0	0	0	35	40	0	64	0	0
TCGA-VQ-AA69-01	34	0	28	0	0	0	19	0	0	0	0	0	0
TCGA-VQ-AA6A-01	41	0	64	0	0	0	0	0	17	0	0	0	0
TCGA-VQ-AA6B-01	29	0	15	0	0	0	26	0	0	0	30	0	0
TCGA-VQ-AA6D-01	39	0	152	0	0	0	719	0	0	0	0	0	0
TCGA-VQ-AA6F-01	7	0	25	3	8	0	19	0	0	0	0	0	0
TCGA-VQ-AA6G-01	73	0	76	0	0	0	0	0	17	0	0	0	0
TCGA-VQ-AA6I-01	30	0	52	0	0	0	44	0	0	0	0	0	0
TCGA-VQ-AA6J-01	49	0	0	0	0	0	0	15	44	0	68	0	0
TCGA-VQ-AA6K-01	35	0	0	0	0	0	0	0	0	0	57	0	0
TCGA-ZA-A8F6-01	18	5	28	0	0	7	0	0	0	0	0	0	0
TCGA-ZQ-A9CR-01	34	0	93	0	0	0	0	0	17	0	0	0	0
