Samples	SBS1	SBS2	SBS5	SBS10a	SBS10b	SBS13	SBS15	SBS17a	SBS17b	SBS21	SBS40a	SBS54	SBS87
TCGA-BR-8296-01	49	8	25	0	0	8	0	0	0	0	0	0	0
TCGA-BR-8297-01	9	0	49	0	0	0	60	40	69	0	0	0	64
TCGA-BR-8360-01	157	0	119	0	0	0	477	0	0	0	0	0	247
TCGA-BR-8361-01	306	0	369	0	0	0	613	0	0	0	0	0	452
TCGA-BR-8363-01	178	0	264	0	0	0	482	0	0	0	0	134	272
TCGA-BR-8364-01	0	0	9	0	0	0	0	0	0	0	0	4	12
TCGA-BR-8365-01	8	0	0	0	0	0	0	0	0	0	0	0	21
TCGA-BR-8366-01	20	0	93	0	0	0	30	27	40	0	0	0	0
TCGA-BR-8367-01	27	0	28	0	0	0	20	0	0	0	0	0	0
TCGA-BR-8368-01	265	0	128	0	0	0	354	0	0	0	0	0	326
TCGA-BR-8369-01	74	0	42	0	0	0	0	29	35	0	76	0	0
TCGA-BR-8370-01	23	0	33	0	0	0	33	0	0	0	0	0	53
TCGA-BR-8371-01	10	0	15	0	0	0	0	0	0	0	0	0	0
TCGA-BR-8372-01	277	0	311	0	0	0	367	0	0	236	0	253	0
TCGA-BR-8373-01	14	0	44	0	0	0	21	0	0	0	0	0	34
TCGA-BR-8380-01	54	0	23	0	14	0	0	0	0	0	0	0	0
TCGA-BR-8381-01	52	0	32	0	0	0	0	0	0	0	79	0	0
TCGA-BR-8382-01	369	0	150	0	0	0	361	0	0	0	0	145	0
TCGA-BR-8384-01	8	0	16	0	0	0	12	0	8	0	0	0	18
TCGA-BR-8483-01	49	0	72	0	0	0	33	0	0	0	0	0	0
TCGA-BR-8484-01	27	0	23	0	0	0	0	11	5	0	34	0	0
TCGA-BR-8485-01	34	0	118	0	0	0	0	75	161	0	0	0	0
TCGA-BR-8486-01	17	0	0	0	0	0	15	0	0	0	36	0	0
TCGA-BR-8487-01	453	0	475	0	0	0	1112	0	0	421	0	0	732
TCGA-BR-8588-01	63	0	64	0	0	0	0	11	13	0	0	0	0
TCGA-BR-8589-01	28	0	381	0	0	0	0	333	647	0	0	0	0
TCGA-BR-8590-01	39	0	4	0	0	0	0	25	39	0	48	0	0
TCGA-BR-8591-01	248	0	192	0	0	0	569	0	0	0	0	247	371
TCGA-BR-8592-01	6	0	0	0	0	0	8	0	0	0	0	0	29
