Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G
TCGA-49-AAR9-01	508	199	15	1	39	23	23
TCGA-49-AARE-01	1140	49	103	172	87	65	55
TCGA-49-AARN-01	65	0	5	0	34	828	0
TCGA-49-AARO-01	565	97	36	0	14	26	0
TCGA-49-AARQ-01	540	129	89	3	47	67	14
TCGA-49-AARR-01	0	1	0	0	0	0	2
TCGA-4B-A93V-01	71	36	6	18	13	18	9
TCGA-50-5044-01	2	3	124	23	7	7	5
TCGA-50-5045-01	289	5	25	42	6	2	1
TCGA-50-5049-01	635	160	35	131	43	0	0
TCGA-50-5051-01	69	33	7	0	4	7	19
TCGA-50-5055-01	0	10	4	0	0	1	7
TCGA-50-5066-01	139	96	19	30	18	41	2
TCGA-50-5068-01	33	40	6	9	11	0	19
TCGA-50-5072-01	86	24	14	16	19	37	7
TCGA-50-5930-01	1022	119	29	96	44	21	28
TCGA-50-5931-01	201	51	24	68	16	0	21
TCGA-50-5932-01	62	13	0	0	13	0	2
TCGA-50-5933-01	298	159	39	9	56	33	38
TCGA-50-5935-01	0	8	57	13	12	20	13
TCGA-50-5936-01	16	6	56	0	4	55	9
TCGA-50-5939-01	0	8	15	6	13	48	14
TCGA-50-5941-01	217	155	38	26	19	16	11
TCGA-50-5942-01	14	32	0	1	4	13	7
TCGA-50-5944-01	5	34	9	0	7	4	25
TCGA-50-5946-01	394	77	165	83	28	28	41
TCGA-50-6590-01	537	165	215	107	49	4	7
TCGA-50-6591-01	0	30	1	0	15	7	13
TCGA-50-6592-01	93	86	59	55	24	29	10
TCGA-50-6593-01	200	49	9	64	23	28	17
TCGA-50-6594-01	389	83	54	54	20	23	11
TCGA-50-6595-01	15	19	27	12	27	8	10
TCGA-50-6597-01	0	3	19	0	12	26	18
TCGA-50-6673-01	0	16	4	19	6	0	17
TCGA-50-7109-01	144	97	5	19	19	3	21
TCGA-50-8457-01	22	8	5	11	11	0	10
TCGA-50-8459-01	53	20	3	13	6	8	16
TCGA-50-8460-01	0	2	2	0	4	18	10
TCGA-53-7624-01	508	111	159	72	61	71	30
TCGA-53-7626-01	275	77	48	40	7	0	3
TCGA-53-7813-01	107	19	1	34	8	0	17
TCGA-53-A4EZ-01	427	109	31	23	45	12	27
TCGA-55-1592-01	205	147	56	141	48	63	31
TCGA-55-1594-01	38	43	78	3	15	29	25
TCGA-55-1595-01	210	92	12	44	11	25	13
TCGA-55-1596-01	82	15	3	88	28	0	18
TCGA-55-5899-01	280	3	115	33	29	68	21
TCGA-55-6543-01	0	2	3	3	2	0	15
TCGA-55-6642-01	93	26	6	7	12	4	7
TCGA-55-6712-01	23	19	106	8	9	9	22
TCGA-55-6968-01	96	20	434	0	23	77	5
TCGA-55-6969-01	220	148	10	58	28	50	0
TCGA-55-6970-01	97	36	8	28	9	21	10
TCGA-55-6971-01	29	37	2	17	9	12	2
TCGA-55-6972-01	56	0	108	0	42	128	8
TCGA-55-6975-01	28	19	13	15	1	8	16
TCGA-55-6978-01	0	18	0	0	1	4	12
TCGA-55-6979-01	37	80	55	0	0	0	0
TCGA-55-6980-01	0	9	0	0	4	0	3
TCGA-55-6981-01	0	23	6	6	6	0	22
TCGA-55-6982-01	8	0	209	0	15	41	14
TCGA-55-6983-01	63	1	4	23	13	10	20
TCGA-55-6984-01	0	19	0	0	6	0	2
TCGA-55-6985-01	346	143	2	29	48	0	16
TCGA-55-6986-01	0	6	0	7	7	0	5
TCGA-55-6987-01	77	48	95	18	2	0	14
TCGA-55-7227-01	92	26	9	29	12	20	16
TCGA-55-7281-01	304	80	41	61	56	0	15
TCGA-55-7283-01	80	52	59	0	22	26	52
TCGA-55-7284-01	0	11	0	0	11	0	35
TCGA-55-7570-01	133	177	100	37	16	0	4
TCGA-55-7573-01	11	18	5	3	7	17	2
TCGA-55-7574-01	57	90	146	0	29	0	0
TCGA-55-7576-01	223	91	19	54	24	44	44
TCGA-55-7724-01	39	55	36	76	14	23	34
TCGA-55-7725-01	71	35	0	17	3	19	9
TCGA-55-7726-01	5	28	82	0	0	0	26
TCGA-55-7727-01	98	0	94	0	43	60	22
TCGA-55-7728-01	71	12	2	4	13	0	19
TCGA-55-7815-01	84	56	7	0	11	6	18
TCGA-55-7816-01	0	1	0	0	0	0	1
TCGA-55-7903-01	68	3	22	12	13	35	35
TCGA-55-7907-01	809	286	235	10	41	47	25
TCGA-55-7910-01	208	107	10	0	13	6	24
TCGA-55-7911-01	124	87	20	15	23	0	9
TCGA-55-7913-01	233	55	44	30	24	12	37
TCGA-55-7914-01	94	12	27	35	10	0	36
TCGA-55-7994-01	1176	292	88	176	80	15	63
TCGA-55-7995-01	360	167	94	44	51	96	10
TCGA-55-8085-01	92	14	111	0	9	73	29
TCGA-55-8087-01	0	0	6	5	10	0	16
TCGA-55-8089-01	639	214	412	0	53	197	31
TCGA-55-8090-01	47	15	2	27	11	0	11
TCGA-55-8091-01	0	11	0	0	3	2	19
TCGA-55-8092-01	279	0	116	0	74	194	62
TCGA-55-8094-01	310	71	11	33	12	95	25
TCGA-55-8096-01	66	69	12	0	13	4	15
TCGA-55-8097-01	58	0	14	12	11	0	44
TCGA-55-8203-01	323	124	5	12	17	8	41
TCGA-55-8204-01	50	49	82	23	28	18	20
TCGA-55-8205-01	237	75	210	94	14	0	18
TCGA-55-8206-01	0	6	4	0	0	16	12
TCGA-55-8207-01	210	54	16	56	15	0	36
TCGA-55-8208-01	71	29	192	64	39	40	9
TCGA-55-8299-01	148	25	9	39	19	24	9
TCGA-55-8301-01	182	20	32	86	20	0	22
TCGA-55-8302-01	507	207	17	36	61	0	17
TCGA-55-8505-01	0	8	15	3	5	3	14
TCGA-55-8506-01	996	311	10	79	98	32	581
TCGA-55-8507-01	847	79	37	117	82	0	51
TCGA-55-8508-01	102	38	11	0	10	39	27
TCGA-55-8510-01	248	52	33	25	26	0	8
TCGA-55-8511-01	378	45	68	0	42	143	37
TCGA-55-8512-01	15	13	4	6	5	5	3
TCGA-55-8513-01	0	0	0	0	2	0	6
TCGA-55-8514-01	202	80	4	0	36	0	29
TCGA-55-8614-01	39	107	34	66	11	0	41
TCGA-55-8615-01	40	65	0	17	10	17	13
TCGA-55-8616-01	427	72	19	15	25	0	45
TCGA-55-8619-01	0	8	1	0	0	0	18
TCGA-55-8620-01	351	90	16	61	46	0	51
TCGA-55-8621-01	39	0	9	23	8	0	10
TCGA-55-A48X-01	314	72	28	11	49	1	8
TCGA-55-A48Y-01	0	0	315	0	25	82	22
TCGA-55-A48Z-01	9	11	2	0	8	16	22
TCGA-55-A490-01	1091	228	115	36	40	106	27
TCGA-55-A491-01	271	40	35	66	30	0	24
TCGA-55-A492-01	163	66	11	42	26	24	23
TCGA-55-A493-01	124	1	73	5	16	97	24
TCGA-55-A494-01	144	67	16	0	13	7	48
TCGA-55-A4DF-01	138	5	602	0	80	118	40
TCGA-55-A4DG-01	564	127	32	77	19	0	25
TCGA-55-A57B-01	1	10	6	0	4	10	18
TCGA-62-8394-01	9	55	49	32	4	6	18
TCGA-62-8395-01	0	20	17	9	13	0	27
TCGA-62-8397-01	4	0	0	0	2	15	11
TCGA-62-8398-01	32	10	6	0	5	31	19
TCGA-62-8399-01	217	80	245	31	0	42	46
TCGA-62-8402-01	0	32	3	0	11	5	22
TCGA-62-A46O-01	585	91	158	116	53	49	40
TCGA-62-A46P-01	222	68	6	9	7	7	34
TCGA-62-A46R-01	71	3	22	16	13	54	30
TCGA-62-A46S-01	69	4	9	0	21	27	29
TCGA-62-A46U-01	7	13	7	0	4	3	18
TCGA-62-A46V-01	0	16	2	0	8	21	24
TCGA-62-A46Y-01	0	20	0	0	3	6	10
TCGA-62-A470-01	39	46	10	5	14	0	33
TCGA-62-A471-01	0	0	64	10	14	43	17
TCGA-62-A472-01	14	19	1	3	15	11	9
TCGA-64-1676-01	482	138	19	40	27	7	27
TCGA-64-1679-01	330	172	45	0	17	46	4
TCGA-64-1680-01	0	23	25	0	1	11	16
TCGA-64-1681-01	0	18	25	6	10	41	6
TCGA-64-5774-01	117	0	8	19	5	0	27
TCGA-64-5775-01	415	35	23	46	34	0	36
TCGA-64-5778-01	327	92	31	33	21	55	20
TCGA-64-5779-01	302	22	16	31	14	8	44
TCGA-64-5781-01	730	277	128	0	76	184	10
TCGA-64-5815-01	100	75	1	0	14	9	14
TCGA-67-3770-01	148	43	4	43	18	4	13
TCGA-67-3771-01	461	175	356	175	97	27	29
TCGA-67-3773-01	65	4	0	11	14	15	16
TCGA-67-3774-01	41	52	3	20	13	20	1
TCGA-67-4679-01	180	120	11	0	22	5	14
TCGA-67-6215-01	0	0	0	0	0	135	2
TCGA-67-6216-01	1	2	14	8	10	0	10
TCGA-67-6217-01	118	18	5	3	19	45	26
TCGA-69-7760-01	5	9	3	13	4	31	23
TCGA-69-7761-01	4	11	0	0	0	15	6
TCGA-69-7763-01	23	15	0	0	6	21	35
TCGA-69-7764-01	27	26	5	23	6	12	17
TCGA-69-7765-01	459	57	67	51	43	64	6
TCGA-69-7973-01	196	38	9	0	12	28	26
TCGA-69-7974-01	326	201	32	17	31	6	27
TCGA-69-7978-01	334	143	223	34	11	0	21
TCGA-69-7979-01	1336	226	111	9	64	0	54
TCGA-69-7980-01	475	119	205	118	36	0	18
TCGA-69-8253-01	89	37	28	0	7	34	14
TCGA-69-8254-01	11	46	0	4	11	10	15
TCGA-69-8255-01	114	33	36	54	19	80	29
TCGA-69-A59K-01	403	60	42	0	16	69	47
TCGA-71-6725-01	0	10	4	0	12	8	39
TCGA-71-8520-01	21	2	21	8	6	8	39
TCGA-73-4658-01	132	0	143	0	20	121	32
TCGA-73-4659-01	107	126	7	0	15	0	7
TCGA-73-4662-01	128	71	15	12	13	18	11
TCGA-73-4666-01	251	80	24	42	12	37	25
TCGA-73-4668-01	351	174	16	52	13	0	23
TCGA-73-4670-01	219	0	16	77	42	64	23
TCGA-73-4675-01	16	6	6	40	2	0	14
TCGA-73-4676-01	15	18	0	39	8	17	15
