NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	75.365	110.972	13.35	71.763	1.098	0.588	20000.0
2	75.323	111.143	13.327	71.639	1.097	0.591	20000.0
3	75.305	111.237	13.275	71.656	1.094	0.591	30000.0
4	75.658	110.962	13.457	71.765	1.099	0.59	20000.0
5	75.134	110.76	13.318	71.791	1.097	0.587	20000.0
6	75.352	110.866	13.464	71.736	1.098	0.589	40000.0
7	75.445	111.072	13.466	71.996	1.101	0.585	20000.0
8	75.636	111.288	13.46	71.935	1.103	0.586	20000.0
9	75.652	111.32	13.367	71.993	1.102	0.585	40000.0
10	75.819	111.52	13.416	71.971	1.102	0.585	20000.0
11	75.476	111.269	13.313	71.853	1.099	0.588	20000.0
12	75.778	111.61	13.425	72.154	1.107	0.581	20000.0
13	75.101	110.624	13.309	71.627	1.091	0.591	20000.0
14	75.396	111.156	13.349	71.838	1.097	0.589	30000.0
15	74.551	110.155	13.169	71.227	1.084	0.597	20000.0
16	75.441	111.417	13.452	72.148	1.106	0.581	20000.0
17	75.402	110.985	13.392	71.839	1.099	0.589	30000.0
18	75.398	111.107	13.416	71.914	1.103	0.587	20000.0
19	75.47	111.003	13.348	71.768	1.099	0.589	20000.0
20	75.178	110.818	13.311	71.718	1.098	0.589	20000.0
21	75.445	111.364	13.343	71.937	1.101	0.587	20000.0
22	75.508	110.663	13.389	71.689	1.091	0.588	20000.0
23	75.675	111.088	13.356	71.73	1.092	0.59	30000.0
24	75.833	111.537	13.447	72.103	1.105	0.584	40000.0
25	75.481	111.029	13.414	71.921	1.095	0.586	20000.0
26	75.68	111.063	13.432	71.729	1.093	0.59	20000.0
27	75.431	111.025	13.319	71.79	1.095	0.589	20000.0
28	75.103	110.681	13.225	71.545	1.092	0.591	20000.0
29	75.479	110.952	13.478	71.778	1.097	0.589	20000.0
30	75.327	111.088	13.272	71.557	1.093	0.593	40000.0
31	75.434	111.25	13.465	71.974	1.104	0.585	30000.0
32	75.369	110.783	13.429	71.696	1.096	0.591	20000.0
33	75.603	111.164	13.395	71.608	1.097	0.592	20000.0
34	75.698	111.187	13.436	71.916	1.1	0.586	30000.0
35	75.747	111.07	13.507	71.95	1.097	0.588	30000.0
36	75.326	110.987	13.346	71.934	1.096	0.586	30000.0
37	75.276	111.091	13.31	71.854	1.094	0.586	30000.0
38	75.597	111.588	13.383	72.246	1.107	0.582	30000.0
39	75.611	111.273	13.422	71.962	1.096	0.587	20000.0
40	75.914	111.024	13.415	71.878	1.095	0.587	20000.0
41	75.907	111.442	13.429	72.109	1.101	0.582	50000.0
42	75.624	111.197	13.345	71.714	1.097	0.591	20000.0
43	75.15	111.126	13.319	71.86	1.1	0.588	30000.0
44	75.085	111.062	13.284	71.867	1.097	0.586	40000.0
45	75.631	111.264	13.346	71.842	1.102	0.587	20000.0
46	75.608	111.35	13.469	71.874	1.094	0.589	20000.0
47	75.215	110.694	13.34	71.66	1.09	0.591	20000.0
48	76.236	111.964	13.635	72.386	1.104	0.58	40000.0
49	75.572	110.802	13.479	71.663	1.091	0.592	40000.0
50	75.681	111.029	13.476	71.873	1.096	0.589	50000.0
51	75.9	111.998	13.376	72.148	1.109	0.583	20000.0
52	75.539	111.067	13.528	71.9	1.094	0.589	20000.0
53	75.719	111.158	13.329	71.841	1.096	0.588	30000.0
54	75.354	111.137	13.327	71.781	1.1	0.587	20000.0
55	75.434	110.694	13.464	71.838	1.089	0.591	20000.0
56	75.664	111.479	13.413	71.96	1.102	0.587	30000.0
57	75.409	110.868	13.404	71.764	1.095	0.59	20000.0
58	75.485	111.218	13.432	71.861	1.101	0.587	20000.0
59	75.644	111.382	13.479	71.989	1.106	0.585	20000.0
60	75.175	110.92	13.221	71.535	1.094	0.593	40000.0
61	75.629	111.22	13.392	71.974	1.102	0.585	20000.0
