Samples	SBS96A	SBS96B	SBS96C
TCGA-D3-A8GE-06	0.00E+00	9.96E-02	9.96E-02
TCGA-D3-A8GI-06	2.31E+01	2.25E+01	2.95E+00
TCGA-D3-A8GJ-06	4.19E+00	5.16E+00	1.31E+00
TCGA-D3-A8GK-06	1.05E+01	1.23E+01	2.29E+00
TCGA-D3-A8GL-06	2.67E+01	3.05E+01	4.14E+00
TCGA-D3-A8GM-06	3.99E+01	4.49E+01	7.29E+00
TCGA-D3-A8GN-06	4.09E+00	4.86E+00	1.00E+00
TCGA-D3-A8GO-06	9.90E+00	1.15E+01	1.99E+00
TCGA-D3-A8GP-06	9.27E+00	1.16E+01	2.86E+00
TCGA-D3-A8GQ-06	9.85E+00	1.03E+01	1.65E+00
TCGA-D3-A8GR-06	7.67E+00	8.57E+00	1.38E+00
TCGA-D3-A8GS-06	3.89E+00	4.51E+00	1.13E+00
TCGA-D3-A8GV-06	4.71E+00	5.03E+00	9.23E-01
TCGA-D9-A148-06	5.72E+00	7.00E+00	1.70E+00
TCGA-D9-A149-06	4.77E+00	5.21E+00	8.66E-01
TCGA-D9-A1JW-06	2.09E+01	2.43E+01	3.84E+00
TCGA-D9-A1JX-06	2.99E+00	4.05E+00	1.43E+00
TCGA-D9-A1X3-06	6.68E-01	9.89E-01	5.37E-01
TCGA-D9-A3Z1-06	1.16E+01	1.33E+01	1.84E+00
TCGA-D9-A3Z3-06	2.11E+00	2.20E+00	6.51E-01
TCGA-D9-A3Z4-01	4.84E+00	5.51E+00	1.04E+00
TCGA-D9-A4Z2-01	2.02E-01	5.01E-01	4.70E-01
TCGA-D9-A4Z3-01	2.49E+01	2.96E+01	5.08E+00
TCGA-D9-A4Z5-01	8.82E-01	9.93E-01	5.67E-01
TCGA-D9-A4Z6-06	4.12E+00	4.61E+00	9.00E-01
TCGA-D9-A6E9-06	3.15E+00	3.91E+00	1.10E+00
TCGA-D9-A6EA-06	7.35E+00	6.95E+00	1.32E+00
TCGA-D9-A6EC-06	3.60E+01	1.22E+02	9.09E+01
TCGA-D9-A6EG-06	1.61E+00	2.54E+00	1.19E+00
TCGA-DA-A1HV-06	8.92E+00	8.83E+00	1.73E+00
TCGA-DA-A1HW-06	3.82E+00	4.16E+00	8.11E-01
TCGA-DA-A1HY-06	1.59E+01	1.78E+01	2.27E+00
TCGA-DA-A1I0-06	8.39E+00	9.25E+00	1.25E+00
TCGA-DA-A1I1-06	7.27E+00	8.78E+00	1.77E+00
TCGA-DA-A1I2-06	3.02E+00	3.54E+00	8.37E-01
TCGA-DA-A1I4-06	4.45E+00	5.06E+00	9.60E-01
TCGA-DA-A1I5-06	7.58E+00	8.62E+00	1.38E+00
TCGA-DA-A1I7-06	4.40E+00	5.01E+00	1.17E+00
TCGA-DA-A1I8-06	4.78E+00	6.14E+00	1.58E+00
TCGA-DA-A1IA-06	7.39E+00	8.52E+00	1.52E+00
TCGA-DA-A1IB-06	0.00E+00	0.00E+00	0.00E+00
TCGA-DA-A1IC-06	2.15E+01	2.51E+01	4.09E+00
TCGA-DA-A3F3-06	3.56E+00	4.33E+00	1.32E+00
TCGA-DA-A3F5-06	6.10E+00	7.55E+00	1.97E+00
TCGA-DA-A3F8-06	1.59E+01	1.75E+01	1.84E+00
TCGA-DA-A95V-06	5.64E+00	6.51E+00	1.39E+00
TCGA-DA-A95W-06	3.34E+00	3.52E+00	6.65E-01
TCGA-DA-A95X-06	6.08E+00	6.95E+00	1.51E+00
TCGA-DA-A95Y-06	7.01E+00	7.80E+00	1.63E+00
TCGA-DA-A95Z-06	2.11E+01	2.44E+01	3.95E+00
TCGA-DA-A960-01	6.99E+00	7.70E+00	1.50E+00
TCGA-EB-A1NK-01	2.20E+00	2.49E+00	8.32E-01
TCGA-EB-A24C-01	3.08E-01	4.30E-01	4.24E-01
TCGA-EB-A24D-01	1.14E+01	1.25E+01	1.78E+00
TCGA-EB-A299-01	3.43E+00	3.95E+00	7.65E-01
TCGA-EB-A3HV-01	5.88E-01	5.37E-01	5.10E-01
TCGA-EB-A3XB-01	9.80E+00	1.15E+01	2.23E+00
TCGA-EB-A3XC-01	6.37E+00	6.61E+00	1.19E+00
TCGA-EB-A3XD-01	5.28E+00	5.67E+00	6.02E-01
TCGA-EB-A3XE-01	3.75E-01	5.31E-01	3.13E-01
TCGA-EB-A3XF-01	6.03E+00	7.13E+00	1.37E+00
TCGA-EB-A3Y6-01	8.01E+00	8.74E+00	1.55E+00
TCGA-EB-A3Y7-01	1.58E+01	1.70E+01	2.22E+00
TCGA-EB-A41A-01	2.56E+01	2.94E+01	4.30E+00
TCGA-EB-A41B-01	1.93E+00	2.32E+00	7.61E-01
TCGA-EB-A42Y-01	7.63E-01	8.93E-01	6.89E-01
TCGA-EB-A42Z-01	2.24E+00	2.60E+00	8.13E-01
TCGA-EB-A430-01	7.03E+00	7.62E+00	1.32E+00
TCGA-EB-A431-01	1.44E+01	1.44E+01	1.86E+00
TCGA-EB-A44N-01	3.46E+00	4.05E+00	8.71E-01
TCGA-EB-A44O-01	9.84E+00	1.07E+01	1.35E+00
TCGA-EB-A44P-01	7.98E+00	9.59E+00	1.88E+00
TCGA-EB-A44Q-06	6.56E-01	8.74E-01	5.51E-01
TCGA-EB-A44R-06	3.80E-01	4.96E-01	4.88E-01
TCGA-EB-A4IQ-01	3.62E-01	3.86E-01	3.29E-01
TCGA-EB-A4IS-01	1.15E+01	1.29E+01	1.94E+00
TCGA-EB-A4OY-01	1.44E-01	7.88E-01	7.67E-01
TCGA-EB-A4OZ-01	5.18E-02	3.34E-01	3.33E-01
