NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	199.446	46.632	43.388	29.688	0.362	0.893	30000.0
2	198.302	46.295	43.293	29.462	0.355	0.897	20000.0
3	200.745	46.883	43.321	29.581	0.361	0.894	30000.0
4	199.962	46.667	43.536	29.845	0.361	0.892	30000.0
5	198.454	46.413	43.018	29.473	0.36	0.898	40000.0
6	199.196	46.109	43.419	29.46	0.358	0.893	40000.0
7	197.033	46.322	42.52	29.501	0.356	0.894	30000.0
8	198.134	46.672	42.939	29.668	0.362	0.893	20000.0
9	199.367	46.646	43.396	29.833	0.359	0.89	20000.0
10	198.803	46.093	42.973	29.509	0.352	0.898	20000.0
11	198.108	46.209	42.762	29.332	0.356	0.895	30000.0
12	198.279	46.292	43.239	29.685	0.354	0.894	30000.0
13	196.382	46.37	42.547	29.717	0.357	0.893	20000.0
14	198.271	46.446	42.88	29.598	0.359	0.893	20000.0
15	200.756	46.594	43.86	29.858	0.358	0.894	40000.0
16	199.9	46.609	43.264	29.563	0.355	0.897	30000.0
17	199.032	46.381	43.213	29.492	0.359	0.894	40000.0
18	198.709	46.586	43.21	29.676	0.364	0.892	20000.0
19	198.858	46.598	43.406	29.814	0.359	0.892	20000.0
20	197.048	46.409	42.471	29.527	0.358	0.894	20000.0
21	200.011	46.672	43.953	30.037	0.356	0.893	40000.0
22	199.326	46.506	43.092	29.596	0.357	0.895	20000.0
23	197.396	46.151	42.738	29.287	0.355	0.897	30000.0
24	199.273	46.718	42.936	29.639	0.356	0.897	20000.0
25	199.127	46.79	43.4	29.747	0.361	0.894	40000.0
26	199.019	46.71	43.261	29.851	0.36	0.891	30000.0
27	198.573	46.12	43.026	29.261	0.355	0.894	20000.0
28	202.029	46.912	43.973	30.073	0.358	0.894	20000.0
29	199.66	46.541	43.194	29.54	0.356	0.898	20000.0
30	198.559	46.478	42.927	29.578	0.357	0.894	40000.0
31	199.276	46.472	42.827	29.438	0.354	0.897	20000.0
32	199.031	46.547	43.178	29.654	0.357	0.895	30000.0
33	197.323	46.43	42.894	29.713	0.36	0.893	20000.0
34	198.733	46.256	42.981	29.361	0.36	0.895	20000.0
35	200.104	46.665	43.833	29.764	0.363	0.895	50000.0
36	197.615	46.424	42.866	29.459	0.356	0.895	30000.0
37	197.486	46.436	42.643	29.507	0.359	0.895	20000.0
38	197.312	45.892	42.339	29.089	0.351	0.899	40000.0
39	198.828	46.265	43.283	29.648	0.352	0.898	30000.0
40	199.491	46.673	43.719	29.832	0.36	0.892	30000.0
41	198.966	46.301	43.386	29.493	0.356	0.896	20000.0
42	198.442	46.511	43.173	29.461	0.355	0.895	30000.0
43	199.291	46.407	43.242	29.513	0.357	0.896	20000.0
44	198.329	46.383	42.824	29.582	0.354	0.896	40000.0
45	198.509	46.24	43.145	29.545	0.355	0.894	40000.0
46	197.006	46.255	42.756	29.351	0.353	0.896	20000.0
47	198.854	46.627	43.233	29.813	0.362	0.892	50000.0
48	199.552	46.64	43.386	29.748	0.36	0.894	20000.0
49	197.825	46.438	42.947	29.584	0.357	0.895	40000.0
50	200.301	46.611	43.936	29.875	0.356	0.893	30000.0
51	196.595	46.511	42.163	29.43	0.359	0.893	20000.0
52	197.182	46.281	42.419	29.278	0.356	0.895	20000.0
53	200.049	46.462	43.365	29.585	0.358	0.894	30000.0
54	198.879	46.618	43.19	29.581	0.358	0.893	30000.0
55	198.388	46.434	43.08	29.722	0.356	0.893	20000.0
56	197.882	46.62	43.076	29.714	0.359	0.892	20000.0
57	201.844	46.646	44.116	29.774	0.357	0.896	20000.0
58	197.823	46.083	42.995	29.416	0.358	0.894	40000.0
59	197.983	46.177	43.155	29.456	0.355	0.895	20000.0
60	196.697	45.96	42.811	29.213	0.354	0.897	30000.0
61	200.4	46.666	43.513	29.773	0.358	0.893	20000.0
62	198.461	46.513	43.103	29.759	0.36	0.893	40000.0
63	197.775	46.314	42.462	29.401	0.356	0.895	20000.0
64	198.154	46.705	42.83	29.685	0.361	0.893	30000.0
65	198.289	46.248	42.742	29.4	0.354	0.896	30000.0
66	199.045	46.595	43.29	29.806	0.356	0.893	30000.0
67	198.758	46.364	43.288	29.434	0.353	0.898	20000.0
68	200.331	46.486	43.726	29.699	0.357	0.896	20000.0
69	197.382	46.282	42.995	29.466	0.358	0.895	40000.0
70	199.911	46.57	43.471	29.671	0.354	0.898	20000.0
71	197.45	46.373	42.838	29.538	0.355	0.895	90000.0
72	198.046	46.551	42.914	29.798	0.361	0.891	40000.0
73	197.863	46.487	43.138	29.504	0.359	0.895	20000.0
74	199.343	46.431	43.603	29.81	0.357	0.893	30000.0
75	198.974	46.49	43.208	29.738	0.354	0.895	20000.0
76	196.611	46.306	42.4	29.502	0.358	0.894	30000.0
77	199.393	46.345	43.612	29.459	0.353	0.896	20000.0
78	197.95	46.331	42.942	29.584	0.355	0.896	20000.0
79	197.863	46.46	42.676	29.629	0.357	0.895	20000.0
80	201.01	46.759	43.973	29.881	0.356	0.894	20000.0
81	198.653	46.618	43.208	29.721	0.358	0.894	20000.0
82	198.067	46.392	43.218	29.648	0.358	0.892	20000.0
83	199.928	46.615	43.483	29.62	0.358	0.897	30000.0
84	197.885	46.283	42.693	29.396	0.358	0.894	30000.0
85	198.415	46.48	43.103	29.631	0.361	0.89	40000.0
86	199.625	46.588	43.264	29.696	0.36	0.893	20000.0
87	199.204	46.712	43.329	29.717	0.36	0.895	20000.0
88	198.954	46.597	43.273	29.933	0.361	0.891	30000.0
89	197.726	46.269	42.923	29.315	0.354	0.896	40000.0
90	198.592	46.008	43.402	29.45	0.352	0.896	30000.0
91	200.141	46.555	43.754	29.711	0.356	0.895	30000.0
92	196.717	46.468	42.555	29.315	0.358	0.897	20000.0
93	198.576	46.465	42.963	29.553	0.355	0.896	50000.0
94	197.198	46.138	42.806	29.392	0.355	0.897	20000.0
95	200.873	46.744	43.757	29.859	0.36	0.893	40000.0
96	198.273	46.492	43.139	29.661	0.357	0.895	40000.0
97	199.673	46.536	43.572	29.685	0.36	0.894	20000.0
98	199.013	46.43	43.138	29.537	0.357	0.894	40000.0
99	198.918	46.631	42.982	29.721	0.36	0.894	40000.0
100	196.893	46.602	42.72	29.58	0.362	0.893	20000.0
