Samples	SBS96A	SBS96B
TCGA-HR-A5NC-01	46	47
TCGA-IH-A3EA-01	0	2015
TCGA-LH-A9QB-06	19	340
TCGA-OD-A75X-06	18	1437
TCGA-QB-A6FS-06	0	1604
TCGA-QB-AA9O-06	148	1948
TCGA-RP-A690-06	16	4
TCGA-RP-A693-06	55	1036
TCGA-RP-A694-06	65	910
TCGA-RP-A695-06	0	1185
TCGA-RP-A6K9-06	66	2
TCGA-W3-A824-06	260	1771
TCGA-W3-A825-06	42	1512
TCGA-W3-A828-06	130	1721
TCGA-W3-AA1O-06	7	1041
TCGA-W3-AA1Q-06	0	1269
TCGA-W3-AA1R-06	89	2302
TCGA-W3-AA1V-06	164	7325
TCGA-W3-AA1W-06	28	931
TCGA-W3-AA21-06	40	663
TCGA-WE-A8JZ-06	31	250
TCGA-WE-A8K1-06	48	412
TCGA-WE-A8K4-01	38	1121
TCGA-WE-A8K5-06	64	1526
TCGA-WE-A8K6-06	34	332
TCGA-WE-A8ZM-06	40	63
TCGA-WE-A8ZN-06	19	206
TCGA-WE-A8ZO-06	3	484
TCGA-WE-A8ZQ-06	78	172
TCGA-WE-A8ZR-06	23	13
TCGA-WE-A8ZT-06	7	621
TCGA-WE-A8ZX-06	0	800
TCGA-WE-A8ZY-06	34	312
TCGA-WE-AA9Y-06	13	91
TCGA-WE-AAA0-06	1	1981
TCGA-WE-AAA3-06	24	506
TCGA-WE-AAA4-06	29	283
TCGA-XV-A9VZ-01	14	4
TCGA-XV-A9W2-01	46	10
TCGA-XV-A9W5-01	34	101
TCGA-XV-AAZV-01	18	141
TCGA-XV-AAZW-01	54	160
TCGA-XV-AAZY-01	0	239
TCGA-YD-A89C-06	13	2392
TCGA-YD-A9TA-06	28	4608
TCGA-YD-A9TB-06	40	428
TCGA-YG-AA3N-01	0	2796
TCGA-YG-AA3O-06	22	1505
TCGA-YG-AA3P-06	82	16
TCGA-Z2-A8RT-06	0	4075
TCGA-Z2-AA3S-06	3	290
TCGA-Z2-AA3V-06	18	575
TCGA-3C-AAAU-01	41	4
TCGA-3C-AALI-01	561	247
TCGA-3C-AALJ-01	54	12
TCGA-3C-AALK-01	54	10
TCGA-4H-AAAK-01	30	3
TCGA-5L-AAT0-01	135	144
TCGA-5L-AAT1-01	1158	828
TCGA-5T-A9QA-01	46	7
TCGA-A1-A0SB-01	15	1
TCGA-A1-A0SD-01	37	3
TCGA-A1-A0SE-01	22	14
TCGA-A1-A0SF-01	32	32
TCGA-A1-A0SG-01	27	8
TCGA-A1-A0SH-01	87	51
TCGA-A1-A0SI-01	189	89
TCGA-A1-A0SJ-01	37	3
TCGA-A1-A0SK-01	76	8
TCGA-A1-A0SM-01	27	5
TCGA-A1-A0SN-01	59	17
TCGA-A1-A0SO-01	318	35
TCGA-A1-A0SP-01	54	16
TCGA-A2-A04N-01	40	13
TCGA-A2-A04R-01	93	9
TCGA-A2-A04U-01	59	8
TCGA-A2-A04W-01	128	59
TCGA-A2-A0CK-01	23	4
TCGA-A2-A0CL-01	144	56
TCGA-A2-A0CR-01	119	91
TCGA-A2-A0CS-01	48	0
TCGA-A2-A0CV-01	22	2
TCGA-A2-A0CW-01	61	23
TCGA-A2-A0D3-01	30	2
TCGA-A2-A0EN-01	29	10
TCGA-A2-A0EP-01	12	4
TCGA-A2-A0ES-01	13	6
TCGA-A2-A0EW-01	19	1
TCGA-A2-A0ST-01	25	3
TCGA-A2-A0SU-01	30	5
TCGA-A2-A0SX-01	32	9
TCGA-A2-A0SY-01	111	66
TCGA-A2-A0T0-01	195	22
TCGA-A2-A0T1-01	26	6
TCGA-A2-A0T3-01	41	3
TCGA-A2-A0T4-01	39	2
TCGA-A2-A0T5-01	12	1
TCGA-A2-A0T6-01	25	3
TCGA-A2-A0T7-01	25	4
TCGA-A2-A0YC-01	28	4
TCGA-A2-A0YD-01	54	33
TCGA-A2-A0YE-01	35	8
TCGA-A2-A0YF-01	33	6
TCGA-A2-A0YG-01	59	19
TCGA-A2-A0YH-01	76	24
TCGA-A2-A0YI-01	13	5
TCGA-A2-A0YJ-01	95	3
TCGA-A2-A0YK-01	307	171
TCGA-A2-A0YL-01	21	22
TCGA-A2-A0YM-01	93	16
TCGA-A2-A0YT-01	58	23
TCGA-A2-A1FV-01	36	14
TCGA-A2-A1FW-01	77	18
TCGA-A2-A1FX-01	21	7
TCGA-A2-A1FZ-01	29	0
TCGA-A2-A1G0-01	13	10
TCGA-A2-A1G1-01	31	8
TCGA-A2-A1G6-01	10	0
TCGA-A2-A259-01	17	12
TCGA-A2-A25A-01	85	44
TCGA-A2-A25B-01	103	25
TCGA-A2-A25C-01	30	9
TCGA-A2-A25D-01	52	12
TCGA-A2-A25E-01	53	8
TCGA-A2-A25F-01	6	0
TCGA-A2-A3KD-01	14	4
TCGA-A2-A3XT-01	113	9
TCGA-A2-A3XU-01	30	1
TCGA-A2-A3XV-01	40	8
TCGA-A2-A3XW-01	12	5
TCGA-A2-A3XX-01	45	7
TCGA-A2-A3XZ-01	39	13
TCGA-A2-A3Y0-01	218	25
TCGA-A2-A4S1-01	94	4
TCGA-A2-A4S2-01	36	7
TCGA-A2-A4S3-01	95	12
TCGA-A7-A0CE-01	46	15
TCGA-A7-A0CH-01	10	7
TCGA-A7-A0D9-01	7	5
TCGA-A7-A0DA-01	164	23
TCGA-A7-A0DB-01	45	8
TCGA-A7-A13D-01	119	21
TCGA-A7-A13E-01	76	4
TCGA-A7-A13F-01	40	5
TCGA-A7-A13G-01	28	4
TCGA-A7-A26E-01	48	19
TCGA-A7-A26F-01	39	7
TCGA-A7-A26G-01	54	14
TCGA-A7-A26H-01	115	35
TCGA-A7-A26I-01	33	13
TCGA-A7-A26J-01	37	5
TCGA-A7-A2KD-01	43	12
TCGA-A7-A3RF-01	38	2
TCGA-A7-A425-01	30	3
TCGA-A7-A4SC-01	31	7
TCGA-A7-A4SD-01	60	2
TCGA-A7-A4SE-01	123	23
TCGA-A7-A56D-01	157	68
TCGA-A7-A5ZV-01	242	26
TCGA-A7-A5ZW-01	32	4
TCGA-A7-A5ZX-01	30	12
TCGA-A7-A6VV-01	55	9
TCGA-A7-A6VW-01	73	19
TCGA-A7-A6VX-01	126	51
TCGA-A7-A6VY-01	114	22
TCGA-A8-A075-01	67	33
TCGA-AC-A23C-01	104	41
TCGA-AC-A23E-01	22	2
TCGA-AC-A23H-01	4155	2223
TCGA-AC-A2B8-01	86	42
TCGA-AC-A2BK-01	105	5
TCGA-AC-A2BM-01	26	0
TCGA-AC-A2FB-01	12	5
TCGA-AC-A2FF-01	7	4
TCGA-AC-A2FG-01	30	9
TCGA-AC-A2FK-01	2	1
TCGA-AC-A2FO-01	18	9
TCGA-AC-A2QH-01	27	0
TCGA-AC-A3HN-01	20	2
TCGA-AC-A3OD-01	28	11
TCGA-AC-A3QP-01	32	3
TCGA-AC-A3QQ-01	32	4
TCGA-AC-A3W5-01	163	48
TCGA-AC-A3YI-01	15	3
TCGA-AC-A3YJ-01	28	10
TCGA-AC-A4ZE-01	61	13
TCGA-AC-A5EH-01	177	28
TCGA-AC-A5EI-01	31	12
TCGA-AC-A5XS-01	404	311
TCGA-AC-A5XU-01	99	14
TCGA-AC-A62V-01	96	10
TCGA-AC-A62X-01	84	3
TCGA-AC-A62Y-01	75	14
TCGA-AC-A6IV-01	21	6
TCGA-AC-A6IW-01	178	53
TCGA-AC-A6IX-01	46	25
TCGA-AC-A6NO-01	35	8
TCGA-AC-A7VB-01	34	1
TCGA-AC-A7VC-01	22	4
TCGA-AC-A8OP-01	215	29
TCGA-AC-A8OQ-01	108	29
TCGA-AC-A8OR-01	31	1
TCGA-AC-A8OS-01	59	20
TCGA-AN-A0XL-01	32	8
TCGA-AN-A0XN-01	159	16
TCGA-AN-A0XO-01	26	17
TCGA-AN-A0XP-01	29	5
TCGA-AN-A0XR-01	31	7
TCGA-AN-A0XS-01	25	7
TCGA-AN-A0XT-01	20	2
TCGA-AN-A0XU-01	124	13
TCGA-AN-A0XV-01	39	5
TCGA-AN-A0XW-01	289	134
TCGA-AO-A03M-01	768	382
TCGA-AO-A03N-01	100	34
TCGA-AO-A03U-01	4	1
TCGA-AO-A03V-01	49	23
TCGA-AO-A0JG-01	13	8
TCGA-AO-A124-01	158	20
TCGA-AO-A125-01	39	6
TCGA-AO-A126-01	21	4
TCGA-AO-A128-01	1203	7
TCGA-AO-A129-01	125	19
TCGA-AO-A12A-01	17	2
TCGA-AO-A12B-01	23	0
TCGA-AO-A12D-01	38	35
TCGA-AO-A12E-01	27	6
TCGA-AO-A12F-01	40	0
TCGA-AO-A12G-01	37	5
TCGA-AO-A12H-01	24	6
TCGA-AO-A1KO-01	9	1
TCGA-AO-A1KR-01	79	10
TCGA-AO-A1KT-01	46	5
TCGA-AQ-A04H-01	76	5
TCGA-AQ-A0Y5-01	58	12
TCGA-AQ-A1H2-01	32	2
TCGA-AQ-A1H3-01	27	0
TCGA-AQ-A54O-01	23	2
TCGA-AQ-A7U7-01	64	32
TCGA-AR-A0TP-01	61	10
TCGA-AR-A0TQ-01	35	14
TCGA-AR-A0TR-01	33	9
TCGA-AR-A0TS-01	77	13
TCGA-AR-A0TT-01	59	16
TCGA-AR-A0TU-01	81	9
TCGA-AR-A0TV-01	67	12
TCGA-AR-A0TW-01	63	4
TCGA-AR-A0TX-01	247	160
TCGA-AR-A0TZ-01	55	12
TCGA-AR-A0U0-01	44	6
TCGA-AR-A0U1-01	99	10
TCGA-AR-A0U2-01	53	3
TCGA-AR-A0U3-01	32	8
TCGA-AR-A0U4-01	168	33
TCGA-AR-A1AH-01	116	4
TCGA-AR-A1AI-01	69	20
TCGA-AR-A1AJ-01	39	14
TCGA-AR-A1AK-01	60	22
TCGA-AR-A1AL-01	24	6
TCGA-AR-A1AN-01	30	1
TCGA-AR-A1AO-01	99	23
TCGA-AR-A1AP-01	40	11
TCGA-AR-A1AQ-01	38	3
TCGA-AR-A1AR-01	57	6
TCGA-AR-A1AS-01	31	10
TCGA-AR-A1AT-01	29	3
TCGA-AR-A1AU-01	23	3
TCGA-AR-A1AV-01	41	8
TCGA-AR-A1AW-01	36	5
TCGA-AR-A1AX-01	21	11
TCGA-AR-A1AY-01	60	12
TCGA-AR-A24H-01	131	21
TCGA-AR-A24K-01	29	5
TCGA-AR-A24L-01	47	6
TCGA-AR-A24M-01	25	0
TCGA-AR-A24N-01	37	10
TCGA-AR-A24O-01	21	1
TCGA-AR-A24P-01	14	5
TCGA-AR-A24Q-01	190	42
TCGA-AR-A24R-01	24	2
TCGA-AR-A24S-01	45	12
TCGA-AR-A24T-01	21	3
TCGA-AR-A24U-01	32	12
TCGA-AR-A24V-01	26	2
TCGA-AR-A24W-01	8	6
TCGA-AR-A24X-01	28	6
TCGA-AR-A24Z-01	51	5
TCGA-AR-A250-01	127	28
TCGA-AR-A251-01	175	30
TCGA-AR-A252-01	16	3
TCGA-AR-A254-01	31	11
TCGA-AR-A255-01	69	20
TCGA-AR-A256-01	183	41
TCGA-AR-A2LE-01	212	182
TCGA-AR-A2LH-01	39	32
TCGA-AR-A2LK-01	41	7
TCGA-AR-A2LL-01	34	3
TCGA-AR-A2LM-01	13	4
TCGA-AR-A2LN-01	25	29
TCGA-AR-A2LO-01	14	3
TCGA-AR-A2LQ-01	12	1
TCGA-AR-A2LR-01	60	10
TCGA-AR-A5QM-01	31	5
TCGA-AR-A5QN-01	39	10
TCGA-AR-A5QP-01	26	8
TCGA-AR-A5QQ-01	85	11
TCGA-B6-A0I1-01	71	9
TCGA-B6-A0IH-01	33	8
TCGA-B6-A0RH-01	35	10
TCGA-B6-A0RL-01	56	13
TCGA-B6-A0RM-01	29	7
TCGA-B6-A0RN-01	32	1
TCGA-B6-A0RO-01	29	14
TCGA-B6-A0RP-01	23	7
TCGA-B6-A0RQ-01	36	20
TCGA-B6-A0RT-01	68	4
TCGA-B6-A0RU-01	49	9
TCGA-B6-A0RV-01	47	20
TCGA-B6-A0WS-01	17	1
TCGA-B6-A0WT-01	18	4
TCGA-B6-A0WV-01	30	7
