Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H
TCGA-BR-8592-01	24	0	1	9	0	6	1	2
TCGA-BR-8676-01	27	4	5	2	37	2	13	9
TCGA-BR-8677-01	23	0	0	16	34	5	0	6
TCGA-BR-8678-01	30	3	6	10	56	0	2	29
TCGA-BR-8679-01	55	0	31	21	65	8	20	0
TCGA-BR-8680-01	66	124	479	74	3	159	59	6848
TCGA-BR-8682-01	47	0	3	0	19	0	3	12
TCGA-BR-8683-01	46	7	14	33	63	17	4	3
TCGA-BR-8686-01	30	0	11	30	57	0	4	6
TCGA-BR-8687-01	0	2	6	57	19	7	142	0
TCGA-BR-8690-01	37	16	18	0	76	16	14	16
TCGA-BR-A44T-01	7	1	1	6	0	2	0	6
TCGA-BR-A44U-01	59	9	0	0	24	3	16	0
TCGA-BR-A452-01	15	0	2	2	62	0	37	13
TCGA-BR-A453-01	5	20	19	33	5	0	0	4
TCGA-BR-A4CQ-01	48	4	9	62	73	9	17	2
TCGA-BR-A4CR-01	15	21	7	12	28	0	2	0
TCGA-BR-A4CS-01	39	3	13	44	65	0	7	23
TCGA-BR-A4IU-01	9	4	1	3	0	1	0	10
TCGA-BR-A4IV-01	0	6	5	7	14	2	5	1
TCGA-BR-A4IY-01	55	19	6	0	88	11	2	6
TCGA-BR-A4IZ-01	12	0	1	0	2	0	2	3
TCGA-BR-A4J1-01	21	0	9	0	38	6	4	9
TCGA-BR-A4J2-01	40	3	4	0	13	0	3	7
TCGA-BR-A4J4-01	38	1	0	45	12	5	0	0
TCGA-BR-A4J5-01	52	5	3	4	24	9	18	0
TCGA-BR-A4J6-01	1	4	1	4	25	2	2	0
TCGA-BR-A4J7-01	23	0	17	9	9	5	3	2
TCGA-BR-A4J8-01	40	0	11	0	35	11	6	12
TCGA-BR-A4J9-01	20	4	0	6	12	2	4	0
TCGA-BR-A4PD-01	1	2	10	25	45	18	86	6
TCGA-BR-A4PE-01	63	0	34	34	83	4	36	1
TCGA-BR-A4PF-01	20	7	17	22	43	4	5	1
TCGA-BR-A4QI-01	26	6	16	10	62	0	19	11
TCGA-BR-A4QL-01	848	326	394	171	47	107	33	26
TCGA-BR-A4QM-01	23	5	17	11	32	7	18	10
TCGA-CD-5798-01	27	3	16	3	43	0	11	17
TCGA-CD-5799-01	17	4	10	3	16	1	1	5
TCGA-CD-5800-01	31	0	25	37	88	2	2	18
TCGA-CD-5801-01	33	52	0	44	117	23	198	78
TCGA-CD-5802-01	7	0	2	21	28	5	0	1
TCGA-CD-5803-01	8	2	7	0	25	0	1	2
TCGA-CD-5804-01	27	0	9	18	24	8	1	2
TCGA-CD-5813-01	49	17	15	0	94	20	12	16
TCGA-CD-8524-01	62	6	21	34	41	8	16	2
TCGA-CD-8525-01	14	3	5	0	55	0	4	18
TCGA-CD-8526-01	12	0	13	10	15	1	2	4
TCGA-CD-8527-01	80	34	47	52	49	15	24	7
TCGA-CD-8528-01	72	24	1	3	26	1	4	4
TCGA-CD-8529-01	25	45	17	23	353	7	5	30
TCGA-CD-8530-01	23	0	7	2	37	2	39	5
TCGA-CD-8531-01	37	44	41	49	98	34	16	6
TCGA-CD-8532-01	15	0	2	3	15	9	1	5
TCGA-CD-8533-01	81	3	7	0	48	7	2	7
TCGA-CD-8534-01	16	0	12	14	27	3	0	0
TCGA-CD-8535-01	0	0	26	90	81	0	114	23
TCGA-CD-8536-01	340	236	190	127	0	65	4	1
TCGA-CD-A486-01	25	0	23	13	40	2	1	8
TCGA-CD-A487-01	13	0	11	52	55	0	74	10
TCGA-CD-A489-01	17	6	5	2	43	4	9	10
TCGA-CD-A48A-01	43	0	14	30	65	22	89	28
TCGA-CD-A48C-01	52	10	14	1	81	0	83	31
TCGA-CD-A4MG-01	480	1021	596	219	0	216	6	60
TCGA-CD-A4MH-01	20	5	14	21	30	7	2	0
TCGA-CD-A4MI-01	257	395	201	124	9	54	12	59
TCGA-CD-A4MJ-01	214	201	131	65	12	86	11	0
TCGA-CG-4300-01	45	2	10	29	32	15	24	6
TCGA-CG-4301-01	13	2	3	9	35	2	0	0
TCGA-CG-4304-01	14	10	4	0	44	3	2	6
TCGA-CG-4305-01	322	386	234	206	7	115	36	5
TCGA-CG-4306-01	543	272	153	92	55	76	1	0
TCGA-CG-4436-01	68	0	5	0	52	9	85	1
TCGA-CG-4437-01	74	80	37	15	378	22	11	32
TCGA-CG-4438-01	39	24	4	0	89	7	3	5
TCGA-CG-4440-01	14	11	16	6	61	0	16	29
TCGA-CG-4441-01	41	10	2	16	17	2	29	18
TCGA-CG-4442-01	329	467	236	107	0	378	8	55
TCGA-CG-4443-01	8	7	9	5	80	7	1	0
TCGA-CG-4444-01	23	0	10	31	45	0	119	2
TCGA-CG-4449-01	4	0	17	19	40	11	5	15
TCGA-CG-4455-01	3	0	0	16	29	3	3	0
TCGA-CG-4460-01	1210	309	350	86	0	135	1	110
TCGA-CG-4462-01	45	0	4	0	20	1	15	12
TCGA-CG-4465-01	83	238	151	114	8	40	38	15
TCGA-CG-4466-01	36	1	9	11	65	3	107	16
TCGA-CG-4469-01	47	5	33	52	49	3	175	21
TCGA-CG-4474-01	48	10	9	1	26	3	0	10
TCGA-CG-4475-01	16	10	0	3	31	6	2	5
TCGA-CG-4476-01	22	11	7	16	75	8	1	6
TCGA-CG-4477-01	15	3	1	12	35	0	3	2
TCGA-CG-5716-01	10	0	0	0	4	5	0	5
TCGA-CG-5717-01	3	22	8	0	106	8	8	9
TCGA-CG-5718-01	11	0	10	30	43	5	3	5
TCGA-CG-5719-01	31	1	1	12	37	7	0	1
TCGA-CG-5720-01	27	6	5	11	43	6	5	0
TCGA-CG-5721-01	527	296	428	75	0	3623	15	0
TCGA-CG-5722-01	38	8	0	0	46	3	1	8
TCGA-CG-5723-01	470	387	451	118	38	327	25	57
TCGA-CG-5724-01	34	5	10	25	26	2	35	6
TCGA-CG-5725-01	8	0	4	13	16	0	2	7
TCGA-CG-5726-01	329	304	405	55	67	160	0	108
TCGA-CG-5727-01	61	12	7	2	83	0	3	35
TCGA-CG-5728-01	561	415	265	1	89	143	31	30
TCGA-CG-5730-01	37	0	20	40	83	6	0	16
TCGA-CG-5732-01	15	2	0	24	26	6	6	0
TCGA-CG-5733-01	308	386	196	150	0	67	20	66
TCGA-CG-5734-01	27	6	18	11	22	2	14	12
TCGA-D7-5577-01	17	0	9	46	39	4	15	14
TCGA-D7-5578-01	80	5	16	15	80	13	79	5
TCGA-D7-5579-01	19	23	7	0	62	0	33	30
TCGA-D7-6518-01	22	3	14	13	32	0	11	9
TCGA-D7-6519-01	14	5	0	1	35	4	0	8
TCGA-D7-6520-01	16	0	7	9	30	4	5	5
TCGA-D7-6521-01	25	0	6	7	32	0	0	18
TCGA-D7-6522-01	24	6	4	0	20	0	10	2
TCGA-D7-6524-01	55	3	1	0	33	9	0	23
TCGA-D7-6525-01	18	1	19	24	62	2	48	27
TCGA-D7-6526-01	31	5	14	38	100	0	65	15
TCGA-D7-6527-01	36	1	16	0	75	1	128	10
TCGA-D7-6528-01	13	0	31	37	128	6	177	30
TCGA-D7-6815-01	44	0	28	63	29	0	7	0
TCGA-D7-6817-01	25	11	12	12	26	8	11	0
TCGA-D7-6818-01	9	0	18	24	15	8	118	0
TCGA-D7-6820-01	25	11	2	2	72	5	2	2
TCGA-D7-6822-01	36	14	8	0	76	16	136	21
TCGA-D7-8570-01	40	0	12	19	76	0	6	1
TCGA-D7-8572-01	26	1	11	54	95	5	9	21
TCGA-D7-8573-01	37	13	6	4	26	5	8	6
TCGA-D7-8574-01	22	6	1	4	13	0	3	0
TCGA-D7-8575-01	19	4	0	3	20	2	0	9
TCGA-D7-8576-01	19	1	12	16	16	7	0	0
TCGA-D7-8578-01	29	0	15	14	7	1	0	1
TCGA-D7-8579-01	37	0	16	0	11	9	62	8
TCGA-D7-A4YT-01	31	45	15	0	233	3	11	26
TCGA-D7-A4YU-01	66	10	16	19	82	7	68	17
TCGA-D7-A4YV-01	394	205	225	121	0	23	18	14
TCGA-D7-A4YX-01	51	0	4	13	26	6	0	0
TCGA-D7-A4YY-01	108	114	109	102	13	19	72	13
TCGA-D7-A4Z0-01	24	0	18	0	0	0	322	2
TCGA-D7-A6ET-01	10	2	0	6	14	1	0	1
TCGA-D7-A6EV-01	67	20	14	6	58	4	26	9
TCGA-D7-A6EX-01	20	6	12	35	49	0	10	21
TCGA-D7-A6EY-01	405	422	285	0	84	237	128	0
TCGA-D7-A6EZ-01	23	30	21	0	194	12	21	13
TCGA-D7-A6F0-01	17	2	26	26	56	0	10	20
TCGA-D7-A6F2-01	37	8	0	0	36	6	1	2
TCGA-D7-A747-01	12	0	4	22	25	0	63	0
TCGA-D7-A748-01	14	0	11	12	1	0	8	5
TCGA-D7-A74A-01	44	0	0	12	129	0	0	10
TCGA-D7-A74B-01	9	4	0	10	9	3	3	4
TCGA-EQ-5647-01	17	0	5	5	58	6	7	12
TCGA-EQ-8122-01	29	0	27	61	78	9	12	12
TCGA-EQ-A4SO-01	13	23	10	0	133	12	6	8
TCGA-F1-6177-01	580	323	260	166	0	46	20	0
TCGA-F1-6874-01	244	245	167	258	0	53	11	13
TCGA-F1-6875-01	41	8	0	18	31	6	8	3
TCGA-F1-A448-01	250	214	122	0	22	45	15	0
TCGA-F1-A72C-01	19	0	9	7	16	3	7	0
TCGA-FP-7735-01	13	1	0	13	39	0	0	5
TCGA-FP-7829-01	41	7	36	91	75	0	27	29
TCGA-FP-7916-01	42	8	19	13	35	0	2	6
TCGA-FP-7998-01	18	0	8	10	30	4	3	8
TCGA-FP-8099-01	54	7	16	26	34	0	0	36
TCGA-FP-8209-01	0	0	1	0	0	0	0	0
TCGA-FP-8210-01	0	4	0	0	0	1	0	0
TCGA-FP-8211-01	0	21	8	0	70	3	4	10
TCGA-FP-8631-01	6	10	4	17	60	0	7	16
TCGA-FP-A4BE-01	761	437	260	84	0	66	33	0
TCGA-FP-A4BF-01	32	0	25	8	37	3	8	9
TCGA-FP-A8CX-01	29	6	1	11	37	8	12	10
TCGA-FP-A9TM-01	59	4	19	47	72	6	1	0
TCGA-HF-7131-01	8	0	1	5	78	3	20	0
TCGA-HF-7132-01	485	349	327	101	18	50	21	29
TCGA-HF-7133-01	18	5	13	19	31	1	2	0
TCGA-HF-7134-01	63	0	18	62	85	7	107	13
