Samples	SBS96A	SBS96B	SBS96C	SBS96D
TCGA-50-8459-01	71	35	6	7
TCGA-50-8460-01	6	20	5	5
TCGA-53-7624-01	673	81	193	65
TCGA-53-7626-01	367	22	56	5
TCGA-53-7813-01	133	42	2	9
TCGA-53-A4EZ-01	530	60	35	49
TCGA-55-1592-01	383	152	91	65
TCGA-55-1594-01	68	55	94	14
TCGA-55-1595-01	315	56	22	14
TCGA-55-1596-01	125	66	7	36
TCGA-55-5899-01	343	40	138	28
TCGA-55-6543-01	0	21	3	1
TCGA-55-6642-01	118	17	7	13
TCGA-55-6712-01	32	43	118	3
TCGA-55-6968-01	140	3	509	3
TCGA-55-6969-01	392	50	29	43
TCGA-55-6970-01	147	35	15	12
TCGA-55-6971-01	65	21	8	14
TCGA-55-6972-01	113	16	159	54
TCGA-55-6975-01	43	40	17	0
TCGA-55-6978-01	1	32	0	2
TCGA-55-6979-01	89	11	72	0
TCGA-55-6980-01	0	10	0	6
TCGA-55-6981-01	6	44	7	6
TCGA-55-6982-01	16	21	245	5
TCGA-55-6983-01	75	38	6	15
TCGA-55-6984-01	9	9	1	8
TCGA-55-6985-01	469	53	4	58
TCGA-55-6986-01	2	13	0	10
TCGA-55-6987-01	113	33	108	0
TCGA-55-7227-01	130	45	15	14
TCGA-55-7281-01	397	48	47	65
TCGA-55-7283-01	106	98	67	20
TCGA-55-7284-01	0	48	0	9
TCGA-55-7570-01	263	58	130	16
TCGA-55-7573-01	31	11	11	10
TCGA-55-7574-01	107	12	175	28
TCGA-55-7576-01	322	115	33	29
TCGA-55-7724-01	97	109	54	17
TCGA-55-7725-01	114	30	5	5
TCGA-55-7726-01	11	45	85	0
TCGA-55-7727-01	123	35	113	46
TCGA-55-7728-01	76	31	1	13
TCGA-55-7815-01	116	43	10	13
TCGA-55-7816-01	0	2	0	0
TCGA-55-7903-01	81	66	28	13
TCGA-55-7907-01	1071	75	274	33
TCGA-55-7910-01	280	60	14	14
TCGA-55-7911-01	188	37	25	28
TCGA-55-7913-01	286	75	50	24
TCGA-55-7914-01	110	67	29	8
TCGA-55-7994-01	1517	181	106	86
TCGA-55-7995-01	552	71	134	65
TCGA-55-8085-01	130	55	137	6
TCGA-55-8087-01	0	23	5	9
TCGA-55-8089-01	908	83	509	46
TCGA-55-8090-01	66	30	3	14
