Samples	SBS96A
TCGA-D3-A2JN-06	0.00E+00
TCGA-D3-A2JO-06	0.00E+00
TCGA-D3-A2JP-06	0.00E+00
TCGA-D3-A3BZ-06	0.00E+00
TCGA-D3-A3C1-06	0.00E+00
TCGA-D3-A3C3-06	0.00E+00
TCGA-D3-A3C6-06	0.00E+00
TCGA-D3-A3C7-06	0.00E+00
TCGA-D3-A3C8-06	0.00E+00
TCGA-D3-A3CB-06	0.00E+00
TCGA-D3-A3CC-06	0.00E+00
TCGA-D3-A3CE-06	0.00E+00
TCGA-D3-A3CF-06	0.00E+00
TCGA-D3-A3ML-06	0.00E+00
TCGA-D3-A3MO-06	0.00E+00
TCGA-D3-A3MR-06	0.00E+00
TCGA-D3-A3MU-06	0.00E+00
TCGA-D3-A3MV-06	0.00E+00
TCGA-D3-A51E-06	0.00E+00
TCGA-D3-A51F-06	0.00E+00
TCGA-D3-A51G-06	0.00E+00
TCGA-D3-A51H-06	0.00E+00
TCGA-D3-A51J-06	0.00E+00
TCGA-D3-A51K-06	0.00E+00
TCGA-D3-A51N-06	0.00E+00
TCGA-D3-A51R-06	0.00E+00
TCGA-D3-A51T-06	0.00E+00
TCGA-D3-A5GL-06	0.00E+00
TCGA-D3-A5GN-06	0.00E+00
TCGA-D3-A5GO-06	0.00E+00
TCGA-D3-A5GR-06	0.00E+00
TCGA-D3-A5GS-06	0.00E+00
TCGA-D3-A5GT-01	0.00E+00
TCGA-D3-A5GU-06	0.00E+00
TCGA-D3-A8GB-06	0.00E+00
TCGA-D3-A8GC-06	0.00E+00
TCGA-D3-A8GD-06	0.00E+00
TCGA-D3-A8GE-06	0.00E+00
TCGA-D3-A8GI-06	0.00E+00
TCGA-D3-A8GJ-06	0.00E+00
TCGA-D3-A8GK-06	0.00E+00
TCGA-D3-A8GL-06	0.00E+00
TCGA-D3-A8GM-06	0.00E+00
TCGA-D3-A8GN-06	0.00E+00
TCGA-D3-A8GO-06	0.00E+00
TCGA-D3-A8GP-06	0.00E+00
TCGA-D3-A8GQ-06	0.00E+00
TCGA-D3-A8GR-06	0.00E+00
TCGA-D3-A8GS-06	0.00E+00
TCGA-D3-A8GV-06	0.00E+00
TCGA-D9-A148-06	0.00E+00
TCGA-D9-A149-06	0.00E+00
TCGA-D9-A1JW-06	0.00E+00
TCGA-D9-A1JX-06	0.00E+00
TCGA-D9-A1X3-06	0.00E+00
TCGA-D9-A3Z1-06	0.00E+00
TCGA-D9-A3Z3-06	0.00E+00
TCGA-D9-A3Z4-01	0.00E+00
TCGA-D9-A4Z2-01	0.00E+00
TCGA-D9-A4Z3-01	0.00E+00
TCGA-D9-A4Z5-01	0.00E+00
TCGA-D9-A4Z6-06	0.00E+00
TCGA-D9-A6E9-06	0.00E+00
TCGA-D9-A6EA-06	0.00E+00
TCGA-D9-A6EC-06	0.00E+00
TCGA-D9-A6EG-06	0.00E+00
TCGA-DA-A1HV-06	0.00E+00
TCGA-DA-A1HW-06	0.00E+00
TCGA-DA-A1HY-06	0.00E+00
TCGA-DA-A1I0-06	0.00E+00
TCGA-DA-A1I1-06	0.00E+00
TCGA-DA-A1I2-06	0.00E+00
TCGA-DA-A1I4-06	0.00E+00
TCGA-DA-A1I5-06	0.00E+00
TCGA-DA-A1I7-06	0.00E+00
TCGA-DA-A1I8-06	0.00E+00
TCGA-DA-A1IA-06	0.00E+00
TCGA-DA-A1IB-06	0.00E+00
TCGA-DA-A1IC-06	0.00E+00
TCGA-DA-A3F3-06	0.00E+00
TCGA-DA-A3F5-06	0.00E+00
TCGA-DA-A3F8-06	0.00E+00
TCGA-DA-A95V-06	0.00E+00
TCGA-DA-A95W-06	0.00E+00
TCGA-DA-A95X-06	0.00E+00
TCGA-DA-A95Y-06	0.00E+00
TCGA-DA-A95Z-06	0.00E+00
TCGA-DA-A960-01	0.00E+00
TCGA-EB-A1NK-01	0.00E+00
TCGA-EB-A24C-01	0.00E+00
TCGA-EB-A24D-01	0.00E+00
TCGA-EB-A299-01	0.00E+00
TCGA-EB-A3HV-01	0.00E+00
TCGA-EB-A3XB-01	0.00E+00
TCGA-EB-A3XC-01	0.00E+00
TCGA-EB-A3XD-01	0.00E+00
TCGA-EB-A3XE-01	0.00E+00
TCGA-EB-A3XF-01	0.00E+00
TCGA-EB-A3Y6-01	0.00E+00
TCGA-EB-A3Y7-01	0.00E+00
TCGA-EB-A41A-01	0.00E+00
TCGA-EB-A41B-01	0.00E+00
TCGA-EB-A42Y-01	0.00E+00
TCGA-EB-A42Z-01	0.00E+00
TCGA-EB-A430-01	0.00E+00
TCGA-EB-A431-01	0.00E+00
TCGA-EB-A44N-01	0.00E+00
TCGA-EB-A44O-01	0.00E+00
TCGA-EB-A44P-01	0.00E+00
TCGA-EB-A44Q-06	0.00E+00
TCGA-EB-A44R-06	0.00E+00
TCGA-EB-A4IQ-01	0.00E+00
TCGA-EB-A4IS-01	0.00E+00
TCGA-EB-A4OY-01	0.00E+00
TCGA-EB-A4OZ-01	0.00E+00
TCGA-EB-A4P0-01	0.00E+00
TCGA-EB-A4XL-01	0.00E+00
TCGA-EB-A51B-01	0.00E+00
TCGA-EB-A550-01	0.00E+00
TCGA-EB-A551-01	0.00E+00
TCGA-EB-A553-01	0.00E+00
TCGA-EB-A57M-01	0.00E+00
TCGA-EB-A5FP-01	0.00E+00
TCGA-EB-A5KH-06	0.00E+00
TCGA-EB-A5SE-01	0.00E+00
TCGA-EB-A5SF-01	0.00E+00
TCGA-EB-A5SG-06	0.00E+00
TCGA-EB-A5SH-06	0.00E+00
TCGA-EB-A5UL-06	0.00E+00
TCGA-EB-A5UM-01	0.00E+00
TCGA-EB-A5UN-06	0.00E+00
TCGA-EB-A5VU-01	0.00E+00
TCGA-EB-A6L9-06	0.00E+00
TCGA-EB-A6QY-01	0.00E+00
TCGA-EB-A6QZ-01	0.00E+00
TCGA-EB-A6R0-01	0.00E+00
TCGA-EB-A82B-01	0.00E+00
TCGA-EB-A82C-01	0.00E+00
TCGA-EB-A85I-01	0.00E+00
TCGA-EB-A85J-01	0.00E+00
TCGA-EB-A97M-01	0.00E+00
TCGA-EE-A17X-06	0.00E+00
TCGA-EE-A17Y-06	0.00E+00
TCGA-EE-A17Z-06	0.00E+00
TCGA-EE-A180-06	0.00E+00
TCGA-EE-A181-06	0.00E+00
TCGA-EE-A182-06	0.00E+00
TCGA-EE-A183-06	0.00E+00
TCGA-EE-A184-06	0.00E+00
TCGA-EE-A185-06	0.00E+00
TCGA-EE-A20B-06	0.00E+00
TCGA-EE-A20C-06	0.00E+00
TCGA-EE-A20F-06	0.00E+00
TCGA-EE-A20H-06	0.00E+00
TCGA-EE-A20I-06	0.00E+00
TCGA-EE-A29A-06	0.00E+00
TCGA-EE-A29B-06	0.00E+00
TCGA-EE-A29C-06	0.00E+00
TCGA-EE-A29D-06	0.00E+00
TCGA-EE-A29E-06	0.00E+00
TCGA-EE-A29G-06	0.00E+00
TCGA-EE-A29H-06	0.00E+00
TCGA-EE-A29L-06	0.00E+00
TCGA-EE-A29M-06	0.00E+00
TCGA-EE-A29N-06	0.00E+00
TCGA-EE-A29P-06	0.00E+00
TCGA-EE-A29Q-06	0.00E+00
TCGA-EE-A29R-06	0.00E+00
TCGA-EE-A29S-06	0.00E+00
TCGA-EE-A29T-06	0.00E+00
TCGA-EE-A29V-06	0.00E+00
TCGA-EE-A29W-06	0.00E+00
TCGA-EE-A29X-06	0.00E+00
TCGA-EE-A2A0-06	0.00E+00
TCGA-EE-A2A1-06	0.00E+00
TCGA-EE-A2A2-06	0.00E+00
TCGA-EE-A2A5-06	0.00E+00
TCGA-EE-A2A6-06	0.00E+00
TCGA-EE-A2GB-06	0.00E+00
TCGA-EE-A2GC-06	0.00E+00
TCGA-EE-A2GD-06	0.00E+00
TCGA-EE-A2GE-06	0.00E+00
TCGA-EE-A2GH-06	0.00E+00
TCGA-EE-A2GI-06	0.00E+00
TCGA-EE-A2GJ-06	0.00E+00
TCGA-EE-A2GK-06	0.00E+00
TCGA-EE-A2GL-06	0.00E+00
TCGA-EE-A2GM-06	0.00E+00
TCGA-EE-A2GN-06	0.00E+00
TCGA-EE-A2GO-06	0.00E+00
TCGA-EE-A2GP-06	0.00E+00
TCGA-EE-A2GR-06	0.00E+00
TCGA-EE-A2GS-06	0.00E+00
TCGA-EE-A2GT-06	0.00E+00
TCGA-EE-A2GU-06	0.00E+00
TCGA-EE-A2M5-06	0.00E+00
TCGA-EE-A2M6-06	0.00E+00
TCGA-EE-A2M7-06	0.00E+00
TCGA-EE-A2M8-06	0.00E+00
TCGA-EE-A2MC-06	0.00E+00
TCGA-EE-A2MD-06	0.00E+00
TCGA-EE-A2ME-06	0.00E+00
TCGA-EE-A2MF-06	0.00E+00
TCGA-EE-A2MG-06	0.00E+00
TCGA-EE-A2MH-06	0.00E+00
TCGA-EE-A2MI-06	0.00E+00
TCGA-EE-A2MJ-06	0.00E+00
TCGA-EE-A2MK-06	0.00E+00
TCGA-EE-A2ML-06	0.00E+00
TCGA-EE-A2MM-06	0.00E+00
TCGA-EE-A2MN-06	0.00E+00
TCGA-EE-A2MP-06	0.00E+00
TCGA-EE-A2MQ-06	0.00E+00
TCGA-EE-A2MR-06	0.00E+00
TCGA-EE-A2MS-06	0.00E+00
TCGA-EE-A2MT-06	0.00E+00
TCGA-EE-A2MU-06	0.00E+00
TCGA-EE-A3AA-06	0.00E+00
TCGA-EE-A3AB-06	0.00E+00
TCGA-EE-A3AC-06	0.00E+00
TCGA-EE-A3AD-06	0.00E+00
TCGA-EE-A3AE-06	0.00E+00
TCGA-EE-A3AF-06	0.00E+00
