Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G
TCGA-A7-A6VV-01	0	9	18	9	8	5	15
TCGA-A7-A6VW-01	5	5	7	24	0	11	40
TCGA-A7-A6VX-01	32	13	4	56	10	18	44
TCGA-A7-A6VY-01	7	14	10	64	23	18	0
TCGA-A8-A075-01	18	11	8	26	14	2	21
TCGA-AC-A23C-01	36	23	11	28	22	25	0
TCGA-AC-A23E-01	0	0	12	6	6	0	0
TCGA-AC-A23H-01	2848	3416	0	90	0	21	3
TCGA-AC-A2B8-01	52	44	10	4	15	3	0
TCGA-AC-A2BK-01	0	5	31	54	2	18	0
TCGA-AC-A2BM-01	0	3	7	5	0	3	8
TCGA-AC-A2FB-01	4	0	3	2	0	4	4
TCGA-AC-A2FF-01	1	2	0	0	8	0	0
TCGA-AC-A2FG-01	9	2	9	0	0	3	16
TCGA-AC-A2FK-01	1	0	0	0	2	0	0
TCGA-AC-A2FO-01	8	4	2	0	13	0	0
TCGA-AC-A2QH-01	2	2	12	6	0	5	0
TCGA-AC-A3HN-01	2	2	7	5	0	5	1
TCGA-AC-A3OD-01	10	0	10	1	0	3	15
TCGA-AC-A3QP-01	0	1	1	0	4	4	25
TCGA-AC-A3QQ-01	0	1	15	5	8	2	5
TCGA-AC-A3W5-01	26	46	23	91	0	11	14
TCGA-AC-A3YI-01	0	0	4	0	10	4	0
TCGA-AC-A3YJ-01	4	1	13	0	9	3	8
TCGA-AC-A4ZE-01	10	1	14	14	0	12	23
TCGA-AC-A5EH-01	13	16	13	77	26	24	36
TCGA-AC-A5EI-01	13	1	11	2	0	4	12
TCGA-AC-A5XS-01	257	255	0	0	203	0	0
TCGA-AC-A5XU-01	13	5	50	6	31	8	0
TCGA-AC-A62V-01	3	7	45	32	8	11	0
TCGA-AC-A62X-01	0	3	52	7	18	7	0
TCGA-AC-A62Y-01	15	19	18	9	0	13	15
TCGA-AC-A6IV-01	1	0	6	0	4	0	16
TCGA-AC-A6IW-01	30	66	32	40	43	15	5
TCGA-AC-A6IX-01	27	8	13	6	0	13	4
TCGA-AC-A6NO-01	2	1	11	0	6	7	16
TCGA-AC-A7VB-01	0	0	17	0	0	6	12
TCGA-AC-A7VC-01	0	0	10	0	6	2	8
TCGA-AC-A8OP-01	11	16	53	67	57	40	0
TCGA-AC-A8OQ-01	21	5	33	3	0	2	73
TCGA-AC-A8OR-01	1	0	11	12	0	4	4
TCGA-AC-A8OS-01	16	5	11	12	0	11	24
TCGA-AN-A0XL-01	0	0	8	0	23	6	3
TCGA-AN-A0XN-01	1	16	8	55	24	29	42
TCGA-AN-A0XO-01	10	2	5	3	11	9	3
TCGA-AN-A0XP-01	5	4	6	6	0	9	4
TCGA-AN-A0XR-01	4	3	6	5	0	0	20
TCGA-AN-A0XS-01	8	0	5	0	0	1	18
TCGA-AN-A0XT-01	0	1	11	0	3	1	6
