Samples	SBS96A	SBS96B	SBS96C
TCGA-55-6972-01	120	37	185
TCGA-55-6975-01	46	39	15
TCGA-55-6978-01	1	34	0
TCGA-55-6979-01	96	0	76
TCGA-55-6980-01	0	16	0
TCGA-55-6981-01	7	51	5
TCGA-55-6982-01	20	0	267
TCGA-55-6983-01	79	48	7
TCGA-55-6984-01	9	15	3
TCGA-55-6985-01	480	84	20
TCGA-55-6986-01	2	21	2
TCGA-55-6987-01	123	15	116
TCGA-55-7227-01	135	53	16
TCGA-55-7281-01	407	81	69
TCGA-55-7283-01	113	108	70
TCGA-55-7284-01	0	57	0
TCGA-55-7570-01	280	46	141
TCGA-55-7573-01	32	18	13
TCGA-55-7574-01	118	4	200
TCGA-55-7576-01	335	130	34
TCGA-55-7724-01	104	121	52
TCGA-55-7725-01	117	33	4
TCGA-55-7726-01	16	29	96
TCGA-55-7727-01	130	54	133
TCGA-55-7728-01	79	39	3
TCGA-55-7815-01	122	50	10
TCGA-55-7816-01	0	2	0
TCGA-55-7903-01	86	74	28
TCGA-55-7907-01	1121	30	302
TCGA-55-7910-01	291	63	14
TCGA-55-7911-01	194	51	33
TCGA-55-7913-01	299	81	55
TCGA-55-7914-01	117	70	27
TCGA-55-7994-01	1565	196	129
TCGA-55-7995-01	572	92	158
TCGA-55-8085-01	140	42	146
TCGA-55-8087-01	0	31	6
TCGA-55-8089-01	961	25	560
TCGA-55-8090-01	69	39	5
TCGA-55-8091-01	2	33	0
TCGA-55-8092-01	385	151	189
TCGA-55-8094-01	452	74	31
TCGA-55-8096-01	114	46	19
TCGA-55-8097-01	55	74	10
TCGA-55-8203-01	431	92	7
TCGA-55-8204-01	96	60	114
TCGA-55-8205-01	358	24	266
TCGA-55-8206-01	7	25	6
TCGA-55-8207-01	281	87	19
TCGA-55-8208-01	135	42	267
TCGA-55-8299-01	207	44	22
TCGA-55-8301-01	249	71	42
TCGA-55-8302-01	705	96	44
TCGA-55-8505-01	3	29	16
TCGA-55-8506-01	1109	998	0
TCGA-55-8507-01	1010	141	62
TCGA-55-8508-01	147	61	19
TCGA-55-8510-01	319	27	46
TCGA-55-8511-01	509	89	115
TCGA-55-8512-01	29	15	7
TCGA-55-8513-01	0	8	0
TCGA-55-8514-01	260	78	13
TCGA-55-8614-01	116	140	42
TCGA-55-8615-01	95	60	7
TCGA-55-8616-01	508	74	21
TCGA-55-8619-01	0	27	0
TCGA-55-8620-01	447	142	26
TCGA-55-8621-01	51	27	11
TCGA-55-A48X-01	393	41	49
TCGA-55-A48Y-01	0	0	444
TCGA-55-A48Z-01	18	45	5
TCGA-55-A490-01	1436	42	165
TCGA-55-A491-01	345	73	48
TCGA-55-A492-01	244	86	25
TCGA-55-A493-01	184	48	108
TCGA-55-A494-01	188	92	15
TCGA-55-A4DF-01	210	1	772
TCGA-55-A4DG-01	739	65	40
TCGA-55-A57B-01	6	36	7
TCGA-62-8394-01	49	59	65
TCGA-62-8395-01	7	61	18
TCGA-62-8397-01	8	24	0
TCGA-62-8398-01	51	41	11
TCGA-62-8399-01	321	43	297
TCGA-62-8402-01	8	60	5
TCGA-62-A46O-01	778	103	211
TCGA-62-A46P-01	287	62	4
TCGA-62-A46R-01	101	74	34
TCGA-62-A46S-01	80	63	16
TCGA-62-A46U-01	12	34	6
TCGA-62-A46V-01	10	57	4
TCGA-62-A46Y-01	8	31	0
TCGA-62-A470-01	60	77	10
TCGA-62-A471-01	13	42	93
TCGA-62-A472-01	27	38	7
TCGA-64-1676-01	637	73	30
TCGA-64-1679-01	514	26	74
TCGA-64-1680-01	10	34	32
TCGA-64-1681-01	18	40	48
TCGA-64-5774-01	128	43	5
TCGA-64-5775-01	487	71	31
TCGA-64-5778-01	465	61	53
TCGA-64-5779-01	352	70	15
TCGA-64-5781-01	1089	91	225
TCGA-64-5815-01	157	49	7
TCGA-67-3770-01	208	54	11
TCGA-67-3771-01	699	138	483
TCGA-67-3773-01	80	41	4
TCGA-67-3774-01	96	39	15
TCGA-67-4679-01	274	56	22
TCGA-67-6215-01	18	104	15
TCGA-67-6216-01	3	24	18
TCGA-67-6217-01	153	65	16
TCGA-69-7760-01	21	60	7
TCGA-69-7761-01	17	17	2
TCGA-69-7763-01	34	66	0
TCGA-69-7764-01	54	54	8
TCGA-69-7765-01	606	34	107
TCGA-69-7973-01	250	44	15
TCGA-69-7974-01	491	99	50
TCGA-69-7978-01	481	13	272
TCGA-69-7979-01	1604	59	137
TCGA-69-7980-01	664	45	262
TCGA-69-8253-01	136	32	41
TCGA-69-8254-01	38	58	1
TCGA-69-8255-01	199	102	64
TCGA-69-A59K-01	508	73	56
TCGA-71-6725-01	2	68	3
