Samples	SBS96A	SBS96B	SBS96C	SBS96D
TCGA-AC-A62V-01	2	47	26	31
TCGA-AC-A62X-01	0	51	10	26
TCGA-AC-A62Y-01	29	18	18	24
TCGA-AC-A6IV-01	0	19	6	2
TCGA-AC-A6IW-01	93	30	72	36
TCGA-AC-A6IX-01	33	24	0	14
TCGA-AC-A6NO-01	1	21	6	15
TCGA-AC-A7VB-01	0	16	3	16
TCGA-AC-A7VC-01	0	16	5	5
TCGA-AC-A8OP-01	20	70	98	56
TCGA-AC-A8OQ-01	15	68	38	16
TCGA-AC-A8OR-01	0	9	12	11
TCGA-AC-A8OS-01	18	23	23	15
TCGA-AN-A0XL-01	0	20	14	6
TCGA-AN-A0XN-01	17	9	107	42
TCGA-AN-A0XO-01	12	20	6	5
TCGA-AN-A0XP-01	8	4	10	12
TCGA-AN-A0XR-01	5	12	17	4
TCGA-AN-A0XS-01	6	16	9	1
TCGA-AN-A0XT-01	0	14	2	6
TCGA-AN-A0XU-01	17	14	89	17
TCGA-AN-A0XV-01	5	12	11	16
TCGA-AN-A0XW-01	418	0	0	5
TCGA-AO-A03M-01	1129	0	14	7
TCGA-AO-A03N-01	85	33	6	10
TCGA-AO-A03U-01	3	0	2	0
TCGA-AO-A03V-01	19	26	26	1
TCGA-AO-A0JG-01	2	0	16	3
TCGA-AO-A124-01	7	29	122	20
TCGA-AO-A125-01	2	24	12	7
TCGA-AO-A126-01	2	18	5	0
TCGA-AO-A128-01	0	266	0	944
TCGA-AO-A129-01	34	5	71	34
TCGA-AO-A12A-01	3	11	0	5
TCGA-AO-A12B-01	0	10	5	8
TCGA-AO-A12D-01	33	37	3	0
TCGA-AO-A12E-01	0	23	6	4
TCGA-AO-A12F-01	0	17	8	15
TCGA-AO-A12G-01	6	19	4	13
TCGA-AO-A12H-01	0	18	5	7
TCGA-AO-A1KO-01	0	0	6	4
TCGA-AO-A1KR-01	12	14	49	14
TCGA-AO-A1KT-01	2	19	11	19
TCGA-AQ-A04H-01	0	47	9	25
TCGA-AQ-A0Y5-01	17	34	8	11
TCGA-AQ-A1H2-01	0	19	6	9
TCGA-AQ-A1H3-01	0	17	0	10
TCGA-AQ-A54O-01	3	10	7	5
TCGA-AQ-A7U7-01	65	21	0	10
TCGA-AR-A0TP-01	8	0	47	16
TCGA-AR-A0TQ-01	13	24	12	0
TCGA-AR-A0TR-01	1	21	7	13
TCGA-AR-A0TS-01	11	19	47	13
TCGA-AR-A0TT-01	13	29	17	16
TCGA-AR-A0TU-01	10	9	53	18
TCGA-AR-A0TV-01	3	33	30	13
TCGA-AR-A0TW-01	0	29	26	12
TCGA-AR-A0TX-01	374	33	0	0
TCGA-AR-A0TZ-01	24	26	12	5
TCGA-AR-A0U0-01	9	12	24	5
TCGA-AR-A0U1-01	14	0	73	22
TCGA-AR-A0U2-01	0	22	11	23
TCGA-AR-A0U3-01	0	21	10	9
TCGA-AR-A0U4-01	57	0	121	23
TCGA-AR-A1AH-01	10	2	67	41
TCGA-AR-A1AI-01	18	31	26	14
TCGA-AR-A1AJ-01	23	24	0	6
TCGA-AR-A1AK-01	34	29	17	2
TCGA-AR-A1AL-01	7	8	5	10
TCGA-AR-A1AN-01	2	19	0	10
TCGA-AR-A1AO-01	27	25	63	7
TCGA-AR-A1AP-01	7	33	3	8
TCGA-AR-A1AQ-01	2	11	15	13
TCGA-AR-A1AR-01	6	15	31	11
TCGA-AR-A1AS-01	15	15	3	8
TCGA-AR-A1AT-01	1	10	15	6
TCGA-AR-A1AU-01	0	13	5	8
TCGA-AR-A1AV-01	1	31	7	10
TCGA-AR-A1AW-01	2	10	14	15
