NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	20.072	77.462	5.373	54.848	0.607	0.767	40000.0
2	19.808	78.597	5.389	56.306	0.627	0.75	30000.0
3	20.103	78.324	5.107	53.903	0.663	0.76	20000.0
4	19.757	76.789	5.393	54.292	0.623	0.756	50000.0
5	20.701	80.137	5.327	55.899	0.657	0.737	30000.0
6	19.403	77.953	5.163	52.911	0.632	0.766	20000.0
7	17.936	74.768	4.907	52.048	0.577	0.777	30000.0
8	18.365	75.481	4.831	53.176	0.627	0.769	30000.0
9	19.818	73.695	4.932	51.084	0.584	0.79	40000.0
10	19.46	74.277	4.864	50.397	0.591	0.801	20000.0
11	19.806	75.908	5.297	53.283	0.6	0.76	20000.0
12	19.754	75.072	4.929	51.967	0.603	0.788	30000.0
13	21.393	80.204	5.361	55.701	0.662	0.749	20000.0
14	18.811	70.291	4.735	48.915	0.589	0.804	20000.0
15	20.586	76.73	5.149	53.332	0.609	0.777	20000.0
16	20.836	77.037	5.207	53.96	0.594	0.776	20000.0
17	20.835	82.429	5.228	56.243	0.71	0.719	20000.0
18	20.358	74.753	5.425	52.473	0.569	0.8	20000.0
19	21.553	80.476	5.459	55.223	0.641	0.761	20000.0
20	17.551	72.044	4.69	49.59	0.584	0.794	20000.0
21	20.971	83.007	5.634	56.72	0.729	0.724	30000.0
22	18.957	71.784	4.876	51.329	0.537	0.792	30000.0
23	20.447	79.501	5.377	56.168	0.662	0.733	20000.0
24	21.859	80.145	5.599	54.725	0.648	0.77	40000.0
25	23.09	78.789	5.794	53.931	0.614	0.785	30000.0
26	21.346	78.887	5.613	55.438	0.616	0.778	40000.0
27	20.475	76.093	5.045	53.477	0.617	0.777	20000.0
28	21.649	85.133	5.633	58.008	0.709	0.716	20000.0
29	21.991	79.642	5.737	55.112	0.592	0.776	20000.0
30	21.304	80.084	5.48	55.803	0.611	0.762	30000.0
31	20.68	78.704	5.579	57.345	0.633	0.744	20000.0
32	18.798	80.814	5.019	54.362	0.67	0.747	20000.0
