Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H	SBS96I	SBS96J	SBS96K	SBS96L
TCGA-DA-A1HV-06	751	562	0	361	0	0	0	164	25	4	0	3
TCGA-DA-A1HW-06	154	156	0	76	0	0	10	53	2	1	0	0
TCGA-DA-A1HY-06	430	394	0	79	0	0	0	71	12	3	8	1
TCGA-DA-A1I0-06	244	260	1	91	0	0	21	63	1	0	5	0
TCGA-DA-A1I1-06	193	176	0	76	0	0	10	56	20	0	0	0
TCGA-DA-A1I2-06	55	65	2	22	7	0	11	10	0	3	3	1
TCGA-DA-A1I4-06	141	118	0	38	13	2	7	37	0	6	0	0
TCGA-DA-A1I5-06	269	176	0	77	18	0	0	46	0	2	1	0
TCGA-DA-A1I7-06	191	174	0	94	3	0	29	111	3	4	0	0
TCGA-DA-A1I8-06	69	94	0	34	13	1	10	7	10	4	10	0
TCGA-DA-A1IA-06	141	193	0	77	2	0	36	19	0	5	11	0
TCGA-DA-A1IB-06	0	0	4	0	0	0	0	0	0	2	2	0
TCGA-DA-A1IC-06	475	460	0	135	51	0	90	127	0	1	23	0
TCGA-DA-A3F3-06	147	95	0	63	0	0	23	51	13	0	0	0
TCGA-DA-A3F5-06	137	148	13	51	0	0	38	38	15	2	15	0
TCGA-DA-A3F8-06	704	536	0	247	0	0	16	141	0	0	0	0
TCGA-DA-A95V-06	127	119	12	48	0	15	14	13	16	4	0	4
TCGA-DA-A95W-06	82	79	0	17	12	6	0	18	0	0	2	0
TCGA-DA-A95X-06	243	188	0	106	54	0	8	83	0	2	0	0
TCGA-DA-A95Y-06	228	154	0	62	2	0	18	46	22	1	21	7
TCGA-DA-A95Z-06	1067	729	0	397	66	0	52	323	7	15	0	0
TCGA-DA-A960-01	445	368	9	190	0	0	24	150	0	1	0	0
TCGA-EB-A1NK-01	67	58	4	26	0	0	14	18	6	1	1	1
TCGA-EB-A24C-01	1	1	7	2	0	6	11	2	0	0	3	2
TCGA-EB-A24D-01	295	273	0	101	41	0	31	64	1	2	3	4
TCGA-EB-A299-01	82	79	0	21	0	0	8	15	1	1	0	0
TCGA-EB-A3HV-01	13	15	14	12	0	5	0	4	0	0	0	0
TCGA-EB-A3XB-01	265	201	0	88	23	0	24	69	5	0	21	0
TCGA-EB-A3XC-01	204	199	13	53	0	0	17	48	15	6	0	13
TCGA-EB-A3XD-01	190	179	0	71	0	0	2	78	0	0	0	0
TCGA-EB-A3XE-01	7	0	2	0	6	6	0	0	0	0	1	0
TCGA-EB-A3XF-01	227	157	5	86	0	0	0	51	0	3	7	0
TCGA-EB-A3Y6-01	278	301	15	123	0	0	33	85	0	2	2	2
TCGA-EB-A3Y7-01	567	445	0	274	0	0	32	134	22	6	26	12
TCGA-EB-A41A-01	1111	752	0	451	20	0	8	246	16	3	13	0
TCGA-EB-A41B-01	231	148	0	102	0	0	5	69	0	0	0	0
TCGA-EB-A42Y-01	12	6	4	6	0	10	9	3	16	3	3	9
TCGA-EB-A42Z-01	45	48	7	8	14	5	3	27	0	0	0	0
TCGA-EB-A430-01	188	207	0	47	0	0	6	62	17	0	2	0
TCGA-EB-A431-01	941	937	0	314	0	0	20	161	0	11	0	13
TCGA-EB-A44N-01	69	73	4	20	11	0	5	26	0	0	0	0
TCGA-EB-A44O-01	241	277	2	60	1	0	27	71	8	0	2	3
TCGA-EB-A44P-01	166	192	0	54	0	0	0	43	11	1	11	0
TCGA-EB-A44Q-06	10	1	2	3	10	8	5	0	12	0	6	0
TCGA-EB-A44R-06	2	0	9	1	0	14	16	5	7	1	11	5
TCGA-EB-A4IQ-01	3	2	1	0	0	5	1	3	1	0	6	0
TCGA-EB-A4IS-01	290	303	10	83	20	0	3	35	22	3	4	0
TCGA-EB-A4OY-01	3	4	1	0	0	12	12	0	16	6	14	4
TCGA-EB-A4OZ-01	1	1	7	0	0	0	1	0	0	1	4	1
TCGA-EB-A4P0-01	85	95	5	33	0	6	12	9	2	1	10	0
TCGA-EB-A4XL-01	252	251	0	91	18	7	6	31	2	0	0	8
TCGA-EB-A51B-01	231	200	7	69	0	2	31	15	7	0	5	0
TCGA-EB-A550-01	69	72	2	17	0	7	4	28	3	1	0	0
TCGA-EB-A551-01	160	135	0	71	0	0	18	64	7	1	13	5
TCGA-EB-A553-01	124	147	18	32	0	0	23	34	37	8	5	7
TCGA-EB-A57M-01	0	0	4	8	9	14	6	0	13	3	2	0
TCGA-EB-A5FP-01	185	222	0	97	0	0	7	46	0	0	0	0
TCGA-EB-A5KH-06	2	5	9	0	1	6	11	2	13	3	0	2
TCGA-EB-A5SE-01	133	152	0	51	0	0	3	39	15	4	1	0
TCGA-EB-A5SF-01	5	5	3	12	0	0	2	1	10	1	3	0
TCGA-EB-A5SG-06	160	118	0	55	0	0	0	17	6	1	10	2
TCGA-EB-A5SH-06	18	2	48	2	0	12	4	0	16	7	11	2
TCGA-EB-A5UL-06	205	220	21	63	6	0	13	60	27	1	6	10
TCGA-EB-A5UM-01	290	270	5	72	0	0	21	85	0	3	6	0
TCGA-EB-A5UN-06	350	369	0	110	33	0	34	81	18	3	0	0
TCGA-EB-A5VU-01	6	9	8	0	15	1	20	2	0	4	0	0
TCGA-EB-A6L9-06	1	0	2	0	4	7	5	2	1	3	3	0
TCGA-EB-A6QY-01	317	299	0	129	0	0	7	95	23	0	0	2
TCGA-EB-A6QZ-01	134	138	0	28	36	0	11	32	2	5	0	1
TCGA-EB-A6R0-01	168	211	0	75	3	0	21	43	0	7	0	0
TCGA-EB-A82B-01	1	10	4	2	0	0	36	1	7	1	3	0
TCGA-EB-A82C-01	6	1	4	4	6	0	8	11	7	0	1	0
TCGA-EB-A85I-01	107	90	22	39	0	5	8	34	1	0	0	0
TCGA-EB-A85J-01	243	159	0	81	0	3	2	75	0	1	0	0
TCGA-EB-A97M-01	168	128	0	47	0	0	28	47	6	5	0	0
TCGA-EE-A17X-06	419	360	8	185	0	0	29	89	0	0	0	0
TCGA-EE-A17Y-06	85	80	1	34	3	2	9	5	0	3	10	0
TCGA-EE-A17Z-06	0	2	6	0	0	1	4	1	9	0	3	0
TCGA-EE-A180-06	257	250	0	91	0	10	9	87	21	0	0	0
TCGA-EE-A181-06	1594	1375	0	588	0	0	0	361	43	13	23	7
TCGA-EE-A182-06	807	620	0	362	0	0	0	223	12	0	16	0
TCGA-EE-A183-06	414	310	3	149	0	0	5	127	4	0	4	0
TCGA-EE-A184-06	13	1	373	4	0	8	5	3	0	0	0	3
TCGA-EE-A185-06	87	98	2	38	0	0	11	23	4	5	0	0
TCGA-EE-A20B-06	86	95	0	30	0	0	0	19	10	0	4	0
TCGA-EE-A20C-06	1051	1102	0	345	26	0	73	225	2	8	17	22
TCGA-EE-A20F-06	246	218	0	113	0	0	0	62	11	1	0	0
TCGA-EE-A20H-06	310	231	0	93	60	0	14	72	9	0	18	6
TCGA-EE-A20I-06	0	4	7	2	0	1	8	3	0	3	2	0
TCGA-EE-A29A-06	135	139	2	42	0	0	5	16	9	6	0	0
TCGA-EE-A29B-06	303	242	0	142	0	0	0	42	8	0	12	0
TCGA-EE-A29C-06	187	231	0	63	0	0	6	69	16	1	0	0
TCGA-EE-A29D-06	2152	1952	0	648	0	0	0	492	0	0	0	0
TCGA-EE-A29E-06	1965	1580	0	933	0	0	0	409	0	2	0	0
TCGA-EE-A29G-06	164	132	0	74	12	0	0	49	20	0	23	0
TCGA-EE-A29H-06	169	131	4	59	5	0	8	40	0	0	2	0
TCGA-EE-A29L-06	1048	955	0	465	0	0	29	241	0	0	0	22
TCGA-EE-A29M-06	1395	1060	0	537	0	0	0	243	10	2	0	0
TCGA-EE-A29N-06	283	339	0	85	0	0	41	70	18	4	0	7
TCGA-EE-A29P-06	182	150	0	36	0	5	10	19	0	2	5	1
TCGA-EE-A29Q-06	133	136	0	57	6	0	5	49	13	2	8	0
TCGA-EE-A29R-06	364	318	0	145	8	0	3	85	11	0	0	0
TCGA-EE-A29S-06	578	503	0	204	0	0	7	144	39	1	22	0
TCGA-EE-A29T-06	184	110	27	73	0	23	21	55	16	4	0	0
TCGA-EE-A29V-06	514	621	0	140	0	0	37	72	4	4	20	0
TCGA-EE-A29W-06	22	32	4	11	3	0	10	9	0	0	0	2
TCGA-EE-A29X-06	76	81	2	28	0	1	0	12	0	0	3	2
TCGA-EE-A2A0-06	253	126	0	72	7	2	9	33	25	3	3	0
TCGA-EE-A2A1-06	206	165	0	64	2	0	19	61	12	0	0	0
TCGA-EE-A2A2-06	798	805	7	225	31	0	81	81	24	0	0	22
TCGA-EE-A2A5-06	135	177	0	68	8	0	4	34	9	0	3	0
TCGA-EE-A2A6-06	128	149	0	76	0	0	0	64	0	0	0	0
TCGA-EE-A2GB-06	354	338	0	123	0	0	0	92	0	0	3	1
TCGA-EE-A2GC-06	1244	1207	0	466	0	0	19	296	0	2	0	0
TCGA-EE-A2GD-06	315	213	0	118	0	0	6	74	11	1	6	0
TCGA-EE-A2GE-06	114	142	0	38	4	3	0	14	7	1	3	0
TCGA-EE-A2GH-06	165	147	4	67	0	3	4	33	0	3	0	0
TCGA-EE-A2GI-06	823	751	0	310	0	0	39	191	16	0	12	0
TCGA-EE-A2GJ-06	635	517	0	206	0	0	14	145	56	2	21	14
TCGA-EE-A2GK-06	0	0	3	0	0	0	0	0	1	0	0	0
TCGA-EE-A2GL-06	187	200	0	42	0	0	0	47	5	3	4	9
TCGA-EE-A2GM-06	369	363	0	135	5	0	23	75	4	0	0	0
TCGA-EE-A2GN-06	194	218	5	77	23	1	0	35	13	3	0	0
TCGA-EE-A2GO-06	1097	1082	0	291	0	0	40	255	0	3	0	13
TCGA-EE-A2GP-06	359	276	0	117	0	0	26	86	0	0	0	0
TCGA-EE-A2GR-06	766	937	0	283	0	0	60	164	0	1	0	4
TCGA-EE-A2GS-06	169	159	0	73	1	0	11	41	14	0	0	0
TCGA-EE-A2GT-06	202	116	0	42	0	0	43	37	13	8	0	1
TCGA-EE-A2GU-06	374	260	0	122	0	2	3	56	9	0	0	2
TCGA-EE-A2M5-06	939	1171	0	324	37	0	23	238	0	6	0	27
TCGA-EE-A2M6-06	298	250	3	88	5	6	5	52	21	3	8	7
TCGA-EE-A2M7-06	12	12	23	9	0	0	11	9	2	4	2	2
TCGA-EE-A2M8-06	52	27	0	30	0	0	8	26	1	2	5	0
TCGA-EE-A2MC-06	402	287	0	112	52	0	9	154	2	5	7	0
TCGA-EE-A2MD-06	894	759	0	369	0	0	0	308	0	1	0	0
TCGA-EE-A2ME-06	13	10	1	3	0	0	5	6	4	0	0	0
TCGA-EE-A2MF-06	441	244	0	173	27	0	5	85	18	3	19	17
TCGA-EE-A2MG-06	125	83	4	29	0	0	15	14	7	0	0	0
TCGA-EE-A2MH-06	65	89	0	16	0	5	2	18	3	0	2	1
TCGA-EE-A2MI-06	648	457	0	217	0	0	19	117	15	1	14	0
TCGA-EE-A2MJ-06	1102	824	0	421	0	0	0	301	0	4	0	0
TCGA-EE-A2MK-06	143	120	0	85	7	0	0	34	7	0	8	0
TCGA-EE-A2ML-06	240	321	0	88	24	0	7	68	10	0	0	0
TCGA-EE-A2MM-06	318	244	6	87	0	0	8	98	0	0	0	0
TCGA-EE-A2MN-06	61	76	0	36	0	0	1	18	13	0	0	0
TCGA-EE-A2MP-06	125	152	0	40	0	2	10	42	15	0	7	0
TCGA-EE-A2MQ-06	112	133	8	36	0	0	9	46	12	6	0	3
TCGA-EE-A2MR-06	1669	1454	0	951	0	0	0	987	0	0	0	0
TCGA-EE-A2MS-06	1386	1667	0	574	0	0	0	352	0	3	0	0
TCGA-EE-A2MT-06	493	472	0	149	3	0	30	108	2	2	0	0
TCGA-EE-A2MU-06	333	307	0	144	0	0	0	90	0	2	0	34
TCGA-EE-A3AA-06	779	681	0	375	0	0	0	215	0	0	0	0
TCGA-EE-A3AB-06	224	216	0	36	3	0	7	17	36	9	335	26
TCGA-EE-A3AC-06	537	485	0	213	0	0	20	101	16	0	11	2
TCGA-EE-A3AD-06	210	222	1	75	0	0	10	56	10	1	11	0
TCGA-EE-A3AE-06	806	645	0	365	0	0	9	188	0	0	0	0
TCGA-EE-A3AF-06	522	596	4	106	0	0	49	64	0	11	8	1
TCGA-EE-A3AG-06	886	928	0	291	0	0	2	192	11	2	0	0
TCGA-EE-A3AH-06	201	189	0	66	0	0	0	47	3	0	0	2
TCGA-EE-A3J3-06	56	79	0	21	0	9	17	30	9	6	0	0
TCGA-EE-A3J4-06	128	122	1	68	0	7	40	17	16	0	4	15
TCGA-EE-A3J5-06	1256	992	0	354	0	0	54	224	0	5	49	6
TCGA-EE-A3J7-06	396	586	15	153	0	18	51	101	9	0	15	6
TCGA-EE-A3J8-06	155	99	0	66	0	2	0	32	11	2	4	0
TCGA-EE-A3JA-06	627	426	0	228	0	0	31	122	0	1	0	0
TCGA-EE-A3JB-06	272	352	8	113	1	6	19	52	11	5	9	11
TCGA-EE-A3JD-06	1129	1031	0	439	0	0	0	473	30	0	0	0
TCGA-EE-A3JE-06	112	147	0	38	0	0	0	43	28	0	1	0
TCGA-EE-A3JH-06	72	83	0	34	0	2	25	17	12	0	0	0
TCGA-EE-A3JI-06	522	566	20	208	0	0	58	82	56	9	13	2
TCGA-ER-A193-06	1048	841	0	353	19	0	64	244	24	1	10	15
TCGA-ER-A194-01	730	741	0	224	0	0	14	154	0	3	0	0
TCGA-ER-A195-06	138	117	0	52	0	0	3	37	1	0	0	0
TCGA-ER-A196-01	0	2	1	1	0	11	0	2	5	0	3	0
TCGA-ER-A197-06	2	0	3	0	1	0	18	0	14	1	12	1
TCGA-ER-A198-06	224	261	3	75	0	0	33	50	4	2	0	0
TCGA-ER-A199-06	134	129	0	52	0	0	0	40	15	2	0	0
TCGA-ER-A19A-06	102	64	0	35	0	0	2	43	2	0	0	0
TCGA-ER-A19B-06	14	16	0	11	0	0	6	13	19	2	49	1
TCGA-ER-A19C-06	39	39	5	26	0	4	0	2	5	0	0	2
TCGA-ER-A19D-06	226	220	0	68	0	0	32	78	14	4	0	0
TCGA-ER-A19E-06	195	173	5	82	17	0	20	71	30	7	17	0
TCGA-ER-A19F-06	511	472	0	161	37	0	0	123	0	0	9	0
TCGA-ER-A19G-06	248	272	0	74	0	1	13	63	8	1	10	8
TCGA-ER-A19H-06	117	118	0	30	50	0	9	49	0	0	0	0
TCGA-ER-A19J-06	123	71	0	42	0	0	20	28	5	2	0	0
TCGA-ER-A19K-01	264	138	1	48	0	10	20	14	0	4	0	3
TCGA-ER-A19L-06	26	23	0	7	0	0	1	4	8	3	0	2
TCGA-ER-A19M-06	245	271	0	83	0	0	13	63	2	0	0	0
TCGA-ER-A19N-06	249	244	0	100	10	0	0	52	2	0	0	5
TCGA-ER-A19O-06	95	68	1	34	0	0	0	34	0	0	12	0
TCGA-ER-A19P-06	122	117	210	37	0	0	0	29	116	9	0	0
TCGA-ER-A19Q-06	47	56	0	16	0	2	3	33	6	0	0	0
TCGA-ER-A19S-06	114	80	1	31	0	4	12	5	9	2	15	2
TCGA-ER-A19T-01	4	13	5	3	0	12	5	0	17	5	2	4
TCGA-ER-A19W-06	152	165	0	80	0	22	0	36	18	3	12	0
TCGA-ER-A1A1-06	40	37	1	5	7	0	3	1	0	0	0	0
TCGA-ER-A2NB-01	3	10	13	0	0	8	14	6	17	2	7	5
TCGA-ER-A2NC-06	225	190	3	61	3	0	13	46	3	8	0	0
TCGA-ER-A2ND-06	36	22	3	10	5	4	18	16	10	0	20	1
TCGA-ER-A2NE-06	52	57	6	30	0	0	0	19	2	6	7	0
TCGA-ER-A2NF-01	20	8	0	0	0	4	7	1	1	0	0	0
TCGA-ER-A2NG-06	128	110	0	35	0	0	0	16	24	24	0	10
TCGA-ER-A2NH-06	171	132	0	63	0	0	0	44	4	1	0	0
TCGA-ER-A3ES-06	1	0	0	0	4	12	4	3	2	1	0	2
TCGA-ER-A3ET-06	14	6	13	3	6	9	19	0	26	10	6	4
TCGA-ER-A3EV-06	7	9	13	0	0	14	10	0	27	14	0	5
TCGA-ER-A3PL-06	200	236	0	56	2	0	4	21	0	0	0	0
TCGA-ER-A42H-01	3	0	12	3	0	17	29	1	9	2	0	2
TCGA-ER-A42K-06	76	108	0	40	22	0	0	22	4	0	1	0
TCGA-ER-A42L-06	629	400	0	190	0	0	0	51	25	0	6	0
TCGA-FR-A2OS-01	0	0	0	0	0	0	11	3	0	0	2	0
TCGA-FR-A3R1-01	209	244	2	37	4	0	13	76	4	0	0	0
TCGA-FR-A3YN-06	286	259	0	93	35	0	9	96	7	0	3	0
TCGA-FR-A3YO-06	487	375	0	158	0	0	11	149	0	3	6	0
TCGA-FR-A44A-06	140	138	4	47	26	4	22	30	6	3	0	0
TCGA-FR-A69P-06	115	98	0	43	1	0	10	38	0	0	0	0
TCGA-FR-A726-01	3707	4301	0	1502	0	0	0	636	0	0	0	0
TCGA-FR-A728-01	200	182	1	94	0	0	0	40	23	0	0	0
TCGA-FR-A729-06	453	391	0	215	0	0	0	129	6	0	0	10
TCGA-FR-A7U8-06	1	4	0	0	0	19	6	1	9	4	0	0
TCGA-FR-A7U9-06	1021	769	0	405	0	0	24	252	0	5	0	4
TCGA-FR-A7UA-06	113	66	1	49	0	1	0	9	1	1	0	0
TCGA-FR-A8YC-06	1617	1332	0	676	0	0	30	383	37	0	25	0
TCGA-FR-A8YD-06	15	13	21	6	0	3	6	2	35	12	14	5
TCGA-FR-A8YE-06	185	151	0	81	0	0	0	37	10	0	5	2
TCGA-FS-A1YW-06	82	61	0	34	0	4	13	21	4	0	0	0
TCGA-FS-A1YX-06	3	9	5	2	4	5	0	2	0	0	0	0
TCGA-FS-A1YY-06	117	87	0	21	17	5	14	11	0	2	0	0
TCGA-FS-A1Z0-06	103	119	0	62	0	0	19	32	10	0	3	3
TCGA-FS-A1Z3-06	530	459	0	211	0	0	3	169	14	0	0	4
TCGA-FS-A1Z4-06	21	10	3	4	0	3	1	0	3	0	6	2
TCGA-FS-A1Z7-06	97	84	0	36	0	0	20	12	0	0	1	0
TCGA-FS-A1ZA-06	595	502	0	274	35	0	17	195	4	2	0	0
TCGA-FS-A1ZB-06	128	108	3	38	0	0	0	37	1	1	0	0
TCGA-FS-A1ZC-06	376	312	0	137	0	0	2	95	53	1	0	2
TCGA-FS-A1ZD-06	121	126	2	40	4	0	12	23	1	0	9	3
