Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E
TCGA-50-5941-01	286	111	45	20	20
TCGA-50-5942-01	27	27	1	10	6
TCGA-50-5944-01	15	22	10	29	8
TCGA-50-5946-01	458	102	176	51	29
TCGA-50-6590-01	626	169	224	16	49
TCGA-50-6591-01	8	23	3	16	16
TCGA-50-6592-01	124	123	69	15	25
TCGA-50-6593-01	235	94	15	21	25
TCGA-50-6594-01	452	84	60	17	21
TCGA-50-6595-01	21	29	30	11	27
TCGA-50-6597-01	0	0	32	28	18
TCGA-50-6673-01	0	32	5	20	5
TCGA-50-7109-01	187	66	7	28	20
TCGA-50-8457-01	25	15	5	11	11
TCGA-50-8459-01	65	23	5	19	7
TCGA-50-8460-01	5	8	5	13	5
TCGA-53-7624-01	602	128	177	40	65
TCGA-53-7626-01	326	58	50	8	8
TCGA-53-7813-01	116	42	1	19	8
TCGA-53-A4EZ-01	495	63	33	36	47
TCGA-55-1592-01	270	260	73	39	49
TCGA-55-1594-01	57	43	86	29	16
TCGA-55-1595-01	263	94	19	19	12
TCGA-55-1596-01	90	92	5	20	27
TCGA-55-5899-01	318	46	129	24	32
TCGA-55-6543-01	0	0	5	20	0
TCGA-55-6642-01	111	16	6	10	12
TCGA-55-6712-01	28	23	112	25	8
TCGA-55-6968-01	126	30	467	8	24
TCGA-55-6969-01	288	173	22	0	31
TCGA-55-6970-01	120	54	12	13	10
TCGA-55-6971-01	43	46	6	4	9
TCGA-55-6972-01	110	11	151	15	55
TCGA-55-6975-01	34	31	15	19	1
TCGA-55-6978-01	0	21	0	14	0
TCGA-55-6979-01	66	46	60	0	0
TCGA-55-6980-01	0	9	0	3	4
TCGA-55-6981-01	5	21	6	24	7
TCGA-55-6982-01	16	7	231	17	16
TCGA-55-6983-01	72	21	5	22	14
TCGA-55-6984-01	6	11	1	3	6
TCGA-55-6985-01	421	84	3	25	51
TCGA-55-6986-01	0	11	0	6	8
TCGA-55-6987-01	96	39	100	17	2
TCGA-55-7227-01	110	50	13	19	12
TCGA-55-7281-01	348	89	42	21	57
TCGA-55-7283-01	103	37	66	61	24
TCGA-55-7284-01	0	0	0	44	13
TCGA-55-7570-01	195	136	108	12	16
TCGA-55-7573-01	23	20	9	3	8
TCGA-55-7574-01	87	48	154	4	29
TCGA-55-7576-01	275	115	29	53	27
TCGA-55-7724-01	59	121	44	39	14
TCGA-55-7725-01	94	40	4	12	4
TCGA-55-7726-01	0	0	102	39	0
TCGA-55-7727-01	124	11	109	26	47
TCGA-55-7728-01	81	3	1	23	13
TCGA-55-7815-01	106	31	9	24	12
TCGA-55-7816-01	0	0	0	2	0
TCGA-55-7903-01	81	23	28	41	15
TCGA-55-7907-01	980	130	253	45	45
TCGA-55-7910-01	258	50	12	33	15
TCGA-55-7911-01	158	60	22	14	24
TCGA-55-7913-01	268	51	47	44	25
TCGA-55-7914-01	103	35	27	39	10
TCGA-55-7994-01	1361	265	95	86	83
TCGA-55-7995-01	453	179	116	18	56
TCGA-55-8085-01	122	28	131	35	12
TCGA-55-8087-01	0	0	6	19	12
TCGA-55-8089-01	818	146	470	49	63
TCGA-55-8090-01	54	32	3	13	11
