Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F
TCGA-AC-A2B8-01	57	49	10	9	3	0
TCGA-AC-A2BK-01	0	5	33	53	19	0
TCGA-AC-A2BM-01	0	3	8	11	4	0
TCGA-AC-A2FB-01	5	0	3	3	4	2
TCGA-AC-A2FF-01	2	2	0	0	0	7
TCGA-AC-A2FG-01	10	3	11	0	4	11
TCGA-AC-A2FK-01	1	0	0	0	0	2
TCGA-AC-A2FO-01	11	5	2	4	0	5
TCGA-AC-A2QH-01	2	2	13	5	5	0
TCGA-AC-A3HN-01	2	2	8	5	5	0
TCGA-AC-A3OD-01	11	0	12	1	5	10
TCGA-AC-A3QP-01	0	1	3	0	6	25
TCGA-AC-A3QQ-01	1	1	17	7	2	8
TCGA-AC-A3W5-01	26	48	25	98	14	0
TCGA-AC-A3YI-01	2	0	5	3	4	4
TCGA-AC-A3YJ-01	5	1	14	0	3	15
TCGA-AC-A4ZE-01	10	1	17	15	15	16
TCGA-AC-A5EH-01	16	17	16	89	26	41
TCGA-AC-A5EI-01	15	1	12	1	5	9
TCGA-AC-A5XS-01	335	320	0	2	0	58
TCGA-AC-A5XU-01	18	7	53	13	9	13
TCGA-AC-A62V-01	4	7	49	34	12	0
TCGA-AC-A62X-01	0	4	56	20	7	0
TCGA-AC-A62Y-01	16	20	19	11	15	8
TCGA-AC-A6IV-01	2	0	8	0	2	15
TCGA-AC-A6IW-01	33	73	35	42	16	32
TCGA-AC-A6IX-01	30	10	12	5	14	0
TCGA-AC-A6NO-01	3	1	12	0	8	19
TCGA-AC-A7VB-01	0	0	19	0	7	9
TCGA-AC-A7VC-01	1	0	12	0	2	11
TCGA-AC-A8OP-01	17	18	60	92	40	17
TCGA-AC-A8OQ-01	22	6	38	0	9	62
TCGA-AC-A8OR-01	0	0	11	16	5	0
TCGA-AC-A8OS-01	18	6	13	14	13	15
TCGA-AN-A0XL-01	2	0	9	0	5	24
TCGA-AN-A0XN-01	2	17	11	66	32	47
TCGA-AN-A0XO-01	13	3	7	4	9	7
TCGA-AN-A0XP-01	5	4	6	9	10	0
TCGA-AN-A0XR-01	4	3	8	7	1	15
TCGA-AN-A0XS-01	9	1	8	9	3	2
TCGA-AN-A0XT-01	0	1	13	0	1	7
TCGA-AN-A0XU-01	3	18	12	49	9	46
TCGA-AN-A0XV-01	0	7	14	12	10	1
TCGA-AN-A0XW-01	167	256	0	0	0	0
TCGA-AO-A03M-01	459	691	0	0	0	0
TCGA-AO-A03N-01	50	46	18	5	8	7
TCGA-AO-A03U-01	0	2	0	0	0	3
TCGA-AO-A03V-01	11	11	8	0	2	40
TCGA-AO-A0JG-01	2	0	0	10	4	5
TCGA-AO-A124-01	5	9	20	95	15	34
TCGA-AO-A125-01	5	2	19	15	4	0
TCGA-AO-A126-01	5	0	8	0	0	12
TCGA-AO-A128-01	10	21	462	0	717	0
TCGA-AO-A129-01	12	25	9	42	23	33
TCGA-AO-A12A-01	6	0	10	1	2	0
TCGA-AO-A12B-01	1	0	12	7	3	0
TCGA-AO-A12D-01	31	10	13	0	0	19
TCGA-AO-A12E-01	2	1	17	3	0	10
TCGA-AO-A12F-01	0	0	22	13	5	0
TCGA-AO-A12G-01	4	5	14	0	6	13
TCGA-AO-A12H-01	1	0	11	0	3	15
TCGA-AO-A1KO-01	0	0	0	2	5	3
TCGA-AO-A1KR-01	7	9	14	49	10	0
TCGA-AO-A1KT-01	6	0	16	13	16	0
TCGA-AQ-A04H-01	2	6	48	7	9	9
TCGA-AQ-A0Y5-01	13	12	28	13	4	0
TCGA-AQ-A1H2-01	3	0	16	7	5	3
TCGA-AQ-A1H3-01	0	0	25	2	0	0
TCGA-AQ-A54O-01	4	0	9	10	2	0
TCGA-AQ-A7U7-01	40	34	13	0	9	0
TCGA-AR-A0TP-01	4	5	1	32	14	15
TCGA-AR-A0TQ-01	16	2	10	13	3	5
TCGA-AR-A0TR-01	4	1	16	7	11	3
TCGA-AR-A0TS-01	6	10	18	40	7	9
TCGA-AR-A0TT-01	13	7	23	20	12	0
TCGA-AR-A0TU-01	2	10	14	47	8	9
TCGA-AR-A0TV-01	4	5	22	0	6	42
TCGA-AR-A0TW-01	2	4	24	21	4	12
TCGA-AR-A0TX-01	193	208	6	0	0	0
TCGA-AR-A0TZ-01	15	16	18	4	3	11
TCGA-AR-A0U0-01	3	9	8	12	2	16
TCGA-AR-A0U1-01	1	15	2	54	22	15
TCGA-AR-A0U2-01	0	0	25	6	12	13
TCGA-AR-A0U3-01	2	0	16	6	5	11
TCGA-AR-A0U4-01	16	49	10	95	12	19
TCGA-AR-A1AH-01	1	9	11	43	30	26
TCGA-AR-A1AI-01	6	17	21	3	8	34
TCGA-AR-A1AJ-01	21	10	17	0	5	0
TCGA-AR-A1AK-01	20	22	16	0	0	24
TCGA-AR-A1AL-01	6	3	6	1	9	5
TCGA-AR-A1AN-01	1	5	19	4	2	0
TCGA-AR-A1AO-01	17	17	18	65	5	0
TCGA-AR-A1AP-01	6	7	24	0	2	12
TCGA-AR-A1AQ-01	2	2	11	18	8	0
TCGA-AR-A1AR-01	2	8	16	22	3	12
TCGA-AR-A1AS-01	16	3	7	7	8	0
TCGA-AR-A1AT-01	1	1	9	18	3	0
TCGA-AR-A1AU-01	2	1	11	5	4	3
TCGA-AR-A1AV-01	5	1	22	1	5	15
TCGA-AR-A1AW-01	2	1	10	13	11	4
TCGA-AR-A1AX-01	4	0	7	0	0	21
TCGA-AR-A1AY-01	10	6	19	13	9	15
TCGA-AR-A24H-01	6	23	14	80	6	23
TCGA-AR-A24K-01	0	0	8	10	5	11
TCGA-AR-A24L-01	1	7	4	31	5	5
TCGA-AR-A24M-01	1	0	6	7	11	0
TCGA-AR-A24N-01	7	1	17	7	8	7
TCGA-AR-A24O-01	0	1	7	0	2	12
TCGA-AR-A24P-01	1	0	9	2	1	6
TCGA-AR-A24Q-01	26	23	7	141	28	7
TCGA-AR-A24R-01	1	0	12	5	8	0
TCGA-AR-A24S-01	8	5	18	5	11	10
