Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H	SBS96I	SBS96J	SBS96K	SBS96L	SBS96M	SBS96N	SBS96O
TCGA-ER-A19H-06	93	87	0	3	25	60	5	0	0	0	0	0	100	0	0
TCGA-ER-A19J-06	104	64	0	0	40	39	2	13	1	0	0	0	28	0	0
TCGA-ER-A19K-01	226	133	4	2	53	33	11	14	3	2	15	1	0	5	0
TCGA-ER-A19L-06	24	18	0	0	7	5	0	1	2	0	12	3	0	2	0
TCGA-ER-A19M-06	208	224	0	0	76	82	6	3	0	0	78	0	0	0	0
TCGA-ER-A19N-06	204	194	0	0	85	69	3	0	0	0	0	0	101	5	1
TCGA-ER-A19O-06	82	65	0	3	32	44	3	0	0	13	0	0	2	0	0
TCGA-ER-A19P-06	100	77	2	154	33	40	3	0	7	0	72	104	48	0	0
TCGA-ER-A19Q-06	41	50	0	0	15	40	5	1	0	0	2	2	7	0	0
TCGA-ER-A19S-06	98	72	0	1	32	12	5	9	1	15	10	7	10	3	0
TCGA-ER-A19T-01	4	13	0	5	3	0	7	7	4	1	0	17	0	3	6
TCGA-ER-A19W-06	130	134	0	0	68	47	20	0	1	3	76	4	0	0	5
TCGA-ER-A1A1-06	30	22	0	0	4	3	0	0	0	0	35	0	0	0	0
TCGA-ER-A2NB-01	3	11	4	10	0	7	7	11	2	8	0	17	0	5	0
TCGA-ER-A2NC-06	184	155	0	2	58	62	1	4	5	0	0	0	81	0	0
TCGA-ER-A2ND-06	29	13	0	2	9	18	6	11	0	14	38	1	2	1	1
TCGA-ER-A2NE-06	45	49	0	6	27	24	1	0	5	5	0	0	17	0	0
TCGA-ER-A2NF-01	15	8	3	0	1	2	4	6	0	0	1	0	0	0	1
TCGA-ER-A2NG-06	112	106	0	0	38	26	0	0	22	0	0	31	0	11	1
TCGA-ER-A2NH-06	149	124	0	0	60	61	0	0	0	1	1	5	12	1	1
TCGA-ER-A3ES-06	1	0	4	0	0	4	11	6	1	0	0	0	0	2	0
TCGA-ER-A3ET-06	12	3	9	10	4	0	8	15	10	5	20	16	0	4	0
TCGA-ER-A3EV-06	6	6	0	12	2	0	10	10	13	0	11	24	0	4	1
TCGA-ER-A3PL-06	163	189	0	0	51	32	3	0	0	0	0	0	81	0	0
TCGA-ER-A42H-01	3	1	4	10	3	2	14	24	2	0	5	7	1	2	0
TCGA-ER-A42K-06	65	87	0	0	34	29	3	0	0	0	0	0	54	1	0
TCGA-ER-A42L-06	538	358	0	0	182	92	1	0	0	1	28	5	87	0	9
TCGA-FR-A2OS-01	0	0	0	0	0	3	1	7	0	2	2	0	1	0	0
TCGA-FR-A3R1-01	171	192	0	0	37	91	4	2	0	0	5	0	87	0	0
TCGA-FR-A3YN-06	238	210	0	0	82	118	2	0	0	0	0	0	131	0	7
TCGA-FR-A3YO-06	411	326	0	0	144	191	11	0	0	0	3	0	96	0	7
TCGA-FR-A44A-06	112	102	0	3	41	40	9	8	1	0	40	0	63	0	1
TCGA-FR-A69P-06	93	81	0	0	36	45	4	3	0	0	0	0	38	0	5
TCGA-FR-A726-01	3172	3565	0	0	1338	914	0	0	0	0	914	0	230	0	13
TCGA-FR-A728-01	168	146	0	1	80	55	1	0	0	0	42	0	47	0	0
TCGA-FR-A729-06	385	328	0	0	188	165	0	0	0	0	117	0	0	13	8
TCGA-FR-A7U8-06	1	5	0	1	1	2	14	8	3	0	0	9	0	0	0
TCGA-FR-A7U9-06	876	690	0	0	369	342	5	7	0	0	31	0	139	17	4
TCGA-FR-A7UA-06	98	61	0	1	45	18	2	0	0	0	15	1	0	0	0
TCGA-FR-A8YC-06	1358	1108	0	0	592	514	0	0	0	0	324	0	184	6	14
TCGA-FR-A8YD-06	13	12	1	17	7	0	1	6	11	12	0	31	7	4	10
TCGA-FR-A8YE-06	158	132	0	0	73	50	0	0	0	2	13	4	29	3	7
TCGA-FS-A1YW-06	71	51	0	0	30	25	5	9	0	0	22	0	0	0	6
TCGA-FS-A1YX-06	2	7	3	4	2	3	5	0	0	0	0	0	4	0	0
TCGA-FS-A1YY-06	98	72	0	0	22	18	6	8	2	0	0	0	46	0	2
TCGA-FS-A1Z0-06	88	95	0	0	52	41	2	10	0	0	49	0	8	3	3
TCGA-FS-A1Z3-06	433	351	0	0	178	205	0	0	0	0	187	0	24	3	9
TCGA-FS-A1Z4-06	19	9	0	3	5	0	2	1	0	5	4	2	1	2	0
TCGA-FS-A1Z7-06	80	70	0	0	33	19	1	12	0	0	21	0	14	0	0
TCGA-FS-A1ZA-06	485	388	0	0	227	235	4	0	0	0	121	0	151	0	13
TCGA-FS-A1ZB-06	105	86	0	1	34	46	3	0	0	0	25	0	14	0	2
TCGA-FS-A1ZC-06	314	239	0	0	121	124	2	0	0	0	153	1	22	2	0
TCGA-FS-A1ZD-06	98	92	0	0	34	28	3	3	0	0	68	0	6	1	8
TCGA-FS-A1ZE-06	44	21	0	0	24	23	0	10	0	0	22	0	42	0	4
TCGA-FS-A1ZF-06	69	72	9	0	30	36	8	1	0	6	23	0	20	0	5
TCGA-FS-A1ZG-06	0	0	2	0	1	0	12	7	5	4	11	0	0	2	1
TCGA-FS-A1ZH-06	1	13	7	2	1	9	3	5	1	1	0	0	1	0	0
TCGA-FS-A1ZJ-06	5	2	10	0	7	0	12	11	1	2	0	18	15	0	0
TCGA-FS-A1ZK-06	641	855	0	0	191	203	0	0	8	0	297	0	0	4	13
TCGA-FS-A1ZM-06	98	99	0	14	27	43	0	9	3	0	0	4	27	5	2
TCGA-FS-A1ZN-01	45	43	0	2	17	6	5	4	0	3	4	0	7	1	0
TCGA-FS-A1ZP-06	181	123	0	0	95	111	5	2	0	0	21	0	42	0	0
TCGA-FS-A1ZQ-06	242	141	0	0	98	69	4	2	0	0	93	0	22	12	0
TCGA-FS-A1ZR-06	62	55	0	3	17	32	3	0	0	1	0	0	13	0	1
TCGA-FS-A1ZS-06	116	96	2	0	45	36	10	11	2	0	61	2	3	0	0
TCGA-FS-A1ZT-06	93	58	3	0	25	28	7	3	1	2	0	9	12	1	0
TCGA-FS-A1ZU-06	4	0	1	2	2	12	13	7	2	0	6	2	0	1	0
TCGA-FS-A1ZW-06	239	225	0	0	124	141	5	0	0	0	146	0	28	0	0
TCGA-FS-A1ZY-06	1	10	0	7	4	2	5	3	0	0	4	3	0	2	1
TCGA-FS-A1ZZ-06	779	492	0	0	302	373	5	0	0	0	57	0	134	5	0
TCGA-FS-A4F0-06	222	238	0	0	77	67	0	7	0	0	127	0	30	0	2
TCGA-FS-A4F4-06	5	3	1	4	6	5	5	5	4	0	3	4	6	2	3
TCGA-FS-A4F5-06	362	298	0	0	109	183	0	0	0	0	73	0	0	0	0
TCGA-FS-A4F8-06	68	46	0	0	22	27	6	3	0	0	59	0	0	4	0
TCGA-FS-A4F9-06	203	174	0	0	82	68	8	0	0	4	0	0	50	1	0
TCGA-FS-A4FB-06	68	82	0	1	30	40	0	1	2	3	0	0	22	1	0
TCGA-FS-A4FC-06	316	274	0	0	130	142	0	0	0	0	54	0	83	0	0
TCGA-FS-A4FD-06	210	169	0	0	102	78	5	0	0	0	0	0	29	2	13
TCGA-FW-A3I3-06	5	0	3	6	3	2	13	21	4	5	0	4	0	6	1
TCGA-FW-A3R5-06	6891	9469	0	0	4274	5166	0	0	0	0	1669	0	0	0	0
TCGA-FW-A3TU-06	292	333	0	5	117	109	4	29	0	0	148	0	40	0	3
TCGA-FW-A3TV-06	122	116	0	0	73	67	4	0	0	0	30	0	41	0	5
TCGA-FW-A5DX-01	78	64	3	1	26	19	6	6	0	0	45	0	14	2	3
TCGA-FW-A5DY-06	94	70	0	2	30	30	0	8	0	0	4	0	3	0	0
TCGA-GF-A2C7-01	31	39	0	6	11	4	2	0	0	2	0	1	5	0	2
TCGA-GF-A3OT-06	209	257	0	0	87	112	7	2	0	0	40	0	70	0	0
TCGA-GF-A4EO-06	91	91	0	1	35	33	2	0	0	0	0	0	93	0	0
TCGA-GF-A6C8-06	159	156	0	0	56	70	2	7	0	5	0	0	69	1	2
TCGA-GF-A6C9-06	1357	875	0	0	608	565	13	0	0	0	226	0	195	0	15
TCGA-GF-A769-01	53	60	3	3	22	27	1	9	1	0	0	0	35	1	0
TCGA-GN-A262-06	143	207	0	7	37	53	3	3	0	0	22	4	16	0	0
TCGA-GN-A263-01	198	207	0	0	83	61	0	0	0	0	50	0	0	4	0
TCGA-GN-A264-06	2	4	4	5	9	8	3	3	4	3	9	0	0	4	3
TCGA-GN-A265-06	95	78	0	0	14	41	0	0	0	0	55	0	24	3	0
TCGA-GN-A266-06	1749	1326	0	0	894	774	0	0	0	0	458	0	146	0	0
TCGA-GN-A267-06	168	185	0	0	66	60	8	13	2	0	79	0	14	3	2
TCGA-GN-A268-06	151	116	2	1	74	45	6	10	0	12	0	0	34	0	0
TCGA-GN-A269-01	321	253	0	0	128	100	0	0	0	0	124	0	62	0	10
TCGA-GN-A26A-06	144	177	0	0	40	46	3	6	0	0	0	2	27	4	3
TCGA-GN-A26C-01	836	610	0	0	370	318	2	0	0	0	270	0	101	0	0
TCGA-GN-A26D-06	8	0	7	8	0	3	0	8	4	6	0	7	6	0	1
TCGA-GN-A4U3-06	127	135	0	0	49	61	2	0	0	0	82	0	0	0	5
TCGA-GN-A4U4-06	343	274	0	0	119	111	3	0	1	1	76	0	43	1	3
TCGA-GN-A4U5-01	151	169	0	2	27	30	0	13	0	0	38	0	23	0	0
TCGA-GN-A4U7-06	76	88	0	3	42	23	2	9	0	0	76	0	26	0	2
TCGA-GN-A4U8-06	189	162	0	7	85	44	1	4	0	0	47	0	0	5	2
TCGA-GN-A4U9-06	3	1	8	6	4	4	12	6	0	12	0	9	0	12	0
TCGA-GN-A8LK-06	972	910	0	0	341	324	21	0	0	19	0	0	165	17	23
TCGA-GN-A8LL-06	4	7	4	4	6	0	7	2	1	8	8	18	0	1	0
TCGA-GN-A8LN-01	107	88	0	4	43	69	4	0	7	0	0	0	35	3	0
TCGA-GN-A9SD-06	52	54	5	9	35	21	0	6	0	0	0	7	15	0	0
TCGA-HR-A2OG-06	76	63	0	0	21	25	2	12	0	0	49	0	3	2	1
TCGA-HR-A2OH-06	41	54	0	0	13	30	2	1	0	5	7	0	0	3	1
TCGA-HR-A5NC-01	15	29	0	7	9	0	5	11	0	4	7	0	4	0	2
TCGA-IH-A3EA-01	796	532	0	0	292	209	23	0	3	0	80	0	69	0	11
TCGA-LH-A9QB-06	103	97	0	8	30	61	0	0	0	0	60	0	0	0	0
TCGA-OD-A75X-06	546	410	0	0	165	182	20	11	0	36	0	0	83	1	1
TCGA-QB-A6FS-06	610	530	0	0	214	214	5	5	0	0	0	0	12	8	6
TCGA-QB-AA9O-06	610	539	0	0	256	282	9	9	0	0	140	0	222	15	14
TCGA-RP-A690-06	2	0	0	0	0	0	0	8	0	1	2	5	0	2	0
TCGA-RP-A693-06	338	394	0	0	106	113	3	6	0	0	84	0	35	6	6
TCGA-RP-A694-06	281	278	0	0	148	154	5	0	0	0	51	0	53	5	0
TCGA-RP-A695-06	400	365	0	0	150	116	7	0	0	0	13	0	131	3	0
TCGA-RP-A6K9-06	0	1	2	10	0	2	10	9	3	5	16	7	3	0	0
TCGA-W3-A824-06	632	601	0	5	251	215	64	63	0	0	189	0	4	0	7
TCGA-W3-A825-06	510	404	0	0	226	232	10	0	0	0	77	0	81	6	8
TCGA-W3-A828-06	527	601	51	1	149	91	5	0	0	0	300	0	94	7	25
TCGA-W3-AA1O-06	355	324	0	0	147	109	4	13	0	0	0	0	95	1	0
TCGA-W3-AA1Q-06	481	330	0	0	167	204	6	12	0	5	0	0	64	0	0
TCGA-W3-AA1R-06	755	633	0	0	317	322	16	0	0	0	143	0	200	0	5
TCGA-W3-AA1V-06	2375	2025	0	0	1063	920	0	0	0	0	828	0	217	5	56
TCGA-W3-AA1W-06	332	241	0	2	145	131	7	11	0	0	0	0	88	0	2
TCGA-W3-AA21-06	233	160	0	4	98	99	11	5	0	0	0	0	93	0	0
TCGA-WE-A8JZ-06	94	62	10	9	36	16	7	4	0	0	40	0	3	0	0
TCGA-WE-A8K1-06	138	97	0	7	54	91	1	5	0	1	28	0	38	0	0
TCGA-WE-A8K4-01	371	322	0	0	126	138	3	0	0	0	123	0	57	3	16
TCGA-WE-A8K5-06	518	465	0	0	226	245	14	7	5	0	59	0	51	0	0
TCGA-WE-A8K6-06	100	99	0	2	35	43	4	0	0	0	31	0	50	0	2
TCGA-WE-A8ZM-06	22	9	0	0	5	9	7	0	1	11	8	24	0	3	4
TCGA-WE-A8ZN-06	64	55	0	0	24	22	0	5	0	0	55	0	0	0	0
TCGA-WE-A8ZO-06	170	99	0	0	44	78	4	0	0	0	41	0	51	0	0
TCGA-WE-A8ZQ-06	56	61	0	17	23	26	12	9	1	0	0	7	35	3	0
TCGA-WE-A8ZR-06	5	0	2	5	3	10	5	3	0	0	1	0	0	1	1
TCGA-WE-A8ZT-06	218	210	0	3	70	69	1	0	7	0	10	12	20	1	7
TCGA-WE-A8ZX-06	290	192	0	0	150	84	4	0	1	0	58	0	21	0	0
TCGA-WE-A8ZY-06	103	71	0	5	36	37	3	2	0	0	70	1	16	2	0
TCGA-WE-AA9Y-06	33	31	7	1	8	8	2	3	0	0	9	0	0	2	0
TCGA-WE-AAA0-06	664	672	0	0	229	216	0	0	0	0	94	0	85	2	20
TCGA-WE-AAA3-06	168	135	0	0	90	95	6	0	0	0	14	0	17	3	2
TCGA-WE-AAA4-06	86	74	0	0	36	56	5	0	0	0	32	0	16	6	1
TCGA-XV-A9VZ-01	1	2	1	0	1	0	2	2	3	0	0	3	3	0	0
TCGA-XV-A9W2-01	1	2	0	6	9	0	9	3	4	1	7	7	7	0	0
TCGA-XV-A9W5-01	31	31	0	13	21	28	3	2	0	0	0	4	2	0	0
TCGA-XV-AAZV-01	57	34	0	4	16	20	5	7	0	0	16	0	0	0	0
TCGA-XV-AAZW-01	55	43	0	6	24	27	6	5	6	0	25	3	7	2	5
TCGA-XV-AAZY-01	85	65	0	0	47	23	0	0	0	0	19	0	0	0	0
TCGA-YD-A89C-06	785	656	0	0	345	280	13	0	0	0	193	0	132	0	1
TCGA-YD-A9TA-06	1649	1243	0	0	704	523	12	45	12	0	421	0	0	15	12
TCGA-YD-A9TB-06	140	93	0	0	82	66	5	3	5	0	19	0	48	7	0
TCGA-YG-AA3N-01	966	790	0	0	415	287	7	0	0	0	66	0	265	0	0
TCGA-YG-AA3O-06	554	404	0	0	190	169	11	9	11	0	128	0	42	7	2
TCGA-YG-AA3P-06	2	17	16	13	1	5	6	7	1	12	0	8	0	10	0
TCGA-Z2-A8RT-06	1539	1050	0	0	626	396	0	0	0	0	423	0	0	24	17
TCGA-Z2-AA3S-06	112	69	0	0	25	35	0	4	0	0	26	4	15	0	3
TCGA-Z2-AA3V-06	208	177	0	0	79	69	0	12	2	1	17	0	27	1	0
TCGA-3C-AAAU-01	0	3	0	0	3	3	11	5	2	2	0	5	11	0	0
TCGA-3C-AALI-01	35	2	15	16	212	90	8	29	365	0	16	0	8	1	11
TCGA-3C-AALJ-01	4	5	17	0	0	4	6	8	11	2	0	1	8	0	0
TCGA-3C-AALK-01	2	3	3	2	5	0	3	19	6	5	2	7	2	0	5
TCGA-4H-AAAK-01	0	1	7	0	0	9	6	5	0	4	0	1	0	0	0
TCGA-5L-AAT0-01	40	7	15	0	80	34	13	1	74	0	5	0	8	0	2
TCGA-5L-AAT1-01	149	35	73	0	670	152	9	25	774	0	0	0	15	0	84
TCGA-5T-A9QA-01	4	4	3	4	2	0	5	20	0	6	3	1	1	0	0
TCGA-A1-A0SB-01	0	0	0	0	0	1	1	4	0	6	1	3	0	0	0
TCGA-A1-A0SD-01	0	2	6	0	1	2	2	13	1	2	3	4	4	0	0
TCGA-A1-A0SE-01	4	0	8	0	3	5	4	0	0	2	8	0	1	0	1
TCGA-A1-A0SF-01	8	0	4	0	26	2	9	0	6	0	5	0	0	2	2
TCGA-A1-A0SG-01	1	0	1	0	0	10	3	7	1	1	3	3	5	0	0
TCGA-A1-A0SH-01	15	7	9	6	33	0	8	3	35	2	0	13	0	0	7
TCGA-A1-A0SI-01	16	9	0	4	73	16	2	6	137	1	5	0	0	0	9
TCGA-A1-A0SJ-01	1	0	9	0	4	0	10	7	5	0	0	1	0	3	0
TCGA-A1-A0SK-01	3	0	9	6	1	3	3	18	2	0	3	21	14	0	1
TCGA-A1-A0SM-01	1	0	0	0	0	6	5	4	0	3	0	4	6	0	3
TCGA-A1-A0SN-01	4	5	0	0	5	10	9	6	18	0	0	11	4	2	2
TCGA-A1-A0SO-01	4	13	74	43	10	0	7	19	19	0	41	83	5	7	28
TCGA-A1-A0SP-01	9	1	0	7	1	0	11	7	1	1	5	20	7	0	0
TCGA-A2-A04N-01	2	2	1	4	4	9	3	9	1	0	14	3	0	1	0
TCGA-A2-A04R-01	1	8	21	12	2	2	7	6	9	1	0	18	0	4	11
TCGA-A2-A04U-01	3	0	1	4	0	6	4	13	4	1	0	15	12	4	0
TCGA-A2-A04W-01	13	6	3	2	36	26	12	4	69	5	3	0	6	1	1
TCGA-A2-A0CK-01	1	0	2	0	4	0	5	10	0	0	5	0	0	0	0
TCGA-A2-A0CL-01	7	3	1	0	57	17	8	22	81	0	0	1	0	3	0
TCGA-A2-A0CR-01	20	0	0	0	81	6	1	8	86	5	2	0	0	1	0
TCGA-A2-A0CS-01	0	1	13	0	1	3	11	10	0	1	0	6	1	1	0
TCGA-A2-A0CV-01	0	2	0	0	0	5	9	1	2	0	0	1	4	0	0
TCGA-A2-A0CW-01	7	0	12	2	14	3	1	17	12	0	1	8	0	1	6
TCGA-A2-A0D3-01	1	2	6	0	1	2	8	12	0	0	0	0	0	0	0
TCGA-A2-A0EN-01	3	4	6	0	1	4	1	10	0	5	0	5	0	0	0
TCGA-A2-A0EP-01	1	0	0	1	1	0	0	1	4	2	3	0	2	1	0
TCGA-A2-A0ES-01	3	0	1	0	0	1	2	2	0	0	6	4	0	0	0
TCGA-A2-A0EW-01	0	0	1	1	0	2	1	5	1	3	3	2	1	0	0
TCGA-A2-A0ST-01	0	2	4	2	2	1	3	5	3	2	0	0	4	0	0
TCGA-A2-A0SU-01	1	2	0	0	1	0	8	0	1	0	14	8	0	0	0
TCGA-A2-A0SX-01	5	0	3	1	3	0	10	1	4	1	0	1	4	3	5
TCGA-A2-A0SY-01	17	3	0	0	39	19	2	13	74	1	9	0	0	0	0
TCGA-A2-A0T0-01	8	0	20	20	7	1	10	8	16	23	17	70	0	7	10
TCGA-A2-A0T1-01	1	2	3	0	0	5	3	7	0	7	1	0	0	3	0
TCGA-A2-A0T3-01	1	0	17	1	1	1	4	9	1	1	0	3	0	0	5
TCGA-A2-A0T4-01	0	0	0	3	3	0	7	4	6	1	2	7	8	0	0
TCGA-A2-A0T5-01	0	0	0	0	1	1	3	3	0	0	2	2	0	1	0
TCGA-A2-A0T6-01	1	0	2	0	3	2	7	10	0	0	0	3	0	0	0
TCGA-A2-A0T7-01	0	2	1	0	3	4	2	8	0	2	0	4	0	3	0
TCGA-A2-A0YC-01	1	0	4	4	4	0	3	7	2	1	0	6	0	0	0
TCGA-A2-A0YD-01	7	2	0	1	20	17	4	9	23	0	0	0	1	0	3
TCGA-A2-A0YE-01	3	3	8	2	6	1	8	7	1	0	0	0	1	0	3
TCGA-A2-A0YF-01	2	0	10	0	1	0	5	5	0	0	0	2	6	0	8
TCGA-A2-A0YG-01	5	2	11	3	6	4	5	16	1	5	12	6	2	0	0
TCGA-A2-A0YH-01	5	4	6	0	14	4	5	10	29	0	13	5	0	0	5
TCGA-A2-A0YI-01	3	0	4	1	0	1	2	1	1	0	0	0	5	0	0
TCGA-A2-A0YJ-01	0	3	4	3	1	4	10	19	6	4	5	27	1	7	4
TCGA-A2-A0YK-01	29	2	0	0	155	20	1	8	240	0	0	0	8	0	15
TCGA-A2-A0YL-01	8	3	0	0	12	0	2	4	12	2	0	0	0	0	0
TCGA-A2-A0YM-01	2	1	13	1	14	11	13	17	22	4	8	3	0	0	0
TCGA-A2-A0YT-01	6	0	0	2	12	15	16	6	2	0	0	20	0	0	2
TCGA-A2-A1FV-01	6	1	5	0	7	0	6	11	0	5	0	7	1	0	1
TCGA-A2-A1FW-01	11	0	17	1	0	3	8	21	7	5	0	7	2	4	9
TCGA-A2-A1FX-01	3	3	1	1	0	2	4	3	0	0	1	4	1	0	5
TCGA-A2-A1FZ-01	0	0	4	0	1	0	3	7	1	6	2	2	2	1	0
TCGA-A2-A1G0-01	1	2	2	0	2	2	0	2	0	0	8	4	0	0	0
TCGA-A2-A1G1-01	1	3	6	3	3	0	0	8	0	2	0	11	1	0	1
TCGA-A2-A1G6-01	0	0	0	0	0	0	2	1	1	1	0	5	0	0	0
TCGA-A2-A259-01	2	3	0	0	2	3	2	3	1	0	0	5	8	0	0
TCGA-A2-A25A-01	11	2	6	17	37	0	4	10	34	0	0	0	3	0	5
TCGA-A2-A25B-01	7	3	10	14	3	6	12	5	5	0	8	25	22	0	8
TCGA-A2-A25C-01	3	1	17	1	1	0	0	1	1	9	0	0	0	0	5
TCGA-A2-A25D-01	3	8	15	3	4	2	4	7	5	5	0	3	0	5	0
TCGA-A2-A25E-01	0	0	4	0	5	2	3	4	2	6	9	21	0	1	4
TCGA-A2-A25F-01	0	0	3	1	0	0	0	0	0	0	1	0	1	0	0
TCGA-A2-A3KD-01	1	4	0	0	2	0	1	6	0	4	0	0	0	0	0
TCGA-A2-A3XT-01	1	6	7	4	3	0	1	7	29	8	10	34	4	5	3
TCGA-A2-A3XU-01	0	0	4	1	1	0	3	11	0	4	3	4	0	0	0
TCGA-A2-A3XV-01	3	3	7	0	0	5	10	2	0	6	7	3	0	2	0
TCGA-A2-A3XW-01	1	0	0	0	1	3	1	3	0	2	0	5	0	0	1
TCGA-A2-A3XX-01	1	0	5	0	3	6	9	5	0	0	8	15	0	0	0
TCGA-A2-A3XZ-01	4	0	0	0	6	7	3	8	15	1	4	4	0	0	0
TCGA-A2-A3Y0-01	5	9	10	5	8	3	16	10	44	26	13	75	10	6	3
TCGA-A2-A4S1-01	1	3	20	4	4	0	10	12	4	5	2	19	0	2	12
TCGA-A2-A4S2-01	1	2	7	0	6	0	5	6	0	5	0	5	5	1	0
TCGA-A2-A4S3-01	2	3	10	6	7	1	9	16	10	9	12	10	2	0	10
TCGA-A7-A0CE-01	6	3	8	4	3	0	6	3	3	6	0	16	0	1	2
TCGA-A7-A0CH-01	1	6	1	2	0	2	0	2	0	1	0	1	1	0	0
TCGA-A7-A0D9-01	2	0	0	0	2	0	2	1	2	0	1	0	1	1	0
TCGA-A7-A0DA-01	4	2	43	1	7	5	6	9	11	3	5	66	11	9	5
TCGA-A7-A0DB-01	1	0	6	0	9	1	4	10	9	2	0	3	1	4	3
TCGA-A7-A13D-01	7	3	11	1	4	3	7	14	15	7	5	58	4	1	0
TCGA-A7-A13E-01	4	0	5	3	0	2	16	30	6	2	1	11	0	0	0
TCGA-A7-A13F-01	1	3	3	0	0	8	7	11	4	4	0	0	1	0	3
TCGA-A7-A13G-01	0	0	0	0	7	0	7	3	2	0	4	6	1	1	1
TCGA-A7-A26E-01	3	0	10	0	14	12	4	17	2	2	0	1	0	2	0
TCGA-A7-A26F-01	0	0	0	1	3	3	0	14	1	0	0	6	13	0	5
TCGA-A7-A26G-01	4	0	1	13	7	1	5	3	9	1	3	11	7	0	3
TCGA-A7-A26H-01	9	4	14	1	28	2	4	27	49	1	0	0	3	0	8
TCGA-A7-A26I-01	4	0	2	6	4	1	1	6	2	2	10	7	0	0	1
TCGA-A7-A26J-01	1	0	6	1	1	0	1	7	3	0	5	7	5	0	5
TCGA-A7-A2KD-01	4	3	0	0	6	2	9	11	3	1	6	6	1	1	2
TCGA-A7-A3RF-01	0	1	6	2	2	0	3	7	0	4	1	9	5	0	0
TCGA-A7-A425-01	3	0	7	0	0	0	5	10	0	1	2	2	2	1	0
TCGA-A7-A4SC-01	2	2	15	0	1	4	6	4	0	0	0	0	0	2	2
TCGA-A7-A4SD-01	0	0	3	2	1	5	7	20	2	4	0	4	9	5	0
TCGA-A7-A4SE-01	5	4	11	8	11	0	3	6	31	12	0	41	7	3	4
TCGA-A7-A56D-01	13	7	11	0	51	11	18	18	48	0	5	17	8	0	18
TCGA-A7-A5ZV-01	6	13	32	18	6	9	14	26	32	17	9	67	2	17	0
TCGA-A7-A5ZW-01	0	0	1	0	5	3	3	6	7	6	3	0	0	0	2
TCGA-A7-A5ZX-01	2	0	5	0	3	6	3	3	0	3	0	7	4	4	2
TCGA-A7-A6VV-01	2	11	3	5	1	0	4	15	9	3	2	9	0	0	0
TCGA-A7-A6VW-01	4	5	2	8	3	3	0	12	5	11	7	22	7	3	0
TCGA-A7-A6VX-01	9	8	25	9	24	0	6	8	14	8	0	30	26	9	1
TCGA-A7-A6VY-01	4	6	2	8	5	5	6	6	15	9	15	48	0	1	6
TCGA-A8-A075-01	9	6	11	4	13	0	4	8	12	0	13	15	0	2	3
TCGA-AC-A23C-01	9	0	6	5	27	1	11	6	24	10	18	14	0	2	12
TCGA-AC-A23E-01	0	1	0	0	0	2	2	7	0	0	0	5	5	0	2
TCGA-AC-A23H-01	406	16	56	55	2134	218	50	19	3318	0	0	0	1	1	104
TCGA-AC-A2B8-01	2	7	2	0	37	7	1	9	42	0	0	5	14	0	2
TCGA-AC-A2BK-01	2	7	19	3	0	5	20	11	5	9	0	28	0	1	0
TCGA-AC-A2BM-01	0	0	4	1	0	1	4	3	3	0	3	0	1	6	0
TCGA-AC-A2FB-01	0	6	2	0	3	0	1	2	0	3	0	0	0	0	0
TCGA-AC-A2FF-01	1	0	2	0	1	0	0	1	4	0	1	0	1	0	0
TCGA-AC-A2FG-01	1	0	1	0	6	4	2	9	2	2	0	4	8	0	0
TCGA-AC-A2FK-01	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0
TCGA-AC-A2FO-01	0	1	0	0	6	2	0	2	4	0	3	1	5	0	3
TCGA-AC-A2QH-01	0	0	0	1	2	0	9	7	2	0	0	4	1	0	1
TCGA-AC-A3HN-01	1	0	3	0	1	1	6	2	2	3	0	1	0	2	0
TCGA-AC-A3OD-01	1	7	0	1	6	5	6	3	0	0	0	4	0	0	6
TCGA-AC-A3QP-01	0	0	14	0	0	5	1	2	1	5	2	3	2	0	0
TCGA-AC-A3QQ-01	1	4	1	0	0	0	7	7	2	0	5	0	5	2	2
TCGA-AC-A3W5-01	12	15	6	4	19	8	16	7	47	5	0	64	0	8	0
TCGA-AC-A3YI-01	0	1	4	0	0	4	3	0	0	2	2	0	2	0	0
TCGA-AC-A3YJ-01	3	3	0	0	3	0	6	8	1	1	11	0	0	0	2
TCGA-AC-A4ZE-01	4	3	15	2	7	3	10	10	0	8	0	12	0	0	0
TCGA-AC-A5EH-01	3	8	27	12	10	3	6	14	17	11	4	47	22	8	13
TCGA-AC-A5EI-01	1	6	3	0	9	4	3	7	1	4	0	5	0	0	0
TCGA-AC-A5XS-01	70	11	0	0	207	60	2	6	294	0	2	11	32	0	20
TCGA-AC-A5XU-01	5	5	21	3	10	2	23	26	7	0	0	0	7	0	4
TCGA-AC-A62V-01	6	7	0	4	2	1	33	16	7	0	0	20	0	0	10
TCGA-AC-A62X-01	2	1	5	1	0	0	19	31	4	0	12	0	0	2	10
TCGA-AC-A62Y-01	1	4	3	1	12	2	6	14	19	6	0	10	8	3	0
TCGA-AC-A6IV-01	0	4	0	2	0	7	2	5	0	0	0	0	7	0	0
TCGA-AC-A6IW-01	15	20	9	0	24	5	20	16	67	4	0	30	15	6	0
TCGA-AC-A6IX-01	5	2	0	0	21	0	7	9	8	5	5	1	8	0	0
