Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H	SBS96I	SBS96J	SBS96K	SBS96L	SBS96M	SBS96N	SBS96O
TCGA-D3-A3MV-06	237	182	0	0	114	104	5	0	0	0	41	0	52	0	0
TCGA-D3-A51E-06	91	103	0	1	35	62	2	4	0	2	0	0	64	1	3
TCGA-D3-A51F-06	45	62	0	5	14	9	4	0	1	0	0	0	25	0	0
TCGA-D3-A51G-06	465	533	0	0	183	240	5	14	0	0	107	0	120	0	23
TCGA-D3-A51H-06	12	6	0	0	7	0	0	1	0	0	11	0	3	0	0
TCGA-D3-A51J-06	198	190	0	0	65	64	4	0	2	0	9	0	76	0	5
TCGA-D3-A51K-06	1	2	3	2	0	0	9	0	4	4	0	0	2	4	1
TCGA-D3-A51N-06	25	29	4	0	11	5	0	6	1	0	1	9	24	0	4
TCGA-D3-A51R-06	337	239	0	0	137	126	6	1	0	0	73	0	49	0	0
TCGA-D3-A51T-06	514	489	0	0	205	193	8	0	0	0	107	0	89	7	2
TCGA-D3-A5GL-06	178	164	7	0	54	64	1	23	0	25	0	0	43	10	8
TCGA-D3-A5GN-06	271	182	0	12	85	58	8	4	0	0	22	0	27	0	0
TCGA-D3-A5GO-06	787	551	0	0	328	248	11	0	0	0	183	0	45	0	23
TCGA-D3-A5GR-06	113	80	9	0	46	21	5	4	0	1	35	5	30	0	3
TCGA-D3-A5GS-06	179	174	0	0	78	38	1	0	0	0	76	0	10	0	0
TCGA-D3-A5GT-01	0	0	4	1	1	2	3	6	0	2	0	2	1	1	3
TCGA-D3-A5GU-06	260	341	0	1	124	80	17	0	1	0	79	0	96	3	17
TCGA-D3-A8GB-06	445	531	0	0	192	186	4	0	0	0	0	0	84	3	19
TCGA-D3-A8GC-06	408	365	0	0	148	113	9	0	0	0	114	0	0	0	2
TCGA-D3-A8GD-06	17	25	0	6	11	18	0	9	0	9	0	16	19	2	0
TCGA-D3-A8GE-06	0	0	4	0	0	0	0	0	2	1	0	1	0	0	0
TCGA-D3-A8GI-06	2607	1733	0	0	1317	931	14	27	0	0	427	0	160	16	0
TCGA-D3-A8GJ-06	95	51	0	0	25	33	4	4	0	0	34	0	23	0	3
TCGA-D3-A8GK-06	279	194	0	1	109	65	7	0	0	0	92	0	51	0	0
TCGA-D3-A8GL-06	899	704	0	0	356	314	13	0	0	0	59	0	216	0	2
TCGA-D3-A8GM-06	1635	1080	0	93	613	395	263	258	0	227	353	0	303	24	0
TCGA-D3-A8GN-06	116	110	0	0	39	53	5	3	0	0	12	0	0	0	3
TCGA-D3-A8GO-06	275	218	0	0	100	92	5	2	0	1	82	0	25	0	0
TCGA-D3-A8GP-06	257	172	0	0	87	104	12	4	3	4	63	8	46	9	15
TCGA-D3-A8GQ-06	704	483	0	0	386	292	2	0	0	0	63	0	43	6	2
TCGA-D3-A8GR-06	164	138	0	0	40	57	6	0	3	0	104	3	0	4	0
TCGA-D3-A8GS-06	93	99	3	8	30	22	9	7	0	0	4	11	3	4	0
TCGA-D3-A8GV-06	179	138	0	6	81	86	9	3	0	5	0	0	48	4	0
TCGA-D9-A148-06	93	105	0	0	52	38	3	8	3	0	46	5	29	0	4
TCGA-D9-A149-06	97	102	0	0	31	41	0	15	1	0	0	0	26	3	2
TCGA-D9-A1JW-06	474	384	6	0	110	126	11	0	1	24	113	0	3	1	3
TCGA-D9-A1JX-06	73	57	0	0	30	50	5	1	2	3	13	3	14	0	0
TCGA-D9-A1X3-06	4	6	2	4	0	0	5	9	0	0	0	2	16	0	0
TCGA-D9-A3Z1-06	206	200	0	0	71	70	3	3	0	0	32	0	95	0	0
TCGA-D9-A3Z3-06	65	34	0	0	28	12	2	5	0	5	2	0	24	2	5
TCGA-D9-A3Z4-01	57	63	0	3	8	16	1	12	0	1	0	0	40	0	6
TCGA-D9-A4Z2-01	0	3	3	0	0	4	4	2	0	2	8	2	0	3	0
TCGA-D9-A4Z3-01	418	412	0	3	42	65	14	21	19	15	0	22	43	0	4
TCGA-D9-A4Z5-01	5	10	0	35	4	6	6	9	6	2	0	4	1	0	0
TCGA-D9-A4Z6-06	137	85	0	0	44	37	0	2	0	0	39	1	24	0	0
TCGA-D9-A6E9-06	77	71	0	3	28	26	7	1	2	5	19	6	0	0	1
TCGA-D9-A6EA-06	286	239	0	0	130	82	3	0	0	0	134	0	4	11	0
TCGA-D9-A6EC-06	1391	1194	0	0	661	532	0	0	0	239	387	0	123	1140	101
TCGA-D9-A6EG-06	17	18	0	0	11	6	6	7	1	2	9	15	12	0	0
TCGA-DA-A1HV-06	637	483	0	0	317	228	2	0	0	0	55	0	137	11	0
