NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	115.734	60.249	19.336	43.303	0.495	0.823	120000.0
2	122.927	63.808	20.725	45.469	0.496	0.807	100000.0
3	123.842	63.711	21.042	45.24	0.49	0.81	100000.0
4	120.737	62.87	20.37	45.108	0.496	0.808	90000.0
5	121.603	63.22	20.615	45.401	0.496	0.806	50000.0
6	123.277	63.658	20.832	45.141	0.49	0.811	50000.0
7	119.241	61.785	19.771	44.042	0.493	0.819	80000.0
8	123.315	63.083	21.58	45.049	0.493	0.813	70000.0
9	122.743	63.764	20.706	45.463	0.499	0.807	100000.0
10	124.94	64.542	21.469	46.039	0.498	0.802	60000.0
11	123.984	63.962	20.934	45.236	0.491	0.811	40000.0
12	123.727	63.447	21.282	45.346	0.491	0.81	150000.0
13	128.829	65.462	22.912	46.925	0.496	0.798	40000.0
14	119.51	61.721	19.842	43.949	0.486	0.819	70000.0
15	123.466	62.748	21.463	44.79	0.491	0.814	70000.0
16	119.475	62.272	19.891	44.395	0.496	0.815	80000.0
17	125.257	64.527	21.236	45.68	0.497	0.806	100000.0
18	120.057	62.481	20.188	44.796	0.492	0.812	130000.0
19	122.533	63.722	20.601	45.383	0.496	0.808	70000.0
20	116.923	61.112	19.253	43.605	0.493	0.821	60000.0
21	117.91	61.583	19.381	43.722	0.496	0.82	80000.0
22	119.731	61.938	20.037	44.137	0.492	0.818	60000.0
23	118.852	61.915	19.677	44.139	0.496	0.817	120000.0
24	123.564	63.28	21.259	45.502	0.49	0.807	50000.0
25	121.453	62.776	20.47	44.729	0.497	0.813	50000.0
26	119.185	61.626	20.325	44.55	0.492	0.813	70000.0
27	125.14	64.34	21.52	46.185	0.497	0.801	110000.0
28	119.871	61.697	19.943	43.97	0.489	0.819	70000.0
29	126.268	64.738	21.842	46.049	0.492	0.805	50000.0
30	124.816	64.115	21.109	45.535	0.492	0.807	90000.0
31	119.172	61.988	19.746	43.999	0.491	0.818	40000.0
32	120.985	62.361	20.519	44.396	0.492	0.816	80000.0
33	122.212	63.28	20.474	44.927	0.497	0.813	50000.0
34	116.196	60.394	19.366	43.21	0.49	0.824	100000.0
35	119.527	62.04	19.719	43.886	0.487	0.82	60000.0
36	121.19	63.059	20.346	45.027	0.494	0.81	70000.0
37	123.99	63.864	21.06	45.467	0.492	0.809	40000.0
38	126.566	65.097	21.851	46.425	0.495	0.801	100000.0
39	123.207	63.396	21.017	45.149	0.494	0.811	60000.0
40	120.12	62.717	20.04	44.582	0.494	0.814	40000.0
41	126.279	64.84	21.591	46.218	0.495	0.802	70000.0
42	118.886	61.735	19.696	44.052	0.49	0.818	110000.0
43	120.135	62.635	19.932	44.379	0.5	0.816	80000.0
44	115.926	60.417	19.162	43.169	0.49	0.825	100000.0
45	125.147	64.534	21.512	46.303	0.498	0.8	60000.0
46	119.213	62.171	19.672	44.013	0.488	0.818	50000.0
47	124.783	64.423	21.163	45.754	0.494	0.805	110000.0
48	124.388	64.125	21.046	45.387	0.497	0.808	90000.0
49	124.799	64.427	21.117	45.642	0.497	0.806	40000.0
50	121.566	63.448	20.518	45.198	0.5	0.808	80000.0
51	119.033	62.046	19.864	44.322	0.494	0.815	60000.0
52	119.713	62.126	19.82	44.276	0.498	0.815	50000.0
53	123.255	63.678	20.833	45.133	0.49	0.811	110000.0
54	120.615	62.967	20.03	44.622	0.495	0.813	60000.0
55	123.244	63.778	20.78	45.292	0.495	0.81	70000.0
56	119.254	61.692	19.724	43.959	0.489	0.82	110000.0
57	122.105	62.884	20.676	44.95	0.493	0.811	70000.0
58	120.452	62.31	20.233	44.578	0.493	0.813	110000.0
59	124.375	63.985	21.112	45.295	0.49	0.809	70000.0
60	116.453	60.557	19.432	43.292	0.49	0.824	70000.0
61	124.262	64.215	21.056	45.627	0.49	0.807	100000.0
62	119.051	61.847	19.815	44.185	0.495	0.817	40000.0
63	120.832	62.255	20.647	44.681	0.488	0.813	90000.0
64	124.681	64.463	21.085	45.928	0.493	0.803	110000.0
65	121.125	62.808	20.53	45.084	0.494	0.809	70000.0
66	118.584	61.819	19.763	44.097	0.499	0.817	70000.0
67	118.788	61.612	19.682	43.984	0.491	0.818	40000.0
68	120.876	62.575	20.198	44.336	0.49	0.817	70000.0
69	124.131	64.044	21.313	45.588	0.498	0.806	130000.0
70	120.266	62.022	20.012	44.094	0.492	0.818	110000.0
