NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	65.347	100.618	11.511	66.168	0.964	0.642	40000.0
2	65.41	99.889	11.533	65.753	0.954	0.647	80000.0
3	63.778	98.438	10.996	64.845	0.962	0.657	80000.0
4	66.798	101.148	12.076	66.691	0.95	0.64	40000.0
5	67.083	101.819	12.148	67.362	0.954	0.635	40000.0
6	65.275	99.849	11.476	65.552	0.951	0.649	40000.0
7	64.892	100.329	11.28	65.736	0.965	0.647	60000.0
8	65.466	100.653	11.526	66.085	0.962	0.644	30000.0
9	64.949	100.156	11.328	65.848	0.951	0.646	30000.0
10	64.957	100.276	11.391	65.751	0.964	0.645	30000.0
11	65.305	100.471	11.422	65.946	0.959	0.645	30000.0
12	65.524	100.393	11.512	65.912	0.957	0.646	40000.0
13	65.167	100.096	11.499	66.063	0.959	0.643	30000.0
14	65.447	100.915	11.467	66.271	0.964	0.64	50000.0
15	65.406	100.303	11.487	65.868	0.952	0.646	60000.0
16	65.681	100.758	11.569	65.91	0.96	0.647	30000.0
17	65.071	100.336	11.392	65.627	0.966	0.647	40000.0
18	64.804	99.964	11.401	65.795	0.955	0.647	30000.0
19	65.579	101.67	11.479	66.546	0.975	0.635	30000.0
20	67.044	101.159	12.139	67.101	0.953	0.635	60000.0
21	64.947	100.223	11.417	65.75	0.964	0.646	30000.0
22	64.302	98.827	11.18	64.87	0.968	0.657	30000.0
23	65.322	100.76	11.458	66.141	0.966	0.642	60000.0
24	65.235	100.451	11.489	65.903	0.961	0.644	20000.0
25	65.576	100.328	11.535	66.278	0.957	0.641	30000.0
26	64.745	99.957	11.346	65.896	0.975	0.644	40000.0
27	64.78	100.216	11.399	65.873	0.961	0.646	30000.0
28	65.252	100.385	11.422	65.794	0.958	0.646	40000.0
29	65.499	100.759	11.504	66.377	0.96	0.64	40000.0
30	65.466	100.294	11.438	65.939	0.955	0.644	40000.0
31	67.281	102.02	12.143	67.583	0.966	0.628	20000.0
32	66.846	101.533	12.01	66.9	0.956	0.636	30000.0
33	65.45	101.005	11.444	66.471	0.964	0.637	40000.0
34	65.516	100.692	11.47	66.315	0.962	0.639	40000.0
35	65.565	100.6	11.529	66.167	0.957	0.643	40000.0
36	64.891	100.382	11.501	66.089	0.965	0.644	30000.0
37	65.345	100.619	11.562	66.161	0.965	0.642	50000.0
38	65.355	99.989	11.54	65.847	0.952	0.646	40000.0
39	64.628	99.855	11.308	65.602	0.957	0.646	40000.0
40	65.295	99.963	11.479	65.913	0.953	0.645	40000.0
41	64.88	100.249	11.346	65.86	0.96	0.645	50000.0
