NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	66.261	101.738	11.634	66.662	0.992	0.634	30000.0
2	66.516	101.464	11.699	66.678	0.982	0.636	50000.0
3	65.607	101.039	11.476	66.419	0.983	0.638	30000.0
4	66.173	101.558	11.574	66.386	0.985	0.638	40000.0
5	66.056	101.67	11.56	66.57	0.988	0.638	50000.0
6	66.212	101.204	11.584	66.266	0.982	0.64	30000.0
7	67.372	102.796	11.975	67.439	0.989	0.629	30000.0
8	66.441	102.12	11.627	66.961	0.993	0.633	20000.0
9	67.333	102.624	12.066	67.69	0.98	0.627	30000.0
10	67.493	103.002	12.077	67.561	0.99	0.626	50000.0
11	67.659	102.818	12.092	67.486	0.987	0.627	40000.0
12	66.367	101.47	11.638	66.54	0.987	0.638	30000.0
13	66.3	101.654	11.672	66.936	0.997	0.632	50000.0
14	66.227	101.951	11.55	66.677	0.998	0.634	30000.0
15	66.176	101.363	11.595	66.472	0.983	0.637	30000.0
16	67.782	102.899	12.222	67.484	0.99	0.629	40000.0
17	66.022	101.774	11.532	66.549	0.991	0.633	30000.0
18	65.793	101.377	11.543	66.463	0.988	0.638	30000.0
19	66.737	103.151	11.647	67.562	1.01	0.622	40000.0
20	68.054	102.751	12.283	67.838	0.982	0.626	60000.0
21	65.941	101.733	11.545	66.454	0.992	0.637	20000.0
22	68.029	103.08	12.282	67.855	0.986	0.625	30000.0
23	66.209	101.934	11.591	66.769	0.998	0.634	30000.0
24	67.479	102.971	12.117	67.767	0.987	0.624	40000.0
25	66.394	101.494	11.636	66.779	0.987	0.634	70000.0
26	66.427	101.876	11.692	66.771	0.995	0.633	40000.0
27	67.454	103.006	12.189	67.672	0.988	0.625	50000.0
28	66.137	101.726	11.529	66.442	0.988	0.637	40000.0
29	68.08	103.373	12.261	68.225	0.985	0.621	30000.0
30	66.765	102.285	11.627	66.904	0.994	0.633	50000.0
31	66.333	102.043	11.565	66.818	0.997	0.632	40000.0
32	65.783	101.556	11.422	66.36	0.992	0.638	30000.0
33	68.243	103.214	12.28	68.142	0.991	0.62	60000.0
34	66.428	101.807	11.602	66.913	0.992	0.631	40000.0
35	68.147	103.166	12.357	68.074	0.988	0.622	30000.0
36	66.087	101.594	11.677	66.634	0.991	0.635	30000.0
37	67.784	103.028	12.235	67.845	0.992	0.625	40000.0
38	66.13	101.238	11.657	66.464	0.983	0.638	20000.0
39	65.561	101.173	11.443	66.313	0.989	0.637	40000.0
40	68.175	102.728	12.304	67.864	0.98	0.625	30000.0
41	67.052	102.071	11.955	67.285	0.989	0.631	40000.0
42	66.312	101.26	11.687	66.497	0.987	0.636	20000.0
43	65.945	101.423	11.495	66.58	0.992	0.636	40000.0
44	68.07	102.913	12.263	67.5	0.987	0.628	80000.0
45	66.181	101.431	11.629	66.369	0.985	0.641	30000.0
46	65.689	101.156	11.482	66.209	0.983	0.64	20000.0
47	67.411	102.309	12.117	67.325	0.984	0.631	30000.0
48	65.914	101.657	11.561	66.483	0.99	0.639	20000.0
49	66.216	101.783	11.568	66.579	0.997	0.634	20000.0
50	67.625	102.885	12.145	67.596	0.982	0.628	50000.0
51	67.384	102.562	12.184	67.639	0.981	0.629	30000.0
52	66.433	102.139	11.652	67.057	0.996	0.63	20000.0
53	67.636	103.367	12.228	68.177	0.992	0.621	40000.0
54	65.977	101.343	11.495	66.561	0.988	0.635	20000.0
55	66.285	101.635	11.625	66.547	0.993	0.635	20000.0
56	66.334	102.084	11.62	66.765	1.0	0.632	20000.0
57	68.017	102.681	12.277	67.765	0.984	0.627	50000.0
58	67.734	103.046	12.172	67.915	0.984	0.622	40000.0
59	67.041	101.784	11.991	66.86	0.979	0.635	30000.0
60	67.951	103.205	12.239	67.98	0.987	0.622	50000.0
61	66.127	101.489	11.517	66.153	0.988	0.642	40000.0
62	65.722	101.079	11.5	66.305	0.981	0.641	30000.0
63	68.059	103.15	12.151	67.926	0.988	0.62	70000.0
64	65.552	100.636	11.526	66.037	0.974	0.642	50000.0
65	66.244	101.874	11.559	66.501	0.993	0.634	30000.0
66	68.192	103.144	12.299	67.998	0.987	0.623	40000.0
67	66.08	101.595	11.519	66.536	0.988	0.637	20000.0
68	66.001	101.089	11.582	66.419	0.983	0.639	50000.0
69	66.885	101.854	11.718	66.702	0.992	0.636	30000.0
70	65.901	100.94	11.45	66.169	0.984	0.639	20000.0
71	65.922	101.691	11.489	66.778	0.991	0.635	60000.0
72	68.072	103.535	12.261	68.164	0.99	0.621	40000.0
73	66.048	101.354	11.534	66.387	0.984	0.64	20000.0
74	67.606	103.262	12.04	67.713	0.99	0.623	30000.0
75	67.846	102.692	12.182	67.556	0.986	0.628	20000.0
76	66.568	102.753	11.746	67.133	1.007	0.629	40000.0
77	65.655	101.375	11.439	66.519	0.985	0.635	40000.0
78	66.069	101.644	11.554	66.683	0.994	0.634	30000.0
79	65.635	101.047	11.425	66.229	0.985	0.639	30000.0
80	66.308	102.196	11.679	66.85	0.996	0.635	30000.0
81	67.614	102.87	12.05	67.492	0.987	0.625	30000.0
82	66.036	101.647	11.534	66.278	0.989	0.639	20000.0
83	68.335	103.692	12.281	68.422	0.993	0.618	30000.0
84	66.449	101.795	11.559	66.511	0.989	0.636	20000.0
85	66.118	101.045	11.626	66.234	0.981	0.64	20000.0
86	65.954	101.806	11.47	66.587	0.996	0.633	30000.0
87	65.975	101.372	11.608	66.514	0.99	0.636	30000.0
88	66.538	102.33	11.701	66.882	1.003	0.631	20000.0
89	68.012	103.232	12.274	68.027	0.982	0.623	50000.0
90	67.932	102.851	12.151	67.803	0.989	0.623	40000.0
91	65.663	101.318	11.467	66.527	0.987	0.633	30000.0
92	68.072	102.916	12.27	67.786	0.985	0.626	20000.0
93	67.03	101.324	12.02	67.041	0.964	0.637	60000.0
94	67.558	102.68	12.182	67.672	0.985	0.625	50000.0
95	66.312	101.571	11.59	66.646	0.987	0.637	30000.0
96	68.185	103.063	12.197	67.72	0.981	0.626	20000.0
97	68.015	103.474	12.22	68.195	0.99	0.62	30000.0
98	66.276	101.973	11.593	66.877	0.995	0.633	30000.0
99	65.938	100.999	11.514	66.247	0.978	0.64	30000.0
100	67.998	103.299	12.296	68.126	0.989	0.622	40000.0
