Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H	SBS96I	SBS96J	SBS96K
TCGA-D3-A5GU-06	321	450	0	157	0	16	2	68	5	0	0
TCGA-D3-A8GB-06	520	572	0	220	0	0	0	148	4	0	0
TCGA-D3-A8GC-06	502	400	0	168	0	0	0	89	0	0	0
TCGA-D3-A8GD-06	22	31	5	15	18	0	13	17	0	10	1
TCGA-D3-A8GE-06	0	0	1	0	5	0	0	0	1	1	0
TCGA-D3-A8GI-06	3159	1710	0	1621	0	0	28	714	0	0	0
TCGA-D3-A8GJ-06	131	66	0	30	0	1	11	32	1	0	0
TCGA-D3-A8GK-06	365	233	0	136	0	1	5	50	4	4	0
TCGA-D3-A8GL-06	1121	763	0	427	0	0	0	252	0	0	0
TCGA-D3-A8GM-06	2119	1190	0	741	0	303	338	296	0	257	0
TCGA-D3-A8GN-06	138	111	0	42	0	2	5	43	0	0	0
TCGA-D3-A8GO-06	348	249	0	118	0	0	7	75	0	3	0
TCGA-D3-A8GP-06	335	197	0	104	10	5	13	95	7	14	4
TCGA-D3-A8GQ-06	834	451	0	475	0	0	0	221	0	0	0
TCGA-D3-A8GR-06	220	182	0	43	0	2	3	51	5	10	3
TCGA-D3-A8GS-06	115	111	1	32	0	9	8	16	0	0	1
TCGA-D3-A8GV-06	223	147	0	102	0	2	8	72	0	5	0
TCGA-D9-A148-06	116	143	0	69	1	0	17	31	5	4	0
TCGA-D9-A149-06	118	110	0	33	0	0	21	34	2	0	0
TCGA-D9-A1JW-06	599	417	0	107	0	3	0	104	4	22	0
TCGA-D9-A1JX-06	93	64	0	37	0	1	5	43	3	5	0
TCGA-D9-A1X3-06	5	12	8	0	5	6	12	0	0	0	0
TCGA-D9-A3Z1-06	269	256	0	86	0	0	12	57	0	0	0
TCGA-D9-A3Z3-06	83	36	0	36	0	2	8	10	0	7	2
TCGA-D9-A3Z4-01	76	83	0	6	0	0	21	15	1	5	0
TCGA-D9-A4Z2-01	0	6	2	0	5	6	1	4	0	3	4
TCGA-D9-A4Z3-01	526	432	0	4	0	13	28	53	21	1	0
TCGA-D9-A4Z5-01	6	9	41	3	0	6	12	3	6	2	0
TCGA-D9-A4Z6-06	183	99	0	52	0	0	4	30	1	0	0
TCGA-D9-A6E9-06	98	80	0	32	0	8	0	20	4	4	0
TCGA-D9-A6EA-06	359	290	0	163	0	0	5	64	0	0	8
TCGA-D9-A6EC-06	1709	1349	0	821	0	0	0	421	0	235	1233
TCGA-D9-A6EG-06	22	24	0	14	19	6	10	4	2	3	0
TCGA-DA-A1HV-06	780	516	0	396	0	0	0	175	3	0	0
TCGA-DA-A1HW-06	157	151	0	82	0	0	6	55	1	0	0
TCGA-DA-A1HY-06	456	375	0	82	0	0	0	83	2	0	0
TCGA-DA-A1I0-06	253	255	0	96	0	0	15	67	0	0	0
TCGA-DA-A1I1-06	203	175	0	84	0	0	8	61	0	0	0
TCGA-DA-A1I2-06	60	68	0	24	0	0	10	12	3	2	0
TCGA-DA-A1I4-06	152	114	0	41	0	2	6	41	6	0	0
TCGA-DA-A1I5-06	290	159	0	84	0	0	0	54	2	0	0
TCGA-DA-A1I7-06	197	169	0	102	0	0	23	114	4	0	0
TCGA-DA-A1I8-06	75	103	0	38	1	3	9	8	5	10	0
TCGA-DA-A1IA-06	146	196	0	82	0	0	30	21	6	3	0
TCGA-DA-A1IB-06	0	0	4	0	0	0	0	0	2	2	0
TCGA-DA-A1IC-06	513	468	0	146	0	0	79	141	1	14	0
TCGA-DA-A3F3-06	158	88	0	70	0	0	21	55	0	0	0
TCGA-DA-A3F5-06	149	158	3	55	0	0	35	42	3	12	0
TCGA-DA-A3F8-06	735	485	0	262	0	0	7	155	0	0	0
TCGA-DA-A95V-06	137	122	4	54	0	17	13	17	5	0	3
TCGA-DA-A95W-06	90	79	0	19	0	7	0	21	0	0	0
TCGA-DA-A95X-06	266	192	0	123	0	0	8	93	2	0	0
TCGA-DA-A95Y-06	252	145	0	69	0	0	18	53	1	19	4
TCGA-DA-A95Z-06	1136	676	0	438	0	0	41	351	14	0	0
TCGA-DA-A960-01	463	343	0	205	0	0	17	158	1	0	0
TCGA-EB-A1NK-01	72	59	0	30	0	0	13	20	2	0	0
TCGA-EB-A24C-01	1	1	7	2	0	5	13	1	0	3	2
TCGA-EB-A24D-01	319	279	0	112	0	0	27	74	3	0	1
TCGA-EB-A299-01	87	75	0	22	0	0	6	16	1	0	0
TCGA-EB-A3HV-01	14	14	12	13	0	6	0	4	0	0	0
TCGA-EB-A3XB-01	288	194	0	98	0	0	22	77	0	17	0
TCGA-EB-A3XC-01	225	199	0	57	0	0	16	55	6	0	10
TCGA-EB-A3XD-01	194	170	0	76	0	0	0	80	0	0	0
TCGA-EB-A3XE-01	11	0	4	0	0	6	0	0	0	1	0
TCGA-EB-A3XF-01	241	141	0	93	0	0	0	56	3	2	0
TCGA-EB-A3Y6-01	291	298	0	133	0	0	26	91	2	0	0
TCGA-EB-A3Y7-01	599	421	0	303	0	0	26	145	6	14	4
TCGA-EB-A41A-01	1172	683	0	494	0	0	0	269	2	0	0
TCGA-EB-A41B-01	241	128	0	111	0	0	3	72	0	0	0
TCGA-EB-A42Y-01	13	5	3	7	13	10	10	4	3	3	10
TCGA-EB-A42Z-01	50	51	8	9	0	5	4	30	0	0	0
TCGA-EB-A430-01	201	208	0	49	0	0	4	67	0	0	0
TCGA-EB-A431-01	981	892	0	330	0	0	6	179	9	0	0
TCGA-EB-A44N-01	75	76	0	22	0	0	5	30	0	0	0
TCGA-EB-A44O-01	254	279	0	62	0	0	20	77	0	0	0
TCGA-EB-A44P-01	176	190	0	58	0	0	0	47	1	6	0
TCGA-EB-A44Q-06	11	0	4	4	17	9	5	0	0	7	0
TCGA-EB-A44R-06	2	0	9	1	4	13	19	5	1	12	5
TCGA-EB-A4IQ-01	3	2	1	0	0	5	1	3	0	7	0
TCGA-EB-A4IS-01	319	313	0	91	0	1	1	44	4	0	0
TCGA-EB-A4OY-01	3	4	0	0	16	12	13	0	6	14	4
TCGA-EB-A4OZ-01	1	1	6	0	0	0	1	0	1	4	2
TCGA-EB-A4P0-01	91	95	0	36	0	7	11	10	1	7	0
TCGA-EB-A4XL-01	267	248	0	98	0	8	3	37	0	0	5
TCGA-EB-A51B-01	250	193	0	74	0	3	27	20	0	0	0
TCGA-EB-A550-01	73	71	0	18	0	7	3	30	1	0	0
TCGA-EB-A551-01	170	133	0	78	0	0	14	68	1	9	1
TCGA-EB-A553-01	137	156	11	34	17	0	23	39	9	3	6
TCGA-EB-A57M-01	0	0	5	9	19	15	6	0	3	2	0
TCGA-EB-A5FP-01	188	215	0	103	0	1	3	47	0	0	0
TCGA-EB-A5KH-06	2	6	9	0	13	6	11	2	3	0	2
TCGA-EB-A5SE-01	142	153	0	55	0	0	2	42	4	0	0
