Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H	SBS96I	SBS96J	SBS96K
TCGA-FS-A4F5-06	444	312	0	117	0	0	0	152	0	0	0
TCGA-FS-A4F8-06	95	68	0	29	0	4	9	25	0	0	5
TCGA-FS-A4F9-06	251	184	0	98	0	3	0	53	0	1	0
TCGA-FS-A4FB-06	83	93	0	35	0	0	0	35	3	1	0
TCGA-FS-A4FC-06	394	324	0	161	0	0	0	120	0	0	0
TCGA-FS-A4FD-06	255	165	0	124	0	0	0	63	1	0	0
TCGA-FW-A3I3-06	6	0	6	2	6	15	23	1	5	4	5
TCGA-FW-A3R5-06	7670	10550	0	5189	0	0	0	4060	0	0	0
TCGA-FW-A3TU-06	364	430	0	142	0	0	49	90	5	0	0
TCGA-FW-A3TV-06	150	145	0	100	0	0	6	57	0	0	0
TCGA-FW-A5DX-01	106	89	2	33	0	5	12	17	0	0	3
TCGA-FW-A5DY-06	114	64	0	31	0	0	9	23	0	0	0
TCGA-GF-A2C7-01	38	42	3	12	0	3	0	3	0	2	0
TCGA-GF-A3OT-06	256	318	0	106	0	0	8	94	2	0	0
TCGA-GF-A4EO-06	127	134	0	48	0	0	7	29	1	0	0
TCGA-GF-A6C8-06	201	181	0	67	0	0	13	59	0	6	0
TCGA-GF-A6C9-06	1704	922	0	761	0	0	0	467	0	0	0
TCGA-GF-A769-01	68	77	2	28	0	0	15	24	1	0	0
TCGA-GN-A262-06	171	239	0	36	0	0	5	43	1	0	0
TCGA-GN-A263-01	234	227	0	94	0	0	0	46	2	0	0
TCGA-GN-A264-06	1	6	8	15	2	4	4	7	5	5	4
TCGA-GN-A265-06	131	117	0	12	1	0	0	39	2	4	4
TCGA-GN-A266-06	2138	1463	0	1128	0	0	0	618	0	0	0
TCGA-GN-A267-06	209	233	0	79	0	0	27	47	5	0	0
TCGA-GN-A268-06	187	113	0	90	0	2	15	33	1	10	0
TCGA-GN-A269-01	419	328	0	165	0	0	0	86	0	0	0
TCGA-GN-A26A-06	172	195	0	40	0	0	8	37	0	0	0
TCGA-GN-A26C-01	1056	717	0	467	0	0	6	259	2	0	0
TCGA-GN-A26D-06	10	0	12	0	12	0	11	3	3	7	0
TCGA-GN-A4U3-06	161	183	0	62	0	0	0	54	1	0	0
TCGA-GN-A4U4-06	432	310	0	137	0	0	0	91	5	0	0
TCGA-GN-A4U5-01	189	201	0	20	0	0	18	24	1	0	0
TCGA-GN-A4U7-06	100	146	0	61	0	0	20	19	0	0	1
TCGA-GN-A4U8-06	229	176	0	101	0	0	4	33	2	0	1
TCGA-GN-A4U9-06	3	0	7	5	16	16	3	2	0	11	14
TCGA-GN-A8LK-06	1185	957	0	382	0	0	3	262	3	0	0
TCGA-GN-A8LL-06	4	10	3	8	25	9	0	0	2	9	0
TCGA-GN-A8LN-01	139	99	0	52	0	0	0	61	9	0	0
TCGA-GN-A9SD-06	63	61	10	46	0	0	8	16	0	0	0
TCGA-HR-A2OG-06	100	83	0	25	0	0	22	22	0	0	2
TCGA-HR-A2OH-06	50	61	0	15	0	0	2	26	0	3	0
TCGA-HR-A5NC-01	17	36	7	10	0	5	15	0	0	3	0
TCGA-IH-A3EA-01	984	519	0	330	0	10	0	161	11	0	0
TCGA-LH-A9QB-06	134	131	0	37	0	0	0	55	2	0	0
TCGA-OD-A75X-06	683	397	0	178	0	7	19	147	0	24	0
TCGA-QB-A6FS-06	713	499	0	226	0	0	0	166	0	0	0
TCGA-QB-AA9O-06	791	682	0	331	0	0	35	248	4	0	5
TCGA-RP-A690-06	3	0	0	0	6	0	8	0	0	1	2
TCGA-RP-A693-06	412	460	0	115	0	0	10	93	1	0	0
TCGA-RP-A694-06	339	322	0	188	0	0	0	125	1	0	0
TCGA-RP-A695-06	501	416	0	177	0	0	0	91	0	0	0
TCGA-RP-A6K9-06	0	7	12	0	12	13	11	2	3	7	1
TCGA-W3-A824-06	768	667	0	290	0	56	83	167	0	0	0
TCGA-W3-A825-06	634	444	0	277	0	0	0	192	7	0	0
TCGA-W3-A828-06	704	851	0	178	0	0	21	77	8	0	12
TCGA-W3-AA1O-06	432	342	0	173	0	0	20	81	0	0	0
TCGA-W3-AA1Q-06	593	308	0	186	0	0	16	166	0	0	0
TCGA-W3-AA1R-06	959	759	0	399	0	0	0	272	2	0	0
TCGA-W3-AA1V-06	2967	2418	0	1338	0	0	0	766	0	0	0
TCGA-W3-AA1W-06	411	245	0	178	0	0	22	103	0	0	0
TCGA-W3-AA21-06	302	175	0	125	0	2	16	83	0	0	0
TCGA-WE-A8JZ-06	122	74	13	44	1	7	8	10	2	0	0
TCGA-WE-A8K1-06	181	113	0	69	0	0	11	80	1	5	0
TCGA-WE-A8K4-01	481	396	0	151	0	0	8	123	0	0	0
TCGA-WE-A8K5-06	619	488	0	264	0	0	14	194	11	0	0
TCGA-WE-A8K6-06	135	141	0	45	0	0	5	40	0	0	0
TCGA-WE-A8ZM-06	28	8	0	5	30	8	0	9	1	11	3
TCGA-WE-A8ZN-06	85	81	0	30	0	0	9	20	0	0	0
TCGA-WE-A8ZO-06	231	124	0	51	0	0	6	73	2	0	0
TCGA-WE-A8ZQ-06	73	80	18	29	0	12	14	21	1	1	1
TCGA-WE-A8ZR-06	6	0	7	5	0	7	3	8	0	0	0
TCGA-WE-A8ZT-06	266	222	0	74	0	0	0	57	9	0	0
TCGA-WE-A8ZX-06	353	195	0	185	0	0	0	63	4	0	0
TCGA-WE-A8ZY-06	137	102	4	46	9	0	8	33	0	5	2
TCGA-WE-AA9Y-06	43	36	3	8	0	1	5	6	0	0	2
TCGA-WE-AAA0-06	805	746	0	256	0	0	0	174	1	0	0
TCGA-WE-AAA3-06	203	138	0	111	0	0	0	77	1	0	0
TCGA-WE-AAA4-06	113	95	0	47	0	1	0	49	1	3	3
TCGA-XV-A9VZ-01	1	2	0	1	6	2	3	0	3	0	0
TCGA-XV-A9W2-01	0	6	7	12	8	15	0	0	5	3	0
TCGA-XV-A9W5-01	38	32	11	27	0	0	4	23	0	0	0
TCGA-XV-AAZV-01	74	34	2	18	0	4	11	16	0	0	0
TCGA-XV-AAZW-01	71	55	5	31	4	6	9	25	7	0	1
TCGA-XV-AAZY-01	98	67	0	58	0	0	0	16	0	0	0
TCGA-YD-A89C-06	980	768	0	430	0	0	0	227	0	0	0
TCGA-YD-A9TA-06	2011	1296	0	827	0	0	64	405	33	0	0
TCGA-YD-A9TB-06	179	107	0	109	0	0	8	54	8	0	3
TCGA-YG-AA3N-01	1197	875	0	504	0	0	0	220	0	0	0
TCGA-YG-AA3O-06	697	437	0	216	0	0	23	136	18	0	0
TCGA-YG-AA3P-06	3	19	23	1	8	7	10	3	1	12	11
TCGA-Z2-A8RT-06	1915	1107	0	746	0	0	0	307	0	0	0
TCGA-Z2-AA3S-06	146	78	0	25	3	0	8	32	1	0	0
TCGA-Z2-AA3V-06	252	181	0	89	0	0	15	52	4	0	0
TCGA-3C-AAAU-01	0	5	0	4	9	17	4	2	2	2	0
TCGA-3C-AALI-01	23	0	19	228	0	0	42	78	418	0	0
TCGA-3C-AALJ-01	5	7	5	0	14	6	10	4	12	3	0
TCGA-3C-AALK-01	2	3	4	6	9	3	23	1	7	6	0
TCGA-4H-AAAK-01	0	1	0	0	8	6	6	8	0	4	0
TCGA-5L-AAT0-01	44	0	0	99	11	14	1	24	86	0	0
TCGA-5L-AAT1-01	117	0	9	807	0	4	31	124	894	0	0
TCGA-5T-A9QA-01	4	4	5	1	0	3	31	0	0	5	0
TCGA-A1-A0SB-01	0	0	0	0	4	1	6	1	0	4	0
TCGA-A1-A0SD-01	0	3	0	2	11	1	18	2	1	2	0
TCGA-A1-A0SE-01	5	2	2	6	7	5	0	4	1	4	0
TCGA-A1-A0SF-01	7	0	0	35	0	12	0	0	8	0	2
TCGA-A1-A0SG-01	2	2	0	0	9	2	9	8	1	2	0
TCGA-A1-A0SH-01	16	2	11	40	13	13	0	0	42	1	0
TCGA-A1-A0SI-01	13	5	2	75	0	1	8	14	159	1	0
TCGA-A1-A0SJ-01	1	0	0	5	6	13	6	0	6	0	3
TCGA-A1-A0SK-01	4	0	10	1	36	1	26	3	3	0	0
TCGA-A1-A0SM-01	2	0	0	0	9	6	4	7	0	4	0
TCGA-A1-A0SN-01	5	6	0	2	14	10	6	10	22	0	1
TCGA-A1-A0SO-01	3	27	84	12	146	13	19	9	22	6	12
TCGA-A1-A0SP-01	13	1	7	0	24	15	6	0	1	3	0
TCGA-A2-A04N-01	3	5	4	5	8	2	15	9	1	0	1
TCGA-A2-A04R-01	1	10	23	1	31	12	3	5	10	1	5
TCGA-A2-A04U-01	4	0	5	0	20	3	19	5	4	2	5
TCGA-A2-A04W-01	15	4	3	38	0	14	6	22	79	6	0
TCGA-A2-A0CK-01	1	0	0	5	2	6	13	0	0	0	0
TCGA-A2-A0CL-01	3	0	0	61	0	5	29	11	91	0	0
TCGA-A2-A0CR-01	15	0	0	93	0	0	7	1	94	0	0
TCGA-A2-A0CS-01	0	0	0	2	19	14	10	2	0	0	1
TCGA-A2-A0CV-01	0	3	0	0	3	11	0	5	2	0	0
TCGA-A2-A0CW-01	6	0	8	17	12	0	22	4	14	0	1
TCGA-A2-A0D3-01	1	1	1	1	0	10	17	1	0	0	0
TCGA-A2-A0EN-01	3	4	0	0	10	0	14	4	0	4	0
TCGA-A2-A0EP-01	1	2	1	1	0	0	1	0	6	3	1
TCGA-A2-A0ES-01	3	0	0	0	9	2	3	1	0	1	0
TCGA-A2-A0EW-01	0	0	1	0	4	1	7	1	2	4	0
TCGA-A2-A0ST-01	0	4	4	2	0	3	9	1	3	2	0
TCGA-A2-A0SU-01	1	7	0	1	12	12	0	0	2	0	0
TCGA-A2-A0SX-01	7	0	3	3	3	15	0	0	5	1	4
TCGA-A2-A0SY-01	19	0	0	39	0	0	19	15	84	1	0
TCGA-A2-A0T0-01	10	0	31	6	94	16	3	4	18	27	8
TCGA-A2-A0T1-01	2	2	0	0	2	3	10	4	0	7	2
TCGA-A2-A0T3-01	1	0	8	1	12	6	11	3	2	0	0
TCGA-A2-A0T4-01	0	2	2	3	11	10	4	0	7	2	0
TCGA-A2-A0T5-01	0	0	0	2	2	3	4	1	0	0	1
TCGA-A2-A0T6-01	1	0	0	3	3	7	13	1	0	0	0
TCGA-A2-A0T7-01	0	2	0	3	4	1	12	3	0	1	3
TCGA-A2-A0YC-01	1	0	6	5	6	3	8	0	2	1	0
TCGA-A2-A0YD-01	7	0	0	24	0	3	12	16	25	0	0
TCGA-A2-A0YE-01	2	2	7	9	0	12	9	1	1	0	0
TCGA-A2-A0YF-01	3	0	4	2	15	8	5	1	0	0	1
TCGA-A2-A0YG-01	6	4	5	9	19	3	22	3	1	6	0
TCGA-A2-A0YH-01	5	7	0	13	15	6	13	5	36	0	0
TCGA-A2-A0YI-01	4	0	3	0	6	2	1	1	1	0	0
TCGA-A2-A0YJ-01	0	3	3	0	35	12	23	5	6	4	7
TCGA-A2-A0YK-01	20	0	0	168	0	0	5	16	269	0	0
TCGA-A2-A0YL-01	9	1	0	13	0	2	4	0	13	1	0
TCGA-A2-A0YM-01	1	1	4	16	12	15	24	8	25	3	0
TCGA-A2-A0YT-01	6	0	0	17	21	20	2	13	2	0	0
TCGA-A2-A1FV-01	6	0	0	9	10	7	15	0	0	3	0
TCGA-A2-A1FW-01	14	0	7	0	16	10	27	5	7	4	5
TCGA-A2-A1FX-01	3	4	3	0	5	6	3	3	0	0	1
TCGA-A2-A1FZ-01	0	0	0	1	7	3	9	0	2	6	1
TCGA-A2-A1G0-01	1	6	0	3	8	0	3	2	0	0	0
TCGA-A2-A1G1-01	1	3	5	4	14	0	10	0	0	2	0
TCGA-A2-A1G6-01	0	0	0	0	6	3	0	0	1	0	0
TCGA-A2-A259-01	3	5	0	3	8	1	5	2	2	0	0
TCGA-A2-A25A-01	9	0	21	45	0	5	11	0	38	0	0
TCGA-A2-A25B-01	9	8	21	5	52	17	2	7	5	2	0
TCGA-A2-A25C-01	5	0	10	1	9	1	2	0	2	9	0
TCGA-A2-A25D-01	3	8	7	5	11	5	9	1	5	5	5
TCGA-A2-A25E-01	0	2	0	7	30	4	4	3	2	8	1
TCGA-A2-A25F-01	0	0	3	0	3	0	0	0	0	0	0
TCGA-A2-A3KD-01	1	3	0	2	0	0	9	0	0	3	0
TCGA-A2-A3XT-01	1	10	7	0	46	1	8	0	32	11	6
TCGA-A2-A3XU-01	0	0	2	2	7	3	13	0	0	4	0
TCGA-A2-A3XV-01	3	6	0	0	14	14	0	4	0	6	1
TCGA-A2-A3XW-01	1	0	0	1	4	1	4	3	0	3	0
TCGA-A2-A3XX-01	1	0	0	4	26	12	4	5	0	0	0
TCGA-A2-A3XZ-01	4	0	0	5	5	2	11	6	18	1	0
TCGA-A2-A3Y0-01	7	15	4	0	102	21	6	4	50	28	6
TCGA-A2-A4S1-01	1	2	15	5	31	16	13	1	5	5	4
TCGA-A2-A4S2-01	0	2	1	9	14	6	6	0	0	5	0
TCGA-A2-A4S3-01	2	5	13	7	20	11	21	3	13	11	1
TCGA-A7-A0CE-01	8	0	6	4	24	9	0	0	3	6	1
TCGA-A7-A0CH-01	2	6	2	0	1	0	4	1	0	1	0
TCGA-A7-A0D9-01	4	0	0	2	0	2	1	0	2	0	1
TCGA-A7-A0DA-01	4	3	14	8	112	7	8	6	12	2	11
TCGA-A7-A0DB-01	0	0	0	11	8	5	11	1	11	1	5
TCGA-A7-A13D-01	9	1	1	1	80	7	16	2	17	6	0
TCGA-A7-A13E-01	5	0	2	0	11	19	37	0	6	0	0
TCGA-A7-A13F-01	1	2	0	0	3	7	16	8	5	3	0
TCGA-A7-A13G-01	0	1	0	9	8	10	1	0	2	0	1
TCGA-A7-A26E-01	2	0	1	20	5	3	21	10	3	1	1
TCGA-A7-A26F-01	0	3	1	4	11	0	20	5	2	0	0
TCGA-A7-A26G-01	5	1	18	9	11	8	2	1	11	2	0
TCGA-A7-A26H-01	8	1	7	30	0	2	40	2	59	1	0
TCGA-A7-A26I-01	5	1	9	5	8	1	7	2	3	4	1
TCGA-A7-A26J-01	1	3	4	2	17	1	10	0	3	0	1
TCGA-A7-A2KD-01	5	3	0	7	6	11	16	2	3	1	1
TCGA-A7-A3RF-01	0	1	3	3	16	3	9	0	0	5	0
TCGA-A7-A425-01	3	0	0	0	11	5	13	0	0	0	1
TCGA-A7-A4SC-01	3	2	5	2	7	8	5	4	0	0	2
TCGA-A7-A4SD-01	0	0	3	0	7	6	31	4	2	4	5
TCGA-A7-A4SE-01	6	3	12	8	59	4	4	0	35	12	3
TCGA-A7-A56D-01	11	5	0	65	30	26	19	12	57	0	0
TCGA-A7-A5ZV-01	8	12	29	0	97	14	33	7	35	16	17
TCGA-A7-A5ZW-01	0	0	0	5	1	3	7	4	9	7	0
TCGA-A7-A5ZX-01	3	0	1	5	14	3	4	5	0	3	4
TCGA-A7-A6VV-01	2	13	6	0	6	3	21	0	10	3	0
TCGA-A7-A6VW-01	5	7	9	3	29	0	16	2	6	12	3
TCGA-A7-A6VX-01	10	12	18	32	52	7	9	0	17	10	10
TCGA-A7-A6VY-01	4	9	9	4	61	9	5	6	17	11	1
TCGA-A8-A075-01	11	8	9	16	24	6	9	0	14	0	3
TCGA-AC-A23C-01	9	0	9	36	23	16	4	2	29	13	4
TCGA-AC-A23E-01	0	3	1	0	6	2	9	3	0	0	0
TCGA-AC-A23H-01	279	0	0	2265	0	29	0	129	3676	0	0
TCGA-AC-A2B8-01	0	9	0	46	6	0	13	4	50	0	0
TCGA-AC-A2BK-01	3	5	9	0	41	27	9	4	5	7	0
TCGA-AC-A2BM-01	0	1	3	0	3	5	4	1	3	0	6
TCGA-AC-A2FB-01	0	7	0	4	0	1	2	0	0	3	0
TCGA-AC-A2FF-01	1	1	0	1	2	0	2	0	4	0	0
TCGA-AC-A2FG-01	1	0	0	9	8	0	12	3	3	3	0
TCGA-AC-A2FK-01	0	0	0	1	2	0	0	0	0	0	0
TCGA-AC-A2FO-01	0	3	0	9	5	0	3	2	5	0	0
TCGA-AC-A2QH-01	0	0	0	3	6	10	6	0	2	0	0
TCGA-AC-A3HN-01	2	0	0	1	4	7	1	1	2	2	2
TCGA-AC-A3OD-01	0	7	0	9	6	11	0	6	0	0	0
TCGA-AC-A3QP-01	0	1	4	0	15	0	4	5	1	5	0
TCGA-AC-A3QQ-01	1	7	0	0	3	11	9	0	2	0	3
TCGA-AC-A3W5-01	14	12	0	15	79	22	1	6	52	3	7
TCGA-AC-A3YI-01	0	3	2	1	3	4	0	3	0	2	0
TCGA-AC-A3YJ-01	4	6	0	4	1	7	12	0	2	2	0
TCGA-AC-A4ZE-01	5	0	7	9	23	13	9	1	0	7	0
TCGA-AC-A5EH-01	3	15	25	12	74	7	18	6	19	16	10
TCGA-AC-A5EI-01	0	6	0	12	4	2	12	3	1	3	0
TCGA-AC-A5XS-01	72	0	0	238	2	0	11	49	343	0	0
TCGA-AC-A5XU-01	5	5	9	14	6	31	33	1	9	0	0
TCGA-AC-A62V-01	9	5	3	0	19	46	11	3	9	0	1
TCGA-AC-A62X-01	3	2	6	0	0	25	42	1	5	0	3
TCGA-AC-A62Y-01	0	5	0	13	17	7	18	1	20	6	2
TCGA-AC-A6IV-01	0	7	2	0	2	1	7	6	0	2	0
TCGA-AC-A6IW-01	18	22	0	18	40	26	17	2	79	3	6
TCGA-AC-A6IX-01	4	4	0	26	0	9	11	0	10	7	0
TCGA-AC-A6NO-01	6	0	1	1	4	4	16	1	2	8	0
TCGA-AC-A7VB-01	0	7	0	0	2	12	12	0	0	2	0
TCGA-AC-A7VC-01	2	1	0	0	6	3	8	4	0	2	0
TCGA-AC-A8OP-01	11	1	34	7	56	34	40	18	22	16	5
TCGA-AC-A8OQ-01	9	3	3	18	35	20	27	11	5	0	6
TCGA-AC-A8OR-01	0	3	0	1	13	11	3	0	0	0	1
TCGA-AC-A8OS-01	3	5	1	15	14	0	20	0	6	9	6
TCGA-AN-A0XL-01	4	5	7	0	0	0	16	3	0	4	1
TCGA-AN-A0XN-01	7	4	25	0	65	14	8	5	18	17	12
TCGA-AN-A0XO-01	5	0	0	8	9	3	2	7	3	6	0
TCGA-AN-A0XP-01	1	0	2	5	4	5	4	0	4	7	2
TCGA-AN-A0XR-01	1	6	3	5	9	2	9	0	3	0	0
TCGA-AN-A0XS-01	0	2	3	9	5	3	5	4	0	1	0
TCGA-AN-A0XT-01	0	6	0	0	0	3	11	1	1	0	0
TCGA-AN-A0XU-01	0	16	26	1	42	0	17	7	19	7	2
TCGA-AN-A0XV-01	4	0	2	0	8	14	1	4	7	4	0
TCGA-AN-A0XW-01	13	0	0	141	0	4	0	0	264	0	1
TCGA-AO-A03M-01	47	0	0	351	0	0	1	34	717	0	0
TCGA-AO-A03N-01	1	4	4	38	5	12	13	8	49	0	0
TCGA-AO-A03U-01	0	0	0	0	2	0	0	0	3	0	0
TCGA-AO-A03V-01	11	2	7	5	8	1	14	5	14	2	3
TCGA-AO-A0JG-01	4	0	7	1	3	0	0	0	0	3	3
TCGA-AO-A124-01	6	8	24	0	81	9	15	8	11	7	9
TCGA-AO-A125-01	0	7	3	3	5	5	14	5	2	1	0
TCGA-AO-A126-01	0	0	2	5	6	0	9	3	0	0	0
TCGA-AO-A128-01	12	0	63	6	0	333	327	19	17	403	30
TCGA-AO-A129-01	6	2	15	10	46	9	11	0	26	10	9
TCGA-AO-A12A-01	0	0	0	7	0	6	6	0	0	0	0
TCGA-AO-A12B-01	0	0	4	1	1	3	12	0	0	1	1
TCGA-AO-A12D-01	11	0	1	22	4	0	15	9	11	0	0
TCGA-AO-A12E-01	5	0	0	0	8	8	10	1	1	0	0
TCGA-AO-A12F-01	0	1	0	0	11	20	4	3	0	0	1
TCGA-AO-A12G-01	1	1	0	4	6	2	16	0	5	7	0
TCGA-AO-A12H-01	3	0	0	0	7	0	14	2	0	4	0
TCGA-AO-A1KO-01	0	0	1	0	4	0	0	2	0	3	0
TCGA-AO-A1KR-01	0	4	6	5	37	0	15	4	9	9	0
TCGA-AO-A1KT-01	0	0	0	4	14	5	13	3	0	12	0
TCGA-AQ-A04H-01	3	0	5	1	1	21	35	5	5	3	2
TCGA-AQ-A0Y5-01	4	0	3	9	5	11	18	6	13	1	0
TCGA-AQ-A1H2-01	0	0	1	2	7	5	11	4	0	2	2
TCGA-AQ-A1H3-01	0	1	0	0	0	4	20	0	0	0	2
TCGA-AQ-A54O-01	0	0	2	5	6	3	6	0	0	1	2
TCGA-AQ-A7U7-01	4	0	0	34	0	10	4	7	34	1	2
TCGA-AR-A0TP-01	3	0	11	4	32	0	6	0	4	9	2
TCGA-AR-A0TQ-01	4	0	9	14	3	4	11	0	3	0	1
TCGA-AR-A0TR-01	6	0	2	0	2	3	15	3	1	10	0
TCGA-AR-A0TS-01	7	3	10	4	29	10	13	0	10	0	4
TCGA-AR-A0TT-01	2	8	0	10	13	15	9	4	7	6	1
TCGA-AR-A0TU-01	6	0	10	1	40	14	4	0	11	1	3
TCGA-AR-A0TV-01	3	11	0	3	21	4	26	0	5	6	0
TCGA-AR-A0TW-01	1	0	10	0	16	7	21	6	4	2	0
TCGA-AR-A0TX-01	24	0	0	146	0	0	5	25	207	0	0
TCGA-AR-A0TZ-01	0	0	3	11	7	8	8	12	18	0	0
TCGA-AR-A0U0-01	0	9	0	1	13	5	5	4	10	0	3
TCGA-AR-A0U1-01	3	6	17	0	39	3	4	1	16	16	4
TCGA-AR-A0U2-01	2	5	0	0	18	25	4	2	0	0	0
TCGA-AR-A0U3-01	8	0	2	0	8	17	1	4	0	0	0
TCGA-AR-A0U4-01	9	10	21	6	71	9	4	6	54	5	6
TCGA-AR-A1AH-01	1	6	28	2	27	21	0	3	10	16	6
TCGA-AR-A1AI-01	9	10	4	0	7	11	12	10	19	7	0
TCGA-AR-A1AJ-01	1	0	0	18	1	4	15	2	10	2	0
TCGA-AR-A1AK-01	5	7	6	14	0	6	14	7	23	0	0
TCGA-AR-A1AL-01	1	2	3	4	0	3	6	0	4	7	0
TCGA-AR-A1AN-01	0	0	0	0	7	7	11	2	4	0	0
TCGA-AR-A1AO-01	4	3	7	10	49	7	9	8	19	0	6
TCGA-AR-A1AP-01	7	0	0	2	0	11	17	5	8	0	1
TCGA-AR-A1AQ-01	1	2	4	1	10	6	9	0	3	5	0
TCGA-AR-A1AR-01	1	9	7	2	11	12	7	0	8	0	6
TCGA-AR-A1AS-01	0	1	0	15	9	10	0	3	3	0	0
TCGA-AR-A1AT-01	0	4	2	1	8	4	7	1	2	2	1
TCGA-AR-A1AU-01	3	0	0	0	5	5	9	0	1	2	1
TCGA-AR-A1AV-01	5	0	0	3	10	16	9	3	2	0	1
TCGA-AR-A1AW-01	1	6	1	1	7	8	6	0	2	8	1
TCGA-AR-A1AX-01	5	1	0	0	11	3	5	6	1	0	0
TCGA-AR-A1AY-01	2	6	9	8	7	4	21	2	7	5	1
TCGA-AR-A24H-01	7	12	18	3	57	7	13	1	27	4	3
TCGA-AR-A24K-01	2	2	3	0	12	1	8	2	0	4	0
TCGA-AR-A24L-01	2	6	5	0	23	5	0	0	7	3	2
TCGA-AR-A24M-01	0	0	3	2	7	5	4	0	0	4	0
TCGA-AR-A24N-01	6	2	6	5	0	8	16	0	1	3	0
TCGA-AR-A24O-01	1	0	0	0	5	0	12	0	1	2	1
TCGA-AR-A24P-01	2	0	0	0	6	4	3	4	0	0	0
TCGA-AR-A24Q-01	12	4	45	19	89	15	0	3	27	13	5
TCGA-AR-A24R-01	0	5	0	1	1	7	8	0	0	3	1
TCGA-AR-A24S-01	7	0	0	6	7	8	15	0	6	7	1
TCGA-AR-A24T-01	2	1	3	1	0	2	11	2	2	0	0
TCGA-AR-A24U-01	4	0	0	9	3	8	6	2	12	0	0
TCGA-AR-A24V-01	0	0	3	2	1	6	6	5	4	1	0
TCGA-AR-A24W-01	2	4	1	0	4	2	0	1	0	0	0
TCGA-AR-A24X-01	3	0	2	0	8	5	6	5	0	3	2
TCGA-AR-A24Z-01	0	3	5	4	22	5	12	2	3	0	0
TCGA-AR-A250-01	9	7	2	6	10	18	29	17	57	0	0
TCGA-AR-A251-01	12	14	27	0	85	8	6	0	37	10	6
TCGA-AR-A252-01	3	0	0	0	0	3	10	0	0	3	0
TCGA-AR-A254-01	6	0	2	3	6	5	14	4	2	0	0
TCGA-AR-A255-01	6	0	14	11	4	3	13	8	23	6	1
TCGA-AR-A256-01	5	23	28	15	94	11	4	6	21	7	10
TCGA-AR-A2LE-01	23	6	0	179	0	2	10	27	147	0	0
TCGA-AR-A2LH-01	10	0	0	25	0	7	3	5	21	0	0
TCGA-AR-A2LK-01	3	3	3	5	5	10	18	0	0	1	0
TCGA-AR-A2LL-01	1	2	6	0	1	0	25	2	0	0	0
TCGA-AR-A2LM-01	0	2	1	0	9	0	1	3	0	1	0
TCGA-AR-A2LN-01	12	0	0	16	0	3	9	4	7	3	0
TCGA-AR-A2LO-01	2	0	2	1	1	1	5	1	2	0	2
TCGA-AR-A2LQ-01	0	3	0	0	3	1	5	0	0	1	0
TCGA-AR-A2LR-01	3	9	6	1	23	15	5	4	2	0	2
TCGA-AR-A5QM-01	4	2	9	0	4	5	11	1	0	0	0
TCGA-AR-A5QN-01	5	4	0	5	0	13	13	4	0	5	0
TCGA-AR-A5QP-01	3	0	1	4	4	3	12	2	0	5	0
TCGA-AR-A5QQ-01	0	12	3	5	30	3	13	0	9	16	5
TCGA-B6-A0I1-01	2	0	5	6	31	0	30	5	1	0	0
TCGA-B6-A0IH-01	6	0	0	1	7	20	1	4	0	2	0
TCGA-B6-A0RH-01	0	0	0	10	11	0	14	1	7	1	1
TCGA-B6-A0RL-01	0	7	1	16	4	10	20	2	5	2	2
TCGA-B6-A0RM-01	3	0	2	7	1	7	12	1	0	3	0
TCGA-B6-A0RN-01	0	0	1	2	6	6	13	2	0	3	0
TCGA-B6-A0RO-01	1	8	0	3	13	3	1	8	1	4	1
TCGA-B6-A0RP-01	3	7	2	0	7	7	3	0	0	1	0
TCGA-B6-A0RQ-01	3	10	0	16	0	5	8	2	6	3	3
TCGA-B6-A0RT-01	0	6	9	0	17	4	5	4	22	3	2
TCGA-B6-A0RU-01	1	0	8	6	10	8	6	8	2	7	2
TCGA-B6-A0RV-01	0	0	0	29	0	0	11	1	26	0	0
TCGA-B6-A0WS-01	0	0	0	2	2	2	1	0	2	9	0
TCGA-B6-A0WT-01	2	0	0	0	0	2	8	5	0	4	1
TCGA-B6-A0WV-01	3	3	0	0	13	2	5	0	4	4	3
TCGA-B6-A0WW-01	0	3	2	8	8	2	11	4	5	4	0
TCGA-B6-A0WX-01	0	0	6	0	9	3	13	5	2	7	0
TCGA-B6-A0WY-01	0	0	1	6	7	10	0	4	3	4	0
TCGA-B6-A0WZ-01	4	0	0	51	7	5	0	2	26	0	0
TCGA-B6-A0X0-01	0	1	5	2	7	0	7	3	0	0	0
TCGA-B6-A0X1-01	7	10	0	0	31	1	4	8	17	14	0
TCGA-B6-A0X4-01	4	0	2	0	0	0	8	8	0	0	0
TCGA-B6-A0X5-01	0	0	5	4	10	4	0	14	3	7	1
TCGA-B6-A0X7-01	0	4	0	4	0	1	9	2	2	1	0
TCGA-B6-A1KN-01	8	5	12	0	14	11	11	0	4	5	2
TCGA-B6-A2IU-01	7	0	0	16	0	11	6	9	1	4	0
TCGA-B6-A401-01	2	6	1	0	3	10	2	2	1	0	1
TCGA-B6-A409-01	5	0	7	2	9	6	18	2	4	1	2
TCGA-B6-A40B-01	9	3	5	13	11	9	7	0	6	3	0
TCGA-B6-A40C-01	3	0	5	3	5	2	33	0	2	1	0
TCGA-BH-A0AU-01	1	0	3	0	4	5	6	0	3	0	1
