Samples	SBS96A	SBS96B	SBS96C	SBS96D
TCGA-AC-A62V-01	4	25	51	26
TCGA-AC-A62X-01	0	11	57	19
TCGA-AC-A62Y-01	30	18	20	21
TCGA-AC-A6IV-01	0	7	19	1
TCGA-AC-A6IW-01	92	73	35	31
TCGA-AC-A6IX-01	35	0	21	15
TCGA-AC-A6NO-01	2	6	22	13
TCGA-AC-A7VB-01	0	3	19	13
TCGA-AC-A7VC-01	0	5	17	4
TCGA-AC-A8OP-01	23	98	72	51
TCGA-AC-A8OQ-01	19	38	66	14
TCGA-AC-A8OR-01	0	13	10	9
TCGA-AC-A8OS-01	20	22	22	15
TCGA-AN-A0XL-01	0	14	21	5
TCGA-AN-A0XN-01	17	106	12	40
TCGA-AN-A0XO-01	14	5	17	7
TCGA-AN-A0XP-01	8	10	5	11
TCGA-AN-A0XR-01	6	17	12	3
TCGA-AN-A0XS-01	7	9	14	2
TCGA-AN-A0XT-01	0	3	15	4
TCGA-AN-A0XU-01	17	90	16	14
TCGA-AN-A0XV-01	5	11	14	14
TCGA-AN-A0XW-01	415	5	0	3
TCGA-AO-A03M-01	1123	27	0	0
TCGA-AO-A03N-01	86	7	30	11
TCGA-AO-A03U-01	2	3	0	0
TCGA-AO-A03V-01	20	27	24	1
TCGA-AO-A0JG-01	2	16	0	3
TCGA-AO-A124-01	9	121	29	19
TCGA-AO-A125-01	3	11	26	5
TCGA-AO-A126-01	3	5	17	0
TCGA-AO-A128-01	0	0	333	877
TCGA-AO-A129-01	34	72	7	31
TCGA-AO-A12A-01	4	0	11	4
TCGA-AO-A12B-01	0	5	12	6
TCGA-AO-A12D-01	36	3	34	0
TCGA-AO-A12E-01	1	6	24	2
TCGA-AO-A12F-01	0	7	21	12
TCGA-AO-A12G-01	7	5	19	11
TCGA-AO-A12H-01	0	6	19	5
TCGA-AO-A1KO-01	0	6	0	4
TCGA-AO-A1KR-01	12	49	15	13
TCGA-AO-A1KT-01	3	10	20	18
TCGA-AQ-A04H-01	0	9	53	19
TCGA-AQ-A0Y5-01	18	8	35	9
TCGA-AQ-A1H2-01	1	6	19	8
TCGA-AQ-A1H3-01	0	0	20	7
TCGA-AQ-A54O-01	3	7	10	5
TCGA-AQ-A7U7-01	67	0	18	11
TCGA-AR-A0TP-01	8	47	0	16
TCGA-AR-A0TQ-01	14	12	21	2
TCGA-AR-A0TR-01	2	7	21	12
TCGA-AR-A0TS-01	11	48	20	11
TCGA-AR-A0TT-01	15	17	28	15
TCGA-AR-A0TU-01	10	54	11	15
TCGA-AR-A0TV-01	4	30	34	11
TCGA-AR-A0TW-01	1	26	31	9
TCGA-AR-A0TX-01	384	0	23	0
TCGA-AR-A0TZ-01	25	12	26	4
TCGA-AR-A0U0-01	10	24	12	4
TCGA-AR-A0U1-01	14	72	0	23
TCGA-AR-A0U2-01	0	11	25	20
TCGA-AR-A0U3-01	0	11	21	8
TCGA-AR-A0U4-01	57	121	3	20
TCGA-AR-A1AH-01	9	67	5	39
TCGA-AR-A1AI-01	19	26	32	12
TCGA-AR-A1AJ-01	25	0	22	6
TCGA-AR-A1AK-01	36	17	28	1
TCGA-AR-A1AL-01	8	5	8	9
TCGA-AR-A1AN-01	3	1	19	8
TCGA-AR-A1AO-01	28	62	25	7
TCGA-AR-A1AP-01	9	2	34	6
TCGA-AR-A1AQ-01	2	15	12	12
TCGA-AR-A1AR-01	7	31	17	8
TCGA-AR-A1AS-01	17	2	13	9
TCGA-AR-A1AT-01	1	16	10	5
TCGA-AR-A1AU-01	1	5	13	7
TCGA-AR-A1AV-01	3	7	31	8
TCGA-AR-A1AW-01	2	14	11	14
TCGA-AR-A1AX-01	2	9	21	0
TCGA-AR-A1AY-01	12	21	27	12
TCGA-AR-A24H-01	25	99	13	15
TCGA-AR-A24K-01	0	16	11	7
TCGA-AR-A24L-01	6	36	2	9
TCGA-AR-A24M-01	1	7	3	14
TCGA-AR-A24N-01	4	9	23	11
TCGA-AR-A24O-01	0	8	9	5
TCGA-AR-A24P-01	0	4	14	1
TCGA-AR-A24Q-01	43	149	7	33
TCGA-AR-A24R-01	0	3	12	11
TCGA-AR-A24S-01	10	10	23	14
TCGA-AR-A24T-01	1	4	19	0
TCGA-AR-A24U-01	21	3	20	0
TCGA-AR-A24V-01	5	1	16	6
TCGA-AR-A24W-01	1	7	6	0
TCGA-AR-A24X-01	0	9	20	5
TCGA-AR-A24Z-01	4	25	22	5
TCGA-AR-A250-01	59	30	51	15
TCGA-AR-A251-01	33	144	2	26
TCGA-AR-A252-01	0	0	11	8
TCGA-AR-A254-01	4	8	30	0
TCGA-AR-A255-01	32	30	18	9
TCGA-AR-A256-01	33	148	24	19
TCGA-AR-A2LE-01	336	0	58	0
TCGA-AR-A2LH-01	49	0	22	0
TCGA-AR-A2LK-01	2	5	31	10
TCGA-AR-A2LL-01	0	11	24	2
TCGA-AR-A2LM-01	0	11	6	0
TCGA-AR-A2LN-01	26	0	28	0
TCGA-AR-A2LO-01	3	7	7	0
TCGA-AR-A2LQ-01	0	5	5	3
TCGA-AR-A2LR-01	0	37	26	7
TCGA-AR-A5QM-01	0	13	19	4
TCGA-AR-A5QN-01	3	1	34	11
TCGA-AR-A5QP-01	3	6	17	8
TCGA-AR-A5QQ-01	12	48	9	27
TCGA-B6-A0I1-01	3	33	44	0
TCGA-B6-A0IH-01	0	1	26	14
TCGA-B6-A0RH-01	16	9	17	3
TCGA-B6-A0RL-01	16	8	35	10
TCGA-B6-A0RM-01	5	4	18	9
TCGA-B6-A0RN-01	0	2	19	12
TCGA-B6-A0RO-01	5	19	12	7
TCGA-B6-A0RP-01	0	14	12	4
TCGA-B6-A0RQ-01	20	9	22	5
TCGA-B6-A0RT-01	18	42	4	8
TCGA-B6-A0RU-01	7	17	22	12
TCGA-B6-A0RV-01	53	0	11	3
TCGA-B6-A0WS-01	4	3	0	11
TCGA-B6-A0WT-01	0	0	16	6
TCGA-B6-A0WV-01	4	16	7	10
TCGA-B6-A0WW-01	11	12	20	4
TCGA-B6-A0WX-01	0	18	16	11
TCGA-B6-A0WY-01	8	3	11	13
TCGA-B6-A0WZ-01	79	0	16	0
TCGA-B6-A0X0-01	2	12	11	0
TCGA-B6-A0X1-01	20	46	10	16
TCGA-B6-A0X4-01	0	5	17	0
TCGA-B6-A0X5-01	8	19	15	6
TCGA-B6-A0X7-01	5	0	16	2
TCGA-B6-A1KN-01	4	36	17	15
