Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H	SBS96I	SBS96J
TCGA-D3-A8GI-06	3615	1803	0	0	0	1302	82	0	430	0
TCGA-D3-A8GJ-06	146	79	0	1	8	11	2	1	24	0
TCGA-D3-A8GK-06	410	259	0	0	0	85	14	10	19	1
TCGA-D3-A8GL-06	1270	837	0	0	0	256	32	0	168	0
TCGA-D3-A8GM-06	2404	1427	27	307	0	584	14	329	135	17
TCGA-D3-A8GN-06	156	126	0	0	0	22	2	0	35	0
TCGA-D3-A8GO-06	392	277	0	0	0	68	5	8	50	0
TCGA-D3-A8GP-06	380	227	0	0	4	57	13	21	75	7
TCGA-D3-A8GQ-06	961	463	0	0	0	374	34	0	149	0
TCGA-D3-A8GR-06	245	208	0	0	0	0	9	15	38	4
TCGA-D3-A8GS-06	127	127	6	4	0	18	1	0	8	2
TCGA-D3-A8GV-06	253	160	0	0	0	79	4	7	56	0
TCGA-D9-A148-06	129	153	0	0	0	65	10	6	23	0
TCGA-D9-A149-06	131	132	0	0	0	24	2	0	28	1
TCGA-D9-A1JW-06	665	483	0	0	0	0	10	35	63	0
TCGA-D9-A1JX-06	105	70	0	0	0	26	6	5	39	0
TCGA-D9-A1X3-06	4	15	7	11	10	1	0	0	0	0
TCGA-D9-A3Z1-06	300	288	0	0	0	48	5	0	39	0
TCGA-D9-A3Z3-06	95	42	0	0	0	31	1	9	3	3
TCGA-D9-A3Z4-01	80	101	2	5	0	0	0	7	12	0
TCGA-D9-A4Z2-01	0	5	3	6	5	0	0	4	4	4
TCGA-D9-A4Z3-01	547	503	0	7	0	0	0	16	5	0
TCGA-D9-A4Z5-01	6	12	41	11	0	5	7	3	3	0
TCGA-D9-A4Z6-06	209	115	0	0	0	23	5	0	16	1
TCGA-D9-A6E9-06	109	90	1	0	0	17	6	8	15	0
TCGA-D9-A6EA-06	405	311	0	0	0	118	12	0	33	10
