NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	167.617	62.313	24.792	49.92	0.426	0.753	20000.0
2	167.929	62.385	24.797	49.934	0.422	0.753	30000.0
3	168.071	62.417	24.914	50.031	0.424	0.752	50000.0
4	168.197	62.405	24.878	49.853	0.425	0.754	30000.0
5	167.508	61.993	24.887	49.746	0.42	0.756	30000.0
6	167.085	62.196	24.777	49.919	0.423	0.754	40000.0
7	167.361	62.14	24.869	49.852	0.425	0.753	30000.0
8	168.207	62.422	25.006	50.075	0.423	0.752	30000.0
9	167.702	62.293	24.803	50.018	0.422	0.751	30000.0
10	167.584	62.106	24.767	49.668	0.417	0.757	30000.0
11	167.133	61.941	24.764	49.715	0.42	0.756	60000.0
12	167.42	62.052	24.844	49.656	0.421	0.757	50000.0
13	168.714	62.645	24.99	50.121	0.426	0.751	30000.0
14	167.491	62.039	24.729	49.553	0.421	0.758	40000.0
15	167.397	62.069	24.77	49.588	0.419	0.758	30000.0
16	167.84	62.355	24.851	50.047	0.425	0.752	30000.0
17	167.653	61.946	24.882	49.791	0.418	0.755	40000.0
18	167.944	62.351	24.932	49.966	0.422	0.754	30000.0
19	167.766	62.121	24.856	49.701	0.421	0.756	20000.0
20	168.568	62.508	24.996	50.096	0.429	0.752	50000.0
21	168.099	62.186	24.871	49.774	0.419	0.756	50000.0
22	167.291	61.979	24.784	49.714	0.422	0.755	40000.0
23	166.928	62.131	24.765	49.894	0.425	0.754	100000.0
24	168.386	62.373	24.955	49.873	0.424	0.755	30000.0
25	167.783	62.048	24.95	49.887	0.419	0.754	40000.0
26	167.195	62.021	24.724	49.698	0.421	0.756	50000.0
27	167.951	62.189	24.777	49.715	0.422	0.756	50000.0
28	168.692	62.473	25.049	50.071	0.425	0.753	20000.0
29	168.458	62.553	25.009	50.033	0.424	0.753	30000.0
30	168.556	62.461	24.952	49.993	0.425	0.754	40000.0
31	168.864	62.642	25.098	50.186	0.425	0.751	30000.0
32	167.579	62.28	24.804	49.898	0.422	0.754	50000.0
33	168.232	62.29	25.034	50.051	0.422	0.752	40000.0
34	168.804	62.352	25.002	49.911	0.421	0.755	40000.0
35	167.727	62.306	24.806	49.912	0.424	0.752	40000.0
36	167.721	62.275	24.864	49.835	0.422	0.755	20000.0
37	167.646	62.344	24.876	49.882	0.423	0.754	40000.0
38	167.978	62.347	24.756	49.806	0.424	0.753	20000.0
39	167.929	62.277	24.861	49.865	0.425	0.755	20000.0
40	167.961	62.183	24.972	49.827	0.422	0.756	30000.0
41	168.582	62.491	24.897	49.941	0.426	0.753	60000.0
42	167.677	62.106	24.89	49.721	0.421	0.755	30000.0
43	168.12	62.368	24.908	49.946	0.424	0.754	40000.0
44	168.066	62.428	24.87	49.97	0.429	0.752	30000.0
45	167.942	62.224	24.832	49.801	0.421	0.756	50000.0
46	167.161	61.883	24.662	49.55	0.421	0.757	70000.0
47	167.565	62.117	24.869	49.787	0.419	0.755	40000.0
48	167.275	62.051	24.718	49.692	0.422	0.756	20000.0
49	168.179	62.592	24.904	50.071	0.428	0.751	30000.0
50	168.019	62.216	24.905	49.88	0.42	0.754	20000.0
51	167.335	61.962	24.889	49.822	0.42	0.755	70000.0
52	167.289	62.013	24.729	49.703	0.422	0.755	30000.0
53	167.607	62.169	24.882	49.885	0.424	0.753	30000.0
54	167.499	62.142	24.79	49.793	0.422	0.754	20000.0
55	167.764	61.995	24.915	49.772	0.419	0.757	40000.0
56	167.385	62.203	24.747	49.832	0.424	0.754	70000.0
57	168.304	62.163	24.965	49.84	0.42	0.755	40000.0
58	166.76	62.108	24.741	49.85	0.422	0.755	30000.0
