Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H	SBS96I	SBS96J
TCGA-A7-A13D-01	4	9	16	24	66	4	8	4	5	0
TCGA-A7-A13E-01	0	4	35	10	8	1	4	0	18	0
TCGA-A7-A13F-01	0	3	15	1	0	13	4	4	0	5
TCGA-A7-A13G-01	7	2	7	0	6	0	2	7	0	1
TCGA-A7-A26E-01	16	3	13	0	0	17	4	0	14	0
TCGA-A7-A26F-01	3	1	6	0	0	7	0	0	27	2
TCGA-A7-A26G-01	9	6	6	13	13	0	4	7	0	10
TCGA-A7-A26H-01	31	40	24	21	0	7	0	0	15	12
TCGA-A7-A26I-01	5	1	4	8	10	3	5	0	7	3
TCGA-A7-A26J-01	1	0	3	11	2	0	0	0	18	7
TCGA-A7-A2KD-01	7	2	17	6	8	4	2	9	0	0
TCGA-A7-A3RF-01	2	0	3	0	0	0	4	0	29	2
TCGA-A7-A425-01	0	0	9	4	0	0	0	0	19	1
TCGA-A7-A4SC-01	2	0	10	4	0	7	1	1	0	13
TCGA-A7-A4SD-01	1	1	25	0	9	6	8	0	6	6
TCGA-A7-A4SE-01	13	28	0	5	39	0	6	34	18	3
TCGA-A7-A56D-01	59	40	26	21	10	24	0	28	0	17
TCGA-A7-A5ZV-01	7	26	31	22	101	12	30	2	17	20
TCGA-A7-A5ZW-01	5	6	5	0	0	2	7	0	10	1
TCGA-A7-A5ZX-01	4	0	4	1	10	13	5	3	0	2
TCGA-A7-A6VV-01	1	6	13	12	7	0	5	0	20	0
TCGA-A7-A6VW-01	4	4	4	5	24	5	12	1	33	0
TCGA-A7-A6VX-01	26	5	2	44	33	0	12	24	26	5
TCGA-A7-A6VY-01	6	13	5	2	57	12	9	29	2	1
TCGA-A8-A075-01	15	10	6	10	18	5	0	11	19	6
TCGA-AC-A23C-01	33	17	10	24	8	3	16	16	0	18
TCGA-AC-A23E-01	0	0	10	0	5	4	0	0	0	5
TCGA-AC-A23H-01	2352	2665	0	1206	0	126	0	0	0	29
TCGA-AC-A2B8-01	42	39	5	0	0	14	0	9	11	8
TCGA-AC-A2BK-01	0	3	25	9	38	3	13	12	0	7
TCGA-AC-A2BM-01	0	3	4	0	1	1	0	14	0	3
TCGA-AC-A2FB-01	4	0	2	1	0	0	3	1	5	1
TCGA-AC-A2FF-01	1	2	0	1	0	2	0	0	5	0
TCGA-AC-A2FG-01	6	1	5	3	0	5	2	0	17	0
TCGA-AC-A2FK-01	0	0	0	0	0	1	0	0	2	0
TCGA-AC-A2FO-01	6	4	0	0	0	6	0	0	8	3
TCGA-AC-A2QH-01	2	1	10	0	2	0	2	4	1	5
TCGA-AC-A3HN-01	2	2	6	0	3	1	3	5	0	0
TCGA-AC-A3OD-01	7	0	7	0	0	7	1	11	2	4
TCGA-AC-A3QP-01	0	1	0	0	3	8	6	0	14	3
TCGA-AC-A3QQ-01	1	1	12	2	0	0	0	16	1	3
TCGA-AC-A3W5-01	21	43	13	0	71	15	3	45	0	0
TCGA-AC-A3YI-01	0	0	3	0	2	7	4	0	0	2
TCGA-AC-A3YJ-01	4	0	12	8	0	0	3	1	8	2
TCGA-AC-A4ZE-01	8	0	11	3	9	2	8	17	11	5
