Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H
TCGA-44-6775-01	7.33E-01	9.08E-01	4.94E-01	9.70E-01	8.81E-01	6.06E-01	5.43E-01	6.13E-01
TCGA-44-6776-01	2.33E+00	2.33E+00	5.49E-01	1.62E+00	1.25E+00	6.64E-01	7.70E-01	7.07E-01
TCGA-44-6777-01	3.17E+00	3.47E+00	2.17E+00	2.18E+00	1.84E+00	1.16E+00	7.22E-01	2.73E+00
TCGA-44-6778-01	4.24E+00	4.15E+00	6.93E-01	2.74E+00	2.13E+00	7.57E-01	8.00E-01	1.40E+00
TCGA-44-6779-01	1.30E+00	1.37E+00	5.32E-01	1.11E+00	7.15E-01	5.74E-01	7.92E-01	6.19E-01
TCGA-44-7659-01	1.85E+00	1.80E+00	5.17E-01	1.33E+00	1.39E+00	5.34E-01	4.74E-01	9.07E-01
TCGA-44-7660-01	2.34E+00	2.85E+00	8.86E-01	3.79E+00	3.56E+00	7.79E-01	7.76E-01	1.75E+00
TCGA-44-7661-01	2.47E+00	2.59E+00	1.27E+00	2.23E+00	1.74E+00	8.47E-01	5.51E-01	1.13E+00
TCGA-44-7662-01	6.62E+00	6.66E+00	1.61E+00	3.05E+00	2.40E+00	1.08E+00	8.19E-01	1.59E+00
TCGA-44-7667-01	4.86E+00	5.10E+00	7.76E-01	2.95E+00	2.22E+00	9.54E-01	9.03E-01	1.48E+00
TCGA-44-7669-01	4.43E+00	4.30E+00	7.03E-01	3.14E+00	2.29E+00	9.02E-01	8.52E-01	1.45E+00
TCGA-44-7670-01	1.33E+01	1.39E+01	3.11E+00	4.03E+00	2.73E+00	1.59E+00	1.25E+00	2.02E+00
TCGA-44-7671-01	2.66E+00	2.70E+00	7.29E-01	2.31E+00	1.69E+00	8.26E-01	6.61E-01	6.75E-01
TCGA-44-7672-01	2.08E+00	2.28E+00	6.77E-01	1.54E+00	1.13E+00	6.05E-01	5.26E-01	7.55E-01
TCGA-44-8117-01	9.63E+00	9.81E+00	1.00E+00	3.40E+00	2.77E+00	1.02E+00	1.05E+00	1.29E+00
TCGA-44-8119-01	5.90E+00	5.58E+00	8.85E-01	3.29E+00	2.43E+00	8.95E-01	1.30E+00	1.52E+00
TCGA-44-8120-01	7.81E+00	8.20E+00	9.80E-01	4.03E+00	2.79E+00	1.03E+00	8.95E-01	1.08E+00
TCGA-44-A479-01	5.38E+00	5.74E+00	7.77E-01	1.42E+00	1.20E+00	7.11E-01	8.25E-01	9.91E-01
TCGA-44-A47A-01	1.62E+00	1.66E+00	1.49E+00	1.84E+00	1.47E+00	7.81E-01	8.06E-01	1.47E+00
TCGA-44-A47B-01	6.97E-01	7.75E-01	1.28E-01	5.53E-01	5.44E-01	4.06E-01	5.31E-01	4.60E-01
TCGA-44-A47F-01	1.04E+00	1.31E+00	7.64E-01	8.71E-01	7.80E-01	5.55E-01	6.34E-01	8.34E-01
TCGA-44-A47G-01	7.53E-01	8.51E-01	6.55E-01	9.47E-01	8.01E-01	5.42E-01	4.71E-01	5.73E-01
TCGA-44-A4SS-01	3.96E+00	4.03E+00	1.46E+00	3.34E+00	2.31E+00	1.10E+00	8.94E-01	1.45E+00
TCGA-44-A4SU-01	1.76E+00	2.01E+00	4.44E-01	1.35E+00	1.42E+00	6.24E-01	7.82E-01	6.52E-01
TCGA-49-4486-01	9.17E-01	1.00E+00	2.17E+00	1.08E+00	9.64E-01	7.30E-01	3.78E-01	2.07E+00
TCGA-49-4487-01	4.07E+00	3.73E+00	1.27E+00	2.59E+00	2.20E+00	9.50E-01	5.00E-01	1.24E+00
TCGA-49-4488-01	3.65E+00	3.87E+00	9.77E-01	1.66E+00	1.46E+00	5.77E-01	4.92E-01	1.34E+00
TCGA-49-4490-01	1.45E-01	5.23E-01	4.93E-01	7.10E-01	7.35E-01	3.90E-01	5.76E-01	4.42E-01
TCGA-49-4494-01	2.35E+00	2.45E+00	5.63E-01	1.72E+00	1.05E+00	6.15E-01	7.62E-01	4.83E-01
TCGA-49-4501-01	3.49E-01	3.60E-01	5.49E-01	4.03E-01	5.80E-01	5.43E-01	6.36E-01	8.49E-01
TCGA-49-4505-01	2.94E+00	3.11E+00	7.42E-01	1.58E+00	1.18E+00	4.79E-01	7.29E-01	1.03E+00
TCGA-49-4506-01	1.11E+00	1.47E+00	2.91E-01	1.22E+00	1.06E+00	4.52E-01	4.98E-01	8.98E-01
TCGA-49-4507-01	1.88E+00	1.89E+00	1.28E+00	1.69E+00	1.60E+00	7.58E-01	8.60E-01	1.07E+00
TCGA-49-4510-01	6.27E-01	7.12E-01	2.61E-01	9.40E-01	9.80E-01	2.83E-01	3.36E-01	4.77E-01
TCGA-49-4512-01	5.15E-01	5.91E-01	3.24E-01	5.89E-01	5.43E-01	3.76E-01	5.46E-01	4.80E-01
TCGA-49-4514-01	3.12E+00	3.23E+00	2.83E+00	1.78E+00	1.54E+00	1.06E+00	8.32E-01	3.08E+00
TCGA-49-6742-01	1.39E+00	1.84E+00	3.81E+00	1.59E+00	1.82E+00	9.11E-01	9.36E-01	2.44E+00
TCGA-49-6743-01	3.95E+00	5.13E+00	4.22E+00	3.94E+00	3.13E+00	1.72E+00	8.83E-01	5.00E+00
TCGA-49-6744-01	2.63E+00	2.87E+00	5.10E-01	2.07E+00	1.21E+00	7.20E-01	3.86E-01	6.14E-01
TCGA-49-6745-01	3.31E-01	6.17E-01	2.23E+00	8.92E-01	8.50E-01	7.06E-01	6.18E-01	2.32E+00
TCGA-49-6761-01	1.12E+00	1.47E+00	1.80E+00	1.36E+00	1.15E+00	8.06E-01	6.95E-01	1.58E+00
TCGA-49-6767-01	5.21E+00	5.60E+00	1.08E+00	2.75E+00	2.02E+00	8.75E-01	7.40E-01	1.27E+00
TCGA-49-AAQV-01	3.97E-01	7.35E-01	8.49E-01	8.39E-01	6.18E-01	3.34E-01	4.74E-01	7.09E-01
TCGA-49-AAR0-01	1.77E+00	1.92E+00	6.67E-01	1.62E+00	1.20E+00	5.87E-01	5.74E-01	1.01E+00
TCGA-49-AAR2-01	6.01E+00	6.13E+00	6.89E-01	2.18E+00	1.52E+00	8.81E-01	6.87E-01	8.52E-01
TCGA-49-AAR3-01	1.35E+00	1.23E+00	5.78E-01	1.29E+00	1.46E+00	4.79E-01	7.47E-01	6.93E-01
TCGA-49-AAR4-01	8.11E+00	8.43E+00	2.52E+00	2.44E+00	1.91E+00	1.36E+00	3.10E-01	2.71E+00
TCGA-49-AAR9-01	7.11E+00	7.98E+00	9.88E-01	4.42E+00	2.55E+00	1.21E+00	1.05E+00	1.22E+00
TCGA-49-AARE-01	1.62E+01	1.73E+01	2.07E+00	6.09E+00	3.15E+00	1.70E+00	1.35E+00	2.83E+00
TCGA-49-AARN-01	5.09E+00	9.16E+00	2.30E+00	8.51E+00	1.07E+01	2.28E+00	4.87E-01	1.40E+01
TCGA-49-AARO-01	1.02E+01	1.15E+01	1.02E+00	2.90E+00	1.93E+00	9.53E-01	3.82E-01	1.23E+00
TCGA-49-AARQ-01	9.08E+00	9.90E+00	1.99E+00	3.60E+00	1.87E+00	1.28E+00	9.87E-01	1.91E+00
TCGA-49-AARR-01	5.63E-02	1.03E-01	0.00E+00	9.13E-02	6.64E-02	0.00E+00	1.03E-01	3.83E-02
TCGA-4B-A93V-01	1.80E+00	1.86E+00	5.04E-01	1.20E+00	1.01E+00	6.38E-01	6.30E-01	7.94E-01
