NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	153.234	74.448	27.822	53.095	0.624	0.737	40000.0
2	153.29	74.679	27.862	53.369	0.633	0.734	50000.0
3	153.043	74.356	27.803	53.09	0.625	0.737	20000.0
4	152.754	74.294	27.706	53.137	0.628	0.736	80000.0
5	153.048	74.618	27.741	53.222	0.634	0.735	40000.0
6	153.337	74.279	27.873	53.052	0.623	0.737	30000.0
7	153.339	74.55	27.846	53.218	0.629	0.735	30000.0
8	153.249	74.454	27.854	53.196	0.625	0.737	40000.0
9	152.67	74.315	27.7	53.007	0.624	0.738	50000.0
10	153.027	74.42	27.654	53.184	0.631	0.736	40000.0
11	152.809	74.389	27.662	53.02	0.628	0.736	40000.0
12	153.582	74.506	27.883	53.137	0.628	0.736	30000.0
13	153.158	74.352	27.859	52.958	0.626	0.739	40000.0
14	152.98	74.201	27.86	53.0	0.623	0.738	20000.0
15	152.823	74.068	27.692	52.876	0.622	0.74	20000.0
16	153.381	74.511	27.787	53.133	0.627	0.737	30000.0
17	153.287	74.291	27.883	53.093	0.624	0.737	30000.0
18	153.101	74.153	27.831	52.928	0.624	0.738	20000.0
19	153.563	74.639	27.858	53.22	0.627	0.736	40000.0
20	152.76	74.289	27.726	53.015	0.625	0.737	20000.0
21	153.207	74.294	27.863	53.071	0.627	0.737	20000.0
22	152.994	74.244	27.697	52.992	0.625	0.737	40000.0
23	153.345	74.452	27.774	53.103	0.626	0.736	30000.0
24	152.875	74.289	27.62	52.89	0.623	0.739	20000.0
25	153.031	74.56	27.807	53.163	0.629	0.735	50000.0
26	153.293	74.515	27.769	53.123	0.626	0.735	40000.0
27	153.077	74.355	27.813	53.143	0.629	0.736	40000.0
28	153.887	74.506	28.011	53.219	0.629	0.736	20000.0
29	153.06	74.327	27.801	53.072	0.625	0.736	20000.0
30	153.248	74.385	27.848	53.174	0.627	0.736	40000.0
31	153.277	74.288	27.784	53.001	0.629	0.739	30000.0
32	152.682	74.425	27.709	53.164	0.626	0.736	30000.0
33	152.895	74.552	27.789	53.129	0.626	0.736	20000.0
34	153.091	74.4	27.745	53.054	0.627	0.736	30000.0
35	153.201	74.064	27.814	52.972	0.623	0.739	50000.0
36	153.106	74.506	27.837	53.081	0.625	0.737	30000.0
37	152.883	74.256	27.795	53.099	0.626	0.737	20000.0
38	153.456	74.322	27.886	53.088	0.625	0.737	30000.0
39	153.19	74.353	27.766	53.119	0.626	0.737	30000.0
40	153.307	74.401	27.809	53.08	0.626	0.737	30000.0
41	153.59	74.487	27.969	53.25	0.629	0.736	40000.0
42	153.262	74.371	27.893	53.062	0.625	0.738	30000.0
43	153.457	74.541	27.768	53.101	0.629	0.737	30000.0
44	153.288	74.5	27.81	53.158	0.629	0.736	30000.0
45	153.03	74.39	27.755	52.99	0.625	0.738	20000.0
46	153.206	74.283	27.847	53.029	0.625	0.738	20000.0
47	153.336	74.479	27.928	53.343	0.631	0.734	40000.0
48	153.145	74.392	27.731	53.058	0.625	0.738	20000.0
49	153.047	74.181	27.785	52.953	0.624	0.738	40000.0
50	153.031	74.272	27.788	53.112	0.621	0.736	20000.0
51	152.896	74.375	27.742	53.091	0.628	0.736	40000.0
52	153.179	74.46	27.779	53.124	0.627	0.737	50000.0
53	153.283	74.359	27.877	53.075	0.626	0.738	50000.0
54	152.598	74.094	27.744	52.89	0.621	0.739	20000.0
55	153.091	74.498	27.864	53.198	0.627	0.737	30000.0
56	152.847	74.149	27.752	52.943	0.62	0.74	20000.0
57	153.459	74.179	27.92	53.025	0.623	0.737	50000.0
58	152.828	74.206	27.874	53.095	0.622	0.737	20000.0
59	153.859	74.524	27.942	53.177	0.625	0.736	30000.0
60	152.885	74.444	27.743	53.133	0.625	0.736	40000.0
61	153.285	74.474	27.941	53.201	0.627	0.735	50000.0
