Signatures,Stability (Avg Silhouette),Minimum Stability,Considerable Solution,P-value,Matrix Frobenius%,Mean Sample L1%,Maximum Sample L1%,Mean Sample L2%,Maximum Sample L2%,Mean Sample KL,Maximum Sample KL,Mean Cosine Distance,Max Cosine Distance,Mean Correlation,Minimum Correlation
1,1.0,1.0,NO,N/A,58.89%,107.59%,192.82%,85.76%,122.12,0.9691,3.4831,0.365,0.926,0.531,-0.066
2,1.0,1.0,YES,2.89e-13,19.38%,96.59%,187.28%,65.74%,101.16,0.812,3.6472,0.232,0.836,0.694,0.004
3*,0.97,0.92,YES,7.28e-02,18.23%,91.56%,188.23%,61.45%,97.95,0.7881,3.2569,0.216,0.783,0.706,0.01
4,0.92,0.84,YES,Most Stab Sigs,14.58%,87.36%,186.8%,60.23%,98.5,0.7718,3.3412,0.207,0.793,0.719,0.053
5,0.78,0.35,NO,N/A,16.51%,85.44%,182.43%,58.67%,96.65,0.7489,3.0869,0.195,0.74,0.735,0.086
6,0.67,0.03,NO,N/A,13.28%,84.92%,180.42%,58.13%,96.52,0.7344,3.0056,0.19,0.732,0.743,0.114
7,0.56,-0.13,NO,N/A,12.09%,83.82%,180.68%,57.23%,96.0,0.7301,3.0182,0.183,0.718,0.753,0.131
8,0.48,-0.18,NO,N/A,12.45%,83.59%,181.0%,56.59%,96.3,0.7168,3.0463,0.178,0.704,0.761,0.18
