Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H	SBS96I	SBS96J	SBS96K	SBS96L	SBS96M	SBS96N
TCGA-ER-A2ND-06	28	20	4	10	2	6	12	16	0	17	6	23	0	1
TCGA-ER-A2NE-06	45	52	0	28	6	0	0	20	6	5	1	16	0	0
TCGA-ER-A2NF-01	16	8	2	1	0	4	6	1	0	0	1	0	2	0
TCGA-ER-A2NG-06	114	107	0	40	0	0	0	20	23	0	32	0	0	11
TCGA-ER-A2NH-06	152	129	0	63	0	0	0	48	1	2	11	9	0	0
TCGA-ER-A3ES-06	1	0	5	0	0	11	5	3	1	0	1	0	0	2
TCGA-ER-A3ET-06	12	7	12	4	9	9	16	0	10	6	19	4	4	4
TCGA-ER-A3EV-06	6	7	0	1	11	11	10	0	13	0	27	0	9	4
TCGA-ER-A3PL-06	170	206	0	56	0	3	1	25	0	0	0	58	0	0
TCGA-ER-A42H-01	3	2	6	3	10	15	23	2	3	0	7	2	0	2
TCGA-ER-A42K-06	65	91	0	36	1	2	0	23	1	0	1	53	0	0
TCGA-ER-A42L-06	547	382	0	192	3	0	0	70	0	8	18	81	0	0
TCGA-FR-A2OS-01	0	0	0	0	0	1	8	2	0	2	0	3	0	0
TCGA-FR-A3R1-01	178	212	0	42	3	1	7	75	0	0	0	71	0	0
TCGA-FR-A3YN-06	244	226	0	90	0	0	3	97	0	0	0	128	0	0
TCGA-FR-A3YO-06	424	351	0	158	0	6	4	155	3	8	0	80	0	0
TCGA-FR-A44A-06	117	117	0	44	5	8	12	31	3	0	2	68	13	0
TCGA-FR-A69P-06	95	84	0	40	0	3	5	37	0	0	0	39	2	0
TCGA-FR-A726-01	3380	4052	0	1490	0	0	0	737	6	0	60	223	197	1
TCGA-FR-A728-01	174	163	0	87	3	0	0	45	0	0	13	55	0	0
TCGA-FR-A729-06	409	382	0	211	0	0	0	142	0	0	22	22	0	16
TCGA-FR-A7U8-06	1	5	0	1	1	14	8	2	3	0	9	0	0	0
TCGA-FR-A7U9-06	902	739	0	399	2	0	21	275	7	0	0	123	0	12
TCGA-FR-A7UA-06	101	68	0	48	2	2	1	13	1	0	5	0	0	0
TCGA-FR-A8YC-06	1408	1235	11	648	0	0	21	418	3	28	2	325	0	1
TCGA-FR-A8YD-06	13	12	3	7	18	2	6	2	11	13	34	5	2	4
TCGA-FR-A8YE-06	160	140	0	77	0	0	0	42	0	5	7	38	0	2
TCGA-FS-A1YW-06	73	61	3	34	0	6	10	23	0	0	6	3	0	0
TCGA-FS-A1YX-06	3	7	4	2	3	5	0	2	0	0	0	4	0	0
TCGA-FS-A1YY-06	98	78	3	24	0	6	9	14	3	0	0	37	2	0
TCGA-FS-A1Z0-06	91	107	0	56	0	0	14	33	0	3	7	27	10	3
TCGA-FS-A1Z3-06	463	424	0	203	2	0	0	177	0	1	6	108	0	6
TCGA-FS-A1Z4-06	19	10	0	5	3	2	1	0	0	5	2	4	0	2
TCGA-FS-A1Z7-06	84	78	0	36	0	0	15	15	0	0	0	22	0	0
TCGA-FS-A1ZA-06	508	448	0	253	0	0	5	201	4	0	0	205	0	0
TCGA-FS-A1ZB-06	113	100	2	38	2	2	0	38	1	0	2	14	4	0
TCGA-FS-A1ZC-06	332	292	0	136	0	0	1	103	2	0	45	63	0	4
TCGA-FS-A1ZD-06	103	107	0	37	0	2	6	23	0	5	0	31	25	2
TCGA-FS-A1ZE-06	47	29	1	27	0	0	12	20	1	0	0	49	4	0
TCGA-FS-A1ZF-06	71	75	1	32	0	6	3	27	0	6	6	27	25	0
TCGA-FS-A1ZG-06	0	1	4	1	0	13	7	0	5	5	0	3	4	2
TCGA-FS-A1ZH-06	1	10	4	2	1	3	6	7	1	0	1	0	8	0
TCGA-FS-A1ZJ-06	5	3	6	8	0	13	10	0	1	1	20	12	4	0
TCGA-FS-A1ZK-06	675	957	0	208	0	0	0	158	16	0	45	38	105	10
TCGA-FS-A1ZM-06	99	103	0	29	15	0	12	33	4	0	5	26	1	4
TCGA-FS-A1ZN-01	46	46	2	18	2	5	4	4	0	5	0	3	0	2
TCGA-FS-A1ZP-06	188	137	0	103	2	1	6	91	2	0	0	50	0	0
TCGA-FS-A1ZQ-06	258	171	0	107	0	1	6	53	0	0	0	44	30	13
TCGA-FS-A1ZR-06	66	58	1	18	3	2	0	26	0	2	0	11	0	0
TCGA-FS-A1ZS-06	119	110	9	49	0	10	14	29	3	0	8	33	0	0
TCGA-FS-A1ZT-06	98	62	2	26	0	7	3	22	2	3	14	3	0	0
TCGA-FS-A1ZU-06	4	1	4	2	2	12	7	10	2	0	3	4	0	1
TCGA-FS-A1ZW-06	255	263	0	137	0	0	9	110	0	0	0	60	74	0
TCGA-FS-A1ZY-06	1	13	0	4	8	5	3	2	0	0	4	0	0	2
TCGA-FS-A1ZZ-06	811	550	0	332	0	0	0	308	1	0	0	145	0	0
TCGA-FS-A4F0-06	234	278	0	85	0	0	13	53	3	0	13	72	19	0
TCGA-FS-A4F4-06	5	3	2	7	4	5	5	4	4	0	4	5	6	2
TCGA-FS-A4F5-06	376	332	0	121	0	0	0	152	0	0	6	38	0	0
TCGA-FS-A4F8-06	76	61	0	25	1	5	5	22	0	0	2	20	13	5
TCGA-FS-A4F9-06	207	184	0	88	0	7	0	53	0	8	2	41	0	0
TCGA-FS-A4FB-06	69	82	0	32	2	0	3	34	3	3	0	22	0	0
TCGA-FS-A4FC-06	327	306	0	142	0	0	3	118	0	0	11	92	0	0
TCGA-FS-A4FD-06	217	176	0	109	0	3	0	63	1	2	0	14	23	0
TCGA-FW-A3I3-06	5	0	1	3	7	13	21	2	4	4	5	0	3	5
TCGA-FW-A3R5-06	7394	10717	0	4880	0	0	0	4478	0	0	0	0	0	0
TCGA-FW-A3TU-06	305	377	10	128	8	1	41	87	5	0	26	64	28	0
TCGA-FW-A3TV-06	127	130	0	81	0	2	4	56	1	0	0	54	3	0
TCGA-FW-A5DX-01	83	76	14	28	0	6	8	15	0	0	0	22	12	3
TCGA-FW-A5DY-06	96	74	0	32	2	0	10	24	1	1	0	1	0	0
TCGA-GF-A2C7-01	31	41	0	11	6	2	0	3	0	2	0	7	0	0
TCGA-GF-A3OT-06	216	278	9	96	2	4	8	91	4	0	0	76	0	0
TCGA-GF-A4EO-06	95	101	0	38	3	1	2	27	1	0	0	78	0	0
TCGA-GF-A6C8-06	160	161	0	60	0	0	11	56	0	5	0	74	0	0
TCGA-GF-A6C9-06	1430	1011	0	674	0	2	0	476	0	0	3	258	0	0
TCGA-GF-A769-01	54	66	7	24	3	0	11	22	1	0	3	23	0	1
TCGA-GN-A262-06	146	218	4	40	8	1	7	41	1	1	8	20	0	0
TCGA-GN-A263-01	208	234	0	91	3	0	0	50	3	0	9	0	0	5
TCGA-GN-A264-06	2	4	3	9	5	3	3	6	4	3	2	0	13	4
TCGA-GN-A265-06	101	98	1	16	3	0	0	34	2	1	7	43	0	4
TCGA-GN-A266-06	1855	1546	0	998	11	0	27	650	11	0	0	249	0	0
TCGA-GN-A267-06	175	206	0	69	0	4	19	41	3	0	0	17	64	2
TCGA-GN-A268-06	152	117	9	76	0	5	11	35	1	12	0	33	0	0
TCGA-GN-A269-01	341	298	0	140	0	0	0	80	0	0	5	81	53	0
TCGA-GN-A26A-06	147	183	0	43	0	2	9	37	1	0	8	18	0	4
TCGA-GN-A26C-01	893	733	0	417	0	0	13	267	6	0	13	165	0	0
TCGA-GN-A26D-06	8	0	9	0	8	0	9	2	4	6	7	5	0	0
TCGA-GN-A4U3-06	136	157	0	53	0	0	0	47	0	0	4	13	51	0
TCGA-GN-A4U4-06	360	313	0	131	7	0	0	91	5	16	7	43	0	2
TCGA-GN-A4U5-01	158	188	0	29	5	0	18	23	2	0	4	25	0	1
TCGA-GN-A4U7-06	83	113	0	47	4	1	13	18	0	0	0	41	26	1
TCGA-GN-A4U8-06	197	181	0	92	10	0	7	36	2	3	12	0	0	6
TCGA-GN-A4U9-06	3	1	7	4	6	12	5	3	0	11	11	0	0	14
TCGA-GN-A8LK-06	989	947	0	365	0	14	11	259	7	36	7	146	0	11
TCGA-GN-A8LL-06	4	9	5	6	4	7	2	0	1	9	22	0	0	1
TCGA-GN-A8LN-01	111	93	0	46	5	2	0	56	8	0	0	38	0	1
TCGA-GN-A9SD-06	52	55	15	36	7	0	7	17	0	0	5	10	0	0
TCGA-HR-A2OG-06	79	75	0	24	0	1	16	19	0	0	0	23	14	3
TCGA-HR-A2OH-06	42	59	0	14	0	1	2	24	0	6	2	0	5	2
TCGA-HR-A5NC-01	15	30	4	9	7	6	12	0	0	4	0	6	0	0
TCGA-IH-A3EA-01	819	583	3	312	0	20	0	167	13	16	15	67	0	0
TCGA-LH-A9QB-06	109	112	0	32	5	0	0	45	1	0	0	0	55	0
TCGA-OD-A75X-06	551	421	0	174	0	15	18	142	3	39	0	92	0	0
TCGA-QB-A6FS-06	625	554	0	230	0	0	14	174	0	0	2	0	0	5
TCGA-QB-AA9O-06	636	605	0	282	0	2	24	236	6	0	0	292	0	13
TCGA-RP-A690-06	3	0	0	0	0	0	8	0	0	1	6	0	0	2
TCGA-RP-A693-06	349	429	7	116	4	0	15	91	3	7	6	54	3	7
TCGA-RP-A694-06	293	308	3	164	0	2	0	127	3	0	5	66	0	4
TCGA-RP-A695-06	409	388	0	160	0	4	0	91	1	0	10	122	0	0
TCGA-RP-A6K9-06	0	4	3	0	11	10	9	2	3	5	10	9	1	1
TCGA-W3-A824-06	664	678	0	277	17	64	81	175	2	29	0	44	0	0
TCGA-W3-A825-06	532	453	0	249	0	6	0	193	9	0	6	102	0	4
TCGA-W3-A828-06	551	670	47	153	0	0	11	55	2	0	15	123	215	9
TCGA-W3-AA1O-06	365	342	0	159	0	2	20	86	0	0	0	74	0	0
TCGA-W3-AA1Q-06	488	345	0	176	0	0	19	163	3	8	5	62	0	0
TCGA-W3-AA1R-06	788	714	0	349	0	10	0	266	5	2	8	249	0	0
TCGA-W3-AA1V-06	2519	2367	0	1190	31	0	18	780	10	0	44	474	40	16
TCGA-W3-AA1W-06	340	257	0	157	6	3	17	104	0	0	0	75	0	0
TCGA-W3-AA21-06	236	170	0	105	7	7	8	79	0	0	0	91	0	0
TCGA-WE-A8JZ-06	96	70	10	37	6	6	5	8	1	0	7	1	34	0
TCGA-WE-A8K1-06	142	108	0	59	9	0	9	74	1	2	0	56	0	0
TCGA-WE-A8K4-01	391	370	6	140	0	0	8	118	2	7	7	106	0	4
TCGA-WE-A8K5-06	540	509	0	248	0	8	18	200	13	0	13	41	0	0
TCGA-WE-A8K6-06	107	119	0	39	6	3	2	37	0	0	0	53	0	0
TCGA-WE-A8ZM-06	22	11	0	5	0	7	0	8	1	12	30	4	0	3
TCGA-WE-A8ZN-06	70	72	4	28	1	0	8	20	0	0	5	17	0	0
TCGA-WE-A8ZO-06	177	120	0	49	0	3	2	66	3	0	0	67	0	0
TCGA-WE-A8ZQ-06	57	67	0	25	19	11	10	20	1	0	8	30	0	2
TCGA-WE-A8ZR-06	5	0	6	4	4	5	3	9	0	0	0	0	0	0
TCGA-WE-A8ZT-06	221	219	0	74	5	0	0	55	9	1	16	23	5	0
TCGA-WE-A8ZX-06	297	215	0	160	0	2	0	70	6	0	5	45	0	0
TCGA-WE-A8ZY-06	106	91	9	40	6	2	4	31	0	4	15	35	0	3
TCGA-WE-AA9Y-06	33	34	9	9	0	2	4	5	0	0	0	0	5	3
TCGA-WE-AAA0-06	683	720	0	247	7	0	0	174	3	0	30	95	22	1
TCGA-WE-AAA3-06	174	145	0	96	0	3	0	78	2	0	12	18	0	2
TCGA-WE-AAA4-06	91	86	0	40	0	4	0	45	1	3	2	29	6	5
TCGA-XV-A9VZ-01	1	2	1	1	0	2	2	0	3	0	4	2	0	0
TCGA-XV-A9W2-01	1	3	0	9	6	11	2	0	5	1	9	9	0	0
TCGA-XV-A9W5-01	32	31	0	22	13	2	3	22	0	0	6	4	0	0
TCGA-XV-AAZV-01	62	42	0	19	6	5	9	16	0	0	0	0	0	0
TCGA-XV-AAZW-01	56	49	0	26	7	6	6	23	6	0	9	12	12	2
TCGA-XV-AAZY-01	87	73	0	51	0	0	0	18	0	1	4	5	0	0
TCGA-YD-A89C-06	831	759	0	385	0	9	0	234	1	0	0	186	0	0
TCGA-YD-A9TA-06	1745	1440	0	782	0	2	83	431	38	0	84	0	5	26
TCGA-YD-A9TB-06	149	108	0	90	0	3	5	55	8	0	0	44	0	6
TCGA-YG-AA3N-01	1007	875	0	453	0	2	0	232	2	0	0	225	0	0
TCGA-YG-AA3O-06	573	454	0	207	2	7	20	135	19	8	5	90	0	7
TCGA-YG-AA3P-06	2	15	17	1	12	7	7	3	1	11	8	0	4	10
TCGA-Z2-A8RT-06	1637	1241	0	696	4	0	0	333	2	0	40	86	0	36
TCGA-Z2-AA3S-06	115	80	6	27	1	0	6	29	1	2	11	15	0	0
TCGA-Z2-AA3V-06	213	187	0	84	0	0	16	54	5	4	0	30	0	0
TCGA-3C-AAAU-01	0	2	0	3	0	12	4	2	2	1	5	9	5	0
TCGA-3C-AALI-01	37	6	35	218	13	7	30	79	373	0	0	10	0	0
TCGA-3C-AALJ-01	4	5	17	0	0	6	8	3	11	2	2	8	0	0
TCGA-3C-AALK-01	3	3	3	5	3	4	17	1	6	5	7	0	7	0
TCGA-4H-AAAK-01	0	1	8	0	0	6	5	7	0	4	2	0	0	0
TCGA-5L-AAT0-01	41	3	0	79	0	10	1	22	74	0	5	0	44	0
TCGA-5L-AAT1-01	154	11	34	673	0	3	19	132	776	0	0	0	184	0
TCGA-5T-A9QA-01	4	4	3	2	3	5	23	0	0	5	1	0	3	0
TCGA-A1-A0SB-01	0	0	0	0	0	1	4	1	0	4	4	0	2	0
TCGA-A1-A0SD-01	0	2	6	2	0	3	13	2	1	2	5	4	0	0
TCGA-A1-A0SE-01	4	1	7	4	0	4	0	3	0	2	0	4	7	0
TCGA-A1-A0SF-01	8	0	0	25	0	9	0	1	7	0	0	0	12	2
TCGA-A1-A0SG-01	1	1	0	0	0	3	8	7	1	1	5	6	2	0
TCGA-A1-A0SH-01	15	4	7	33	5	9	2	0	37	0	12	0	14	0
TCGA-A1-A0SI-01	16	6	0	72	2	2	6	14	138	0	0	0	22	0
TCGA-A1-A0SJ-01	1	0	8	4	0	11	6	0	5	0	1	0	1	3
TCGA-A1-A0SK-01	3	0	7	1	5	4	18	3	3	0	23	17	0	0
TCGA-A1-A0SM-01	1	0	1	0	1	5	4	6	0	3	4	7	0	0
TCGA-A1-A0SN-01	4	6	0	5	0	9	6	9	19	0	13	4	0	1
TCGA-A1-A0SO-01	4	14	71	8	40	8	19	5	19	0	95	10	52	8
TCGA-A1-A0SP-01	9	2	0	1	8	12	7	0	1	1	20	9	0	0
TCGA-A2-A04N-01	3	5	4	5	5	3	11	8	1	0	7	0	0	1
TCGA-A2-A04R-01	1	6	19	1	11	7	5	4	9	0	18	0	17	4
TCGA-A2-A04U-01	3	0	2	0	4	5	14	5	4	0	13	13	0	4
TCGA-A2-A04W-01	14	6	4	37	2	12	4	20	70	5	2	5	5	1
TCGA-A2-A0CK-01	1	0	1	4	0	5	11	0	0	0	1	0	4	0
TCGA-A2-A0CL-01	8	2	0	58	0	8	23	13	85	0	1	0	0	2
TCGA-A2-A0CR-01	20	0	0	83	0	1	8	6	88	4	0	0	0	0
TCGA-A2-A0CS-01	0	0	11	1	0	12	9	2	0	1	8	3	0	1
TCGA-A2-A0CV-01	0	2	1	0	0	10	0	4	2	0	1	4	0	0
TCGA-A2-A0CW-01	7	0	15	15	2	2	16	5	13	0	8	0	0	1
TCGA-A2-A0D3-01	1	1	6	1	0	9	12	2	0	0	0	0	0	0
TCGA-A2-A0EN-01	3	4	6	1	0	1	10	3	0	5	6	0	0	0
TCGA-A2-A0EP-01	1	1	0	1	1	0	1	0	4	2	0	4	0	1
TCGA-A2-A0ES-01	3	1	1	0	0	2	2	1	0	1	4	4	0	0
TCGA-A2-A0EW-01	0	0	0	0	1	1	5	1	1	3	2	3	3	0
TCGA-A2-A0ST-01	0	3	5	2	1	3	5	1	3	2	0	2	1	0
TCGA-A2-A0SU-01	1	6	2	1	0	10	0	0	2	1	11	1	0	0
TCGA-A2-A0SX-01	5	0	5	3	0	14	0	0	4	1	0	5	1	3
TCGA-A2-A0SY-01	18	6	0	41	0	2	15	16	74	2	1	0	2	0
TCGA-A2-A0T0-01	8	0	22	8	21	12	7	4	17	23	73	15	0	7
TCGA-A2-A0T1-01	1	2	2	0	0	4	8	4	0	7	0	2	0	2
TCGA-A2-A0T3-01	1	0	18	1	0	5	9	2	1	0	3	0	4	0
TCGA-A2-A0T4-01	0	1	0	3	3	7	3	0	6	0	8	10	0	0
TCGA-A2-A0T5-01	0	0	1	1	0	3	4	1	0	0	2	0	0	1
TCGA-A2-A0T6-01	1	0	1	3	0	7	11	2	0	0	3	0	0	0
TCGA-A2-A0T7-01	0	2	1	3	0	2	9	3	0	1	5	0	0	3
TCGA-A2-A0YC-01	1	0	6	4	3	3	8	0	1	1	5	0	0	0
TCGA-A2-A0YD-01	8	3	0	21	2	4	9	16	23	0	0	1	0	0
TCGA-A2-A0YE-01	3	2	11	6	1	9	7	1	1	0	0	0	2	0
TCGA-A2-A0YF-01	3	0	9	1	0	5	4	0	0	0	3	3	11	0
TCGA-A2-A0YG-01	5	4	8	7	2	5	15	3	1	5	10	7	6	0
TCGA-A2-A0YH-01	5	6	7	14	0	5	11	5	31	0	8	0	8	0
TCGA-A2-A0YI-01	3	0	4	0	1	2	1	1	1	0	0	5	0	0
TCGA-A2-A0YJ-01	0	3	4	1	3	11	19	4	6	4	31	1	4	7
TCGA-A2-A0YK-01	30	0	0	158	0	1	6	21	245	0	0	0	17	0
TCGA-A2-A0YL-01	8	3	0	12	0	2	4	0	11	2	1	0	0	0
TCGA-A2-A0YM-01	2	0	10	14	0	14	18	7	23	3	5	0	13	0
TCGA-A2-A0YT-01	7	0	0	13	2	17	5	13	2	0	22	0	0	0
TCGA-A2-A1FV-01	6	2	6	7	0	7	11	0	0	4	7	0	0	0
TCGA-A2-A1FW-01	11	0	18	0	1	10	22	4	7	5	8	0	5	4
TCGA-A2-A1FX-01	3	3	1	0	1	5	3	2	0	0	4	0	6	0
TCGA-A2-A1FZ-01	0	0	1	0	0	3	9	0	1	5	3	2	5	0
TCGA-A2-A1G0-01	1	4	4	2	0	0	3	2	0	0	7	0	0	0
TCGA-A2-A1G1-01	1	3	6	3	3	0	8	1	0	2	11	0	1	0
TCGA-A2-A1G6-01	0	0	0	0	0	2	1	0	1	1	5	0	0	0
TCGA-A2-A259-01	3	3	0	2	0	1	3	2	1	0	6	4	4	0
TCGA-A2-A25A-01	11	0	0	37	15	4	9	0	34	0	0	0	19	0
TCGA-A2-A25B-01	7	3	8	3	14	12	4	6	5	0	30	21	15	0
TCGA-A2-A25C-01	3	0	14	1	1	0	2	0	1	9	1	0	7	0
TCGA-A2-A25D-01	3	7	15	5	2	4	8	1	5	5	4	0	0	5
TCGA-A2-A25E-01	0	1	1	5	0	3	4	2	2	7	23	5	7	1
TCGA-A2-A25F-01	0	0	3	0	1	0	0	0	0	0	0	2	0	0
TCGA-A2-A3KD-01	1	3	0	2	0	1	8	0	0	3	0	0	0	0
TCGA-A2-A3XT-01	1	8	9	3	4	2	8	0	29	9	37	6	1	5
TCGA-A2-A3XU-01	0	1	5	1	1	4	10	0	0	4	5	0	0	0
TCGA-A2-A3XV-01	3	5	9	0	0	11	1	4	0	7	6	0	0	2
TCGA-A2-A3XW-01	1	0	0	1	0	1	3	3	0	2	6	0	0	0
TCGA-A2-A3XX-01	1	1	4	3	0	10	5	5	1	0	19	3	0	0
TCGA-A2-A3XZ-01	4	0	0	7	0	3	9	6	15	1	7	0	0	0
TCGA-A2-A3Y0-01	5	12	10	7	6	17	9	4	44	26	83	14	0	6
TCGA-A2-A4S1-01	1	1	22	3	3	11	12	0	4	5	18	0	16	2
TCGA-A2-A4S2-01	1	2	7	6	0	5	6	0	0	5	7	3	0	1
TCGA-A2-A4S3-01	2	2	11	6	5	9	16	2	11	8	10	7	18	0
TCGA-A7-A0CE-01	6	2	5	3	4	7	2	0	3	6	18	0	4	1
TCGA-A7-A0CH-01	1	6	1	0	2	0	3	1	0	1	2	0	0	0
TCGA-A7-A0D9-01	3	0	0	1	0	2	1	0	1	0	0	2	1	1
TCGA-A7-A0DA-01	4	3	43	8	0	7	8	6	11	3	73	12	0	9
TCGA-A7-A0DB-01	1	0	3	9	0	5	9	1	9	1	5	0	6	4
TCGA-A7-A13D-01	7	4	7	4	1	7	14	2	15	6	65	2	5	1
TCGA-A7-A13E-01	4	0	4	0	3	18	30	1	6	1	10	0	3	0
TCGA-A7-A13F-01	1	2	2	0	0	7	13	7	4	3	1	0	5	0
TCGA-A7-A13G-01	0	1	0	7	0	8	2	0	2	0	8	3	0	1
TCGA-A7-A26E-01	4	0	9	15	0	4	15	10	3	2	3	0	0	2
TCGA-A7-A26F-01	0	1	0	3	1	0	15	4	1	0	7	10	4	0
TCGA-A7-A26G-01	4	1	4	7	14	6	2	2	9	1	11	7	0	0
TCGA-A7-A26H-01	9	2	10	28	0	5	28	2	49	0	0	0	17	0
TCGA-A7-A26I-01	4	2	3	4	6	1	6	2	3	3	9	0	2	1
TCGA-A7-A26J-01	1	0	3	0	0	0	7	0	3	0	9	2	17	0
TCGA-A7-A2KD-01	4	4	1	6	0	10	13	3	3	1	6	3	0	1
TCGA-A7-A3RF-01	0	1	6	2	2	3	7	0	0	3	10	6	0	0
TCGA-A7-A425-01	3	0	5	0	0	5	10	0	0	0	4	5	1	0
TCGA-A7-A4SC-01	2	2	16	1	0	6	4	4	0	0	0	0	1	2
TCGA-A7-A4SD-01	0	0	5	1	1	8	23	4	2	3	4	7	0	4
TCGA-A7-A4SE-01	5	3	7	10	8	3	5	0	31	10	47	7	8	2
TCGA-A7-A56D-01	13	5	7	52	0	19	17	12	49	0	20	3	28	0
TCGA-A7-A5ZV-01	6	13	31	6	16	15	26	7	32	15	76	8	0	17
TCGA-A7-A5ZW-01	0	0	4	5	0	3	6	4	7	7	0	0	0	0
TCGA-A7-A5ZX-01	2	0	3	4	0	3	3	5	0	2	8	2	6	4
TCGA-A7-A6VV-01	2	11	1	1	6	4	18	0	9	2	10	0	0	0
TCGA-A7-A6VW-01	4	6	3	3	7	1	12	3	5	10	23	13	0	2
TCGA-A7-A6VX-01	9	9	24	25	8	6	8	0	15	7	33	23	1	9
TCGA-A7-A6VY-01	4	6	0	4	8	6	6	4	15	8	53	1	20	1
TCGA-A8-A075-01	9	7	8	13	3	4	8	0	12	0	19	0	15	2
TCGA-AC-A23C-01	9	0	6	28	5	11	5	3	25	10	17	6	18	2
TCGA-AC-A23E-01	0	2	1	0	0	3	8	2	0	0	4	3	1	0
TCGA-AC-A23H-01	416	10	153	2159	30	50	0	223	3337	0	0	0	0	0
TCGA-AC-A2B8-01	3	6	0	37	0	1	9	5	41	0	6	6	14	0
TCGA-AC-A2BK-01	2	6	22	0	1	21	10	4	5	8	31	0	0	0
TCGA-AC-A2BM-01	0	0	5	0	1	4	3	1	3	0	0	4	0	5
TCGA-AC-A2FB-01	0	5	1	4	0	1	2	0	0	3	0	0	1	0
TCGA-AC-A2FF-01	1	0	0	1	0	0	1	0	2	0	0	0	6	0
TCGA-AC-A2FG-01	1	0	0	6	0	2	10	3	2	2	5	8	0	0
TCGA-AC-A2FK-01	0	0	0	0	0	0	0	0	0	0	0	1	2	0
TCGA-AC-A2FO-01	0	1	0	5	0	0	2	2	4	0	1	2	10	0
TCGA-AC-A2QH-01	0	0	1	3	1	7	6	0	2	0	4	3	0	0
TCGA-AC-A3HN-01	1	0	3	1	0	7	2	1	1	3	1	0	0	2
TCGA-AC-A3OD-01	1	7	0	7	2	8	2	6	0	0	6	0	0	0
TCGA-AC-A3QP-01	0	1	14	0	0	1	3	4	1	5	5	1	0	0
TCGA-AC-A3QQ-01	1	3	0	0	0	8	7	0	1	0	0	6	8	2
TCGA-AC-A3W5-01	12	14	7	19	4	17	6	7	46	5	66	0	0	8
TCGA-AC-A3YI-01	0	2	5	0	0	3	0	3	0	2	0	2	1	0
TCGA-AC-A3YJ-01	4	4	1	3	0	6	10	0	1	2	0	0	7	0
TCGA-AC-A4ZE-01	4	2	19	7	1	10	9	2	0	8	12	0	0	0
TCGA-AC-A5EH-01	4	7	26	10	11	7	14	5	17	10	47	16	23	8
TCGA-AC-A5EI-01	1	5	2	11	0	3	9	3	1	4	4	0	0	0
TCGA-AC-A5XS-01	72	5	0	204	0	0	4	45	292	0	11	0	82	0
TCGA-AC-A5XU-01	5	3	16	10	0	25	25	1	7	0	0	0	21	0
TCGA-AC-A62V-01	6	6	0	2	4	34	14	3	7	0	19	0	10	1
TCGA-AC-A62X-01	2	1	6	0	0	21	30	1	4	0	0	0	20	2
TCGA-AC-A62Y-01	1	5	0	12	1	7	14	2	19	5	14	4	2	3
TCGA-AC-A6IV-01	0	4	0	0	3	2	5	5	0	0	0	8	0	0
TCGA-AC-A6IW-01	15	20	7	24	0	22	15	3	72	3	33	11	0	6
TCGA-AC-A6IX-01	5	3	0	21	0	8	9	0	9	5	0	11	0	0
TCGA-AC-A6NO-01	4	0	8	1	0	4	13	1	1	6	0	5	0	0
TCGA-AC-A7VB-01	0	5	6	0	0	10	11	0	0	2	0	0	1	0
TCGA-AC-A7VC-01	1	1	3	0	0	3	7	3	0	2	3	3	0	0
TCGA-AC-A8OP-01	9	3	13	8	25	27	34	16	19	13	49	0	24	4
TCGA-AC-A8OQ-01	8	7	24	14	0	18	24	11	5	2	18	0	0	6
TCGA-AC-A8OR-01	0	2	8	1	0	8	3	0	0	0	4	5	0	1
TCGA-AC-A8OS-01	4	6	9	12	0	1	15	0	6	9	11	0	0	6
TCGA-AN-A0XL-01	3	3	4	0	3	1	11	2	0	2	0	2	9	0
TCGA-AN-A0XN-01	5	1	20	1	14	11	7	4	16	12	41	27	7	9
TCGA-AN-A0XO-01	4	0	0	6	0	3	2	6	2	6	8	6	0	0
TCGA-AN-A0XP-01	1	0	4	4	0	4	3	1	4	9	2	0	0	2
TCGA-AN-A0XR-01	1	5	11	4	0	2	7	0	3	0	5	0	0	0
TCGA-AN-A0XS-01	0	2	8	6	0	3	4	4	0	1	0	4	0	0
TCGA-AN-A0XT-01	0	4	0	0	0	3	9	1	1	0	0	3	1	0
TCGA-AN-A0XU-01	0	12	15	3	16	0	14	6	17	5	36	0	11	2
TCGA-AN-A0XV-01	3	0	2	0	2	10	2	4	6	4	5	6	0	0
TCGA-AN-A0XW-01	24	1	0	142	0	5	3	1	244	0	0	0	0	3
TCGA-AO-A03M-01	67	4	0	348	0	0	5	42	644	0	0	0	40	0
TCGA-AO-A03N-01	4	0	0	29	2	8	10	6	39	0	1	0	35	0
TCGA-AO-A03U-01	0	0	0	0	0	0	0	0	1	0	0	0	4	0
TCGA-AO-A03V-01	8	3	14	6	0	2	10	3	11	1	1	0	10	3
TCGA-AO-A0JG-01	3	0	1	1	3	0	0	0	0	2	3	2	4	2
TCGA-AO-A124-01	5	5	34	1	7	8	13	5	9	4	53	2	25	7
TCGA-AO-A125-01	0	6	0	3	5	5	10	5	2	1	7	0	1	0
TCGA-AO-A126-01	0	0	9	4	0	0	9	3	0	0	0	0	0	0
TCGA-AO-A128-01	11	17	0	14	129	277	290	30	16	386	0	0	0	40
TCGA-AO-A129-01	5	4	24	11	7	8	11	0	23	11	30	0	2	8
TCGA-AO-A12A-01	0	0	3	5	0	5	4	0	0	0	0	2	0	0
TCGA-AO-A12B-01	0	0	3	1	3	4	8	0	0	1	2	0	0	1
TCGA-AO-A12D-01	10	1	5	20	0	0	12	9	10	0	4	2	0	0
