Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F
TCGA-BR-A4IU-01	13	1	3	1	10	0
TCGA-BR-A4IV-01	2	8	5	18	1	6
TCGA-BR-A4IY-01	60	14	16	88	7	2
TCGA-BR-A4IZ-01	12	2	0	1	3	2
TCGA-BR-A4J1-01	21	14	1	37	10	4
TCGA-BR-A4J2-01	42	8	0	10	8	2
TCGA-BR-A4J4-01	63	0	5	33	0	0
TCGA-BR-A4J5-01	59	9	6	24	0	17
TCGA-BR-A4J6-01	2	2	5	28	0	2
TCGA-BR-A4J7-01	27	25	0	9	4	3
TCGA-BR-A4J8-01	41	18	3	33	14	6
TCGA-BR-A4J9-01	25	2	2	15	0	4
TCGA-BR-A4PD-01	9	8	23	58	9	86
TCGA-BR-A4PE-01	75	49	0	92	5	34
TCGA-BR-A4PF-01	29	25	7	50	3	5
TCGA-BR-A4QI-01	28	24	0	66	13	19
TCGA-BR-A4QL-01	1013	680	153	29	43	34
TCGA-BR-A4QM-01	27	24	7	35	12	18
TCGA-CD-5798-01	27	23	0	40	19	11
TCGA-CD-5799-01	20	16	0	14	6	1
TCGA-CD-5800-01	43	33	0	102	23	2
TCGA-CD-5801-01	48	0	63	153	79	202
TCGA-CD-5802-01	15	2	5	39	3	0
TCGA-CD-5803-01	7	10	0	25	2	1
TCGA-CD-5804-01	38	12	4	30	5	0
TCGA-CD-5813-01	50	23	26	94	18	12
TCGA-CD-8524-01	81	32	3	52	7	15
TCGA-CD-8525-01	13	6	0	55	20	5
TCGA-CD-8526-01	17	18	0	16	5	1
TCGA-CD-8527-01	109	76	23	63	13	24
TCGA-CD-8528-01	82	11	6	27	5	4
TCGA-CD-8529-01	16	27	36	387	32	7
TCGA-CD-8530-01	24	12	0	36	6	37
TCGA-CD-8531-01	58	61	60	121	9	16
TCGA-CD-8532-01	16	3	6	18	6	1
TCGA-CD-8533-01	85	16	0	44	8	2
TCGA-CD-8534-01	23	16	0	33	0	0
TCGA-CD-8535-01	32	26	4	126	33	113
TCGA-CD-8536-01	445	348	153	3	7	7
TCGA-CD-A486-01	28	31	0	43	10	0
TCGA-CD-A487-01	35	10	0	80	16	74
TCGA-CD-A489-01	17	8	6	45	11	9
TCGA-CD-A48A-01	56	16	19	78	34	88
TCGA-CD-A48C-01	54	21	0	79	33	85
TCGA-CD-A4MG-01	650	1119	770	1	27	31
TCGA-CD-A4MH-01	30	21	7	39	0	2
TCGA-CD-A4MI-01	353	383	256	44	54	21
TCGA-CD-A4MJ-01	271	241	175	20	0	13
TCGA-CG-4300-01	60	15	11	43	11	23
TCGA-CG-4301-01	17	3	3	40	1	0
TCGA-CG-4304-01	14	7	9	45	6	2
TCGA-CG-4305-01	459	422	311	70	8	41
TCGA-CG-4306-01	652	310	159	68	0	3
TCGA-CG-4436-01	73	11	0	49	2	85
TCGA-CG-4437-01	70	66	66	401	32	14
TCGA-CG-4438-01	42	11	17	93	5	3
TCGA-CG-4440-01	15	23	0	65	33	17
TCGA-CG-4441-01	52	5	4	23	21	30
TCGA-CG-4442-01	428	441	644	0	55	12
TCGA-CG-4443-01	5	13	10	88	0	1
TCGA-CG-4444-01	34	12	0	60	6	118
TCGA-CG-4449-01	9	21	10	48	18	5
TCGA-CG-4455-01	9	0	3	39	0	3
TCGA-CG-4460-01	1337	645	89	0	130	0
TCGA-CG-4462-01	47	8	0	15	13	14
TCGA-CG-4465-01	144	264	174	47	13	45
TCGA-CG-4466-01	39	13	0	69	18	109
TCGA-CG-4469-01	70	44	1	66	28	176
TCGA-CG-4474-01	52	19	1	24	11	0
TCGA-CG-4475-01	19	0	11	35	6	2
TCGA-CG-4476-01	27	12	12	86	8	1
TCGA-CG-4477-01	20	3	0	41	4	3
TCGA-CG-5716-01	12	0	4	3	5	0
TCGA-CG-5717-01	0	10	25	113	7	9
TCGA-CG-5718-01	23	11	4	58	9	2
TCGA-CG-5719-01	38	3	4	42	3	0
TCGA-CG-5720-01	33	8	8	49	0	5
TCGA-CG-5721-01	594	521	3748	0	101	0
TCGA-CG-5722-01	40	3	3	48	9	1
TCGA-CG-5723-01	561	733	473	16	63	27
TCGA-CG-5724-01	46	16	1	36	10	34
TCGA-CG-5725-01	13	4	0	22	9	2
TCGA-CG-5726-01	372	659	264	17	110	6
TCGA-CG-5727-01	64	15	0	82	38	4
TCGA-CG-5728-01	633	504	307	37	17	37
TCGA-CG-5730-01	51	25	0	104	22	0
TCGA-CG-5732-01	26	0	7	39	2	5
TCGA-CG-5733-01	425	363	268	44	66	27
TCGA-CG-5734-01	33	25	2	24	14	14
TCGA-D7-5577-01	36	8	2	64	20	14
TCGA-D7-5578-01	92	27	6	80	9	79
TCGA-D7-5579-01	18	13	10	66	31	36
TCGA-D7-6518-01	28	20	0	35	11	10
TCGA-D7-6519-01	15	0	5	38	9	0
TCGA-D7-6520-01	20	10	3	31	7	5
TCGA-D7-6521-01	27	8	0	34	19	0
TCGA-D7-6522-01	24	9	1	20	3	9
TCGA-D7-6524-01	61	5	2	31	25	0
TCGA-D7-6525-01	26	24	0	70	32	49
TCGA-D7-6526-01	46	16	4	116	20	66
TCGA-D7-6527-01	34	24	0	71	10	128
TCGA-D7-6528-01	21	37	5	144	34	181
TCGA-D7-6815-01	76	37	0	52	0	6
TCGA-D7-6817-01	32	20	11	31	0	11
TCGA-D7-6818-01	19	22	9	25	0	117
TCGA-D7-6820-01	25	5	10	78	1	2
TCGA-D7-6822-01	36	11	24	76	22	138
TCGA-D7-8570-01	49	18	0	79	3	5
TCGA-D7-8572-01	47	10	6	121	29	9
TCGA-D7-8573-01	42	12	9	27	7	8
TCGA-D7-8574-01	27	3	0	16	0	3
TCGA-D7-8575-01	22	0	2	22	11	0
TCGA-D7-8576-01	28	17	5	21	0	0
TCGA-D7-8578-01	36	21	0	8	2	0
TCGA-D7-8579-01	40	24	4	6	9	60
TCGA-D7-A4YT-01	21	29	27	249	25	13
TCGA-D7-A4YU-01	78	26	3	90	20	68
TCGA-D7-A4YV-01	493	394	66	5	21	21
TCGA-D7-A4YX-01	59	9	0	29	3	0
TCGA-D7-A4YY-01	164	180	67	45	19	75
TCGA-D7-A4Z0-01	23	25	0	0	1	317
TCGA-D7-A6ET-01	13	0	2	17	2	0
TCGA-D7-A6EV-01	73	30	5	58	11	27
TCGA-D7-A6EX-01	35	16	1	64	26	11
TCGA-D7-A6EY-01	456	495	460	17	0	133
TCGA-D7-A6EZ-01	13	35	29	202	12	23
TCGA-D7-A6F0-01	26	34	0	63	24	10
TCGA-D7-A6F2-01	41	4	7	35	2	1
TCGA-D7-A747-01	21	4	0	37	2	62
TCGA-D7-A748-01	21	14	0	3	6	7
TCGA-D7-A74A-01	47	0	0	135	13	0
TCGA-D7-A74B-01	14	0	6	14	5	3
TCGA-EQ-5647-01	17	7	2	63	14	7
TCGA-EQ-8122-01	54	33	6	104	19	12
TCGA-EQ-A4SO-01	8	17	27	139	7	7
TCGA-F1-6177-01	742	479	150	0	0	24
TCGA-F1-6874-01	400	302	165	78	31	15
TCGA-F1-6875-01	52	0	9	40	6	8
TCGA-F1-A448-01	280	232	138	0	0	18
TCGA-F1-A72C-01	23	14	0	17	0	7
TCGA-FP-7735-01	17	0	0	47	7	0
TCGA-FP-7829-01	82	44	1	112	41	26
TCGA-FP-7916-01	51	30	0	35	8	1
TCGA-FP-7998-01	22	11	0	35	10	3
TCGA-FP-8099-01	67	23	0	42	41	0
TCGA-FP-8209-01	0	1	0	0	0	0
TCGA-FP-8210-01	0	0	4	1	0	0
TCGA-FP-8211-01	0	13	15	74	9	5
TCGA-FP-8631-01	11	4	7	73	18	7
TCGA-FP-A4BE-01	888	522	193	0	0	38
TCGA-FP-A4BF-01	33	36	0	35	11	7
TCGA-FP-A8CX-01	36	3	7	44	12	12
TCGA-FP-A9TM-01	83	29	3	93	0	0
TCGA-HF-7131-01	6	1	2	85	0	21
TCGA-HF-7132-01	585	577	163	0	28	27
TCGA-HF-7133-01	26	20	2	39	0	2
TCGA-HF-7134-01	91	22	0	115	22	105
TCGA-HF-7136-01	22	28	0	36	6	4
TCGA-HF-A5NB-01	578	547	385	0	0	46
TCGA-HJ-7597-01	494	232	150	0	0	0
TCGA-HU-8238-01	47	17	0	70	17	51
TCGA-HU-8243-01	70	18	6	58	7	2
TCGA-HU-8244-01	110	2	0	45	0	8
TCGA-HU-8245-01	20	16	16	17	2	6
TCGA-HU-8249-01	69	36	0	52	16	2
TCGA-HU-8602-01	828	535	356	0	21	21
TCGA-HU-8604-01	82	39	0	58	37	42
TCGA-HU-8608-01	21	25	8	41	9	1
TCGA-HU-8610-01	18	15	0	15	15	6
TCGA-HU-A4G2-01	24	1	5	19	14	0
TCGA-HU-A4G3-01	55	12	1	36	12	10
TCGA-HU-A4G6-01	39	15	0	26	10	6
TCGA-HU-A4G8-01	730	500	351	17	11	12
TCGA-HU-A4G9-01	401	230	181	0	13	26
TCGA-HU-A4GC-01	66	37	0	32	16	19
TCGA-HU-A4GD-01	36	0	10	58	0	3
TCGA-HU-A4GF-01	34	43	5	44	16	27
TCGA-HU-A4GH-01	1	23	24	19	6	886
TCGA-HU-A4GJ-01	6	0	0	0	0	0
TCGA-HU-A4GN-01	505	497	209	49	14	25
TCGA-HU-A4GP-01	72	49	4	98	28	12
TCGA-HU-A4GQ-01	1083	628	278	0	0	41
TCGA-HU-A4GT-01	484	492	467	0	0	43
TCGA-HU-A4GU-01	29	1555	0	0	30	112
TCGA-HU-A4GX-01	652	420	231	0	26	0
TCGA-HU-A4GY-01	41	12	0	23	0	3
TCGA-HU-A4H0-01	82	13	23	81	10	7
TCGA-HU-A4H2-01	70	40	9	72	3	34
TCGA-HU-A4H3-01	365	343	192	42	6	35
TCGA-HU-A4H4-01	114	176	345	57	0	75
TCGA-HU-A4H5-01	31	29	36	204	15	13
TCGA-HU-A4H6-01	75	15	3	39	5	11
TCGA-HU-A4H8-01	667	555	24	23	0	19
TCGA-HU-A4HB-01	6	0	0	2	0	5
TCGA-HU-A4HD-01	38	19	20	114	21	14
TCGA-IN-7806-01	36	1	8	42	1	1
TCGA-IN-7808-01	42	26	0	31	18	14
TCGA-IN-8462-01	40	26	6	57	3	11
TCGA-IN-8663-01	48	25	0	77	4	74
TCGA-IN-A6RI-01	28	11	13	33	0	45
TCGA-IN-A6RJ-01	35	10	13	50	4	55
TCGA-IN-A6RL-01	0	39	110	232	125	58
TCGA-IN-A6RN-01	23	2	10	96	14	10
TCGA-IN-A6RO-01	60	15	0	205	54	28
TCGA-IN-A6RP-01	58	33	0	86	18	7
TCGA-IN-A6RR-01	52	19	7	75	7	37
TCGA-IN-A6RS-01	41	34	0	49	6	2
TCGA-IN-A7NR-01	21	20	0	17	8	47
TCGA-IN-A7NT-01	20	29	3	51	3	30
TCGA-IN-A7NU-01	32	12	10	32	6	25
TCGA-IN-AB1V-01	16	14	2	34	8	1
TCGA-IN-AB1X-01	37	4	6	51	18	25
TCGA-IP-7968-01	69	18	0	35	0	11
TCGA-KB-A6F5-01	31	13	1	32	4	2
TCGA-KB-A6F7-01	20	17	12	66	0	9
TCGA-KB-A93G-01	28	14	0	74	11	0
TCGA-KB-A93H-01	70	48	11	81	24	50
TCGA-KB-A93J-01	11	18	2	14	8	2
TCGA-MX-A5UG-01	16	14	0	16	10	0
TCGA-MX-A5UJ-01	788	545	158	3	9	31
TCGA-MX-A663-01	12	20	0	57	17	0
TCGA-MX-A666-01	22	5	2	83	20	9
TCGA-R5-A7O7-01	42	17	4	66	11	11
TCGA-R5-A7ZE-01	41	21	0	73	26	40
TCGA-R5-A7ZF-01	36	20	8	17	3	1
TCGA-R5-A7ZI-01	331	330	196	6	56	13
TCGA-R5-A7ZR-01	34	6	3	32	12	3
TCGA-R5-A804-01	37	4	0	38	4	10
TCGA-R5-A805-01	32	0	0	27	1	98
TCGA-RD-A7BS-01	25	6	2	29	8	1
TCGA-RD-A7BT-01	15	13	0	77	6	172
TCGA-RD-A7BW-01	33	0	10	38	8	1
TCGA-RD-A7C1-01	150	27	9	95	3	53
TCGA-RD-A8MV-01	14	22	0	21	18	10
TCGA-RD-A8MW-01	11	19	0	50	2	11
TCGA-RD-A8N0-01	0	2	0	0	0	0
TCGA-RD-A8N1-01	3	0	31	77	10	9
TCGA-RD-A8N2-01	0	1	0	1	0	0
TCGA-RD-A8N4-01	0	3	0	6	0	0
TCGA-RD-A8N5-01	20	1	0	12	7	3
TCGA-RD-A8N6-01	71	14	16	77	14	1
TCGA-RD-A8N9-01	65	13	1	45	19	14
TCGA-RD-A8NB-01	290	243	149	0	31	20
TCGA-SW-A7EA-01	214	201	158	67	7	40
TCGA-SW-A7EB-01	10	31	0	115	20	2
TCGA-VQ-A8DL-01	8	22	4	27	1	6
TCGA-VQ-A8DT-01	64	16	0	69	24	58
TCGA-VQ-A8DU-01	48	14	5	35	2	70
TCGA-VQ-A8DV-01	36	2	0	27	6	6
TCGA-VQ-A8DZ-01	14	13	10	53	7	10
TCGA-VQ-A8E0-01	22	5	8	63	16	9
TCGA-VQ-A8E2-01	40	28	6	43	0	30
TCGA-VQ-A8E3-01	274	228	247	24	0	26
TCGA-VQ-A8E7-01	59	34	0	27	10	10
TCGA-VQ-A8P2-01	2470	3374	693	1317	1081	0
TCGA-VQ-A8P3-01	35	14	7	9	1	295
TCGA-VQ-A8P5-01	44	63	0	71	11	73
TCGA-VQ-A8P8-01	60	25	0	41	0	4
TCGA-VQ-A8PB-01	449	248	150	4	38	0
TCGA-VQ-A8PC-01	22	17	15	41	8	57
TCGA-VQ-A8PD-01	44	26	0	18	5	11
TCGA-VQ-A8PE-01	52	6	1	84	2	8
TCGA-VQ-A8PF-01	38	16	0	38	16	27
TCGA-VQ-A8PH-01	21	16	37	147	2	18
TCGA-VQ-A8PJ-01	16	11	12	56	18	73
TCGA-VQ-A8PK-01	0	8	0	43	18	47
TCGA-VQ-A8PM-01	11	14	1	14	3	23
TCGA-VQ-A8PO-01	221	249	341	52	0	39
TCGA-VQ-A8PP-01	449	539	535	0	0	45
TCGA-VQ-A8PQ-01	8	0	3	6	0	0
TCGA-VQ-A8PS-01	14	5	2	31	6	1
TCGA-VQ-A8PT-01	416	628	260	101	24	4
TCGA-VQ-A8PU-01	27	5	17	103	3	1
TCGA-VQ-A8PX-01	110	218	322	0	2	38
TCGA-VQ-A8PY-01	18	22	6	32	19	17
TCGA-VQ-A8PZ-01	67	13	0	22	0	5
TCGA-VQ-A91A-01	46	31	8	55	7	10
TCGA-VQ-A91D-01	1040	1060	469	46	3	3
TCGA-VQ-A91E-01	254	214	325	25	9	33
TCGA-VQ-A91K-01	654	398	156	205	27	29
TCGA-VQ-A91N-01	33	34	0	60	14	14
TCGA-VQ-A91Q-01	26	7	4	89	0	11
TCGA-VQ-A91S-01	0	13	0	159	31	109
TCGA-VQ-A91U-01	68	34	0	64	17	6
TCGA-VQ-A91V-01	19	18	0	28	24	209
TCGA-VQ-A91W-01	17	4	0	20	2	6
TCGA-VQ-A91X-01	32	47	10	52	8	106
TCGA-VQ-A91Y-01	26	9	0	15	4	2
TCGA-VQ-A91Z-01	58	4	5	84	2	18
TCGA-VQ-A922-01	15	19	18	82	29	44
TCGA-VQ-A923-01	58	4	0	44	21	0
TCGA-VQ-A924-01	472	377	354	88	0	32
TCGA-VQ-A925-01	12	4	4	91	15	29
TCGA-VQ-A927-01	16	8	9	15	3	16
TCGA-VQ-A928-01	8	12	6	41	9	0
TCGA-VQ-A92D-01	32	18	20	72	17	4
TCGA-VQ-A94O-01	34	0	9	31	5	0
TCGA-VQ-A94P-01	19	2	0	12	1	66
TCGA-VQ-A94R-01	62	24	19	180	33	54
TCGA-VQ-A94T-01	23	21	0	37	19	0
TCGA-VQ-A94U-01	67	22	0	76	0	28
TCGA-VQ-AA64-01	0	23	17	230	15	24
TCGA-VQ-AA68-01	50	14	0	65	0	79
TCGA-VQ-AA69-01	33	20	0	28	0	0
TCGA-VQ-AA6A-01	45	5	7	31	7	27
TCGA-VQ-AA6B-01	31	28	0	37	1	3
TCGA-VQ-AA6D-01	0	656	83	66	37	68
TCGA-VQ-AA6F-01	7	16	1	23	15	0
TCGA-VQ-AA6G-01	68	19	6	34	12	27
TCGA-VQ-AA6I-01	26	35	0	44	11	10
TCGA-VQ-AA6J-01	37	26	0	43	0	70
TCGA-VQ-AA6K-01	28	13	5	41	5	0
TCGA-ZA-A8F6-01	14	4	0	32	8	0
TCGA-ZQ-A9CR-01	25	16	15	47	13	28
