Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H
TCGA-A7-A4SC-01	2	0	10	8	0	0	0	18
TCGA-A7-A4SD-01	1	1	29	4	12	7	5	3
TCGA-A7-A4SE-01	14	30	1	0	49	13	33	6
TCGA-A7-A56D-01	68	45	33	28	20	4	0	27
TCGA-A7-A5ZV-01	7	29	33	16	110	27	23	23
TCGA-A7-A5ZW-01	6	7	7	0	0	8	7	1
TCGA-A7-A5ZX-01	4	0	4	16	13	5	0	0
TCGA-A7-A6VV-01	2	8	15	1	8	3	25	2
TCGA-A7-A6VW-01	5	4	4	3	22	10	44	0
TCGA-A7-A6VX-01	31	11	2	9	43	15	43	23
TCGA-A7-A6VY-01	5	13	8	21	71	16	2	0
TCGA-A8-A075-01	18	11	7	2	18	0	28	16
TCGA-AC-A23C-01	36	22	12	5	11	21	0	38
TCGA-AC-A23E-01	0	0	10	3	5	0	0	6
TCGA-AC-A23H-01	2711	3206	0	180	0	0	0	281
TCGA-AC-A2B8-01	49	43	9	10	4	1	5	7
TCGA-AC-A2BK-01	0	5	29	5	44	16	0	11
TCGA-AC-A2BM-01	0	3	8	0	4	2	6	3
TCGA-AC-A2FB-01	5	0	3	0	1	3	5	0
TCGA-AC-A2FF-01	1	3	0	5	1	0	1	0
TCGA-AC-A2FG-01	7	1	6	7	0	2	16	0
TCGA-AC-A2FK-01	1	0	0	1	0	0	1	0
TCGA-AC-A2FO-01	7	4	1	9	3	0	0	3
TCGA-AC-A2QH-01	2	2	12	0	3	4	0	4
TCGA-AC-A3HN-01	2	2	7	0	5	4	2	0
TCGA-AC-A3OD-01	8	0	10	7	1	3	4	6
TCGA-AC-A3QP-01	0	0	0	8	1	5	19	2
TCGA-AC-A3QQ-01	1	1	14	0	2	0	10	8
TCGA-AC-A3W5-01	24	44	20	8	91	10	14	0
TCGA-AC-A3YI-01	0	0	3	7	0	4	0	4
TCGA-AC-A3YJ-01	5	1	13	0	0	2	10	7
TCGA-AC-A4ZE-01	9	0	14	0	13	11	22	5
TCGA-AC-A5EH-01	13	14	11	11	54	21	31	50
TCGA-AC-A5EI-01	11	0	10	4	2	4	12	0
TCGA-AC-A5XS-01	250	260	0	201	4	0	0	0
TCGA-AC-A5XU-01	14	5	48	12	4	6	0	24
TCGA-AC-A62V-01	4	6	46	0	22	8	0	20
TCGA-AC-A62X-01	1	3	48	0	0	5	0	30
TCGA-AC-A62Y-01	15	18	16	0	7	11	22	0
TCGA-AC-A6IV-01	0	0	3	11	0	1	12	0
TCGA-AC-A6IW-01	29	63	26	27	44	10	32	0
TCGA-AC-A6IX-01	26	7	12	0	3	10	13	0
TCGA-AC-A6NO-01	1	0	8	9	0	6	19	0
TCGA-AC-A7VB-01	0	0	16	0	0	5	10	4
TCGA-AC-A7VC-01	0	0	7	9	0	2	8	0
TCGA-AC-A8OP-01	9	15	47	37	52	35	0	49
TCGA-AC-A8OQ-01	18	4	27	15	5	3	65	0
TCGA-AC-A8OR-01	1	0	11	0	6	4	0	10
TCGA-AC-A8OS-01	15	5	9	0	10	9	31	0
TCGA-AN-A0XL-01	0	0	8	9	0	5	1	17
TCGA-AN-A0XN-01	2	14	7	14	47	26	32	33
TCGA-AN-A0XO-01	7	1	2	18	6	9	0	0
TCGA-AN-A0XP-01	5	4	6	0	3	9	0	7
TCGA-AN-A0XR-01	5	2	5	0	4	0	22	0
TCGA-AN-A0XS-01	8	0	5	1	2	1	15	0
TCGA-AN-A0XT-01	0	1	9	2	0	0	10	0
TCGA-AN-A0XU-01	5	16	7	0	23	5	43	38
TCGA-AN-A0XV-01	0	4	9	14	9	8	0	0
TCGA-AN-A0XW-01	178	238	3	0	0	0	4	0
TCGA-AO-A03M-01	426	608	0	116	0	0	0	0
TCGA-AO-A03N-01	39	39	13	29	0	5	0	9
TCGA-AO-A03U-01	0	2	0	1	0	0	0	2
TCGA-AO-A03V-01	6	7	3	28	0	2	6	20
TCGA-AO-A0JG-01	2	0	0	0	1	3	0	15
TCGA-AO-A124-01	2	7	15	19	74	14	3	44
TCGA-AO-A125-01	3	1	17	6	10	3	2	3
TCGA-AO-A126-01	4	0	5	0	0	0	16	0
TCGA-AO-A128-01	21	18	481	0	20	670	0	0
TCGA-AO-A129-01	14	22	9	0	32	18	30	19
TCGA-AO-A12A-01	6	0	10	0	0	1	0	2
TCGA-AO-A12B-01	1	0	11	0	7	2	2	0
TCGA-AO-A12D-01	22	7	7	31	5	0	0	1
TCGA-AO-A12E-01	2	0	13	5	5	0	8	0
TCGA-AO-A12F-01	0	0	19	0	11	4	0	6
TCGA-AO-A12G-01	4	4	11	1	0	4	18	0
TCGA-AO-A12H-01	0	0	6	7	0	2	15	0
TCGA-AO-A1KO-01	0	0	0	3	3	4	0	0
TCGA-AO-A1KR-01	7	8	10	0	37	8	19	0
TCGA-AO-A1KT-01	4	0	13	4	11	15	4	0
TCGA-AQ-A04H-01	3	5	44	0	2	8	6	13
TCGA-AQ-A0Y5-01	10	10	24	8	14	4	0	0
TCGA-AQ-A1H2-01	2	0	12	6	5	4	5	0
TCGA-AQ-A1H3-01	0	0	21	0	3	0	3	0
TCGA-AQ-A54O-01	4	0	9	0	7	2	0	3
TCGA-AQ-A7U7-01	36	30	11	6	0	6	7	0
TCGA-AR-A0TP-01	5	4	0	0	29	12	20	1
TCGA-AR-A0TQ-01	13	1	10	1	3	2	0	19
TCGA-AR-A0TR-01	1	0	11	13	7	10	0	0
TCGA-AR-A0TS-01	7	9	17	0	23	5	6	23
TCGA-AR-A0TT-01	11	6	18	5	13	10	12	0
TCGA-AR-A0TU-01	4	9	13	0	29	7	3	25
TCGA-AR-A0TV-01	4	3	15	3	2	1	50	1
TCGA-AR-A0TW-01	1	2	20	10	9	4	0	21
TCGA-AR-A0TX-01	169	179	0	59	0	0	0	0
TCGA-AR-A0TZ-01	11	15	13	13	0	2	0	13
TCGA-AR-A0U0-01	1	7	5	11	3	1	5	17
TCGA-AR-A0U1-01	0	14	2	8	36	21	0	28
TCGA-AR-A0U2-01	0	0	24	1	3	8	9	11
TCGA-AR-A0U3-01	0	0	12	10	0	4	0	14
TCGA-AR-A0U4-01	15	44	9	6	59	10	0	58
TCGA-AR-A1AH-01	3	8	13	0	14	25	0	57
TCGA-AR-A1AI-01	0	13	11	38	11	8	8	0
TCGA-AR-A1AJ-01	19	9	15	0	0	3	7	0
TCGA-AR-A1AK-01	16	21	14	13	0	1	0	17
TCGA-AR-A1AL-01	5	3	6	1	1	8	4	2
TCGA-AR-A1AN-01	0	4	14	7	3	2	1	0
TCGA-AR-A1AO-01	11	14	11	24	55	5	0	2
TCGA-AR-A1AP-01	3	5	18	20	0	2	0	3
TCGA-AR-A1AQ-01	2	2	11	1	18	7	0	0
TCGA-AR-A1AR-01	3	7	15	0	4	2	5	27
TCGA-AR-A1AS-01	14	2	7	3	7	6	0	2
TCGA-AR-A1AT-01	1	1	9	0	18	3	0	0
TCGA-AR-A1AU-01	1	1	9	4	7	4	0	0
TCGA-AR-A1AV-01	3	1	17	11	1	5	0	11
TCGA-AR-A1AW-01	2	1	9	0	4	8	11	6
TCGA-AR-A1AX-01	0	0	2	20	0	0	10	0
TCGA-AR-A1AY-01	8	5	15	8	7	8	8	13
TCGA-AR-A24H-01	8	21	13	0	47	4	10	49
TCGA-AR-A24K-01	0	0	5	5	11	4	9	0
TCGA-AR-A24L-01	1	6	3	0	23	4	9	7
TCGA-AR-A24M-01	1	0	5	0	0	9	0	10
TCGA-AR-A24N-01	7	0	17	0	4	5	5	9
TCGA-AR-A24O-01	0	1	5	0	0	0	16	0
TCGA-AR-A24P-01	0	0	5	10	2	2	0	0
TCGA-AR-A24Q-01	20	19	5	17	97	22	0	52
TCGA-AR-A24R-01	2	0	11	0	6	7	0	0
TCGA-AR-A24S-01	8	4	17	0	4	9	9	6
TCGA-AR-A24T-01	1	1	9	4	0	0	5	4
TCGA-AR-A24U-01	10	9	10	11	4	0	0	0
TCGA-AR-A24V-01	1	3	10	9	1	4	0	0
TCGA-AR-A24W-01	0	0	0	7	0	0	5	2
TCGA-AR-A24X-01	0	0	5	11	0	3	15	0
TCGA-AR-A24Z-01	5	3	12	0	11	0	24	1
TCGA-AR-A250-01	14	45	31	41	0	5	10	9
TCGA-AR-A251-01	7	32	7	0	82	14	29	34
TCGA-AR-A252-01	0	0	10	0	1	5	0	3
TCGA-AR-A254-01	3	1	13	13	0	0	6	6
TCGA-AR-A255-01	14	17	10	9	0	7	0	32
TCGA-AR-A256-01	15	14	5	25	101	15	27	22
TCGA-AR-A2LE-01	177	114	0	103	0	0	0	0
TCGA-AR-A2LH-01	23	14	2	30	0	2	0	0
TCGA-AR-A2LK-01	5	0	20	3	3	6	7	4
TCGA-AR-A2LL-01	0	0	13	3	0	0	14	7
TCGA-AR-A2LM-01	0	0	0	6	2	1	8	0
TCGA-AR-A2LN-01	15	3	4	28	0	4	0	0
TCGA-AR-A2LO-01	2	1	4	3	6	0	1	0
TCGA-AR-A2LQ-01	0	0	3	0	0	0	10	0
TCGA-AR-A2LR-01	2	1	13	4	7	1	24	18
TCGA-AR-A5QM-01	0	0	9	5	0	1	17	4
TCGA-AR-A5QN-01	6	0	19	8	0	7	4	5
TCGA-AR-A5QP-01	4	0	8	3	0	4	14	1
TCGA-AR-A5QQ-01	6	8	10	0	36	18	12	6
TCGA-B6-A0I1-01	5	1	14	8	5	0	47	0
TCGA-B6-A0IH-01	2	0	15	9	0	8	0	7
TCGA-B6-A0RH-01	10	6	7	2	3	0	17	0
TCGA-B6-A0RL-01	15	5	24	0	4	5	6	10
TCGA-B6-A0RM-01	7	0	12	0	0	4	12	1
TCGA-B6-A0RN-01	2	0	15	2	4	6	4	0
TCGA-B6-A0RO-01	2	1	0	14	8	7	11	0
TCGA-B6-A0RP-01	1	0	6	0	0	1	12	10
TCGA-B6-A0RQ-01	13	3	7	12	0	6	5	10
TCGA-B6-A0RT-01	1	17	6	6	22	3	5	12
TCGA-B6-A0RU-01	4	1	9	18	12	11	0	3
TCGA-B6-A0RV-01	31	23	8	0	0	0	5	0
TCGA-B6-A0WS-01	2	2	2	0	0	7	0	5
TCGA-B6-A0WT-01	0	0	6	10	0	6	0	0
TCGA-B6-A0WV-01	1	4	2	1	0	3	26	0
TCGA-B6-A0WW-01	9	4	11	2	6	4	0	11
TCGA-B6-A0WX-01	0	2	12	5	9	7	0	10
TCGA-B6-A0WY-01	5	2	9	4	7	8	0	0
TCGA-B6-A0WZ-01	51	21	3	7	8	1	0	4
TCGA-B6-A0X0-01	2	0	3	4	0	0	8	8
TCGA-B6-A0X1-01	2	13	0	27	27	14	9	0
TCGA-B6-A0X4-01	0	0	3	16	0	0	0	3
TCGA-B6-A0X5-01	2	1	0	20	0	8	0	17
TCGA-B6-A0X7-01	4	1	6	3	0	0	9	0
TCGA-B6-A1KN-01	3	2	12	0	0	9	0	46
TCGA-B6-A2IU-01	14	0	12	19	1	8	0	0
TCGA-B6-A401-01	0	1	9	4	1	1	12	0
TCGA-B6-A409-01	3	3	14	7	3	3	14	9
TCGA-B6-A40B-01	14	4	9	0	5	5	16	13
TCGA-B6-A40C-01	4	1	22	0	0	0	11	16
TCGA-BH-A0AU-01	1	2	7	0	0	1	5	7
TCGA-BH-A0AV-01	3	11	0	10	29	11	23	0
TCGA-BH-A0AY-01	5	1	9	13	0	0	5	13
TCGA-BH-A0AZ-01	13	8	1	0	13	6	5	24
TCGA-BH-A0B0-01	47	21	4	27	0	0	0	0
TCGA-BH-A0B3-01	2	1	6	0	5	0	0	4
TCGA-BH-A0B6-01	571	510	0	209	0	0	0	0
TCGA-BH-A0B7-01	2	6	11	15	8	0	0	0
TCGA-BH-A0B8-01	5	0	0	6	2	0	14	7
TCGA-BH-A0BA-01	5	3	6	0	4	4	7	0
TCGA-BH-A0BC-01	9	3	12	3	0	0	18	0
TCGA-BH-A0BF-01	1	7	8	0	5	4	8	0
TCGA-BH-A0BG-01	5	4	6	0	21	3	6	0
TCGA-BH-A0BJ-01	0	0	1	4	0	1	6	5
TCGA-BH-A0BL-01	0	3	14	3	24	0	4	21
TCGA-BH-A0BM-01	3	0	2	0	0	0	0	14
TCGA-BH-A0BO-01	0	4	4	8	0	11	4	0
TCGA-BH-A0BP-01	17	30	30	44	30	2	7	36
TCGA-BH-A0BQ-01	3	0	10	0	0	0	5	12
TCGA-BH-A0BS-01	1	0	3	0	3	1	15	0
TCGA-BH-A0BT-01	5	1	14	9	7	7	0	5
TCGA-BH-A0BV-01	3	1	2	5	0	0	13	0
TCGA-BH-A0BW-01	10	6	9	2	25	18	30	3
TCGA-BH-A0BZ-01	13	31	21	0	108	27	12	84
TCGA-BH-A0C0-01	4	1	4	6	19	12	0	2
TCGA-BH-A0C1-01	9	0	18	0	1	6	16	0
TCGA-BH-A0C3-01	0	0	2	2	1	5	8	0
TCGA-BH-A0C7-01	2	3	13	1	0	2	37	0
TCGA-BH-A0DD-01	4	3	17	5	2	6	0	0
TCGA-BH-A0DE-01	2	0	1	5	1	0	17	7
TCGA-BH-A0DG-01	4	8	0	22	0	7	1	5
TCGA-BH-A0DH-01	13	2	17	3	0	5	12	0
TCGA-BH-A0DI-01	12	12	14	0	13	2	0	9
TCGA-BH-A0DK-01	4	3	9	0	0	5	0	32
TCGA-BH-A0DL-01	14	5	21	0	5	10	0	10
TCGA-BH-A0DO-01	3	3	6	6	9	3	0	0
TCGA-BH-A0DP-01	4	0	2	2	8	1	2	0
TCGA-BH-A0DQ-01	1	2	10	0	0	3	17	2
TCGA-BH-A0DT-01	3	0	4	0	1	0	7	0
TCGA-BH-A0DV-01	3	0	0	0	2	0	10	0
TCGA-BH-A0DX-01	31	15	11	0	0	0	12	8
TCGA-BH-A0DZ-01	77	100	0	40	0	0	0	0
TCGA-BH-A0E0-01	0	1	12	6	5	0	0	0
TCGA-BH-A0E1-01	1	4	7	6	0	0	1	0
TCGA-BH-A0E9-01	2	0	13	0	8	3	0	2
TCGA-BH-A0EA-01	3	1	4	5	0	2	17	0
TCGA-BH-A0EI-01	1	0	9	3	0	4	3	4
TCGA-BH-A0H3-01	1	0	1	0	0	0	15	0
TCGA-BH-A0H5-01	64	57	0	44	0	0	0	4
TCGA-BH-A0H7-01	1	3	4	3	0	4	2	0
TCGA-BH-A0H9-01	4	0	1	1	8	3	6	0
TCGA-BH-A0HA-01	24	16	127	2	0	177	36	0
TCGA-BH-A0HI-01	6	1	9	1	0	0	7	11
TCGA-BH-A0HK-01	24	8	11	14	6	0	0	0
TCGA-BH-A0HN-01	4	0	11	11	4	0	4	0
TCGA-BH-A0HP-01	143	147	0	67	0	0	0	0
TCGA-BH-A0RX-01	3	1	27	11	4	3	0	0
TCGA-BH-A0W3-01	2	2	4	0	5	1	5	4
TCGA-BH-A0W4-01	5	2	4	17	4	4	3	0
TCGA-BH-A0W5-01	0	1	10	3	3	5	0	7
TCGA-BH-A0W7-01	118	119	1	10	0	6	7	0
TCGA-BH-A0WA-01	13	6	6	3	44	10	15	16
TCGA-BH-A18F-01	16	0	11	22	0	0	8	10
TCGA-BH-A18G-01	12	5	522	19	13	955	36	106
TCGA-BH-A18H-01	6	4	0	13	0	9	22	0
TCGA-BH-A18I-01	4	2	16	9	0	0	0	0
TCGA-BH-A18J-01	52	31	6	0	4	11	0	7
TCGA-BH-A18K-01	16	12	3	10	10	5	9	3
TCGA-BH-A18L-01	0	3	24	9	7	8	0	14
TCGA-BH-A18M-01	2	3	8	3	2	0	0	0
TCGA-BH-A18N-01	0	1	15	1	5	12	9	0
TCGA-BH-A18P-01	188	160	7	82	0	1	0	0
TCGA-BH-A18Q-01	2	7	0	5	36	3	43	11
TCGA-BH-A18R-01	4	2	0	7	17	3	9	0
TCGA-BH-A18S-01	0	3	2	6	5	10	0	11
TCGA-BH-A18T-01	6	11	7	5	49	10	14	0
TCGA-BH-A18U-01	55	30	25	0	13	12	37	6
TCGA-BH-A18V-01	26	66	0	18	82	12	0	46
TCGA-BH-A1EO-01	8	0	27	0	6	0	7	2
TCGA-BH-A1ET-01	1	0	9	0	4	6	0	13
TCGA-BH-A1EU-01	1	1	3	4	0	5	20	0
TCGA-BH-A1EV-01	29	32	17	33	12	6	0	0
TCGA-BH-A1EW-01	2	0	0	13	3	3	0	0
TCGA-BH-A1EX-01	0	0	8	14	7	6	0	0
TCGA-BH-A1EY-01	3	10	8	19	7	8	0	0
TCGA-BH-A1F0-01	0	16	5	29	10	3	7	25
TCGA-BH-A1F2-01	11	7	23	3	2	3	0	22
TCGA-BH-A1F5-01	4	0	11	8	2	0	12	7
TCGA-BH-A1F6-01	4	4	15	1	14	6	9	0
TCGA-BH-A1F8-01	83	49	15	11	0	0	0	34
TCGA-BH-A1FC-01	17	22	24	3	23	13	13	15
TCGA-BH-A1FE-01	4	0	3	5	0	1	1	12
TCGA-BH-A1FG-01	0	1	7	4	2	4	3	0
TCGA-BH-A1FH-01	3	1	9	6	3	0	11	0
TCGA-BH-A1FJ-01	3	0	12	2	0	0	28	0
TCGA-BH-A1FL-01	2	0	8	6	0	4	0	6
TCGA-BH-A1FM-01	10	8	17	19	8	0	0	0
TCGA-BH-A1FN-01	35	44	3	0	17	5	16	26
TCGA-BH-A1FR-01	0	1	5	2	7	2	0	0
TCGA-BH-A1FU-01	3	14	6	25	22	26	15	7
TCGA-BH-A201-01	2	0	1	5	0	11	0	8
TCGA-BH-A202-01	3	0	8	0	4	3	0	10
TCGA-BH-A203-01	13	12	36	15	4	6	13	0
TCGA-BH-A204-01	2	4	10	7	2	4	6	17
TCGA-BH-A208-01	18	21	10	6	6	0	21	0
TCGA-BH-A209-01	32	56	0	31	0	0	0	0
TCGA-BH-A28Q-01	2	2	13	0	4	2	1	2
TCGA-BH-A2L8-01	317	280	5	18	0	0	8	0
TCGA-BH-A42U-01	12	3	1	8	0	0	8	0
TCGA-BH-A42V-01	25	17	6	2	0	0	5	0
TCGA-BH-A5IZ-01	7	5	13	4	21	6	11	29
TCGA-BH-A5J0-01	40	12	12	28	0	7	0	3
TCGA-BH-A6R8-01	2	2	11	12	3	3	4	0
TCGA-BH-A6R9-01	0	0	4	7	14	0	0	0
TCGA-BH-A8FY-01	3	5	4	6	13	4	10	11
TCGA-BH-A8FZ-01	9	6	14	0	32	18	0	12
TCGA-BH-A8G0-01	0	0	6	7	0	4	0	0
TCGA-BH-AB28-01	7	0	17	0	7	9	1	2
TCGA-C8-A12K-01	14	50	9	0	57	13	18	12
TCGA-C8-A12L-01	3	5	8	3	31	0	35	4
TCGA-C8-A12M-01	0	0	20	26	17	10	9	0
TCGA-C8-A12N-01	1	4	10	0	2	4	0	6
TCGA-C8-A12O-01	2	1	21	10	0	0	13	2
TCGA-C8-A12P-01	54	57	20	30	12	11	0	18
TCGA-C8-A12Q-01	38	34	1	46	0	10	0	10
TCGA-C8-A12T-01	76	92	11	6	0	0	24	5
TCGA-C8-A12U-01	5	6	20	0	9	0	20	1
TCGA-C8-A12V-01	1	3	0	5	9	9	25	0
TCGA-C8-A12W-01	1	4	37	11	4	2	18	0
TCGA-C8-A12X-01	0	1	24	14	7	7	3	9
TCGA-C8-A12Y-01	2	1	22	0	0	16	0	5
TCGA-C8-A12Z-01	10	11	13	12	6	4	5	0
TCGA-C8-A130-01	3	4	25	11	0	8	3	0
TCGA-C8-A131-01	7	0	10	21	11	9	0	16
TCGA-C8-A132-01	9	23	6	3	5	0	38	0
TCGA-C8-A133-01	5	0	0	4	0	4	4	16
TCGA-C8-A134-01	0	7	8	0	44	11	4	43
TCGA-C8-A135-01	4	6	34	1	0	10	11	11
