Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H	SBS96I	SBS96J	SBS96K	SBS96L	SBS96M
TCGA-D3-A51N-06	27	30	3	0	12	0	9	1	1	0	12	0	24
TCGA-D3-A51R-06	371	283	48	0	148	1	10	99	0	0	8	0	0
TCGA-D3-A51T-06	575	583	44	4	229	1	14	152	0	0	3	9	0
TCGA-D3-A5GL-06	189	174	34	0	57	0	36	48	1	29	0	9	0
TCGA-D3-A5GN-06	295	205	0	19	89	7	8	39	0	0	7	0	0
TCGA-D3-A5GO-06	877	659	20	0	361	5	15	197	0	3	39	0	0
TCGA-D3-A5GR-06	119	95	30	0	49	4	8	13	1	6	11	0	16
TCGA-D3-A5GS-06	204	216	8	0	88	0	6	27	0	0	3	0	4
TCGA-D3-A5GT-01	0	0	2	2	1	4	8	2	0	2	4	1	0
TCGA-D3-A5GU-06	282	396	54	0	134	14	7	61	5	0	13	4	49
TCGA-D3-A8GB-06	486	592	9	6	211	0	3	150	6	0	0	1	0
TCGA-D3-A8GC-06	448	426	0	0	160	6	0	84	0	6	29	0	0
TCGA-D3-A8GD-06	19	28	1	7	13	0	12	16	0	10	24	2	0
TCGA-D3-A8GE-06	0	0	4	0	0	0	0	0	1	1	2	0	0
TCGA-D3-A8GI-06	2874	2022	0	0	1450	0	98	720	0	0	57	11	0
TCGA-D3-A8GJ-06	106	67	21	0	27	3	9	27	1	0	1	0	10
TCGA-D3-A8GK-06	308	236	58	0	118	4	5	43	3	7	0	2	14
TCGA-D3-A8GL-06	990	820	116	0	390	3	0	243	1	0	0	0	0
TCGA-D3-A8GM-06	1807	1293	92	101	667	304	335	275	0	308	13	29	20
TCGA-D3-A8GN-06	126	120	0	0	42	4	6	41	0	0	2	0	0
TCGA-D3-A8GO-06	302	259	15	0	108	1	11	70	0	12	22	0	0
TCGA-D3-A8GP-06	276	203	52	0	93	10	11	84	6	16	24	9	0
TCGA-D3-A8GQ-06	763	542	27	0	421	0	0	226	0	0	1	1	0
