Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H	SBS96I	SBS96J	SBS96K	SBS96L	SBS96M
TCGA-FR-A3YN-06	263	247	47	0	91	0	9	95	0	4	4	0	28
TCGA-FR-A3YO-06	450	371	33	0	158	4	10	151	3	9	0	0	0
TCGA-FR-A44A-06	126	125	25	0	45	6	18	27	3	0	3	0	42
TCGA-FR-A69P-06	108	97	1	0	43	2	8	38	0	0	0	0	8
TCGA-FR-A726-01	3530	4235	159	0	1493	0	0	685	9	0	35	0	0
TCGA-FR-A728-01	186	175	19	1	89	0	0	41	0	0	21	0	8
TCGA-FR-A729-06	426	391	0	0	209	0	0	134	0	0	30	14	0
TCGA-FR-A7U8-06	1	4	0	1	1	16	7	2	3	0	9	0	0
TCGA-FR-A7U9-06	949	769	53	0	398	0	31	261	6	0	0	13	0
TCGA-FR-A7UA-06	103	68	0	3	47	2	1	11	1	0	5	0	0
TCGA-FR-A8YC-06	1485	1298	194	0	650	0	40	393	1	33	0	6	0
TCGA-FR-A8YD-06	13	11	0	19	6	2	6	2	11	12	35	4	11
TCGA-FR-A8YE-06	172	149	10	0	78	0	0	39	0	6	14	3	0
TCGA-FS-A1YW-06	76	61	5	0	33	6	12	22	0	0	4	0	0
TCGA-FS-A1YX-06	3	8	5	5	2	5	0	2	0	0	0	0	0
TCGA-FS-A1YY-06	107	80	14	0	22	5	12	10	2	0	0	0	22
TCGA-FS-A1Z0-06	96	114	13	0	59	0	19	32	0	5	9	4	0
TCGA-FS-A1Z3-06	486	441	75	0	203	0	6	170	0	2	0	7	0
TCGA-FS-A1Z4-06	20	10	0	3	4	3	1	0	0	6	4	2	0
TCGA-FS-A1Z7-06	91	84	0	0	36	0	20	13	0	2	4	0	0
TCGA-FS-A1ZA-06	543	483	102	0	260	0	17	195	3	0	0	4	17
TCGA-FS-A1ZB-06	118	104	14	2	38	2	0	37	1	0	0	0	0
TCGA-FS-A1ZC-06	351	306	23	0	136	0	4	98	1	0	54	5	0
TCGA-FS-A1ZD-06	111	117	6	1	39	1	11	21	0	6	1	3	24
TCGA-FS-A1ZE-06	51	30	19	0	27	0	17	17	1	0	0	0	28
TCGA-FS-A1ZF-06	75	83	26	0	34	7	4	27	0	10	5	0	8
TCGA-FS-A1ZG-06	0	0	6	0	1	13	7	0	6	5	0	2	5
TCGA-FS-A1ZH-06	1	11	8	2	2	3	7	8	1	1	0	0	0
TCGA-FS-A1ZJ-06	6	2	13	0	8	14	10	0	1	1	20	0	8
TCGA-FS-A1ZK-06	710	1021	16	0	212	0	0	157	18	0	67	11	0
TCGA-FS-A1ZM-06	105	109	8	17	29	0	15	32	4	2	6	4	0
TCGA-FS-A1ZN-01	51	48	0	3	17	6	4	3	0	4	0	1	0
TCGA-FS-A1ZP-06	204	147	17	1	107	0	11	91	2	0	0	0	0
TCGA-FS-A1ZQ-06	275	182	16	0	111	0	14	49	0	0	0	15	21
TCGA-FS-A1ZR-06	70	62	1	4	18	2	0	26	0	2	2	0	0
TCGA-FS-A1ZS-06	125	116	20	0	49	10	18	27	3	0	16	0	0
TCGA-FS-A1ZT-06	99	63	8	0	25	8	2	20	2	1	14	0	0
TCGA-FS-A1ZU-06	4	0	7	2	2	15	7	10	2	0	2	1	0
TCGA-FS-A1ZW-06	273	291	43	0	147	0	19	113	0	0	3	1	18
TCGA-FS-A1ZY-06	1	13	0	8	4	6	3	2	0	0	3	2	0
TCGA-FS-A1ZZ-06	866	581	40	0	336	0	0	302	0	0	19	3	0
TCGA-FS-A4F0-06	247	293	35	0	85	0	20	49	2	0	17	0	22
TCGA-FS-A4F4-06	6	3	3	5	7	5	7	4	4	0	4	2	6
TCGA-FS-A4F5-06	396	344	4	0	118	0	0	148	0	0	15	0	0
TCGA-FS-A4F8-06	81	67	14	0	26	5	8	22	0	0	5	6	1
TCGA-FS-A4F9-06	220	196	11	0	90	7	0	50	0	9	7	0	0
TCGA-FS-A4FB-06	74	95	0	2	32	0	3	34	3	5	2	0	0
TCGA-FS-A4FC-06	349	325	41	0	143	0	6	114	0	0	21	0	0
TCGA-FS-A4FD-06	233	189	2	3	113	3	0	62	1	1	0	1	0
TCGA-FW-A3I3-06	6	0	0	7	3	15	20	1	4	4	8	5	0
TCGA-FW-A3R5-06	7532	10812	0	0	4804	0	0	4321	0	0	0	0	0
TCGA-FW-A3TU-06	321	398	57	8	129	0	55	83	5	0	17	0	7
TCGA-FW-A3TV-06	136	142	21	0	85	1	9	55	0	0	0	1	8
TCGA-FW-A5DX-01	89	79	25	1	28	5	11	13	0	0	0	3	13
TCGA-FW-A5DY-06	101	75	0	1	30	0	11	22	1	0	0	0	0
TCGA-GF-A2C7-01	33	42	0	7	11	2	0	3	0	3	2	0	0
TCGA-GF-A3OT-06	229	299	53	0	96	1	13	90	3	0	0	0	0
TCGA-GF-A4EO-06	103	110	26	0	38	0	5	22	0	0	0	0	42
TCGA-GF-A6C8-06	173	177	31	0	62	0	16	55	0	13	0	0	0
TCGA-GF-A6C9-06	1523	1068	80	0	685	0	2	459	0	0	37	0	0
TCGA-GF-A769-01	57	71	22	2	24	0	14	21	1	0	0	1	2
TCGA-GN-A262-06	152	227	10	10	38	0	9	39	1	0	9	0	0
TCGA-GN-A263-01	215	237	0	1	89	0	0	46	3	0	8	4	0
TCGA-GN-A264-06	2	5	4	7	9	4	4	7	5	5	2	4	3
TCGA-GN-A265-06	106	103	31	0	15	0	0	32	1	4	2	5	11
TCGA-GN-A266-06	1949	1599	112	0	1004	0	54	619	10	0	0	0	0
TCGA-GN-A267-06	187	223	10	0	74	4	29	42	4	0	3	4	20
TCGA-GN-A268-06	163	125	17	1	78	5	15	32	1	14	0	0	0
TCGA-GN-A269-01	364	316	25	0	144	0	0	74	0	0	13	2	60
TCGA-GN-A26A-06	154	193	1	0	42	1	11	34	1	0	12	3	0
TCGA-GN-A26C-01	945	765	82	0	419	0	28	252	5	0	11	0	0
TCGA-GN-A26D-06	8	0	8	10	0	0	10	2	4	7	9	0	0
TCGA-GN-A4U3-06	142	169	27	0	57	0	3	49	1	0	0	0	13
TCGA-GN-A4U4-06	381	327	19	2	130	0	1	85	5	16	7	2	0
TCGA-GN-A4U5-01	166	195	16	3	27	0	22	20	2	0	1	1	0
TCGA-GN-A4U7-06	87	117	17	2	49	0	20	15	0	0	0	2	38
TCGA-GN-A4U8-06	202	183	0	11	89	0	8	32	2	0	14	5	0
TCGA-GN-A4U9-06	3	0	6	6	4	14	3	3	0	11	14	13	0
TCGA-GN-A8LK-06	1041	994	62	0	361	11	14	244	6	32	15	12	0
TCGA-GN-A8LL-06	4	9	2	4	6	8	0	0	1	9	26	1	0
TCGA-GN-A8LN-01	119	105	6	6	49	2	0	58	9	0	3	3	0
TCGA-GN-A9SD-06	55	56	15	10	37	0	8	16	0	0	7	0	0
TCGA-HR-A2OG-06	86	81	15	0	24	0	22	19	0	1	0	3	3
TCGA-HR-A2OH-06	44	59	0	0	15	2	2	24	0	6	3	2	0
TCGA-HR-A5NC-01	16	31	1	9	9	6	15	0	0	5	0	0	1
TCGA-IH-A3EA-01	862	603	31	0	309	21	0	152	13	5	19	0	0
TCGA-LH-A9QB-06	118	127	9	12	37	0	0	50	2	0	0	0	4
TCGA-OD-A75X-06	589	451	6	0	173	16	20	136	3	42	19	0	0
TCGA-QB-A6FS-06	646	561	0	0	221	0	13	162	0	0	0	1	0
TCGA-QB-AA9O-06	687	660	108	0	291	0	46	229	5	9	0	21	40
TCGA-RP-A690-06	2	0	0	0	0	0	8	0	0	1	7	2	0
TCGA-RP-A693-06	366	450	35	2	113	0	20	86	3	4	6	6	0
TCGA-RP-A694-06	307	323	40	0	165	0	3	123	2	0	7	5	0
TCGA-RP-A695-06	438	419	38	0	162	2	0	84	0	3	28	3	8
TCGA-RP-A6K9-06	0	4	7	10	0	10	10	2	3	6	11	1	4
TCGA-W3-A824-06	697	698	0	18	275	68	96	162	2	15	0	0	0
TCGA-W3-A825-06	565	476	46	0	251	3	2	186	8	0	11	6	0
TCGA-W3-A828-06	580	714	147	0	160	0	22	47	3	0	8	12	158
TCGA-W3-AA1O-06	394	369	13	0	163	0	29	80	0	0	0	0	0
TCGA-W3-AA1Q-06	517	361	0	0	175	0	23	158	3	6	26	0	0
TCGA-W3-AA1R-06	840	764	129	0	354	7	6	257	4	15	15	0	0
TCGA-W3-AA1V-06	2650	2474	326	0	1195	0	52	740	8	0	23	21	0
TCGA-W3-AA1W-06	367	276	22	5	161	1	27	100	0	0	0	0	0
TCGA-W3-AA21-06	262	191	32	4	110	8	14	78	0	1	3	0	0
TCGA-WE-A8JZ-06	100	74	9	14	38	7	8	8	1	0	9	0	13
TCGA-WE-A8K1-06	152	117	29	6	60	0	13	74	1	8	0	0	0
TCGA-WE-A8K4-01	413	391	67	0	140	0	15	113	1	10	3	6	0
TCGA-WE-A8K5-06	565	526	0	0	248	4	26	192	13	0	16	0	0
TCGA-WE-A8K6-06	114	121	25	0	39	0	6	34	0	0	0	0	27
TCGA-WE-A8ZM-06	23	11	1	0	5	7	0	8	1	12	32	3	0
TCGA-WE-A8ZN-06	74	77	11	1	27	0	11	18	0	0	6	0	0
TCGA-WE-A8ZO-06	194	130	39	0	49	1	6	65	2	0	0	0	1
TCGA-WE-A8ZQ-06	62	72	3	22	26	12	13	19	1	1	11	3	5
TCGA-WE-A8ZR-06	5	0	5	5	4	6	3	8	0	0	0	0	0
TCGA-WE-A8ZT-06	234	230	0	5	73	0	0	52	9	0	25	0	0
TCGA-WE-A8ZX-06	316	226	5	0	162	1	0	64	5	0	21	0	0
TCGA-WE-A8ZY-06	115	95	25	5	40	1	7	28	0	6	15	3	6
TCGA-WE-AA9Y-06	35	35	7	3	9	2	5	5	0	0	0	3	0
TCGA-WE-AAA0-06	718	759	48	3	246	0	0	165	3	0	39	1	0
TCGA-WE-AAA3-06	180	151	0	0	97	3	0	76	2	0	19	2	0
TCGA-WE-AAA4-06	98	93	11	0	42	4	0	46	1	5	6	6	0
TCGA-XV-A9VZ-01	1	2	2	0	1	2	2	0	3	0	5	0	0
TCGA-XV-A9W2-01	1	4	0	7	10	13	1	0	5	2	11	0	2
TCGA-XV-A9W5-01	33	32	0	14	22	2	3	22	0	0	7	0	0
TCGA-XV-AAZV-01	64	41	0	6	18	5	10	15	0	0	0	0	0
TCGA-XV-AAZW-01	60	52	6	8	27	6	8	22	6	0	11	2	6
TCGA-XV-AAZY-01	90	75	0	0	51	0	0	16	0	0	7	0	0
TCGA-YD-A89C-06	888	811	55	0	393	8	5	223	1	0	17	0	4
TCGA-YD-A9TA-06	1804	1447	0	0	763	0	106	392	37	0	71	16	0
TCGA-YD-A9TB-06	159	114	24	0	92	3	9	52	8	0	0	7	0
TCGA-YG-AA3N-01	1080	931	72	0	460	0	2	213	1	0	0	0	37
TCGA-YG-AA3O-06	606	476	28	0	206	5	29	125	19	8	17	8	0
TCGA-YG-AA3P-06	2	15	11	18	2	7	9	3	1	12	8	10	0
TCGA-Z2-A8RT-06	1710	1266	37	0	687	0	0	299	2	0	42	32	0
TCGA-Z2-AA3S-06	118	82	20	0	26	0	8	28	1	2	8	0	0
TCGA-Z2-AA3V-06	222	195	15	0	84	0	20	50	5	2	0	0	0
TCGA-3C-AAAU-01	0	3	0	0	3	15	4	2	2	2	7	0	7
TCGA-3C-AALI-01	37	0	31	20	221	5	42	77	375	0	0	0	0
TCGA-3C-AALJ-01	5	5	19	1	0	7	9	3	11	2	4	0	0
TCGA-3C-AALK-01	3	2	0	3	5	4	21	0	6	5	8	0	7
TCGA-4H-AAAK-01	0	1	8	0	0	6	5	7	0	4	2	0	0
TCGA-5L-AAT0-01	43	7	15	0	87	13	2	24	77	0	6	0	5
TCGA-5L-AAT1-01	157	22	55	24	716	7	39	137	805	0	0	0	24
TCGA-5T-A9QA-01	4	4	1	4	1	5	28	0	0	5	1	0	0
TCGA-A1-A0SB-01	0	0	0	0	0	2	5	1	0	4	4	0	0
TCGA-A1-A0SD-01	0	2	7	0	1	2	17	2	1	2	6	0	0
TCGA-A1-A0SE-01	4	1	13	0	4	4	0	4	1	3	0	0	2
TCGA-A1-A0SF-01	8	0	2	0	29	11	0	1	7	0	0	2	4
TCGA-A1-A0SG-01	1	1	4	0	1	3	10	7	1	2	5	0	0
TCGA-A1-A0SH-01	15	5	2	9	35	10	1	0	38	0	14	0	9
TCGA-A1-A0SI-01	16	9	0	7	77	2	9	15	142	1	0	0	0
TCGA-A1-A0SJ-01	1	0	9	0	4	12	6	0	5	0	0	3	0
TCGA-A1-A0SK-01	3	0	5	7	1	3	22	2	3	0	30	0	8
TCGA-A1-A0SM-01	1	0	5	0	0	5	4	8	0	3	4	0	2
TCGA-A1-A0SN-01	4	6	0	0	5	10	6	10	18	0	15	2	0
TCGA-A1-A0SO-01	4	14	54	57	10	8	20	6	20	0	108	8	44
TCGA-A1-A0SP-01	10	3	0	8	1	14	7	0	1	2	23	0	1
TCGA-A2-A04N-01	3	4	3	4	4	3	14	8	1	0	8	1	0
TCGA-A2-A04R-01	1	6	13	16	2	9	4	4	9	0	22	4	12
TCGA-A2-A04U-01	3	0	7	4	0	4	16	5	4	2	17	4	1
TCGA-A2-A04W-01	14	6	8	3	38	13	5	21	72	5	1	1	0
TCGA-A2-A0CK-01	1	0	1	0	4	6	12	0	0	0	2	0	1
TCGA-A2-A0CL-01	8	0	0	0	59	8	28	12	83	0	0	2	0
TCGA-A2-A0CR-01	21	0	0	0	85	1	10	4	87	2	0	0	0
TCGA-A2-A0CS-01	0	0	11	0	1	14	9	2	0	0	10	1	0
TCGA-A2-A0CV-01	0	2	4	0	0	10	0	5	2	0	1	0	0
TCGA-A2-A0CW-01	7	0	9	5	15	2	19	4	13	0	9	1	0
TCGA-A2-A0D3-01	1	1	5	0	1	9	14	1	0	0	0	0	0
TCGA-A2-A0EN-01	3	4	2	0	1	1	12	3	0	4	9	0	0
TCGA-A2-A0EP-01	1	1	1	1	1	0	1	0	4	3	0	1	2
TCGA-A2-A0ES-01	3	1	1	0	0	2	3	1	0	1	7	0	0
TCGA-A2-A0EW-01	0	0	1	1	0	1	8	1	1	4	3	0	0
TCGA-A2-A0ST-01	0	2	5	2	2	3	6	1	3	2	0	0	2
TCGA-A2-A0SU-01	1	6	3	0	1	10	0	0	2	1	11	0	0
TCGA-A2-A0SX-01	6	0	2	1	3	12	0	0	4	0	1	3	9
TCGA-A2-A0SY-01	19	4	0	0	41	1	18	15	77	1	1	0	0
TCGA-A2-A0T0-01	8	0	18	26	7	13	5	4	17	25	84	7	3
TCGA-A2-A0T1-01	1	2	2	0	0	4	9	4	0	7	1	2	0
TCGA-A2-A0T3-01	1	0	15	3	1	6	11	2	2	0	3	0	0
TCGA-A2-A0T4-01	0	2	0	3	4	9	4	0	6	2	11	0	0
TCGA-A2-A0T5-01	0	0	0	0	1	3	5	1	0	0	2	1	0
TCGA-A2-A0T6-01	1	0	0	0	3	8	11	1	0	0	4	0	0
TCGA-A2-A0T7-01	0	2	0	0	3	2	11	3	0	1	5	2	0
TCGA-A2-A0YC-01	1	0	1	5	4	4	7	0	2	1	7	0	0
TCGA-A2-A0YD-01	8	2	0	2	22	4	11	16	22	0	0	0	0
TCGA-A2-A0YE-01	3	2	9	3	6	10	7	1	1	0	0	0	1
TCGA-A2-A0YF-01	3	0	9	0	1	5	5	0	0	0	4	0	12
TCGA-A2-A0YG-01	5	4	12	3	7	5	20	3	1	6	12	0	0
TCGA-A2-A0YH-01	5	6	8	0	15	6	12	5	31	0	11	0	1
TCGA-A2-A0YI-01	3	0	8	1	0	2	1	1	1	0	1	0	0
TCGA-A2-A0YJ-01	0	3	2	4	1	12	21	5	6	4	32	7	1
TCGA-A2-A0YK-01	30	0	0	0	164	1	10	19	251	0	0	0	3
TCGA-A2-A0YL-01	8	3	0	0	12	2	3	0	13	1	1	0	0
TCGA-A2-A0YM-01	2	1	14	2	15	15	21	8	23	3	5	0	0
TCGA-A2-A0YT-01	7	0	0	2	13	18	3	13	2	0	23	0	0
TCGA-A2-A1FV-01	6	1	3	0	7	7	13	0	0	4	9	0	0
TCGA-A2-A1FW-01	12	0	11	3	0	10	25	4	7	4	11	4	4
TCGA-A2-A1FX-01	3	2	0	2	0	5	3	2	0	0	4	0	7
TCGA-A2-A1FZ-01	0	0	3	0	1	3	9	0	1	6	4	0	2
TCGA-A2-A1G0-01	1	4	2	0	2	0	3	2	0	0	9	0	0
TCGA-A2-A1G1-01	1	3	3	5	3	0	9	0	0	2	13	0	0
TCGA-A2-A1G6-01	0	0	0	0	0	3	0	0	1	0	6	0	0
TCGA-A2-A259-01	3	4	0	0	2	1	4	2	2	0	6	0	5
TCGA-A2-A25A-01	11	0	0	20	39	5	11	0	34	0	0	0	9
TCGA-A2-A25B-01	7	3	15	14	4	12	3	5	5	0	35	0	25
TCGA-A2-A25C-01	4	0	8	4	1	0	2	0	1	10	4	0	5
TCGA-A2-A25D-01	3	7	10	5	4	5	8	1	5	4	7	5	0
TCGA-A2-A25E-01	0	1	0	1	5	3	4	2	2	7	29	1	6
TCGA-A2-A25F-01	0	0	5	1	0	0	0	0	0	0	0	0	0
TCGA-A2-A3KD-01	1	3	0	0	2	1	8	0	0	3	0	0	0
TCGA-A2-A3XT-01	1	7	5	6	2	1	8	0	30	10	41	5	6
TCGA-A2-A3XU-01	0	0	3	1	1	4	13	0	0	4	5	0	0
TCGA-A2-A3XV-01	3	5	9	0	0	11	0	4	0	6	8	2	0
TCGA-A2-A3XW-01	1	0	0	0	1	1	3	3	0	3	5	0	0
TCGA-A2-A3XX-01	1	1	4	0	3	11	4	5	1	0	22	0	0
TCGA-A2-A3XZ-01	4	0	0	0	6	3	10	6	15	1	7	0	0
TCGA-A2-A3Y0-01	5	12	6	7	7	18	7	3	45	27	93	6	7
TCGA-A2-A4S1-01	1	0	15	8	4	12	13	0	4	4	21	2	14
TCGA-A2-A4S2-01	1	2	8	0	7	6	6	0	0	5	8	0	0
TCGA-A2-A4S3-01	2	2	6	9	7	10	20	2	11	9	16	0	13
TCGA-A7-A0CE-01	6	2	4	5	4	8	1	0	3	6	21	1	0
TCGA-A7-A0CH-01	1	6	2	2	0	0	3	1	0	1	1	0	0
TCGA-A7-A0D9-01	3	0	0	0	2	2	1	0	2	0	0	1	1
TCGA-A7-A0DA-01	4	2	49	4	7	8	8	6	11	2	77	9	0
TCGA-A7-A0DB-01	1	0	1	0	10	5	11	1	10	1	6	4	3
TCGA-A7-A13D-01	7	4	6	2	4	8	15	2	15	6	70	1	0
TCGA-A7-A13E-01	4	0	0	3	0	19	34	1	6	0	13	0	0
TCGA-A7-A13F-01	1	2	3	0	0	8	14	7	5	4	1	0	0
TCGA-A7-A13G-01	0	0	0	0	7	8	2	0	2	0	9	1	3
TCGA-A7-A26E-01	4	0	5	0	15	5	17	10	3	1	5	2	0
TCGA-A7-A26F-01	0	0	0	0	3	0	17	4	1	0	9	0	12
TCGA-A7-A26G-01	4	1	3	16	7	6	2	1	9	1	12	0	6
TCGA-A7-A26H-01	9	1	6	4	29	5	35	2	52	0	0	0	7
TCGA-A7-A26I-01	4	1	0	8	5	1	7	2	3	4	10	1	0
TCGA-A7-A26J-01	1	0	1	1	1	0	8	0	3	0	12	0	15
TCGA-A7-A2KD-01	4	4	3	0	6	10	15	2	3	1	6	1	0
TCGA-A7-A3RF-01	0	1	5	3	3	3	8	0	0	4	13	0	0
TCGA-A7-A425-01	3	0	6	0	0	5	13	0	0	0	6	0	0
TCGA-A7-A4SC-01	2	1	17	0	1	7	4	4	0	0	0	2	0
TCGA-A7-A4SD-01	0	0	6	2	1	8	27	4	2	4	4	4	0
TCGA-A7-A4SE-01	5	4	4	11	11	3	5	0	32	10	50	3	8
TCGA-A7-A56D-01	13	5	11	0	54	22	19	13	50	0	21	0	17
TCGA-A7-A5ZV-01	6	12	27	22	5	16	29	7	32	15	81	16	0
TCGA-A7-A5ZW-01	0	0	1	0	5	4	6	4	7	7	2	0	0
TCGA-A7-A5ZX-01	3	0	5	0	4	3	4	5	0	3	8	4	3
TCGA-A7-A6VV-01	2	11	0	6	0	4	19	0	9	3	10	0	0
TCGA-A7-A6VW-01	5	7	6	8	3	0	15	2	5	12	26	3	0
TCGA-A7-A6VX-01	10	9	26	11	25	7	8	0	15	8	39	9	10
TCGA-A7-A6VY-01	4	8	0	10	6	7	6	5	15	10	55	1	9
TCGA-A8-A075-01	10	7	7	7	14	5	9	0	13	0	20	3	5
TCGA-AC-A23C-01	9	0	5	7	31	13	5	3	25	10	19	2	16
TCGA-AC-A23E-01	0	1	2	0	0	2	9	2	0	0	4	0	4
TCGA-AC-A23H-01	420	0	7	97	2207	59	0	189	3399	0	0	0	0
TCGA-AC-A2B8-01	2	7	0	0	40	0	12	4	45	0	8	0	10
TCGA-AC-A2BK-01	2	5	18	5	0	24	9	4	6	7	30	0	0
TCGA-AC-A2BM-01	0	0	8	1	0	5	3	1	3	0	0	5	0
TCGA-AC-A2FB-01	0	5	1	0	4	2	2	0	0	3	0	0	0
TCGA-AC-A2FF-01	1	0	0	0	1	0	1	0	3	0	1	0	4
TCGA-AC-A2FG-01	1	0	3	0	7	2	11	3	2	3	7	0	0
TCGA-AC-A2FK-01	0	0	1	0	0	0	0	0	0	0	0	0	2
TCGA-AC-A2FO-01	0	1	0	0	6	0	3	2	4	0	3	0	8
TCGA-AC-A2QH-01	0	0	0	1	2	9	6	0	2	0	6	0	1
TCGA-AC-A3HN-01	1	0	2	0	1	9	1	1	1	2	2	2	0
TCGA-AC-A3OD-01	1	7	0	1	7	9	1	6	0	0	7	0	0
TCGA-AC-A3QP-01	0	0	16	0	0	1	3	4	1	5	5	0	0
TCGA-AC-A3QQ-01	1	4	2	0	0	8	8	0	2	0	0	2	9
TCGA-AC-A3W5-01	13	15	0	5	18	19	3	6	47	3	75	7	0
TCGA-AC-A3YI-01	0	1	9	0	0	3	0	3	0	2	0	0	0
TCGA-AC-A3YJ-01	4	5	1	0	3	7	10	0	2	2	1	0	3
TCGA-AC-A4ZE-01	4	2	12	3	7	12	9	2	1	7	15	0	0
TCGA-AC-A5EH-01	4	7	22	16	10	6	17	4	17	12	56	7	27
TCGA-AC-A5EI-01	1	5	1	0	10	3	10	3	1	3	6	0	0
TCGA-AC-A5XS-01	76	9	0	0	220	0	12	48	303	0	17	0	30
TCGA-AC-A5XU-01	5	2	18	3	11	27	29	1	8	0	0	0	9
TCGA-AC-A62V-01	7	6	0	5	2	38	12	4	8	0	19	1	4
TCGA-AC-A62X-01	2	0	0	3	0	23	36	1	4	0	0	2	16
TCGA-AC-A62Y-01	1	5	0	1	13	7	16	1	18	6	16	3	2
TCGA-AC-A6IV-01	0	5	4	2	0	2	6	6	0	2	0	0	0
TCGA-AC-A6IW-01	16	21	14	0	24	24	16	2	70	4	34	6	0
TCGA-AC-A6IX-01	5	4	1	0	22	9	10	0	9	7	2	0	2
TCGA-AC-A6NO-01	5	0	9	0	1	5	14	1	1	7	0	0	0
TCGA-AC-A7VB-01	0	5	5	0	0	12	11	0	0	2	0	0	0
TCGA-AC-A7VC-01	1	1	4	0	0	4	7	4	0	2	3	0	0
TCGA-AC-A8OP-01	10	2	1	30	8	30	37	16	19	14	56	4	17
TCGA-AC-A8OQ-01	8	5	15	1	15	20	25	11	5	0	26	6	0
TCGA-AC-A8OR-01	0	2	12	0	1	9	3	0	0	0	4	1	0
TCGA-AC-A8OS-01	4	5	7	1	12	0	18	0	6	9	12	5	0
TCGA-AN-A0XL-01	3	3	4	4	0	0	13	2	0	3	0	0	8
TCGA-AN-A0XN-01	6	1	23	16	1	11	8	4	16	14	44	10	21
TCGA-AN-A0XO-01	4	0	0	0	7	4	2	6	2	7	11	0	0
TCGA-AN-A0XP-01	1	0	2	1	4	5	4	1	4	7	3	2	0
TCGA-AN-A0XR-01	1	5	7	1	4	3	7	0	3	0	7	0	0
TCGA-AN-A0XS-01	0	2	12	0	6	3	4	4	0	1	0	0	0
TCGA-AN-A0XT-01	0	4	0	0	0	3	10	1	1	0	1	0	2
TCGA-AN-A0XU-01	0	11	0	21	3	0	15	6	17	4	43	1	16
TCGA-AN-A0XV-01	3	0	5	2	0	11	2	4	7	4	6	0	0
TCGA-AN-A0XW-01	23	0	0	0	143	6	4	0	244	0	0	3	0
TCGA-AO-A03M-01	68	4	0	0	363	0	12	40	663	0	0	0	0
TCGA-AO-A03N-01	4	1	0	4	33	9	12	7	43	0	2	0	19
TCGA-AO-A03U-01	0	0	1	0	0	0	0	0	2	0	0	0	2
TCGA-AO-A03V-01	9	2	14	2	6	2	12	4	12	1	2	3	3
TCGA-AO-A0JG-01	3	0	0	5	1	0	0	0	0	2	3	2	5
TCGA-AO-A124-01	5	5	30	15	1	8	14	6	10	5	59	7	13
TCGA-AO-A125-01	0	5	0	4	3	6	12	5	2	1	7	0	0
TCGA-AO-A126-01	0	0	7	0	3	0	10	3	0	0	2	0	0
TCGA-AO-A128-01	12	1	0	91	12	311	301	27	16	404	0	35	0
TCGA-AO-A129-01	5	3	18	10	11	9	10	0	24	10	36	8	0
TCGA-AO-A12A-01	0	0	4	0	5	5	5	0	0	0	0	0	0
TCGA-AO-A12B-01	0	0	0	3	1	4	11	0	0	1	2	1	0
TCGA-AO-A12D-01	11	0	5	1	18	0	15	9	10	0	4	0	0
TCGA-AO-A12E-01	4	0	2	0	1	8	9	1	1	0	7	0	0
TCGA-AO-A12F-01	0	0	6	0	0	16	4	3	0	0	4	1	6
TCGA-AO-A12G-01	1	1	0	0	4	3	15	0	4	6	6	0	2
TCGA-AO-A12H-01	3	0	0	0	0	1	13	1	0	4	7	0	1
TCGA-AO-A1KO-01	0	0	7	0	0	0	0	1	0	2	0	0	0
TCGA-AO-A1KR-01	0	3	6	5	5	0	14	4	8	8	34	0	2
TCGA-AO-A1KT-01	0	0	2	0	3	5	12	4	0	13	12	0	0
TCGA-AQ-A04H-01	3	0	0	5	2	21	31	5	5	3	4	2	0
TCGA-AQ-A0Y5-01	4	0	0	4	8	11	17	6	11	1	8	0	0
TCGA-AQ-A1H2-01	0	0	4	0	2	6	9	4	0	2	5	2	0
TCGA-AQ-A1H3-01	0	1	0	0	0	6	18	0	0	0	0	2	0
TCGA-AQ-A54O-01	0	0	2	1	4	3	7	0	0	0	5	2	1
TCGA-AQ-A7U7-01	5	1	1	0	29	10	4	8	31	1	3	3	0
TCGA-AR-A0TP-01	3	0	7	8	4	0	6	0	4	9	28	2	0
TCGA-AR-A0TQ-01	4	0	5	7	12	4	10	1	2	0	2	1	1
TCGA-AR-A0TR-01	5	0	6	0	1	4	12	3	1	10	0	0	0
TCGA-AR-A0TS-01	5	3	25	5	4	10	12	0	9	0	14	3	0
TCGA-AR-A0TT-01	3	7	7	0	8	13	8	4	7	6	10	2	0
TCGA-AR-A0TU-01	4	0	0	9	2	10	4	0	10	0	36	2	13
TCGA-AR-A0TV-01	3	8	12	0	3	6	23	1	4	6	13	0	0
TCGA-AR-A0TW-01	1	0	3	7	1	7	19	5	3	1	14	0	6
TCGA-AR-A0TX-01	32	0	0	0	138	1	8	28	192	0	8	0	0
TCGA-AR-A0TZ-01	1	0	4	2	10	7	8	11	15	0	5	0	4
TCGA-AR-A0U0-01	0	3	4	0	1	3	5	2	9	0	5	2	16
TCGA-AR-A0U1-01	3	3	25	8	0	2	4	0	15	14	19	3	13
TCGA-AR-A0U2-01	2	4	15	0	0	21	5	2	0	1	6	0	0
TCGA-AR-A0U3-01	6	0	8	0	0	13	2	3	0	0	1	0	7
TCGA-AR-A0U4-01	8	7	7	17	11	6	5	3	47	2	63	4	21
TCGA-AR-A1AH-01	1	4	16	18	2	17	1	3	9	14	19	5	11
