Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E
TCGA-AC-A3OD-01	15	0	4	14	6
TCGA-AC-A3QP-01	1	1	19	8	6
TCGA-AC-A3QQ-01	1	1	11	19	4
TCGA-AC-A3W5-01	22	54	92	27	16
TCGA-AC-A3YI-01	3	0	6	5	4
TCGA-AC-A3YJ-01	8	1	6	19	4
TCGA-AC-A4ZE-01	15	1	22	19	17
TCGA-AC-A5EH-01	22	17	115	22	29
TCGA-AC-A5EI-01	21	1	1	14	6
TCGA-AC-A5XS-01	364	348	0	3	0
TCGA-AC-A5XU-01	23	8	11	59	12
TCGA-AC-A62V-01	1	8	29	51	17
TCGA-AC-A62X-01	0	4	14	59	10
TCGA-AC-A62Y-01	17	22	12	21	17
TCGA-AC-A6IV-01	4	0	6	15	2
TCGA-AC-A6IW-01	27	83	59	44	18
TCGA-AC-A6IX-01	36	11	0	10	14
TCGA-AC-A6NO-01	6	1	5	18	13
TCGA-AC-A7VB-01	0	0	4	21	10
TCGA-AC-A7VC-01	1	0	7	15	3
TCGA-AC-A8OP-01	19	19	95	67	44
TCGA-AC-A8OQ-01	32	6	34	52	13
TCGA-AC-A8OR-01	0	0	13	12	7
TCGA-AC-A8OS-01	24	7	18	15	15
TCGA-AN-A0XL-01	5	0	13	15	7
TCGA-AN-A0XN-01	4	17	101	17	36
TCGA-AN-A0XO-01	18	3	4	8	10
TCGA-AN-A0XP-01	6	5	7	6	10
TCGA-AN-A0XR-01	6	3	16	11	2
TCGA-AN-A0XS-01	12	1	7	9	3
TCGA-AN-A0XT-01	0	1	3	15	3
TCGA-AN-A0XU-01	2	18	86	20	11
TCGA-AN-A0XV-01	0	7	11	15	11
TCGA-AN-A0XW-01	147	276	0	0	0
TCGA-AO-A03M-01	413	737	0	0	0
TCGA-AO-A03N-01	56	51	0	18	9
TCGA-AO-A03U-01	1	2	2	0	0
TCGA-AO-A03V-01	18	12	23	16	3
TCGA-AO-A0JG-01	4	0	13	0	4
TCGA-AO-A124-01	9	7	118	26	18
TCGA-AO-A125-01	5	2	12	22	4
TCGA-AO-A126-01	8	0	3	14	0
TCGA-AO-A128-01	0	21	0	423	766
TCGA-AO-A129-01	14	27	63	13	27
TCGA-AO-A12A-01	7	1	0	8	3
TCGA-AO-A12B-01	0	0	6	13	4
TCGA-AO-A12D-01	43	12	0	18	0
TCGA-AO-A12E-01	3	1	8	20	1
TCGA-AO-A12F-01	0	0	10	23	7
TCGA-AO-A12G-01	6	6	4	17	9
TCGA-AO-A12H-01	2	0	7	16	5
TCGA-AO-A1KO-01	1	0	5	0	4
TCGA-AO-A1KR-01	6	10	46	16	11
TCGA-AO-A1KT-01	7	0	10	17	17
TCGA-AQ-A04H-01	0	6	9	54	12
TCGA-AQ-A0Y5-01	12	14	6	33	5
TCGA-AQ-A1H2-01	4	0	6	18	6
TCGA-AQ-A1H3-01	0	0	0	25	2
TCGA-AQ-A54O-01	5	1	7	9	3
TCGA-AQ-A7U7-01	41	36	0	11	8
TCGA-AR-A0TP-01	6	4	43	2	16
TCGA-AR-A0TQ-01	23	2	9	11	4
TCGA-AR-A0TR-01	5	1	7	17	12
TCGA-AR-A0TS-01	6	10	45	21	8
TCGA-AR-A0TT-01	16	8	15	23	13
TCGA-AR-A0TU-01	1	11	52	15	11
TCGA-AR-A0TV-01	7	4	29	31	8
TCGA-AR-A0TW-01	2	3	27	29	6
TCGA-AR-A0TX-01	188	218	0	1	0
TCGA-AR-A0TZ-01	17	19	6	22	3
TCGA-AR-A0U0-01	3	10	22	12	3
TCGA-AR-A0U1-01	0	15	68	3	23
TCGA-AR-A0U2-01	0	0	14	27	15
TCGA-AR-A0U3-01	3	0	12	18	7
TCGA-AR-A0U4-01	11	53	111	13	13
TCGA-AR-A1AH-01	2	9	63	12	34
TCGA-AR-A1AI-01	6	19	24	31	9
TCGA-AR-A1AJ-01	23	11	0	15	4
TCGA-AR-A1AK-01	23	26	10	23	0
TCGA-AR-A1AL-01	7	4	3	6	10
TCGA-AR-A1AN-01	0	5	1	21	4
TCGA-AR-A1AO-01	19	19	58	20	6
TCGA-AR-A1AP-01	7	8	3	30	3
TCGA-AR-A1AQ-01	1	3	15	12	10
TCGA-AR-A1AR-01	1	8	30	19	5
TCGA-AR-A1AS-01	21	4	1	6	9
TCGA-AR-A1AT-01	0	2	16	10	4
TCGA-AR-A1AU-01	2	1	6	11	6
TCGA-AR-A1AV-01	8	1	8	25	7
TCGA-AR-A1AW-01	2	1	15	11	12
TCGA-AR-A1AX-01	8	0	9	14	1
