Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G
TCGA-IH-A3EA-01	824	286	778	113	0	14	0
TCGA-LH-A9QB-06	165	92	20	60	0	22	0
TCGA-OD-A75X-06	480	266	644	0	40	21	4
TCGA-QB-A6FS-06	787	305	497	0	0	7	8
TCGA-QB-AA9O-06	1054	353	244	258	143	3	41
TCGA-RP-A690-06	0	0	3	0	10	5	2
TCGA-RP-A693-06	389	398	219	40	0	23	22
TCGA-RP-A694-06	729	116	5	52	34	21	18
TCGA-RP-A695-06	510	291	354	0	0	15	15
TCGA-RP-A6K9-06	0	6	0	0	35	27	0
TCGA-W3-A824-06	869	457	334	139	112	120	0
TCGA-W3-A825-06	948	163	234	143	2	40	24
TCGA-W3-A828-06	216	846	333	402	0	26	28
TCGA-W3-AA1O-06	460	239	262	75	0	6	6
TCGA-W3-AA1Q-06	667	107	459	0	11	25	0
TCGA-W3-AA1R-06	1355	373	427	132	40	45	19
TCGA-W3-AA1V-06	3995	1278	738	1363	0	58	57
TCGA-W3-AA1W-06	502	101	212	113	0	29	2
TCGA-W3-AA21-06	374	58	186	46	11	28	0
TCGA-WE-A8JZ-06	50	60	66	75	0	30	0
TCGA-WE-A8K1-06	298	13	79	0	46	19	5
TCGA-WE-A8K4-01	479	263	269	91	37	6	14
TCGA-WE-A8K5-06	1032	228	216	61	19	30	4
TCGA-WE-A8K6-06	180	95	45	17	15	14	0
TCGA-WE-A8ZM-06	21	2	29	1	31	10	9
TCGA-WE-A8ZN-06	113	51	26	16	14	5	0
TCGA-WE-A8ZO-06	226	54	185	0	10	12	0
TCGA-WE-A8ZQ-06	98	53	20	9	7	55	8
TCGA-WE-A8ZR-06	9	0	0	7	9	11	0
TCGA-WE-A8ZT-06	225	177	196	11	0	14	5
TCGA-WE-A8ZX-06	512	33	176	77	0	1	1
TCGA-WE-A8ZY-06	151	58	71	33	7	20	6
TCGA-WE-AA9Y-06	18	34	25	15	0	9	3
TCGA-WE-AAA0-06	762	588	447	162	0	5	18
TCGA-WE-AAA3-06	445	1	41	0	26	6	11
TCGA-WE-AAA4-06	203	31	28	0	31	8	11
TCGA-XV-A9VZ-01	0	3	0	3	7	5	0
TCGA-XV-A9W2-01	14	0	0	0	16	26	0
TCGA-XV-A9W5-01	97	0	0	0	14	24	0
TCGA-XV-AAZV-01	53	19	53	13	0	21	0
TCGA-XV-AAZW-01	108	22	9	28	18	26	3
TCGA-XV-AAZY-01	140	25	28	46	0	0	0
TCGA-YD-A89C-06	1318	413	400	251	0	20	3
TCGA-YD-A9TA-06	2342	660	969	599	0	25	41
TCGA-YD-A9TB-06	347	0	26	58	7	19	11
TCGA-YG-AA3N-01	1403	510	649	234	0	0	0
TCGA-YG-AA3O-06	561	282	501	137	0	29	17
TCGA-YG-AA3P-06	0	20	0	0	19	36	23
TCGA-Z2-A8RT-06	1701	567	987	811	0	0	9
TCGA-Z2-AA3S-06	86	56	130	12	0	9	0
TCGA-Z2-AA3V-06	209	124	126	120	0	13	1
