Samples	SBS96A	SBS96B
TCGA-BR-8690-01	9.72E-01	9.72E-01
TCGA-BR-A44T-01	3.06E-01	3.06E-01
TCGA-BR-A44U-01	7.77E-01	7.77E-01
TCGA-BR-A452-01	7.31E-01	7.31E-01
TCGA-BR-A453-01	5.68E-01	5.68E-01
TCGA-BR-A4CQ-01	1.19E+00	1.19E+00
TCGA-BR-A4CR-01	6.64E-01	6.64E-01
TCGA-BR-A4CS-01	1.01E+00	1.01E+00
TCGA-BR-A4IU-01	4.16E-01	4.16E-01
TCGA-BR-A4IV-01	3.65E-01	3.65E-01
TCGA-BR-A4IY-01	1.15E+00	1.15E+00
TCGA-BR-A4IZ-01	2.96E-01	2.96E-01
TCGA-BR-A4J1-01	6.79E-01	6.79E-01
TCGA-BR-A4J2-01	5.64E-01	5.66E-01
TCGA-BR-A4J4-01	7.39E-01	7.39E-01
TCGA-BR-A4J5-01	8.60E-01	8.59E-01
TCGA-BR-A4J6-01	4.81E-01	4.82E-01
TCGA-BR-A4J7-01	4.97E-01	4.97E-01
TCGA-BR-A4J8-01	8.52E-01	8.52E-01
TCGA-BR-A4J9-01	5.44E-01	5.44E-01
TCGA-BR-A4PD-01	8.47E-01	8.47E-01
TCGA-BR-A4PE-01	1.20E+00	1.20E+00
TCGA-BR-A4PF-01	8.36E-01	8.36E-01
TCGA-BR-A4QI-01	9.82E-01	9.82E-01
TCGA-BR-A4QL-01	2.04E+00	2.04E+00
TCGA-BR-A4QM-01	8.78E-01	8.78E-01
TCGA-CD-5798-01	8.46E-01	8.45E-01
TCGA-CD-5799-01	5.20E-01	5.22E-01
TCGA-CD-5800-01	1.16E+00	1.16E+00
TCGA-CD-5801-01	1.56E+00	1.56E+00
TCGA-CD-5802-01	6.04E-01	6.05E-01
TCGA-CD-5803-01	5.16E-01	5.15E-01
TCGA-CD-5804-01	6.11E-01	6.09E-01
TCGA-CD-5813-01	1.14E+00	1.14E+00
TCGA-CD-8524-01	1.05E+00	1.05E+00
TCGA-CD-8525-01	6.72E-01	6.74E-01
TCGA-CD-8526-01	5.17E-01	5.18E-01
TCGA-CD-8527-01	1.34E+00	1.34E+00
TCGA-CD-8528-01	7.27E-01	7.27E-01
TCGA-CD-8529-01	1.21E+00	1.21E+00
TCGA-CD-8530-01	6.21E-01	6.21E-01
TCGA-CD-8531-01	1.35E+00	1.35E+00
TCGA-CD-8532-01	5.78E-01	5.78E-01
TCGA-CD-8533-01	8.27E-01	8.27E-01
TCGA-CD-8534-01	6.58E-01	6.58E-01
TCGA-CD-8535-01	1.20E+00	1.20E+00
TCGA-CD-8536-01	1.18E+00	1.18E+00
TCGA-CD-A486-01	8.99E-01	8.99E-01
TCGA-CD-A487-01	9.95E-01	9.95E-01
TCGA-CD-A489-01	7.09E-01	7.09E-01
TCGA-CD-A48A-01	1.38E+00	1.38E+00
TCGA-CD-A48C-01	1.04E+00	1.04E+00
TCGA-CD-A4MG-01	1.94E+00	1.94E+00
TCGA-CD-A4MH-01	7.20E-01	7.20E-01
TCGA-CD-A4MI-01	1.23E+00	1.23E+00
TCGA-CD-A4MJ-01	1.30E+00	1.30E+00
TCGA-CG-4300-01	1.01E+00	1.01E+00
TCGA-CG-4301-01	6.49E-01	6.48E-01
TCGA-CG-4304-01	7.16E-01	7.15E-01
TCGA-CG-4305-01	1.73E+00	1.73E+00
TCGA-CG-4306-01	1.55E+00	1.55E+00
TCGA-CG-4436-01	1.02E+00	1.02E+00
TCGA-CG-4437-01	1.99E+00	1.99E+00
TCGA-CG-4438-01	9.33E-01	9.33E-01
TCGA-CG-4440-01	8.29E-01	8.29E-01
TCGA-CG-4441-01	1.05E+00	1.05E+00
TCGA-CG-4442-01	1.49E+00	1.49E+00
