Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E
TCGA-EE-A29X-06	102	69	22	4	8
TCGA-EE-A2A0-06	291	61	181	0	0
TCGA-EE-A2A1-06	330	108	75	16	0
TCGA-EE-A2A2-06	853	794	370	20	37
TCGA-EE-A2A5-06	257	140	0	22	19
TCGA-EE-A2A6-06	310	66	0	28	13
TCGA-EE-A2GB-06	539	247	118	0	7
TCGA-EE-A2GC-06	2017	876	300	20	21
TCGA-EE-A2GD-06	492	87	155	4	6
TCGA-EE-A2GE-06	138	148	33	3	4
TCGA-EE-A2GH-06	274	98	32	20	2
TCGA-EE-A2GI-06	1331	519	229	39	24
TCGA-EE-A2GJ-06	927	341	303	4	35
TCGA-EE-A2GK-06	0	0	0	4	0
TCGA-EE-A2GL-06	229	181	72	3	12
TCGA-EE-A2GM-06	569	295	87	23	0
TCGA-EE-A2GN-06	311	202	32	18	6
TCGA-EE-A2GO-06	1401	905	433	10	32
TCGA-EE-A2GP-06	558	157	127	22	0
TCGA-EE-A2GR-06	1171	867	56	57	64
TCGA-EE-A2GS-06	309	100	42	17	0
TCGA-EE-A2GT-06	226	76	125	35	0
TCGA-EE-A2GU-06	488	154	186	0	0
TCGA-EE-A2M5-06	1349	1092	163	28	133
TCGA-EE-A2M6-06	364	193	162	21	6
TCGA-EE-A2M7-06	36	0	0	43	7
TCGA-EE-A2M8-06	123	0	13	12	3
TCGA-EE-A2MC-06	632	137	232	26	3
TCGA-EE-A2MD-06	1791	352	125	43	20
TCGA-EE-A2ME-06	21	8	6	7	0
TCGA-EE-A2MF-06	644	59	291	0	38
TCGA-EE-A2MG-06	132	59	78	8	0
TCGA-EE-A2MH-06	84	85	11	16	5
TCGA-EE-A2MI-06	895	263	330	0	0
TCGA-EE-A2MJ-06	1992	379	250	0	31
TCGA-EE-A2MK-06	309	44	30	5	16
TCGA-EE-A2ML-06	402	305	13	27	11
TCGA-EE-A2MM-06	473	134	130	24	0
TCGA-EE-A2MN-06	136	45	0	20	4
TCGA-EE-A2MP-06	202	138	10	33	10
TCGA-EE-A2MQ-06	198	109	1	39	18
TCGA-EE-A2MR-06	4671	0	0	286	104
TCGA-EE-A2MS-06	2490	1409	0	38	45
TCGA-EE-A2MT-06	650	398	198	6	7
TCGA-EE-A2MU-06	645	164	24	9	68
TCGA-EE-A3AA-06	1592	352	23	16	67
TCGA-EE-A3AB-06	0	281	448	22	158
TCGA-EE-A3AC-06	855	342	150	7	31
TCGA-EE-A3AD-06	354	174	36	27	5
TCGA-EE-A3AE-06	1610	282	77	15	29
TCGA-EE-A3AF-06	469	624	244	24	0
TCGA-EE-A3AG-06	1321	787	204	0	0
TCGA-EE-A3AH-06	301	138	60	5	4
TCGA-EE-A3J3-06	105	65	0	52	5
TCGA-EE-A3J4-06	217	86	9	60	46
TCGA-EE-A3J5-06	1407	750	766	0	17
TCGA-EE-A3J7-06	565	582	0	132	71
TCGA-EE-A3J8-06	263	31	67	6	4
TCGA-EE-A3JA-06	1016	218	201	0	0
TCGA-EE-A3JB-06	394	327	29	55	54
TCGA-EE-A3JD-06	2346	479	178	60	39
TCGA-EE-A3JE-06	195	137	1	23	13
TCGA-EE-A3JH-06	136	70	0	39	0
TCGA-EE-A3JI-06	778	523	88	94	53
TCGA-ER-A193-06	1581	554	407	22	55
TCGA-ER-A194-01	1043	609	191	18	5
TCGA-ER-A195-06	237	70	38	3	0
TCGA-ER-A196-01	3	0	0	21	1
TCGA-ER-A197-06	0	0	9	38	5
TCGA-ER-A198-06	350	229	24	47	2
TCGA-ER-A199-06	270	73	14	12	3
TCGA-ER-A19A-06	209	11	17	9	2
TCGA-ER-A19B-06	44	2	13	41	31
TCGA-ER-A19C-06	75	26	0	13	8
TCGA-ER-A19D-06	382	168	44	44	4
TCGA-ER-A19E-06	374	104	60	65	14
TCGA-ER-A19F-06	727	367	219	0	0
TCGA-ER-A19G-06	343	224	74	35	22
TCGA-ER-A19H-06	166	110	65	32	0
TCGA-ER-A19J-06	189	26	60	16	0
TCGA-ER-A19K-01	199	107	196	0	0
TCGA-ER-A19L-06	41	17	12	2	2
TCGA-ER-A19M-06	397	225	21	30	4
TCGA-ER-A19N-06	414	182	46	4	16
TCGA-ER-A19O-06	176	22	32	14	0
TCGA-ER-A19P-06	205	114	38	282	1
TCGA-ER-A19Q-06	110	27	0	26	0
TCGA-ER-A19S-06	117	64	76	14	4
TCGA-ER-A19T-01	0	22	0	38	10
TCGA-ER-A19W-06	300	115	0	55	18
TCGA-ER-A1A1-06	14	46	34	0	0
TCGA-ER-A2NB-01	3	14	0	56	12
TCGA-ER-A2NC-06	304	144	95	9	0
TCGA-ER-A2ND-06	46	10	42	36	11
TCGA-ER-A2NE-06	127	30	0	17	5
TCGA-ER-A2NF-01	8	9	15	9	0
TCGA-ER-A2NG-06	165	93	64	3	22
TCGA-ER-A2NH-06	285	68	62	0	0
TCGA-ER-A3ES-06	2	0	1	24	2
TCGA-ER-A3ET-06	0	15	29	60	12
TCGA-ER-A3EV-06	1	19	4	61	14
TCGA-ER-A3PL-06	215	239	65	0	0
TCGA-ER-A42H-01	5	3	0	67	3
TCGA-ER-A42K-06	144	98	0	19	12
TCGA-ER-A42L-06	678	250	373	0	0
TCGA-FR-A2OS-01	0	0	3	11	2
TCGA-FR-A3R1-01	292	218	47	32	0
TCGA-FR-A3YN-06	463	180	117	25	3
TCGA-FR-A3YO-06	781	206	181	21	0
TCGA-FR-A44A-06	201	127	47	41	4
TCGA-FR-A69P-06	171	64	56	13	1
TCGA-FR-A726-01	6174	3775	0	0	197
TCGA-FR-A728-01	371	113	36	9	11
TCGA-FR-A729-06	963	169	0	6	66
TCGA-FR-A7U8-06	1	6	0	37	0
TCGA-FR-A7U9-06	1784	359	273	20	44
TCGA-FR-A7UA-06	175	25	40	0	1
TCGA-FR-A8YC-06	2748	739	499	25	89
TCGA-FR-A8YD-06	24	14	15	61	18
TCGA-FR-A8YE-06	316	82	61	0	12
TCGA-FS-A1YW-06	152	27	13	24	3
TCGA-FS-A1YX-06	4	9	0	16	1
TCGA-FS-A1YY-06	97	82	84	11	0
TCGA-FS-A1Z0-06	215	77	0	32	27
TCGA-FS-A1Z3-06	967	238	113	26	46
TCGA-FS-A1Z4-06	12	9	28	3	1
TCGA-FS-A1Z7-06	136	68	35	11	0
TCGA-FS-A1ZA-06	1207	220	97	50	50
TCGA-FS-A1ZB-06	197	68	37	14	0
TCGA-FS-A1ZC-06	674	183	88	13	20
TCGA-FS-A1ZD-06	142	113	57	17	12
TCGA-FS-A1ZE-06	132	8	19	26	5
TCGA-FS-A1ZF-06	137	73	27	28	14
TCGA-FS-A1ZG-06	0	1	0	36	8
TCGA-FS-A1ZH-06	3	15	0	21	5
TCGA-FS-A1ZJ-06	13	5	2	58	5
TCGA-FS-A1ZK-06	963	1117	63	4	65
TCGA-FS-A1ZM-06	140	97	53	30	11
TCGA-FS-A1ZN-01	61	44	20	10	2
TCGA-FS-A1ZP-06	508	0	27	41	4
TCGA-FS-A1ZQ-06	456	81	122	0	24
TCGA-FS-A1ZR-06	112	36	29	10	0
TCGA-FS-A1ZS-06	198	89	53	42	2
TCGA-FS-A1ZT-06	119	39	76	8	0
TCGA-FS-A1ZU-06	12	0	2	36	2
TCGA-FS-A1ZW-06	633	179	0	52	44
TCGA-FS-A1ZY-06	2	13	0	23	4
TCGA-FS-A1ZZ-06	1673	114	360	0	0
TCGA-FS-A4F0-06	368	303	63	21	15
TCGA-FS-A4F4-06	20	0	0	29	7
TCGA-FS-A4F5-06	651	194	180	0	0
TCGA-FS-A4F8-06	120	45	40	18	12
TCGA-FS-A4F9-06	370	125	86	9	0
TCGA-FS-A4FB-06	167	60	0	15	8
TCGA-FS-A4FC-06	728	190	55	26	0
TCGA-FS-A4FD-06	435	84	72	2	15
TCGA-FW-A3I3-06	4	0	8	54	7
TCGA-FW-A3R5-06	19630	6412	0	871	556
TCGA-FW-A3TU-06	571	392	0	85	32
TCGA-FW-A3TV-06	340	65	0	24	29
TCGA-FW-A5DX-01	120	78	41	21	7
TCGA-FW-A5DY-06	145	40	54	2	0
TCGA-GF-A2C7-01	31	46	19	7	0
TCGA-GF-A3OT-06	461	254	0	57	12
TCGA-GF-A4EO-06	177	115	31	21	2
TCGA-GF-A6C8-06	277	139	79	23	9
TCGA-GF-A6C9-06	3096	238	490	0	30
TCGA-GF-A769-01	116	63	0	28	8
TCGA-GN-A262-06	177	256	34	25	3
TCGA-GN-A263-01	396	183	11	1	12
TCGA-GN-A264-06	18	0	0	27	16
TCGA-GN-A265-06	127	105	70	0	8
TCGA-GN-A266-06	4644	461	8	105	129
TCGA-GN-A267-06	296	221	16	42	25
TCGA-GN-A268-06	286	57	80	24	4
TCGA-GN-A269-01	629	236	118	0	15
TCGA-GN-A26A-06	196	196	41	12	7
TCGA-GN-A26C-01	1932	363	177	17	18
TCGA-GN-A26D-06	0	0	27	30	1
TCGA-GN-A4U3-06	268	153	0	27	13
TCGA-GN-A4U4-06	591	227	153	0	4
TCGA-GN-A4U5-01	139	225	84	5	0
TCGA-GN-A4U7-06	163	125	0	35	24
TCGA-GN-A4U8-06	364	115	44	12	11
TCGA-GN-A4U9-06	1	0	9	42	25
TCGA-GN-A8LK-06	1556	756	443	15	22
TCGA-GN-A8LL-06	11	9	0	38	12
TCGA-GN-A8LN-01	260	32	36	29	3
TCGA-GN-A9SD-06	145	25	0	27	7
TCGA-HR-A2OG-06	102	75	49	18	10
TCGA-HR-A2OH-06	85	47	0	15	10
TCGA-HR-A5NC-01	15	40	0	33	5
TCGA-IH-A3EA-01	1250	304	461	0	0
TCGA-LH-A9QB-06	212	107	13	23	4
TCGA-OD-A75X-06	735	283	433	4	0
TCGA-QB-A6FS-06	1023	344	237	0	0
TCGA-QB-AA9O-06	1300	422	206	72	96
TCGA-RP-A690-06	0	1	5	12	2
TCGA-RP-A693-06	515	444	88	22	22
TCGA-RP-A694-06	732	161	0	48	34
TCGA-RP-A695-06	666	328	191	0	0
TCGA-RP-A6K9-06	0	7	0	54	7
TCGA-W3-A824-06	1134	532	150	212	3
TCGA-W3-A825-06	1151	202	119	47	35
TCGA-W3-A828-06	612	921	238	21	59
TCGA-W3-AA1O-06	643	270	128	7	0
TCGA-W3-AA1Q-06	854	128	274	13	0
TCGA-W3-AA1R-06	1629	450	222	63	27
TCGA-W3-AA1V-06	5384	1474	294	118	219
TCGA-W3-AA1W-06	689	120	118	32	0
TCGA-W3-AA21-06	479	71	123	30	0
TCGA-WE-A8JZ-06	137	63	50	31	0
TCGA-WE-A8K1-06	323	28	62	38	9
TCGA-WE-A8K4-01	635	298	194	12	20
TCGA-WE-A8K5-06	1199	285	40	59	7
TCGA-WE-A8K6-06	208	113	21	23	1
TCGA-WE-A8ZM-06	29	3	35	23	13
TCGA-WE-A8ZN-06	135	62	13	15	0
TCGA-WE-A8ZO-06	284	63	135	5	0
TCGA-WE-A8ZQ-06	111	62	2	64	11
TCGA-WE-A8ZR-06	15	0	1	20	0
TCGA-WE-A8ZT-06	326	196	103	3	0
TCGA-WE-A8ZX-06	672	46	78	0	4
TCGA-WE-A8ZY-06	197	67	52	22	8
TCGA-WE-AA9Y-06	40	35	15	10	4
TCGA-WE-AAA0-06	1095	655	211	0	21
TCGA-WE-AAA3-06	469	19	0	24	18
TCGA-WE-AAA4-06	208	44	21	23	16
TCGA-XV-A9VZ-01	2	4	0	11	1
TCGA-XV-A9W2-01	14	0	0	40	2
TCGA-XV-A9W5-01	98	0	0	34	3
TCGA-XV-AAZV-01	85	20	34	20	0
TCGA-XV-AAZW-01	131	28	5	42	8
TCGA-XV-AAZY-01	197	30	8	0	4
TCGA-YD-A89C-06	1714	486	165	23	17
TCGA-YD-A9TA-06	3322	757	453	40	64
TCGA-YD-A9TB-06	415	0	0	33	20
TCGA-YG-AA3N-01	1926	584	286	0	0
TCGA-YG-AA3O-06	875	310	330	12	0
TCGA-YG-AA3P-06	0	20	0	48	30
TCGA-Z2-A8RT-06	2838	605	580	0	52
TCGA-Z2-AA3S-06	144	58	90	1	0
TCGA-Z2-AA3V-06	347	133	90	15	8
