Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H	SBS96I
TCGA-D3-A8GN-06	173	129	0	0	0	0	0	39	0
TCGA-D3-A8GO-06	437	286	0	0	0	0	14	63	0
TCGA-D3-A8GP-06	426	223	7	0	1	0	29	88	10
TCGA-D3-A8GQ-06	1073	593	0	0	0	65	0	250	0
TCGA-D3-A8GR-06	269	186	4	0	0	0	21	33	6
TCGA-D3-A8GS-06	140	131	8	4	0	0	0	8	2
TCGA-D3-A8GV-06	283	186	0	0	0	2	13	75	0
TCGA-D9-A148-06	142	196	0	0	0	7	9	32	0
TCGA-D9-A149-06	147	140	0	0	0	0	0	29	2
TCGA-D9-A1JW-06	740	410	0	0	0	0	50	56	0
TCGA-D9-A1JX-06	118	76	0	0	0	2	9	46	0
TCGA-D9-A1X3-06	5	16	10	13	4	0	0	0	0
TCGA-D9-A3Z1-06	333	304	0	0	0	0	0	43	0
TCGA-D9-A3Z3-06	101	45	0	0	14	3	9	9	3
TCGA-D9-A3Z4-01	87	94	4	5	0	0	10	6	1
TCGA-D9-A4Z2-01	0	6	5	7	0	0	5	3	5
TCGA-D9-A4Z3-01	629	409	1	6	0	0	33	0	0
TCGA-D9-A4Z5-01	6	13	43	12	0	6	4	4	0
TCGA-D9-A4Z6-06	235	109	1	0	0	0	0	23	1
TCGA-D9-A6E9-06	122	93	3	0	0	0	11	17	0
TCGA-D9-A6EA-06	452	363	0	0	0	6	0	56	12
TCGA-D9-A6EC-06	2120	1641	0	0	0	24	282	356	1345
TCGA-D9-A6EG-06	27	32	0	8	26	2	4	5	0
TCGA-DA-A1HV-06	994	655	0	0	0	41	0	180	0
TCGA-DA-A1HW-06	198	195	0	0	0	2	0	57	0
TCGA-DA-A1HY-06	561	379	0	0	0	0	16	42	0
TCGA-DA-A1I0-06	310	311	0	0	0	0	7	58	0
TCGA-DA-A1I1-06	256	217	0	0	0	0	0	58	0
TCGA-DA-A1I2-06	71	90	2	0	0	0	5	10	1
TCGA-DA-A1I4-06	192	135	0	0	0	0	0	35	0
TCGA-DA-A1I5-06	370	171	0	0	0	0	5	43	0
TCGA-DA-A1I7-06	249	229	0	0	0	3	0	128	0
TCGA-DA-A1I8-06	91	137	0	0	0	4	15	5	0
TCGA-DA-A1IA-06	174	276	0	0	0	5	11	18	0
TCGA-DA-A1IB-06	0	0	4	0	0	2	2	0	0
TCGA-DA-A1IC-06	630	569	0	0	0	0	44	119	0
TCGA-DA-A3F3-06	199	116	0	0	13	3	0	61	0
TCGA-DA-A3F5-06	180	203	13	1	0	0	21	39	0
TCGA-DA-A3F8-06	935	572	0	0	0	0	0	137	0
TCGA-DA-A95V-06	171	156	13	10	0	4	1	12	5
TCGA-DA-A95W-06	110	85	0	0	0	0	6	15	0
TCGA-DA-A95X-06	334	234	8	0	0	5	8	95	0
TCGA-DA-A95Y-06	317	163	0	0	0	0	29	44	8
TCGA-DA-A95Z-06	1456	816	2	0	0	17	11	354	0
TCGA-DA-A960-01	588	434	0	0	0	2	0	163	0
TCGA-EB-A1NK-01	91	78	3	1	0	1	2	19	1
TCGA-EB-A24C-01	1	6	7	14	0	0	3	2	2
TCGA-EB-A24D-01	396	340	0	0	0	0	11	62	6
TCGA-EB-A299-01	107	89	0	0	0	0	0	11	0
TCGA-EB-A3HV-01	18	20	15	1	0	2	1	6	0
TCGA-EB-A3XB-01	362	232	0	0	0	0	30	72	0
TCGA-EB-A3XC-01	273	223	11	0	0	0	5	41	15
TCGA-EB-A3XD-01	244	197	0	0	0	0	0	79	0
TCGA-EB-A3XE-01	10	0	5	5	0	0	2	0	0
TCGA-EB-A3XF-01	305	162	0	0	0	7	9	53	0
TCGA-EB-A3Y6-01	359	385	2	0	0	0	6	89	0
TCGA-EB-A3Y7-01	750	547	0	0	0	31	29	150	11
TCGA-EB-A41A-01	1490	816	0	0	0	33	17	264	0
TCGA-EB-A41B-01	310	160	0	0	0	8	0	77	0
TCGA-EB-A42Y-01	17	6	4	14	19	3	4	3	11
TCGA-EB-A42Z-01	57	51	14	4	0	0	3	28	0
TCGA-EB-A430-01	245	225	0	0	0	0	6	53	0
TCGA-EB-A431-01	1215	1048	0	0	0	0	0	124	10
TCGA-EB-A44N-01	91	86	5	0	0	0	0	26	0
TCGA-EB-A44O-01	306	318	0	0	0	0	7	59	2
TCGA-EB-A44P-01	215	211	0	0	0	0	15	37	0
TCGA-EB-A44Q-06	14	0	6	11	18	0	8	0	0
TCGA-EB-A44R-06	2	1	10	23	10	1	12	6	6
TCGA-EB-A4IQ-01	4	0	3	6	0	0	7	2	0
TCGA-EB-A4IS-01	383	347	12	0	0	0	11	19	1
TCGA-EB-A4OY-01	3	4	3	20	14	6	16	0	6
TCGA-EB-A4OZ-01	1	1	7	0	0	1	4	0	2
TCGA-EB-A4P0-01	110	124	2	2	0	0	14	6	0
TCGA-EB-A4XL-01	332	302	0	0	0	0	0	23	9
TCGA-EB-A51B-01	310	239	3	0	0	0	10	5	0
TCGA-EB-A550-01	91	78	2	5	0	0	0	27	0
TCGA-EB-A551-01	212	170	0	0	0	1	15	72	4
TCGA-EB-A553-01	165	193	26	0	0	0	12	30	9
TCGA-EB-A57M-01	0	1	5	15	27	6	3	1	1
TCGA-EB-A5FP-01	232	279	0	0	0	0	0	46	0
TCGA-EB-A5KH-06	1	7	12	13	15	1	0	2	3
TCGA-EB-A5SE-01	174	184	0	0	0	0	3	37	0
TCGA-EB-A5SF-01	7	10	1	0	14	4	3	3	0
TCGA-EB-A5SG-06	217	124	0	0	0	1	11	14	2
TCGA-EB-A5SH-06	23	0	59	14	0	8	15	0	3
TCGA-EB-A5UL-06	270	258	24	0	0	0	13	55	12
TCGA-EB-A5UM-01	378	285	0	0	0	0	12	77	0
TCGA-EB-A5UN-06	464	453	0	0	0	0	10	71	0
TCGA-EB-A5VU-01	7	19	15	12	8	2	1	1	0
TCGA-EB-A6L9-06	2	0	4	10	4	3	3	2	0
TCGA-EB-A6QY-01	419	356	0	0	0	0	0	97	0
TCGA-EB-A6QZ-01	182	165	6	0	0	0	6	25	3
TCGA-EB-A6R0-01	211	277	0	0	0	0	0	40	0
TCGA-EB-A82B-01	0	24	0	18	21	0	1	0	1
TCGA-EB-A82C-01	8	0	5	4	17	0	2	12	0
TCGA-EB-A85I-01	141	104	23	0	0	0	1	37	0
TCGA-EB-A85J-01	329	154	0	0	0	0	0	81	0
TCGA-EB-A97M-01	230	148	0	2	0	0	0	49	0
TCGA-EE-A17X-06	549	442	0	0	0	5	0	94	0
TCGA-EE-A17Y-06	110	103	0	0	0	4	12	3	0
TCGA-EE-A17Z-06	0	1	8	3	9	0	4	1	0
TCGA-EE-A180-06	341	291	0	0	0	0	6	87	0
TCGA-EE-A181-06	2119	1504	0	0	0	0	31	350	0
TCGA-EE-A182-06	1067	695	0	0	0	21	15	242	0
TCGA-EE-A183-06	550	327	0	0	0	0	7	132	0
TCGA-EE-A184-06	16	0	377	13	0	0	0	4	0
TCGA-EE-A185-06	112	132	0	0	0	2	0	22	0
TCGA-EE-A20B-06	114	108	0	0	0	0	6	16	0
TCGA-EE-A20C-06	1352	1280	0	0	0	0	28	188	23
TCGA-EE-A20F-06	326	253	0	0	0	6	0	66	0
TCGA-EE-A20H-06	437	260	0	0	0	0	34	72	10
TCGA-EE-A20I-06	0	7	10	5	0	3	2	3	0
TCGA-EE-A29A-06	181	163	0	0	0	0	0	10	0
TCGA-EE-A29B-06	399	282	0	0	0	14	11	43	0
TCGA-EE-A29C-06	239	270	0	0	0	0	0	64	0
TCGA-EE-A29D-06	2797	2020	0	0	0	0	0	427	0
TCGA-EE-A29E-06	2560	1819	0	0	0	79	0	431	0
TCGA-EE-A29G-06	226	159	0	0	0	4	30	55	0
TCGA-EE-A29H-06	227	146	0	0	0	0	4	41	0
TCGA-EE-A29L-06	1362	1141	0	0	0	3	0	242	12
TCGA-EE-A29M-06	1844	1147	0	0	0	19	0	237	0
TCGA-EE-A29N-06	361	416	0	0	0	0	5	58	7
TCGA-EE-A29P-06	240	150	0	0	0	0	10	9	1
TCGA-EE-A29Q-06	175	170	0	0	0	0	12	52	0
TCGA-EE-A29R-06	483	367	0	0	0	0	0	84	0
TCGA-EE-A29S-06	771	561	0	0	0	0	28	138	0
TCGA-EE-A29T-06	254	122	34	25	4	9	2	63	0
TCGA-EE-A29V-06	643	710	0	0	0	0	25	34	0
TCGA-EE-A29W-06	28	49	4	1	0	0	0	9	2
TCGA-EE-A29X-06	97	92	0	0	0	0	4	10	2
TCGA-EE-A2A0-06	352	109	0	0	27	4	9	32	0
TCGA-EE-A2A1-06	280	187	0	0	0	0	0	62	0
TCGA-EE-A2A2-06	1046	951	0	0	0	0	16	35	26
TCGA-EE-A2A5-06	172	232	0	0	0	0	3	31	0
TCGA-EE-A2A6-06	161	186	0	0	0	0	0	70	0
TCGA-EE-A2GB-06	459	364	0	0	0	0	4	84	0
TCGA-EE-A2GC-06	1599	1365	0	0	0	0	0	270	0
TCGA-EE-A2GD-06	425	227	0	0	0	5	9	78	0
TCGA-EE-A2GE-06	146	167	0	0	0	0	6	7	0
TCGA-EE-A2GH-06	216	174	0	0	0	3	0	33	0
TCGA-EE-A2GI-06	1076	871	0	0	0	0	13	182	0
TCGA-EE-A2GJ-06	860	563	0	0	0	0	36	138	13
TCGA-EE-A2GK-06	0	0	4	0	0	0	0	0	0
TCGA-EE-A2GL-06	240	208	0	0	0	0	6	35	8
TCGA-EE-A2GM-06	480	427	0	0	0	0	0	67	0
TCGA-EE-A2GN-06	258	275	4	0	0	0	2	30	0
TCGA-EE-A2GO-06	1414	1148	0	0	0	0	3	207	9
TCGA-EE-A2GP-06	478	301	0	0	0	0	0	85	0
TCGA-EE-A2GR-06	957	1127	0	0	0	0	0	131	0
TCGA-EE-A2GS-06	224	203	0	0	0	0	0	41	0
TCGA-EE-A2GT-06	288	118	0	15	0	0	3	35	3
TCGA-EE-A2GU-06	506	270	0	0	0	0	0	51	1
TCGA-EE-A2M5-06	1179	1365	0	0	0	0	0	194	27
TCGA-EE-A2M6-06	403	273	3	0	0	0	15	44	8
TCGA-EE-A2M7-06	16	19	25	5	0	5	3	11	2
TCGA-EE-A2M8-06	69	32	0	0	7	7	5	31	0
TCGA-EE-A2MC-06	556	290	0	0	0	0	21	163	0
TCGA-EE-A2MD-06	1171	838	0	0	0	0	0	322	0
TCGA-EE-A2ME-06	19	12	1	2	1	0	1	6	0
TCGA-EE-A2MF-06	605	249	0	0	23	19	26	91	19
TCGA-EE-A2MG-06	175	87	3	0	0	0	1	11	0
TCGA-EE-A2MH-06	80	102	0	0	0	0	4	14	1
TCGA-EE-A2MI-06	872	486	0	0	0	0	18	112	0
TCGA-EE-A2MJ-06	1463	872	0	0	0	6	0	311	0
TCGA-EE-A2MK-06	187	155	0	0	0	12	10	40	0
TCGA-EE-A2ML-06	305	396	0	0	0	0	0	57	0
TCGA-EE-A2MM-06	425	241	0	0	0	0	0	95	0
TCGA-EE-A2MN-06	81	102	0	0	0	2	1	19	0
TCGA-EE-A2MP-06	160	183	0	0	0	0	11	39	0
TCGA-EE-A2MQ-06	147	161	7	0	0	0	1	46	3
TCGA-EE-A2MR-06	2169	1738	0	0	0	36	0	1118	0
TCGA-EE-A2MS-06	1732	1943	0	0	0	0	0	307	0
TCGA-EE-A2MT-06	641	526	0	0	0	0	0	92	0
TCGA-EE-A2MU-06	433	354	0	0	0	2	0	89	32
TCGA-EE-A3AA-06	1012	788	0	0	0	18	0	232	0
TCGA-EE-A3AB-06	300	221	0	0	0	0	357	0	31
TCGA-EE-A3AC-06	708	567	0	0	0	0	13	97	0
TCGA-EE-A3AD-06	270	263	0	0	0	0	13	50	0
TCGA-EE-A3AE-06	1054	744	0	0	0	18	0	197	0
TCGA-EE-A3AF-06	663	659	0	0	0	0	18	21	0
TCGA-EE-A3AG-06	1132	1023	0	0	0	0	0	157	0
TCGA-EE-A3AH-06	263	203	0	0	0	0	0	41	1
TCGA-EE-A3J3-06	72	110	0	11	0	0	2	32	0
TCGA-EE-A3J4-06	166	174	0	11	21	5	6	18	17
TCGA-EE-A3J5-06	1662	1019	0	0	0	0	62	190	7
TCGA-EE-A3J7-06	486	753	0	0	0	0	23	83	5
TCGA-EE-A3J8-06	212	108	0	0	0	9	7	35	0
TCGA-EE-A3JA-06	841	462	0	0	0	7	0	125	0
TCGA-EE-A3JB-06	345	446	0	0	0	0	14	42	12
TCGA-EE-A3JD-06	1481	1125	0	0	0	0	6	490	0
TCGA-EE-A3JE-06	146	176	0	0	0	0	6	41	0
TCGA-EE-A3JH-06	95	125	0	6	1	0	0	18	0
TCGA-EE-A3JI-06	690	738	10	0	0	0	24	72	2
TCGA-ER-A193-06	1400	945	0	0	0	0	21	239	14
TCGA-ER-A194-01	936	806	0	0	0	0	0	124	0
TCGA-ER-A195-06	183	128	0	0	0	0	0	37	0
TCGA-ER-A196-01	0	2	2	10	2	0	6	3	0
TCGA-ER-A197-06	1	0	1	8	29	0	12	0	1
TCGA-ER-A198-06	285	326	0	0	0	0	0	41	0
TCGA-ER-A199-06	183	150	0	0	0	0	0	39	0
TCGA-ER-A19A-06	139	61	0	0	0	0	0	48	0
TCGA-ER-A19B-06	17	21	0	0	25	1	51	15	1
TCGA-ER-A19C-06	53	56	3	0	0	4	1	3	2
TCGA-ER-A19D-06	299	264	0	0	0	0	1	78	0
TCGA-ER-A19E-06	266	225	12	0	1	6	27	80	0
TCGA-ER-A19F-06	676	511	0	0	0	0	16	110	0
TCGA-ER-A19G-06	317	308	0	0	0	0	13	52	8
TCGA-ER-A19H-06	159	144	11	0	0	0	8	51	0
TCGA-ER-A19J-06	170	80	0	2	6	2	0	31	0
TCGA-ER-A19K-01	371	106	0	15	0	0	4	2	4
TCGA-ER-A19L-06	38	26	1	0	2	2	1	2	2
TCGA-ER-A19M-06	312	311	0	0	0	0	0	54	0
TCGA-ER-A19N-06	324	286	0	0	0	0	0	48	4
TCGA-ER-A19O-06	127	68	0	0	0	0	13	36	0
TCGA-ER-A19P-06	175	133	285	0	15	4	0	27	1
TCGA-ER-A19Q-06	61	67	0	0	0	0	0	35	0
TCGA-ER-A19S-06	158	90	2	4	0	0	18	0	3
TCGA-ER-A19T-01	4	20	8	15	9	5	4	0	5
TCGA-ER-A19W-06	200	222	0	0	0	7	19	40	0
TCGA-ER-A1A1-06	54	37	1	0	0	0	1	0	1
TCGA-ER-A2NB-01	2	16	19	18	9	0	9	6	6
TCGA-ER-A2NC-06	302	210	1	0	0	0	0	39	0
TCGA-ER-A2ND-06	48	24	4	12	16	0	23	17	1
TCGA-ER-A2NE-06	67	72	3	0	0	8	8	21	0
TCGA-ER-A2NF-01	26	4	1	10	0	0	0	0	0
TCGA-ER-A2NG-06	181	119	0	0	0	23	0	11	13
TCGA-ER-A2NH-06	230	139	0	0	0	0	0	46	0
TCGA-ER-A3ES-06	2	0	0	17	2	1	0	4	3
TCGA-ER-A3ET-06	19	2	18	19	36	10	7	0	5
TCGA-ER-A3EV-06	9	6	19	21	20	15	3	0	6
TCGA-ER-A3PL-06	249	265	0	0	0	0	0	5	0
TCGA-ER-A42H-01	4	3	12	33	21	2	0	1	2
TCGA-ER-A42K-06	98	149	0	0	0	0	4	22	0
TCGA-ER-A42L-06	861	392	0	0	0	0	12	36	0
TCGA-FR-A2OS-01	0	0	0	7	4	0	2	3	0
TCGA-FR-A3R1-01	265	260	2	0	0	0	0	62	0
TCGA-FR-A3YN-06	385	296	0	0	0	0	11	96	0
TCGA-FR-A3YO-06	645	386	0	0	0	0	8	150	0
TCGA-FR-A44A-06	189	185	10	1	0	0	6	29	0
TCGA-FR-A69P-06	151	114	0	0	0	0	0	40	0
