Samples	SBS96A	SBS96B	SBS96C
TCGA-AN-A0XN-01	17	31	127
TCGA-AN-A0XO-01	16	18	9
TCGA-AN-A0XP-01	9	13	12
TCGA-AN-A0XR-01	7	12	19
TCGA-AN-A0XS-01	9	14	9
TCGA-AN-A0XT-01	1	17	4
TCGA-AN-A0XU-01	19	20	98
TCGA-AN-A0XV-01	6	24	14
TCGA-AN-A0XW-01	423	0	0
TCGA-AO-A03M-01	1150	0	0
TCGA-AO-A03N-01	90	32	12
TCGA-AO-A03U-01	2	0	3
TCGA-AO-A03V-01	22	19	31
TCGA-AO-A0JG-01	2	0	19
TCGA-AO-A124-01	12	31	135
TCGA-AO-A125-01	6	28	11
TCGA-AO-A126-01	5	15	5
TCGA-AO-A128-01	0	1210	0
TCGA-AO-A129-01	35	23	86
TCGA-AO-A12A-01	5	14	0
TCGA-AO-A12B-01	0	23	0
TCGA-AO-A12D-01	38	24	11
TCGA-AO-A12E-01	3	22	8
TCGA-AO-A12F-01	0	40	0
TCGA-AO-A12G-01	9	25	8
TCGA-AO-A12H-01	1	20	9
TCGA-AO-A1KO-01	0	0	10
TCGA-AO-A1KR-01	14	21	54
TCGA-AO-A1KT-01	5	32	14
TCGA-AQ-A04H-01	5	66	10
TCGA-AQ-A0Y5-01	22	41	7
TCGA-AQ-A1H2-01	3	25	6
TCGA-AQ-A1H3-01	0	27	0
TCGA-AQ-A54O-01	4	13	8
TCGA-AQ-A7U7-01	71	25	0
TCGA-AR-A0TP-01	8	7	56
TCGA-AR-A0TQ-01	16	18	15
TCGA-AR-A0TR-01	4	27	11
TCGA-AR-A0TS-01	13	24	53
TCGA-AR-A0TT-01	18	37	20
TCGA-AR-A0TU-01	11	19	60
TCGA-AR-A0TV-01	7	38	34
TCGA-AR-A0TW-01	4	36	27
TCGA-AR-A0TX-01	407	0	0
TCGA-AR-A0TZ-01	28	28	11
TCGA-AR-A0U0-01	11	13	26
TCGA-AR-A0U1-01	14	8	87
TCGA-AR-A0U2-01	0	39	17
TCGA-AR-A0U3-01	1	25	14
TCGA-AR-A0U4-01	59	8	134
TCGA-AR-A1AH-01	9	29	82
TCGA-AR-A1AI-01	22	37	30
TCGA-AR-A1AJ-01	28	25	0
TCGA-AR-A1AK-01	39	25	18
TCGA-AR-A1AL-01	8	14	8
TCGA-AR-A1AN-01	4	26	1
TCGA-AR-A1AO-01	32	23	67
TCGA-AR-A1AP-01	12	34	5
TCGA-AR-A1AQ-01	3	20	18
TCGA-AR-A1AR-01	8	20	35
TCGA-AR-A1AS-01	19	17	5
TCGA-AR-A1AT-01	2	14	16
TCGA-AR-A1AU-01	2	16	8
TCGA-AR-A1AV-01	6	32	11
TCGA-AR-A1AW-01	3	19	19
TCGA-AR-A1AX-01	4	16	12
TCGA-AR-A1AY-01	15	31	26
TCGA-AR-A24H-01	26	16	110
TCGA-AR-A24K-01	0	14	20
TCGA-AR-A24L-01	6	5	42
TCGA-AR-A24M-01	1	13	11
TCGA-AR-A24N-01	6	29	12
TCGA-AR-A24O-01	0	12	10
TCGA-AR-A24P-01	1	13	5
TCGA-AR-A24Q-01	46	15	171
TCGA-AR-A24R-01	1	20	5
TCGA-AR-A24S-01	12	31	14
TCGA-AR-A24T-01	3	16	5
TCGA-AR-A24U-01	22	18	4
TCGA-AR-A24V-01	6	22	0
TCGA-AR-A24W-01	1	4	9
TCGA-AR-A24X-01	1	20	13
TCGA-AR-A24Z-01	7	22	27
TCGA-AR-A250-01	65	59	31
TCGA-AR-A251-01	33	9	163
TCGA-AR-A252-01	0	19	0
TCGA-AR-A254-01	7	24	11
TCGA-AR-A255-01	35	21	33
TCGA-AR-A256-01	36	21	167
TCGA-AR-A2LE-01	363	29	2
TCGA-AR-A2LH-01	52	17	2
TCGA-AR-A2LK-01	5	35	8
TCGA-AR-A2LL-01	0	25	12
TCGA-AR-A2LM-01	1	5	11
TCGA-AR-A2LN-01	28	20	6
TCGA-AR-A2LO-01	4	7	6
TCGA-AR-A2LQ-01	0	7	6
TCGA-AR-A2LR-01	3	26	41
TCGA-AR-A5QM-01	0	20	16
TCGA-AR-A5QN-01	7	38	4
TCGA-AR-A5QP-01	4	21	9
TCGA-AR-A5QQ-01	13	24	59
TCGA-B6-A0I1-01	8	38	34
TCGA-B6-A0IH-01	3	33	5
TCGA-B6-A0RH-01	18	17	10
TCGA-B6-A0RL-01	20	40	9
TCGA-B6-A0RM-01	7	24	5
TCGA-B6-A0RN-01	2	27	4
TCGA-B6-A0RO-01	6	15	22
TCGA-B6-A0RP-01	0	12	18
TCGA-B6-A0RQ-01	21	20	15
TCGA-B6-A0RT-01	19	9	44
TCGA-B6-A0RU-01	10	27	21
TCGA-B6-A0RV-01	55	12	0
TCGA-B6-A0WS-01	4	8	6
TCGA-B6-A0WT-01	2	19	1
TCGA-B6-A0WV-01	5	12	20
TCGA-B6-A0WW-01	13	20	14
TCGA-B6-A0WX-01	1	24	20
TCGA-B6-A0WY-01	10	20	5
TCGA-B6-A0WZ-01	84	10	1
TCGA-B6-A0X0-01	3	9	13
TCGA-B6-A0X1-01	22	16	54
TCGA-B6-A0X4-01	2	13	7
TCGA-B6-A0X5-01	11	17	20
TCGA-B6-A0X7-01	6	15	2
TCGA-B6-A1KN-01	5	22	45
TCGA-B6-A2IU-01	21	33	0
TCGA-B6-A401-01	1	18	9
TCGA-B6-A409-01	7	28	21
TCGA-B6-A40B-01	19	20	27
TCGA-B6-A40C-01	5	34	15
TCGA-BH-A0AU-01	3	12	8
TCGA-BH-A0AV-01	16	10	61
TCGA-BH-A0AY-01	9	21	16
TCGA-BH-A0AZ-01	23	3	44
TCGA-BH-A0B0-01	81	18	0
TCGA-BH-A0B3-01	3	9	6
TCGA-BH-A0B6-01	1244	41	5
TCGA-BH-A0B7-01	11	22	9
TCGA-BH-A0B8-01	6	7	21
TCGA-BH-A0BA-01	9	13	7
TCGA-BH-A0BC-01	14	25	6
TCGA-BH-A0BF-01	6	15	12
TCGA-BH-A0BG-01	8	10	27
TCGA-BH-A0BJ-01	1	6	10
TCGA-BH-A0BL-01	2	21	46
TCGA-BH-A0BM-01	4	3	12
TCGA-BH-A0BO-01	5	19	7
TCGA-BH-A0BP-01	54	60	82
TCGA-BH-A0BQ-01	3	17	10
TCGA-BH-A0BS-01	1	8	14
TCGA-BH-A0BT-01	8	29	11
TCGA-BH-A0BV-01	5	9	10
TCGA-BH-A0BW-01	18	30	55
TCGA-BH-A0BZ-01	40	31	225
TCGA-BH-A0C0-01	6	14	28
TCGA-BH-A0C1-01	9	35	6
TCGA-BH-A0C3-01	0	9	9
TCGA-BH-A0C7-01	4	34	20
TCGA-BH-A0DD-01	7	30	0
TCGA-BH-A0DE-01	3	8	22
TCGA-BH-A0DG-01	18	12	17
TCGA-BH-A0DH-01	17	34	1
TCGA-BH-A0DI-01	23	20	19
TCGA-BH-A0DK-01	7	15	31
TCGA-BH-A0DL-01	20	38	7
TCGA-BH-A0DO-01	8	14	8
TCGA-BH-A0DP-01	6	5	8
TCGA-BH-A0DQ-01	2	20	13
TCGA-BH-A0DT-01	3	9	3
TCGA-BH-A0DV-01	4	0	11
TCGA-BH-A0DX-01	48	21	8
TCGA-BH-A0DZ-01	206	3	8
TCGA-BH-A0E0-01	2	20	2
TCGA-BH-A0E1-01	6	13	0
TCGA-BH-A0E9-01	1	21	6
TCGA-BH-A0EA-01	5	18	9
TCGA-BH-A0EI-01	1	17	6
TCGA-BH-A0H3-01	1	7	9
TCGA-BH-A0H5-01	147	6	16
TCGA-BH-A0H7-01	5	11	1
TCGA-BH-A0H9-01	4	5	14
TCGA-BH-A0HA-01	37	332	13
TCGA-BH-A0HI-01	8	18	9
TCGA-BH-A0HK-01	38	24	1
TCGA-BH-A0HN-01	7	23	4
TCGA-BH-A0HP-01	357	0	0
TCGA-BH-A0RX-01	5	44	0
TCGA-BH-A0W3-01	4	6	13
TCGA-BH-A0W4-01	12	17	10
TCGA-BH-A0W5-01	0	20	9
TCGA-BH-A0W7-01	261	0	0
TCGA-BH-A0WA-01	22	15	76
TCGA-BH-A18F-01	24	30	13
TCGA-BH-A18G-01	0	1668	0
TCGA-BH-A18H-01	15	16	23
TCGA-BH-A18I-01	6	25	0
TCGA-BH-A18J-01	95	13	3
TCGA-BH-A18K-01	31	12	25
TCGA-BH-A18L-01	4	42	19
TCGA-BH-A18M-01	5	12	1
TCGA-BH-A18N-01	0	43	0
TCGA-BH-A18P-01	399	39	0
TCGA-BH-A18Q-01	9	7	91
TCGA-BH-A18R-01	9	6	27
TCGA-BH-A18S-01	3	11	23
TCGA-BH-A18T-01	17	15	70
TCGA-BH-A18U-01	92	52	34
TCGA-BH-A18V-01	99	0	151
TCGA-BH-A1EO-01	6	41	3
TCGA-BH-A1ET-01	1	17	15
TCGA-BH-A1EU-01	3	17	14
TCGA-BH-A1EV-01	73	40	16
TCGA-BH-A1EW-01	6	8	7
TCGA-BH-A1EX-01	2	22	11
TCGA-BH-A1EY-01	18	24	13
TCGA-BH-A1F0-01	21	18	56
TCGA-BH-A1F2-01	18	37	16
TCGA-BH-A1F5-01	6	22	16
TCGA-BH-A1F6-01	7	27	19
TCGA-BH-A1F8-01	145	29	18
TCGA-BH-A1FC-01	39	44	47
TCGA-BH-A1FE-01	6	8	12
TCGA-BH-A1FG-01	2	15	4
TCGA-BH-A1FH-01	5	18	10
TCGA-BH-A1FJ-01	3	26	16
TCGA-BH-A1FL-01	3	17	6
TCGA-BH-A1FM-01	22	34	6
TCGA-BH-A1FN-01	80	2	64
TCGA-BH-A1FR-01	2	8	7
TCGA-BH-A1FU-01	24	34	60
TCGA-BH-A201-01	4	12	11
TCGA-BH-A202-01	3	14	11
TCGA-BH-A203-01	27	66	6
TCGA-BH-A204-01	7	21	24
TCGA-BH-A208-01	40	21	21
TCGA-BH-A209-01	104	6	9
TCGA-BH-A28Q-01	3	20	3
TCGA-BH-A2L8-01	628	0	0
TCGA-BH-A42U-01	19	8	5
TCGA-BH-A42V-01	44	11	0
TCGA-BH-A5IZ-01	13	24	59
TCGA-BH-A5J0-01	65	37	0
TCGA-BH-A6R8-01	7	25	5
TCGA-BH-A6R9-01	1	9	15
TCGA-BH-A8FY-01	8	11	37
TCGA-BH-A8FZ-01	15	27	49
TCGA-BH-A8G0-01	0	17	0
TCGA-BH-AB28-01	7	32	4
TCGA-C8-A12K-01	61	9	103
TCGA-C8-A12L-01	6	21	62
TCGA-C8-A12M-01	4	51	27
TCGA-C8-A12N-01	3	17	7
TCGA-C8-A12O-01	4	37	8
TCGA-C8-A12P-01	123	45	34
TCGA-C8-A12Q-01	96	27	16
TCGA-C8-A12T-01	174	17	23
TCGA-C8-A12U-01	9	32	20
TCGA-C8-A12V-01	5	14	33
TCGA-C8-A12W-01	5	64	8
TCGA-C8-A12X-01	3	45	17
TCGA-C8-A12Y-01	0	46	0
TCGA-C8-A12Z-01	23	27	11
TCGA-C8-A130-01	8	46	0
TCGA-C8-A131-01	12	31	31
TCGA-C8-A132-01	33	17	34
TCGA-C8-A133-01	6	4	23
TCGA-C8-A134-01	6	12	99
TCGA-C8-A135-01	9	57	11
TCGA-C8-A137-01	31	23	8
TCGA-C8-A138-01	1	23	28
TCGA-C8-A1HE-01	33	15	6
TCGA-C8-A1HF-01	16	14	9
TCGA-C8-A1HG-01	9	45	15
TCGA-C8-A1HI-01	16	34	22
TCGA-C8-A1HJ-01	12	18	94
TCGA-C8-A1HK-01	30	21	22
TCGA-C8-A1HL-01	0	18	19
TCGA-C8-A1HM-01	344	18	86
TCGA-C8-A1HN-01	5	35	30
TCGA-C8-A1HO-01	15	16	18
TCGA-C8-A26V-01	56	24	16
TCGA-C8-A26W-01	37	21	11
TCGA-C8-A26X-01	7	36	32
TCGA-C8-A26Y-01	765	0	151
TCGA-C8-A26Z-01	2	30	17
TCGA-C8-A273-01	1	13	10
TCGA-C8-A274-01	239	34	8
TCGA-C8-A275-01	101	20	21
TCGA-C8-A278-01	16	23	14
TCGA-C8-A27A-01	11	14	15
TCGA-C8-A27B-01	74	1	87
TCGA-C8-A3M7-01	163	58	0
TCGA-C8-A3M8-01	14	29	19
TCGA-C8-A8HP-01	238	35	0
TCGA-C8-A8HQ-01	321	51	0
TCGA-C8-A8HR-01	5	29	26
TCGA-C8-A9FZ-01	4	21	4
TCGA-D8-A13Y-01	25	24	33
TCGA-D8-A13Z-01	16	34	53
TCGA-D8-A140-01	34	59	41
TCGA-D8-A141-01	0	11	10
TCGA-D8-A142-01	15	73	78
TCGA-D8-A143-01	3	23	35
TCGA-D8-A145-01	3	29	15
TCGA-D8-A146-01	8	29	4
TCGA-D8-A147-01	65	7	128
TCGA-D8-A1J8-01	609	269	83
TCGA-D8-A1J9-01	245	15	18
TCGA-D8-A1JB-01	8	11	44
TCGA-D8-A1JC-01	76	29	17
TCGA-D8-A1JD-01	26	19	77
TCGA-D8-A1JE-01	2	20	18
TCGA-D8-A1JF-01	6	29	14
TCGA-D8-A1JG-01	23	66	80
TCGA-D8-A1JH-01	3	11	10
TCGA-D8-A1JI-01	3	16	23
TCGA-D8-A1JJ-01	57	36	5
TCGA-D8-A1JK-01	34	37	178
TCGA-D8-A1JL-01	14	20	93
TCGA-D8-A1JM-01	4	22	27
TCGA-D8-A1JN-01	165	43	0
TCGA-D8-A1JP-01	16	3	116
TCGA-D8-A1JS-01	3	14	12
TCGA-D8-A1JT-01	0	21	20
TCGA-D8-A1JU-01	1	14	5
TCGA-D8-A1X5-01	8	31	27
TCGA-D8-A1X6-01	3	29	10
TCGA-D8-A1X7-01	4	12	16
TCGA-D8-A1X9-01	8	10	84
TCGA-D8-A1XA-01	2	17	9
TCGA-D8-A1XB-01	11	34	5
TCGA-D8-A1XC-01	2	22	10
TCGA-D8-A1XF-01	6	37	8
TCGA-D8-A1XG-01	2	11	14
TCGA-D8-A1XK-01	0	791	509
TCGA-D8-A1XL-01	11	22	77
TCGA-D8-A1XM-01	29	30	5
TCGA-D8-A1XO-01	11	9	9
TCGA-D8-A1XQ-01	31	627	373
TCGA-D8-A1XR-01	4	25	3
TCGA-D8-A1XS-01	8	15	3
TCGA-D8-A1XT-01	7	23	15
TCGA-D8-A1XU-01	15	10	10
