Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H
TCGA-A7-A4SC-01	0	2	8	10	0	0	13	5
TCGA-A7-A4SD-01	2	1	29	3	11	6	4	6
TCGA-A7-A4SE-01	30	14	2	0	44	14	11	31
TCGA-A7-A56D-01	46	66	31	33	17	5	27	0
TCGA-A7-A5ZV-01	30	8	29	13	100	25	20	43
TCGA-A7-A5ZW-01	7	6	8	0	0	9	4	2
TCGA-A7-A5ZX-01	0	4	3	18	11	5	1	0
TCGA-A7-A6VV-01	9	2	15	1	8	3	0	26
TCGA-A7-A6VW-01	5	5	5	3	25	11	0	38
TCGA-A7-A6VX-01	12	31	3	5	41	15	26	44
TCGA-A7-A6VY-01	14	6	8	21	70	17	0	0
TCGA-A8-A075-01	11	17	6	11	20	1	14	20
TCGA-AC-A23C-01	21	36	12	5	5	21	45	0
TCGA-AC-A23E-01	0	0	10	4	5	0	5	0
TCGA-AC-A23H-01	3203	2720	16	83	0	2	354	0
TCGA-AC-A2B8-01	42	48	8	12	5	1	5	7
TCGA-AC-A2BK-01	5	0	29	4	46	16	10	0
TCGA-AC-A2BM-01	3	0	7	0	5	2	3	6
TCGA-AC-A2FB-01	0	4	2	0	1	3	0	7
TCGA-AC-A2FF-01	3	1	0	6	0	0	1	0
TCGA-AC-A2FG-01	2	8	8	6	3	3	0	9
TCGA-AC-A2FK-01	0	1	0	1	0	0	0	1
TCGA-AC-A2FO-01	4	7	1	10	4	0	1	0
TCGA-AC-A2QH-01	2	2	13	0	3	3	4	0
TCGA-AC-A3HN-01	2	2	8	1	3	4	1	1
TCGA-AC-A3OD-01	0	8	8	7	0	3	4	9
TCGA-AC-A3QP-01	1	0	0	7	2	5	1	19
TCGA-AC-A3QQ-01	1	1	14	1	2	0	4	13
TCGA-AC-A3W5-01	44	23	17	18	86	11	0	12
TCGA-AC-A3YI-01	0	0	3	7	1	4	3	0
TCGA-AC-A3YJ-01	1	4	12	3	0	2	5	11
TCGA-AC-A4ZE-01	0	9	14	0	11	11	7	22
TCGA-AC-A5EH-01	15	13	11	13	63	21	33	36
TCGA-AC-A5EI-01	1	11	10	2	3	3	0	13
TCGA-AC-A5XS-01	273	255	0	185	0	0	2	0
TCGA-AC-A5XU-01	6	14	47	13	2	5	26	0
TCGA-AC-A62V-01	6	4	43	4	18	8	23	0
TCGA-AC-A62X-01	3	1	48	0	0	4	31	0
TCGA-AC-A62Y-01	18	15	17	0	8	11	0	20
TCGA-AC-A6IV-01	0	0	3	10	0	1	0	13
TCGA-AC-A6IW-01	65	30	25	26	41	11	0	33
TCGA-AC-A6IX-01	8	26	13	0	5	10	0	9
TCGA-AC-A6NO-01	1	2	10	8	0	7	0	15
TCGA-AC-A7VB-01	0	0	16	0	0	5	4	10
TCGA-AC-A7VC-01	0	0	8	9	2	2	0	5
TCGA-AC-A8OP-01	15	9	47	36	45	35	57	0
TCGA-AC-A8OQ-01	5	19	30	13	6	3	7	54
TCGA-AC-A8OR-01	0	1	11	0	5	4	11	0
TCGA-AC-A8OS-01	5	15	9	0	11	9	0	30
TCGA-AN-A0XL-01	0	0	7	9	0	4	13	7
TCGA-AN-A0XN-01	15	2	7	15	41	27	36	32
TCGA-AN-A0XO-01	2	7	2	18	5	9	0	0
TCGA-AN-A0XP-01	4	5	6	0	2	7	8	2
TCGA-AN-A0XR-01	3	4	5	0	4	0	0	22
TCGA-AN-A0XS-01	0	8	4	0	0	0	0	20
TCGA-AN-A0XT-01	1	0	11	2	0	1	0	7
TCGA-AN-A0XU-01	16	5	8	0	30	5	28	45
TCGA-AN-A0XV-01	6	0	9	11	9	9	0	0
